"Conditions","条件"
"URLs have been processed.","URLが処理されました。"
"Something went wrong.","エラーが発生しました。"
"Missing canonical URL.","canonical URLが設定されていません。"
"%1 canonical on the page.","ページに %1 件の canonical があります。"
"Canonical created not using Mirasvit SEO extension.","Mirasvit SEO拡張機能を使用せずにcanonicalが作成されました。"
"There is no H1 tag on the page.","ページにH1タグがありません。"
"One H1 tag","H1タグが1つ"
"%1 H1 tags.","%1 件のH1タグがあります。"
"Length = %1. Recommended length up to %2 characters.","文字数 = %1。推奨文字数は %2 文字以内です。"
"Meta title not defined.","メタタイトルが設定されていません。"
"Meta description not defined.","メタディスクリプションが設定されていません。"
"Meta keywords not defined.","メタキーワードが設定されていません。"
"Some alt tags are empty or missing.","一部のaltタグが空または未設定です。"
"Total number of images","画像の総数"
"Images without alt attribute","alt属性がない画像"
"Images with empty alt attribute","alt属性が空の画像"
"%1 images with correct alt attribute.","%1 件の画像に正しいalt属性が設定されています。"
"Conditions combination","条件の組み合わせ"
"Categories and layered navigation","カテゴリとレイヤードナビゲーション"
"Products","商品"
"Product attributes","商品属性"
"Products additional","商品の追加情報"
"Attribute set","属性セット"
"Category","カテゴリ"
"Created (days ago)","作成日（日前）"
"Updated (days ago)","更新日（日前）"
"Quantity","数量"
"Price - Final Price","価格 - 最終価格"
"Percent Discount","割引率"
"Open Chooser","選択ツールを開く"
"Disabled","無効"
"Enabled for all websites","すべてのウェブサイトで有効"
"Configure","設定する"
"Add automatically","自動的に追加"
"Add all selected options","選択したすべてのオプションを追加"
"Add if only one option selected","1つのオプションのみ選択時に追加"
"Without filters","フィルターなし"
"With all filters","すべてのフィルターを適用"
"Default","デフォルト"
"Parent product","親商品"
"Use Robots meta header","Robotsメタヘッダーを使用"
"Enabled","有効"
"Enabled if cookie exist","Cookieが存在する場合に有効"
"Right","右"
"Left","左"
"Active","有効"
"Inactive","無効"
"Don't change","変更しない"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","デフォルトを先頭に"
"Custom","カスタム"
"Brand only","ブランドのみ"
"Category + Brand","カテゴリ + ブランド"
"Direct link","直接リンク"
"Shortest path","最短パス"
"Longest path","最長パス"
"Long","長い"
"Short","短い"
"Include categories path to Product URLs","商品URLにカテゴリパスを含める"
"Don't include categories path to Product URLs","商品URLにカテゴリパスを含めない"
"301 Moved permanently","301 恒久的移動"
"302 Object moved","302 一時的移動"
"307 Temporary redirect","307 一時的リダイレクト"
"Total number of products with reviews","レビューのある商品の総数"
"Total number of reviews","レビューの総数"
"Redirect to the same page with trailing slash","末尾スラッシュ付きの同じページへリダイレクト"
"Redirect to the same page without trailing slash","末尾スラッシュなしの同じページへリダイレクト"
"Parent category path has been removed.","親カテゴリパスが削除されました。"
"Alternate Settings","代替設定"
"Alternate group","代替グループ"
"Open Graph Image Url","Open Graph画像URL"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","Hreflangロケールコードの値が不正です: ""%1""。<a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2形式</a>を使用する必要があります"
"Template for URL key of Product Images","商品画像URLキーのテンプレート"
"Template for Product Images Alt","商品画像alt属性のテンプレート"
"Template for Product Images Title","商品画像タイトルのテンプレート"
"The store can't be indexed when closed to robots and crawlers.","ロボットやクローラーに閉じているときはストアをインデックスできません。"
"The page needs to display a correct title and store description in search results.","ページは検索結果に正しいタイトルとストア説明を表示する必要があります。"
"Unable to run test, the robots.txt file is empty","テストを実行できません。robots.txtファイルが空です"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","顧客をより深く理解しましょう。Google Analyticsは、ビジネスデータを1か所で分析するための無料ツールを提供しています。"
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","次のコマンドを実行してMirasvit_SeoSitemapモジュールを有効にしてください: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","検索者にページのコンテンツに関する追加情報を提供する拡張検索結果です。GoogleをはじめとするサーチエンジンはWebページのHTMLやJavascriptに含まれる構造化データを使用してこれらのスニペットを形成します。"
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","ランダムな文字や数字を使用するよりも、商品名やその他の変数を画像ファイル名として使用する方が検索エンジンにとってより説明的です。"
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","altタグは、検索エンジンおよびスクリーンリーダーを使用してWebページにアクセスするユーザーのために画像のテキスト代替を提供します。"
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","""商品のメタタグが空でない場合に使用する""オプションが""はい""に設定されている場合、このテンプレートに影響します。続きを読む"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","""カテゴリのメタタグが空でない場合に使用する""オプションが""はい""に設定されている場合、このテンプレートに影響します。続きを読む"
"Blog Data","ブログデータ"
"Brand Data","ブランドデータ"
"Category Data","カテゴリデータ"
"CMS Page Data","CMSページデータ"
"Filter Data","フィルターデータ"
"Landing Page Data","ランディングページデータ"
"Current Page Data","現在のページデータ"
"Pagination","ページネーション"
"Page %1","ページ %1"
"Product Data","商品データ"
"Store Data","ストアデータ"
"Reversed by TrailingSlashService","TrailingSlashServiceによって元に戻されました"
"Auto-generated by TrailingSlashService","TrailingSlashServiceによって自動生成されました"
"Product ID: %1 Store ID: %2 Url Key: %3","商品ID: %1 ストアID: %2 URLキー: %3"
"Already used url key","すでに使用されているURLキー"
"Empty url key","URLキーが空です"
"Duplicate used url key","重複したURLキー"
"Updated url key","URLキーが更新されました"
"Edit","編集"
"Delete","削除"
"Delete item?","アイテムを削除しますか？"
"Back","戻る"
"Are you sure you want to do this?","この操作を実行してもよろしいですか？"
"Reset","リセット"
"Resets input fields values","入力フィールドの値をリセットします"
"Save and continue edit","保存して編集を続ける"
"Save","保存"
"All store views","すべてのストアビュー"
"Tests passed.","テストが合格しました。"
"test(s) remaining","テストが残っています"
"Hint","ヒント"
"Solution","解決策"
"here","こちら"
"Import redirects (.csv)","リダイレクトをインポート (.csv)"
"Import redirects","リダイレクトをインポート"
"Download example CSV file for redirect import","リダイレクトインポート用のCSVサンプルファイルをダウンロード"
"Example of CSV file","CSVファイルの例"
"Export redirects (.csv)","リダイレクトをエクスポート (.csv)"
"Export redirects","リダイレクトをエクスポート"
"This operation can take a long time.","この操作には時間がかかる場合があります。"
"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","すべてのカテゴリURLが変更されます。この操作は元に戻せません。確認しますか？"
"Error during request.","リクエスト中にエラーが発生しました。"
"Error during removal of category path.","カテゴリパスの削除中にエラーが発生しました。"
"Error during processing URLs.","URLの処理中にエラーが発生しました。"
"All URLs will be changed. This action cannot be undone. Do you want to confirm it?","すべてのURLが変更されます。この操作は元に戻せません。確認しますか？"
"Category image for %1","%1 のカテゴリ画像"
"Attention","注意"
"SEO general settings","SEO全般設定"
"Canonical settings","canonical設定"
"Configure canonical URLs to prevent duplicate content issues and consolidate ranking signals.","重複コンテンツの問題を防ぎ、ランキングシグナルを統合するためにcanonical URLを設定してください。"
"Common settings","共通設定"
"Control general canonical URL behavior across your store.","ストア全体のcanonical URLの全般的な動作を制御します。"
"Enable canonical URLs","canonical URLを有効化"
"Activate canonical URL generation to prevent duplicate content penalties and improve SEO ranking.","重複コンテンツのペナルティを防ぎSEOランキングを向上させるためにcanonical URL生成を有効にしてください。"
"Don't use canonical URLs on pages","ページでcanonical URLを使用しない"
"Specify URL patterns where canonical tags should be omitted (one URL per line).","canonicalタグを省略するURLパターンを指定してください（1行に1つのURL）。"
"Add pagination to canonical URLs","canonical URLにページネーションを追加"
"When enabled, pagination parameters will be included in canonical URLs for paginated content.","有効にすると、ページネーションされたコンテンツのcanonical URLにページネーションパラメータが含まれます。"
"Strip store codes from canonicals","canonical URLからストアコードを削除"
"Strip store codes from canonical URLs for cleaner URL structure when using multiple store views.","複数のストアビューを使用する際に、よりクリーンなURL構造のためにcanonical URLからストアコードを削除します。"
"Cross-domain canonical URL","クロスドメインcanonical URL"
"Configure canonical URLs to point to a preferred domain when content exists across multiple domains.","コンテンツが複数のドメインに存在する場合に、優先ドメインを指すようにcanonical URLを設定してください。"
"HTTPS URLs for cross-domain canonical","クロスドメインcanonical用HTTPSのURL"
"Force HTTPS protocol in cross-domain canonical URLs for security and consistency.","セキュリティと一貫性のためにクロスドメインcanonical URLでHTTPSプロトコルを強制します。"
"Product page settings","商品ページ設定"
"Configure canonical URL behavior specifically for product pages.","商品ページ専用のcanonical URL動作を設定してください。"
"Product canonical URL format","商品のcanonical URLフォーマット"
"Choose between shortest/longest path format for product canonical URLs.","商品のcanonical URLの最短/最長パスフォーマットを選択してください。"
"Canonical tag for child products","子商品のcanonicalタグ"
"Define canonical URL behavior for child products within complex product types.","複合商品タイプ内の子商品のcanonical URL動作を定義してください。"
"Configurable product","設定可能な商品"
"Set canonical tag behavior for simple products that are part of configurable products.","設定可能な商品の一部であるシンプル商品のcanonicalタグ動作を設定してください。"
"Grouped product","グループ商品"
"Set canonical tag behavior for simple products that are part of grouped products.","グループ商品の一部であるシンプル商品のcanonicalタグ動作を設定してください。"
"Bundle product","バンドル商品"
"Set canonical tag behavior for simple products that are part of bundle products.","バンドル商品の一部であるシンプル商品のcanonicalタグ動作を設定してください。"
"Category page settings","カテゴリページ設定"
"Configure canonical URL behavior specifically for category pages.","カテゴリページ専用のcanonical URL動作を設定してください。"
"Canonical URL for filtered categories","フィルタリングされたカテゴリのcanonical URL"
"Define how canonical URLs should handle category pages with active filters.","アクティブなフィルターがあるカテゴリページのcanonical URLの処理方法を定義してください。"
"Filter inclusion in canonical URL","canonical URLへのフィルター組み込み"
"Configure which specific filters should be included in canonical URLs.","canonical URLに含める特定のフィルターを設定してください。"
"Enable link rel=""next/prev""","link rel=""next/prev""を有効化"
"Implement pagination relationship tags to help search engines understand paginated content structure.","ページネーションされたコンテンツ構造を検索エンジンが理解しやすくするためにページネーション関係タグを実装してください。"
"Meta Robots settings","Meta Robots設定"
"Control indexing and crawling behavior with Robots meta tags and headers.","RobotsメタタグとヘッダーでインデックスとクロールDynamics動作を制御します。"
"Custom robots rules by URL pattern","URLパターン別カスタムrobotsルール"
"Configure custom Robots meta tag directives for specific URL patterns.","特定のURLパターンに対するカスタムRobotsメタタグディレクティブを設定してください。"
"Robots meta header for HTTPS","HTTPS用Robotsメタヘッダー"
"Configure X-Robots-Tag header behavior specifically for HTTPS pages.","HTTPSページ専用のX-Robots-Tagヘッダー動作を設定してください。"
"Alternate and hreflang settings","代替・hreflang設定"
"Configure alternate language version indicators for international SEO optimization.","国際SEO最適化のための代替言語バージョン指標を設定してください。"
"Enable alternate and hreflang links","代替リンクとhreflangリンクを有効化"
"Activate alternate language version tags to help search engines serve the correct language/regional version to users.","検索エンジンがユーザーに正しい言語/地域バージョンを提供できるように代替言語バージョンタグを有効にしてください。"
"Manual alternate setting","手動代替設定"
"Configure specific store relationships for hreflang tag generation.","hreflangタグ生成のための特定のストア関係を設定してください。"
"Hreflang x-default settings","Hreflang x-default設定"
"Specify which store view should be used as the default language fallback.","デフォルト言語フォールバックとして使用するストアビューを指定してください。"
"Hreflang locale code","Hreflangロケールコード"
"Override the default locale code used in hreflang attributes for this store view.","このストアビューのhreflang属性で使用するデフォルトロケールコードを上書きしてください。"
"Hreflang x-default","Hreflang x-default"
"Designate this website as the default language version when appropriate.","適切な場合にこのウェブサイトをデフォルト言語バージョンとして指定してください。"
"Add locale code to hreflang","hreflangにロケールコードを追加"
"Automatically append locale codes to hreflang attributes based on store locale settings.","ストアのロケール設定に基づいてhreflang属性にロケールコードを自動的に追加します。"
"Simplify category alternate links","カテゴリ代替リンクを簡略化"
"Remove extra parameters from category alternate URLs.","カテゴリ代替URLから余分なパラメータを削除します。"
"Include hreflang links in sitemap","サイトマップにhreflangリンクを含める"
"Add alternate language indicators to XML sitemaps for improved multi-language SEO.","多言語SEOを向上させるためにXMLサイトマップに代替言語指標を追加してください。"
"Manage URL redirects to maintain SEO value and improve user experience.","SEO価値を維持しユーザー体験を向上させるためにURLリダイレクトを管理してください。"
"Trailing slash redirects","末尾スラッシュリダイレクト"
"Standardize URL format by enforcing consistent trailing slash usage across the site.","サイト全体で一貫した末尾スラッシュの使用を強制してURL形式を標準化してください。"
"Process URLs","URLを処理"
"Apply the trailing slash setting to all existing URLs in the database.<br/>Save configuration before pushing the button.","データベース内のすべての既存URLに末尾スラッシュ設定を適用します。<br/>ボタンを押す前に設定を保存してください。"
"Redirect URLs to lowercase","URLを小文字にリダイレクト"
"Force lowercase URL format to prevent duplicate content from case variations.","大文字小文字の違いによる重複コンテンツを防ぐためにURL形式を小文字に強制します。"
"Page types allowed for lowercase redirects","小文字リダイレクトに許可されるページタイプ"
"Specify which page types should be included in lowercase redirection rules.","小文字リダイレクトルールに含めるページタイプを指定してください。"
"SEO-friendly URL settings","SEOフレンドリーURL設定"
"Configure URL structure optimization for better search engine visibility.","検索エンジンでの視認性を高めるためにURL構造の最適化を設定してください。"
"Create shorter category URLs","カテゴリURLを短くする"
"Generate shorter, cleaner category URLs by eliminating parent category paths.","親カテゴリパスを削除してより短くクリーンなカテゴリURLを生成します。"
"Apply the parent category path removal to all existing category URLs in the database.<br/>Save configuration before pushing the button.","データベース内のすべての既存カテゴリURLに親カテゴリパスの削除を適用します。<br/>ボタンを押す前に設定を保存してください。"
"Product","商品"
"URL key template","URLキーテンプレート"
"Define a structured template for automatic product URL key generation using product attributes.<br/><br/>Example:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>To apply for all products run in ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Additional info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>","商品属性を使用して商品URLキーを自動生成するための構造化テンプレートを定義してください。<br/><br/>例:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>すべての商品に適用するにはsshで実行:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>追加情報:<br/><code>bin/magento mirasvit:seo:product-url-template</code>"
"Function is disabled if current field is empty.","現在のフィールドが空の場合、この機能は無効になります。"
"Use template for new product URLs","新しい商品URLにテンプレートを使用"
"Automatically generate URL keys based on the template when creating new products.","新しい商品を作成する際にテンプレートに基づいてURLキーを自動生成します。"
"If enabled, the extension will overwrite the Magento native URL key <br/>","有効にすると、拡張機能がMagentoネイティブのURLキーを上書きします <br/>"
"Update URLs on visibility change","可視性変更時にURLを更新"
"Regenerate URL keys when product visibility is updated to maintain consistency.","一貫性を保つために商品の可視性が更新されたときにURLキーを再生成します。"
"SEO-friendly product image settings","SEOフレンドリー商品画像設定"
"Optimize product image filenames and attributes for better image search visibility.","画像検索での視認性を高めるために商品画像のファイル名と属性を最適化してください。"
"Enable SEO-friendly image URLs","SEOフレンドリー画像URLを有効化"
"Generate descriptive, keyword-rich image filenames for product images.<br><strong>Warning:</strong> This feature may cause significant performance issues when using remote storage (AWS S3, Azure Blob, etc.) due to additional API calls required to check file existence. For stores with remote storage, consider keeping this option disabled or expect increased page load times.","商品画像に説明的でキーワードが豊富な画像ファイル名を生成します。<br><strong>警告:</strong>この機能はリモートストレージ（AWS S3、Azure Blobなど）を使用している場合、ファイルの存在確認に必要な追加のAPI呼び出しにより重大なパフォーマンス問題が発生する可能性があります。リモートストレージを使用しているストアでは、このオプションを無効のままにするか、ページ読み込み時間の増加を想定してください。"
"Image name template","画像名テンプレート"
"Define the pattern for generating SEO-friendly image filenames using product attributes.<br/>If empty, [product_name] will be used.","商品属性を使用してSEOフレンドリーな画像ファイル名を生成するパターンを定義してください。<br/>空の場合は[product_name]が使用されます。"
"Autogenerate image alt and title","画像のaltとタイトルを自動生成"
"Automatically create descriptive alt and title attributes for product images.","商品画像に説明的なaltとtitle属性を自動的に作成します。"
"Image alt template","画像altテンプレート"
"Define the pattern for generating image alt text using product attributes.","商品属性を使用して画像alt文を生成するパターンを定義してください。"
"To get the value in the image template (usually image_with_borders.phtml), use $block->getLabel()","画像テンプレート（通常image_with_borders.phtml）で値を取得するには、$block->getLabel()を使用してください"
"Image title template","画像タイトルテンプレート"
"Define the pattern for generating image title attributes using product attributes.<br/>If empty, a value from the 'Image alt template' field will be used.","商品属性を使用して画像title属性を生成するパターンを定義してください。<br/>空の場合は「画像altテンプレート」フィールドの値が使用されます。"
"To get the value in the image template (usually image_with_borders.phtml), use $block->getTitle()","画像テンプレート（通常image_with_borders.phtml）で値を取得するには、$block->getTitle()を使用してください"
"Product breadcrumbs","商品パンくずリスト"
"Configure product page breadcrumb trail generation to improve navigation and SEO.","ナビゲーションとSEOを向上させるために商品ページのパンくずリスト生成を設定してください。"
"Appearance","外観"
"Define when and how custom breadcrumb trails should appear on product pages.","商品ページにカスタムパンくずリストが表示されるタイミングと方法を定義してください。"
"Format","フォーマット"
"Choose between shortest path (highest category level) or longest path (deepest category) for breadcrumb generation.","パンくずリスト生成に最短パス（最上位カテゴリレベル）または最長パス（最深カテゴリ）を選択してください。"
"Include brand","ブランドを含める"
"Add the product's brand as a breadcrumb item in the navigation trail. The brand will appear as a clickable breadcrumb element before the product name.","ナビゲーショントレールにブランドをパンくずリスト項目として追加します。ブランドは商品名の前にクリック可能なパンくず要素として表示されます。"
"Brand attribute","ブランド属性"
"Specify which product attribute contains brand information.","ブランド情報を含む商品属性を指定してください。"
"Brand format","ブランドフォーマット"
"Choose how the brand breadcrumb item appears. ""Brand only"" shows just the brand name. ""Category + Brand"" shows the parent category name followed by the brand name in a single breadcrumb item.","ブランドパンくずリスト項目の表示方法を選択してください。""ブランドのみ""はブランド名のみを表示します。""カテゴリ + ブランド""は1つのパンくずリスト項目に親カテゴリ名とブランド名を表示します。"
"Alternate settings","代替設定"
"Open Graph image URL","Open Graph画像URL"
"If empty Open Graph will use logo image URL","空の場合、Open Graphはロゴ画像URLを使用します"
"General information","基本情報"
"Is active","有効"
"Canonical URL","canonical URL"
"Visible in store view","ストアビューで表示"
"Check URL for regular expression","URLを正規表現でチェック"
"In this field use only regular expression. Leave blank to disable.<br/>For example: /orion-two-tone-fitted-jacket/<br/>If URL of the page matches this expression and other conditions are met, the rule will be applied.","このフィールドには正規表現のみ使用してください。無効にするには空白のままにしてください。<br/>例: /orion-two-tone-fitted-jacket/<br/>ページのURLがこの表現に一致し、その他の条件が満たされた場合にルールが適用されます。"
"Additional","追加情報"
"Sort order","並び順"
"Comments","コメント"
"Add canonical rewrite","canonicalリライトを追加"
"Change status","ステータスを変更"
"Delete items","アイテムを削除"
"Are you sure you want to delete the selected items?","選択したアイテムを削除してもよろしいですか？"
"ID","ID"
"Regular expression","正規表現"
"Status","ステータス"
"Store view","ストアビュー"
"Request URL","リクエストURL"
"Target URL","ターゲットURL"
"Redirect type","リダイレクトタイプ"
"HTTP response status code that will be used when redirecting.","リダイレクト時に使用するHTTPレスポンスステータスコードです。"
"Redirect only if the request URL can't be found (404)","リクエストURLが見つからない場合のみリダイレクト (404)"
"Request URL and Target URL cannot be the same.","リクエストURLとターゲットURLは同じにできません。"
"Target URL must be different from Request URL.","ターゲットURLはリクエストURLと異なる必要があります。"
"Auto-redirect for removed products","削除された商品の自動リダイレクト"
"Automatically redirect the URLs of disabled or deleted products to a relevant active destination instead of returning a 404. Targets resolve in priority order: the product's first active category, then the fallback URL, then the homepage. Generated rules appear in Marketing &#8594; SEO &#8594; Redirects and can be edited or removed.","無効化または削除された商品のURLを、404を返す代わりに関連するアクティブなリンク先へ自動的にリダイレクトします。リンク先は優先順位に従って解決されます。まず商品の最初のアクティブなカテゴリ、次にフォールバックURL、最後にホームページです。生成されたルールは Marketing &#8594; SEO &#8594; Redirects に表示され、編集または削除できます。"
"Enable auto-redirect on disable","無効化時の自動リダイレクトを有効にする"
"Generate a redirect when a product is set to Disabled. Re-enabling the product removes its auto-redirect.","商品が「無効」に設定されたときにリダイレクトを生成します。商品を再度有効にすると、その自動リダイレクトは削除されます。"
"Enable auto-redirect on delete","削除時の自動リダイレクトを有効にする"
"Generate a redirect when a product is deleted, using the product URL captured at delete time.","削除時に取得した商品URLを使用して、商品が削除されたときにリダイレクトを生成します。"
"Fallback URL","フォールバックURL"
"Destination used when a removed product has no active category. Leave blank to fall through to the homepage.","削除された商品にアクティブなカテゴリがない場合に使用されるリンク先です。空欄のままにするとホームページへリダイレクトされます。"
"301 preserves link equity (recommended); 302/307 are temporary.","301はリンクの評価を維持します（推奨）。302/307は一時的です。"
"Source","ソース"
"Manual","手動"
"Auto","自動"
"Auto-generated for removed product #%1","削除された商品 #%1 用に自動生成"
