"Conditions","الشروط"
"Redirect to the same page with trailing slash","إعادة التوجيه إلى نفس الصفحة مع شرطة مائلة لاحقة"
"Redirect to the same page without trailing slash","إعادة التوجيه إلى نفس الصفحة بدون شرطة مائلة لاحقة"
"Parent category path has been removed.","تمت إزالة مسار الفئة الأصلية."
"Alternate Settings","إعدادات بديلة"
"Alternate group","مجموعة بديلة"
"Open Graph Image Url","عنوان URL لصورة Open Graph"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","قيمة رمز اللغة المحلية لـ Hreflang خاطئة: ""%1"". يجب استخدام <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">تنسيق ISO 3166-1 Alpha 2</a>"
"Template for URL key of Product Images","قالب مفتاح URL لصور المنتج"
"Template for Product Images Alt","قالب النص البديل لصور المنتج"
"Template for Product Images Title","قالب عنوان صور المنتج"
"The store can't be indexed when closed to robots and crawlers.","لا يمكن فهرسة المتجر عند إغلاقه أمام الروبوتات وبرامج الزحف."
"The page needs to display a correct title and store description in search results.","يجب أن تعرض الصفحة عنواناً صحيحاً ووصف المتجر في نتائج البحث."
"Unable to run test, the robots.txt file is empty","تعذّر تشغيل الاختبار، ملف robots.txt فارغ"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","احصل على فهم أعمق لعملائك. يمنحك Google Analytics أدوات مجانية لتحليل بيانات عملك في مكان واحد."
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","يرجى تفعيل وحدة Mirasvit_SeoSitemap بتشغيل الأمر التالي: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","نتائج بحث محسّنة تقدم معلومات إضافية للباحثين حول محتوى الصفحة. تستخدم Google ومحركات البحث الأخرى البيانات المنظمة الموجودة في HTML أو Javascript لصفحة الويب لتكوين هذه المقتطفات."
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","استخدام أسماء المنتجات أو متغيرات أخرى كأسماء ملفات الصور أكثر وصفاً لمحركات البحث من استخدام أحرف أو أرقام عشوائية."
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","توفر وسوم alt بديلاً نصياً للصورة لمحركات البحث ومستخدمي قارئات الشاشة للوصول إلى صفحة الويب."
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","عند تعيين خيار ""استخدام وسوم ميتا من المنتجات إذا لم تكن فارغة"" على ""نعم""، سيؤثر ذلك على هذا القالب. اقرأ المزيد"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","عند تعيين خيار ""استخدام وسوم ميتا من الفئات إذا لم تكن فارغة"" على ""نعم""، سيؤثر ذلك على هذا القالب. اقرأ المزيد"
"Blog Data","بيانات المدونة"
"Brand Data","بيانات العلامة التجارية"
"Category Data","بيانات الفئة"
"CMS Page Data","بيانات صفحة CMS"
"Filter Data","بيانات الفلتر"
"Landing Page Data","بيانات الصفحة المقصودة"
"Current Page Data","بيانات الصفحة الحالية"
"Pagination","ترقيم الصفحات"
"Page %1","الصفحة %1"
"Product Data","بيانات المنتج"
"Store Data","بيانات المتجر"
"Reversed by TrailingSlashService","تم عكسه بواسطة TrailingSlashService"
"Auto-generated by TrailingSlashService","تم إنشاؤه تلقائياً بواسطة TrailingSlashService"
"Product ID: %1 Store ID: %2 Url Key: %3","معرّف المنتج: %1 معرّف المتجر: %2 مفتاح URL: %3"
"Already used url key","مفتاح URL مستخدم بالفعل"
"Empty url key","مفتاح URL فارغ"
"Duplicate used url key","مفتاح URL مكرر"
"Updated url key","تم تحديث مفتاح URL"
"Edit","تعديل"
"Delete","حذف"
"Delete item?","حذف العنصر؟"
"Back","رجوع"
"Are you sure you want to do this?","هل أنت متأكد من رغبتك في تنفيذ هذا الإجراء؟"
"Reset","إعادة تعيين"
"Resets input fields values","إعادة تعيين قيم حقول الإدخال"
"Save and continue edit","حفظ ومتابعة التعديل"
"Save","حفظ"
"All store views","جميع عروض المتجر"
"Tests passed.","اجتازت الاختبارات."
"test(s) remaining","اختبار(ات) متبقية"
"Hint","تلميح"
"Solution","الحل"
"here","هنا"
"Import redirects (.csv)","استيراد عمليات إعادة التوجيه (.csv)"
"Import redirects","استيراد عمليات إعادة التوجيه"
"Download example CSV file for redirect import","تنزيل مثال ملف CSV لاستيراد عمليات إعادة التوجيه"
"Example of CSV file","مثال على ملف CSV"
"Export redirects (.csv)","تصدير عمليات إعادة التوجيه (.csv)"
"Export redirects","تصدير عمليات إعادة التوجيه"
"This operation can take a long time.","قد تستغرق هذه العملية وقتاً طويلاً."
"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","سيتم تغيير جميع عناوين URL للفئات. لا يمكن التراجع عن هذا الإجراء. هل تريد تأكيده؟"
"Error during request.","حدث خطأ أثناء الطلب."
"Error during removal of category path.","حدث خطأ أثناء إزالة مسار الفئة."
"Error during processing URLs.","حدث خطأ أثناء معالجة عناوين URL."
"All URLs will be changed. This action cannot be undone. Do you want to confirm it?","سيتم تغيير جميع عناوين URL. لا يمكن التراجع عن هذا الإجراء. هل تريد تأكيده؟"
"Category image for %1","صورة الفئة لـ %1"
"Attention","تنبيه"
"SEO general settings","الإعدادات العامة لـ SEO"
"Canonical settings","إعدادات canonical"
"Configure canonical URLs to prevent duplicate content issues and consolidate ranking signals.","اضبط عناوين canonical URL لتجنب مشاكل المحتوى المكرر وتوحيد إشارات التصنيف."
"Common settings","الإعدادات العامة"
"Control general canonical URL behavior across your store.","تحكّم في السلوك العام لـ canonical URL عبر متجرك."
"Enable canonical URLs","تفعيل عناوين canonical URL"
"Activate canonical URL generation to prevent duplicate content penalties and improve SEO ranking.","فعّل إنشاء canonical URL لتجنب عقوبات المحتوى المكرر وتحسين تصنيف SEO."
"Don't use canonical URLs on pages","لا تستخدم canonical URLs في الصفحات"
"Specify URL patterns where canonical tags should be omitted (one URL per line).","حدد أنماط URL التي يجب حذف وسوم canonical منها (عنوان URL واحد لكل سطر)."
"Add pagination to canonical URLs","إضافة ترقيم الصفحات إلى canonical URLs"
"When enabled, pagination parameters will be included in canonical URLs for paginated content.","عند التفعيل، سيتم تضمين معلمات ترقيم الصفحات في canonical URLs للمحتوى المرقّم."
"Strip store codes from canonicals","إزالة رموز المتجر من canonical URLs"
"Strip store codes from canonical URLs for cleaner URL structure when using multiple store views.","أزل رموز المتجر من canonical URLs للحصول على بنية URL أنظف عند استخدام عروض متجر متعددة."
"Cross-domain canonical URL","canonical URL عبر النطاقات"
"Configure canonical URLs to point to a preferred domain when content exists across multiple domains.","اضبط canonical URLs للإشارة إلى النطاق المفضل عند وجود المحتوى عبر نطاقات متعددة."
"HTTPS URLs for cross-domain canonical","عناوين HTTPS لـ canonical عبر النطاقات"
"Force HTTPS protocol in cross-domain canonical URLs for security and consistency.","فرض بروتوكول HTTPS في canonical URLs عبر النطاقات للأمان والاتساق."
"Product page settings","إعدادات صفحة المنتج"
"Configure canonical URL behavior specifically for product pages.","اضبط سلوك canonical URL خصيصاً لصفحات المنتج."
"Product canonical URL format","تنسيق canonical URL للمنتج"
"Choose between shortest/longest path format for product canonical URLs.","اختر بين تنسيق المسار الأقصر/الأطول لـ canonical URLs للمنتج."
"Canonical tag for child products","وسم canonical للمنتجات الفرعية"
"Define canonical URL behavior for child products within complex product types.","حدد سلوك canonical URL للمنتجات الفرعية ضمن أنواع المنتجات المعقدة."
"Configurable product","منتج قابل للتهيئة"
"Set canonical tag behavior for simple products that are part of configurable products.","اضبط سلوك وسم canonical للمنتجات البسيطة التي تكون جزءاً من المنتجات القابلة للتهيئة."
"Grouped product","منتج مجمّع"
"Set canonical tag behavior for simple products that are part of grouped products.","اضبط سلوك وسم canonical للمنتجات البسيطة التي تكون جزءاً من المنتجات المجمّعة."
"Bundle product","منتج مجموعة"
"Set canonical tag behavior for simple products that are part of bundle products.","اضبط سلوك وسم canonical للمنتجات البسيطة التي تكون جزءاً من منتجات المجموعة."
"Category page settings","إعدادات صفحة الفئة"
"Configure canonical URL behavior specifically for category pages.","اضبط سلوك canonical URL خصيصاً لصفحات الفئة."
"Canonical URL for filtered categories","canonical URL للفئات المفلترة"
"Define how canonical URLs should handle category pages with active filters.","حدد كيفية تعامل canonical URLs مع صفحات الفئة التي تحتوي على فلاتر نشطة."
"Filter inclusion in canonical URL","تضمين الفلاتر في canonical URL"
"Configure which specific filters should be included in canonical URLs.","حدد الفلاتر المحددة التي يجب تضمينها في canonical URLs."
"Enable link rel=""next/prev""","تفعيل link rel=""next/prev"""
"Implement pagination relationship tags to help search engines understand paginated content structure.","طبّق وسوم علاقة ترقيم الصفحات لمساعدة محركات البحث على فهم بنية المحتوى المرقّم."
"Meta Robots settings","إعدادات Meta Robots"
"Control indexing and crawling behavior with Robots meta tags and headers.","تحكّم في سلوك الفهرسة والزحف باستخدام وسوم ميتا Robots والرؤوس."
"Custom robots rules by URL pattern","قواعد Robots مخصصة حسب نمط URL"
"Configure custom Robots meta tag directives for specific URL patterns.","اضبط توجيهات وسم ميتا Robots المخصصة لأنماط URL محددة."
"Robots meta header for HTTPS","رأس ميتا Robots لـ HTTPS"
"Configure X-Robots-Tag header behavior specifically for HTTPS pages.","اضبط سلوك رأس X-Robots-Tag خصيصاً لصفحات HTTPS."
"Alternate and hreflang settings","إعدادات بديلة وhreflang"
"Configure alternate language version indicators for international SEO optimization.","اضبط مؤشرات الإصدار اللغوي البديل لتحسين SEO الدولي."
"Enable alternate and hreflang links","تفعيل الروابط البديلة وhreflang"
"Activate alternate language version tags to help search engines serve the correct language/regional version to users.","فعّل وسوم الإصدار اللغوي البديل لمساعدة محركات البحث على تقديم الإصدار اللغوي/الإقليمي الصحيح للمستخدمين."
"Manual alternate setting","إعداد بديل يدوي"
"Configure specific store relationships for hreflang tag generation.","اضبط علاقات المتجر المحددة لإنشاء وسوم hreflang."
"Hreflang x-default settings","إعدادات Hreflang x-default"
"Specify which store view should be used as the default language fallback.","حدد عرض المتجر الذي يجب استخدامه كاحتياط اللغة الافتراضية."
"Hreflang locale code","رمز اللغة المحلية لـ Hreflang"
"Override the default locale code used in hreflang attributes for this store view.","تجاوز رمز اللغة المحلية الافتراضي المستخدم في سمات hreflang لعرض المتجر هذا."
"Hreflang x-default","Hreflang x-default"
"Designate this website as the default language version when appropriate.","خصّص هذا الموقع كإصدار اللغة الافتراضية عند الاقتضاء."
"Add locale code to hreflang","إضافة رمز اللغة المحلية إلى hreflang"
"Automatically append locale codes to hreflang attributes based on store locale settings.","إضافة رموز اللغة المحلية تلقائياً إلى سمات hreflang بناءً على إعدادات اللغة المحلية للمتجر."
"Simplify category alternate links","تبسيط روابط الفئات البديلة"
"Remove extra parameters from category alternate URLs.","إزالة المعلمات الزائدة من عناوين URL البديلة للفئات."
"Include hreflang links in sitemap","تضمين روابط hreflang في خريطة الموقع"
"Add alternate language indicators to XML sitemaps for improved multi-language SEO.","إضافة مؤشرات اللغة البديلة إلى XML sitemaps لتحسين SEO متعدد اللغات."
"Manage URL redirects to maintain SEO value and improve user experience.","إدارة عمليات إعادة توجيه URL للحفاظ على قيمة SEO وتحسين تجربة المستخدم."
"Trailing slash redirects","إعادة التوجيه بالشرطة المائلة اللاحقة"
"Standardize URL format by enforcing consistent trailing slash usage across the site.","توحيد تنسيق URL بفرض استخدام متسق للشرطة المائلة اللاحقة عبر الموقع."
"Process URLs","معالجة عناوين URL"
"Apply the trailing slash setting to all existing URLs in the database.<br/>Save configuration before pushing the button.","تطبيق إعداد الشرطة المائلة اللاحقة على جميع عناوين URL الموجودة في قاعدة البيانات.<br/>احفظ الإعدادات قبل النقر على الزر."
"Redirect URLs to lowercase","إعادة توجيه عناوين URL إلى أحرف صغيرة"
"Force lowercase URL format to prevent duplicate content from case variations.","فرض تنسيق URL بأحرف صغيرة لمنع المحتوى المكرر من الاختلافات في حالة الأحرف."
"Page types allowed for lowercase redirects","أنواع الصفحات المسموح بها لإعادة التوجيه بالأحرف الصغيرة"
"Specify which page types should be included in lowercase redirection rules.","حدد أنواع الصفحات التي يجب تضمينها في قواعد إعادة التوجيه بالأحرف الصغيرة."
"SEO-friendly URL settings","إعدادات URL صديقة لـ SEO"
"Configure URL structure optimization for better search engine visibility.","اضبط تحسين بنية URL لتحقيق ظهور أفضل في محركات البحث."
"Create shorter category URLs","إنشاء عناوين URL أقصر للفئات"
"Generate shorter, cleaner category URLs by eliminating parent category paths.","إنشاء عناوين URL أقصر وأنظف للفئات بحذف مسارات الفئات الأصلية."
"Apply the parent category path removal to all existing category URLs in the database.<br/>Save configuration before pushing the button.","تطبيق إزالة مسار الفئة الأصلية على جميع عناوين URL للفئات الموجودة في قاعدة البيانات.<br/>احفظ الإعدادات قبل النقر على الزر."
"Product","المنتج"
"URL key template","قالب مفتاح URL"
"Define a structured template for automatic product URL key generation using product attributes.<br/><br/>Example:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>To apply for all products run in ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Additional info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>","حدد قالباً منظماً لإنشاء مفتاح URL للمنتج تلقائياً باستخدام سمات المنتج.<br/><br/>مثال:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>للتطبيق على جميع المنتجات عبر ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>معلومات إضافية:<br/><code>bin/magento mirasvit:seo:product-url-template</code>"
"Function is disabled if current field is empty.","الوظيفة معطّلة إذا كان الحقل الحالي فارغاً."
"Use template for new product URLs","استخدام القالب لعناوين URL للمنتجات الجديدة"
"Automatically generate URL keys based on the template when creating new products.","إنشاء مفاتيح URL تلقائياً بناءً على القالب عند إنشاء منتجات جديدة."
"If enabled, the extension will overwrite the Magento native URL key <br/>","إذا تم التفعيل، ستقوم الإضافة بالكتابة فوق مفتاح URL الأصلي في Magento <br/>"
"Update URLs on visibility change","تحديث عناوين URL عند تغيير الرؤية"
"Regenerate URL keys when product visibility is updated to maintain consistency.","إعادة إنشاء مفاتيح URL عند تحديث رؤية المنتج للحفاظ على الاتساق."
"SEO-friendly product image settings","إعدادات صور المنتج الصديقة لـ SEO"
"Optimize product image filenames and attributes for better image search visibility.","حسّن أسماء ملفات صور المنتج وسماتها لتحقيق ظهور أفضل في البحث عن الصور."
"Enable SEO-friendly image URLs","تفعيل عناوين URL للصور الصديقة لـ SEO"
"Generate descriptive, keyword-rich image filenames for product images.<br><strong>Warning:</strong> This feature may cause significant performance issues when using remote storage (AWS S3, Azure Blob, etc.) due to additional API calls required to check file existence. For stores with remote storage, consider keeping this option disabled or expect increased page load times.","إنشاء أسماء ملفات صور وصفية وغنية بالكلمات المفتاحية لصور المنتج.<br><strong>تحذير:</strong> قد تتسبب هذه الميزة في مشاكل أداء كبيرة عند استخدام التخزين البعيد (AWS S3، Azure Blob، إلخ) بسبب استدعاءات API الإضافية المطلوبة للتحقق من وجود الملف. بالنسبة للمتاجر ذات التخزين البعيد، فكّر في إبقاء هذا الخيار معطلاً أو توقّع زيادة في أوقات تحميل الصفحة."
"Image name template","قالب اسم الصورة"
"Define the pattern for generating SEO-friendly image filenames using product attributes.<br/>If empty, [product_name] will be used.","حدد النمط لإنشاء أسماء ملفات صور صديقة لـ SEO باستخدام سمات المنتج.<br/>إذا كان فارغاً، سيتم استخدام [product_name]."
"Autogenerate image alt and title","إنشاء alt وعنوان الصورة تلقائياً"
"Automatically create descriptive alt and title attributes for product images.","إنشاء سمات alt وعنوان وصفية تلقائياً لصور المنتج."
"Image alt template","قالب النص البديل للصورة"
"Define the pattern for generating image alt text using product attributes.","حدد النمط لإنشاء النص البديل للصورة باستخدام سمات المنتج."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getLabel()","للحصول على القيمة في قالب الصورة (عادةً image_with_borders.phtml)، استخدم $block->getLabel()"
"Image title template","قالب عنوان الصورة"
"Define the pattern for generating image title attributes using product attributes.<br/>If empty, a value from the 'Image alt template' field will be used.","حدد النمط لإنشاء سمات عنوان الصورة باستخدام سمات المنتج.<br/>إذا كان فارغاً، سيتم استخدام قيمة من حقل 'قالب النص البديل للصورة'."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getTitle()","للحصول على القيمة في قالب الصورة (عادةً image_with_borders.phtml)، استخدم $block->getTitle()"
"Product breadcrumbs","مسار التنقل للمنتج"
"Configure product page breadcrumb trail generation to improve navigation and SEO.","اضبط إنشاء مسار التنقل في صفحة المنتج لتحسين التنقل وSEO."
"Appearance","المظهر"
"Define when and how custom breadcrumb trails should appear on product pages.","حدد متى وكيف تظهر مسارات التنقل المخصصة في صفحات المنتج."
"Format","التنسيق"
"Choose between shortest path (highest category level) or longest path (deepest category) for breadcrumb generation.","اختر بين أقصر مسار (أعلى مستوى فئة) أو أطول مسار (أعمق فئة) لإنشاء مسار التنقل."
"Include brand","تضمين العلامة التجارية"
"Add the product's brand as a breadcrumb item in the navigation trail. The brand will appear as a clickable breadcrumb element before the product name.","أضف علامة المنتج التجارية كعنصر في مسار التنقل. ستظهر العلامة التجارية كعنصر قابل للنقر في مسار التنقل قبل اسم المنتج."
"Brand attribute","سمة العلامة التجارية"
"Specify which product attribute contains brand information.","حدد سمة المنتج التي تحتوي على معلومات العلامة التجارية."
"Brand format","تنسيق العلامة التجارية"
"Choose how the brand breadcrumb item appears. ""Brand only"" shows just the brand name. ""Category + Brand"" shows the parent category name followed by the brand name in a single breadcrumb item.","اختر كيفية ظهور عنصر مسار التنقل للعلامة التجارية. تعرض ""العلامة التجارية فقط"" اسم العلامة التجارية فقط. تعرض ""الفئة + العلامة التجارية"" اسم الفئة الأصلية متبوعاً باسم العلامة التجارية في عنصر مسار تنقل واحد."
"Alternate settings","الإعدادات البديلة"
"Open Graph image URL","عنوان URL لصورة Open Graph"
"If empty Open Graph will use logo image URL","إذا كان فارغاً سيستخدم Open Graph عنوان URL لصورة الشعار"
"General information","المعلومات العامة"
"Is active","نشط"
"Canonical URL","canonical URL"
"Visible in store view","مرئي في عرض المتجر"
"Check URL for regular expression","التحقق من URL بالتعبير النظامي"
"In this field use only regular expression. Leave blank to disable.<br/>For example: /orion-two-tone-fitted-jacket/<br/>If URL of the page matches this expression and other conditions are met, the rule will be applied.","في هذا الحقل استخدم التعبيرات النظامية فقط. اتركه فارغاً للتعطيل.<br/>مثال: /orion-two-tone-fitted-jacket/<br/>إذا تطابق URL الصفحة مع هذا التعبير وتحققت الشروط الأخرى، سيتم تطبيق القاعدة."
"Additional","إضافي"
"Sort order","ترتيب الفرز"
"Comments","التعليقات"
"Add canonical rewrite","إضافة إعادة كتابة canonical"
"Change status","تغيير الحالة"
"Delete items","حذف العناصر"
"Are you sure you want to delete the selected items?","هل أنت متأكد من رغبتك في حذف العناصر المحددة؟"
"ID","المعرّف"
"Regular expression","التعبير النظامي"
"Status","الحالة"
"Store view","عرض المتجر"
"Request URL","URL الطلب"
"Target URL","URL الهدف"
"Redirect type","نوع إعادة التوجيه"
"HTTP response status code that will be used when redirecting.","رمز حالة استجابة HTTP الذي سيتم استخدامه عند إعادة التوجيه."
"Redirect only if the request URL can't be found (404)","إعادة التوجيه فقط إذا تعذّر العثور على URL الطلب (404)"
"Request URL and Target URL cannot be the same.","لا يمكن أن يكون URL الطلب و URL الهدف متطابقَين."
"Target URL must be different from Request URL.","يجب أن يختلف URL الهدف عن URL الطلب."
"Auto-redirect for removed products","إعادة توجيه تلقائية للمنتجات المُزالة"
"Automatically redirect the URLs of disabled or deleted products to a relevant active destination instead of returning a 404. Targets resolve in priority order: the product's first active category, then the fallback URL, then the homepage. Generated rules appear in Marketing &#8594; SEO &#8594; Redirects and can be edited or removed.","إعادة توجيه عناوين URL للمنتجات المعطّلة أو المحذوفة تلقائيًا إلى وجهة نشطة ذات صلة بدلاً من إرجاع الخطأ 404. تُحَل الوجهات حسب الأولوية: أول فئة نشطة للمنتج، ثم عنوان URL الاحتياطي، ثم الصفحة الرئيسية. تظهر القواعد المُولّدة في Marketing &#8594; SEO &#8594; Redirects ويمكن تعديلها أو إزالتها."
"Enable auto-redirect on disable","تفعيل إعادة التوجيه التلقائية عند التعطيل"
"Generate a redirect when a product is set to Disabled. Re-enabling the product removes its auto-redirect.","إنشاء إعادة توجيه عند تعيين المنتج إلى معطّل. تؤدي إعادة تفعيل المنتج إلى إزالة إعادة التوجيه التلقائية الخاصة به."
"Enable auto-redirect on delete","تفعيل إعادة التوجيه التلقائية عند الحذف"
"Generate a redirect when a product is deleted, using the product URL captured at delete time.","إنشاء إعادة توجيه عند حذف المنتج، باستخدام عنوان URL للمنتج المُسجّل وقت الحذف."
"Fallback URL","عنوان URL الاحتياطي"
"Destination used when a removed product has no active category. Leave blank to fall through to the homepage.","الوجهة المستخدمة عندما لا يكون للمنتج المُزال فئة نشطة. اتركه فارغًا للانتقال إلى الصفحة الرئيسية."
