"Conditions","Voorwaarden"
"Configure alternate language version indicators for international SEO optimization.","Configureer indicatoren voor alternatieve taalversies voor internationale SEO-optimalisatie."
"Enable alternate and hreflang links","Alternatieve en hreflang-links inschakelen"
"Activate alternate language version tags to help search engines serve the correct language/regional version to users.","Activeer alternatieve taalversietags om zoekmachines te helpen gebruikers de juiste taal-/regionale versie te tonen."
"Manual alternate setting","Handmatige alternatieve instelling"
"Configure specific store relationships for hreflang tag generation.","Configureer specifieke winkelrelaties voor het genereren van hreflang-tags."
"Hreflang x-default settings","Hreflang x-default-instellingen"
"Specify which store view should be used as the default language fallback.","Geef aan welke winkelweergave als standaard taalterugval moet worden gebruikt."
"Hreflang locale code","Hreflang-landinstellingscode"
"Override the default locale code used in hreflang attributes for this store view.","Overschrijf de standaard landinstellingscode die wordt gebruikt in hreflang-attributen voor deze winkelweergave."
"Hreflang x-default","Hreflang x-default"
"Designate this website as the default language version when appropriate.","Wijs deze website indien van toepassing aan als de standaard taalversie."
"Add locale code to hreflang","Landinstellingscode toevoegen aan hreflang"
"Automatically append locale codes to hreflang attributes based on store locale settings.","Voeg automatisch landinstellingscodes toe aan hreflang-attributen op basis van de winkellandinstelling."
"Simplify category alternate links","Alternatieve categorielinks vereenvoudigen"
"Remove extra parameters from category alternate URLs.","Extra parameters verwijderen uit alternatieve categorie-URL's."
"Include hreflang links in sitemap","Hreflang-links opnemen in sitemap"
"Add alternate language indicators to XML sitemaps for improved multi-language SEO.","Voeg alternatieve taalindicatoren toe aan XML-sitemaps voor verbeterde meertalige SEO."
"Manage URL redirects to maintain SEO value and improve user experience.","Beheer URL-doorverwijzingen om SEO-waarde te behouden en de gebruikerservaring te verbeteren."
"Trailing slash redirects","Doorverwijzingen met afsluitende schuine streep"
"Standardize URL format by enforcing consistent trailing slash usage across the site.","Standaardiseer het URL-formaat door consistent gebruik van afsluitende schuine strepen op de hele site af te dwingen."
"Process URLs","URL's verwerken"
"Apply the trailing slash setting to all existing URLs in the database.<br/>Save configuration before pushing the button.","Pas de instelling voor afsluitende schuine streep toe op alle bestaande URL's in de database.<br/>Sla de configuratie op voordat u op de knop drukt."
"Redirect URLs to lowercase","URL's omleiden naar kleine letters"
"Force lowercase URL format to prevent duplicate content from case variations.","Dwing het URL-formaat in kleine letters af om dubbele inhoud door hoofdlettervariaties te voorkomen."
"Page types allowed for lowercase redirects","Paginatypen toegestaan voor doorverwijzingen naar kleine letters"
"Specify which page types should be included in lowercase redirection rules.","Geef aan welke paginatypen moeten worden opgenomen in doorverwijzingsregels voor kleine letters."
"SEO-friendly URL settings","SEO-vriendelijke URL-instellingen"
"Configure URL structure optimization for better search engine visibility.","Configureer URL-structuuroptimalisatie voor betere zoekmachinevisibiliteit."
"Create shorter category URLs","Kortere categorie-URL's aanmaken"
"Generate shorter, cleaner category URLs by eliminating parent category paths.","Genereer kortere, schonere categorie-URL's door bovenliggende categoriepaden te elimineren."
"Apply the parent category path removal to all existing category URLs in the database.<br/>Save configuration before pushing the button.","Pas de verwijdering van het bovenliggende categoriepad toe op alle bestaande categorie-URL's in de database.<br/>Sla de configuratie op voordat u op de knop drukt."
"Product","Product"
"URL key template","URL-sleutelsjabloon"
"Define a structured template for automatic product URL key generation using product attributes.<br/><br/>Example:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>To apply for all products run in ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Additional info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>","Definieer een gestructureerd sjabloon voor automatisch genereren van product-URL-sleutels met behulp van productattributen.<br/><br/>Voorbeeld:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>Voor alle producten toepassen via SSH:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Extra informatie:<br/><code>bin/magento mirasvit:seo:product-url-template</code>"
"Function is disabled if current field is empty.","Functie is uitgeschakeld als het huidige veld leeg is."
"Use template for new product URLs","Sjabloon gebruiken voor nieuwe product-URL's"
"Automatically generate URL keys based on the template when creating new products.","Genereer automatisch URL-sleutels op basis van het sjabloon bij het aanmaken van nieuwe producten."
"If enabled, the extension will overwrite the Magento native URL key <br/>","Indien ingeschakeld, overschrijft de extensie de native Magento URL-sleutel <br/>"
"Update URLs on visibility change","URL's bijwerken bij zichtbaarheidswijziging"
"Regenerate URL keys when product visibility is updated to maintain consistency.","Genereer URL-sleutels opnieuw wanneer de zichtbaarheid van het product wordt bijgewerkt om consistentie te behouden."
"SEO-friendly product image settings","SEO-vriendelijke productafbeeldinginstellingen"
"Optimize product image filenames and attributes for better image search visibility.","Optimaliseer bestandsnamen en attributen van productafbeeldingen voor betere zichtbaarheid in afbeeldingszoekopdrachten."
"Enable SEO-friendly image URLs","SEO-vriendelijke afbeelding-URL's inschakelen"
"Generate descriptive, keyword-rich image filenames for product images.<br><strong>Warning:</strong> This feature may cause significant performance issues when using remote storage (AWS S3, Azure Blob, etc.) due to additional API calls required to check file existence. For stores with remote storage, consider keeping this option disabled or expect increased page load times.","Genereer beschrijvende, trefwoordrijke afbeeldingsbestandsnamen voor productafbeeldingen.<br><strong>Waarschuwing:</strong> Deze functie kan aanzienlijke prestatieproblemen veroorzaken bij gebruik van externe opslag (AWS S3, Azure Blob, etc.) vanwege extra API-aanroepen om bestandsbestaan te controleren. Overweeg voor winkels met externe opslag deze optie uitgeschakeld te houden of verwacht langere laadtijden."
"Image name template","Sjabloon voor afbeeldingsnaam"
"Define the pattern for generating SEO-friendly image filenames using product attributes.<br/>If empty, [product_name] will be used.","Definieer het patroon voor het genereren van SEO-vriendelijke afbeeldingsbestandsnamen met behulp van productattributen.<br/>Als leeg, wordt [product_name] gebruikt."
"Autogenerate image alt and title","Afbeelding alt en titel automatisch genereren"
"Automatically create descriptive alt and title attributes for product images.","Maak automatisch beschrijvende alt- en titelattributen aan voor productafbeeldingen."
"Image alt template","Sjabloon voor alt-tekst van afbeelding"
"Define the pattern for generating image alt text using product attributes.","Definieer het patroon voor het genereren van alt-tekst voor afbeeldingen met behulp van productattributen."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getLabel()","Gebruik $block->getLabel() om de waarde op te halen in het afbeeldingssjabloon (doorgaans image_with_borders.phtml)"
"Image title template","Sjabloon voor afbeeldingstitel"
"Define the pattern for generating image title attributes using product attributes.<br/>If empty, a value from the 'Image alt template' field will be used.","Definieer het patroon voor het genereren van titelattributen voor afbeeldingen met behulp van productattributen.<br/>Als leeg, wordt een waarde uit het veld 'Sjabloon voor alt-tekst van afbeelding' gebruikt."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getTitle()","Gebruik $block->getTitle() om de waarde op te halen in het afbeeldingssjabloon (doorgaans image_with_borders.phtml)"
"Product breadcrumbs","Productbreadcrumbs"
"Configure product page breadcrumb trail generation to improve navigation and SEO.","Configureer het genereren van breadcrumbpaden voor productpagina's om navigatie en SEO te verbeteren."
"Appearance","Weergave"
"Define when and how custom breadcrumb trails should appear on product pages.","Definieer wanneer en hoe aangepaste breadcrumbpaden op productpagina's moeten verschijnen."
"Format","Formaat"
"Choose between shortest path (highest category level) or longest path (deepest category) for breadcrumb generation.","Kies tussen het kortste pad (hoogste categorieniveau) of het langste pad (diepste categorie) voor het genereren van breadcrumbs."
"Include brand","Merk opnemen"
"Add the product's brand as a breadcrumb item in the navigation trail. The brand will appear as a clickable breadcrumb element before the product name.","Voeg het merk van het product toe als breadcrumb-item in het navigatiepad. Het merk verschijnt als een klikbaar breadcrumb-element vóór de productnaam."
"Brand attribute","Merkattribuut"
"Specify which product attribute contains brand information.","Geef aan welk productattribuut merkinformatie bevat."
"Brand format","Merkformaat"
"Choose how the brand breadcrumb item appears. ""Brand only"" shows just the brand name. ""Category + Brand"" shows the parent category name followed by the brand name in a single breadcrumb item.","Kies hoe het merk-breadcrumb-item wordt weergegeven. ""Alleen merk"" toont alleen de merknaam. ""Categorie + Merk"" toont de naam van de bovenliggende categorie gevolgd door de merknaam in één breadcrumb-item."
"Alternate settings","Alternatieve instellingen"
"Open Graph image URL","Open Graph-afbeelding-URL"
"If empty Open Graph will use logo image URL","Als leeg, gebruikt Open Graph de logo-afbeelding-URL"
"General information","Algemene informatie"
"Is active","Is actief"
"Canonical URL","Canonieke URL"
"Visible in store view","Zichtbaar in winkelweergave"
"Check URL for regular expression","URL controleren op reguliere expressie"
"In this field use only regular expression. Leave blank to disable.<br/>For example: /orion-two-tone-fitted-jacket/<br/>If URL of the page matches this expression and other conditions are met, the rule will be applied.","Gebruik in dit veld alleen reguliere expressies. Leeg laten om uit te schakelen.<br/>Bijvoorbeeld: /orion-two-tone-fitted-jacket/<br/>Als de URL van de pagina overeenkomt met deze expressie en aan andere voorwaarden wordt voldaan, wordt de regel toegepast."
"Additional","Extra"
"Sort order","Sorteervolgorde"
"Comments","Opmerkingen"
"Add canonical rewrite","Canonieke herschrijving toevoegen"
"Change status","Status wijzigen"
"Delete items","Items verwijderen"
"Are you sure you want to delete the selected items?","Weet u zeker dat u de geselecteerde items wilt verwijderen?"
"ID","ID"
"Regular expression","Reguliere expressie"
"Status","Status"
"Store view","Winkelweergave"
"Request URL","Aanvraag-URL"
"Target URL","Doel-URL"
"Redirect type","Doorverwijzingstype"
"HTTP response status code that will be used when redirecting.","HTTP-antwoordstatuscode die wordt gebruikt bij doorverwijzing."
"Redirect only if the request URL can't be found (404)","Alleen doorverwijzen als de aanvraag-URL niet kan worden gevonden (404)"
"Request URL and Target URL cannot be the same.","Aanvraag-URL en Doel-URL mogen niet hetzelfde zijn."
"Target URL must be different from Request URL.","Doel-URL moet afwijken van de Aanvraag-URL."
"Auto-redirect for removed products","Automatische omleiding voor verwijderde producten"
"Automatically redirect the URLs of disabled or deleted products to a relevant active destination instead of returning a 404. Targets resolve in priority order: the product's first active category, then the fallback URL, then the homepage. Generated rules appear in Marketing &#8594; SEO &#8594; Redirects and can be edited or removed.","Leidt de URL's van uitgeschakelde of verwijderde producten automatisch om naar een relevante actieve bestemming in plaats van een 404 terug te geven. Bestemmingen worden in volgorde van prioriteit bepaald: de eerste actieve categorie van het product, vervolgens de fallback-URL en ten slotte de startpagina. Gegenereerde regels verschijnen in Marketing &#8594; SEO &#8594; Redirects en kunnen worden bewerkt of verwijderd."
"Enable auto-redirect on disable","Automatische omleiding bij uitschakelen inschakelen"
"Generate a redirect when a product is set to Disabled. Re-enabling the product removes its auto-redirect.","Genereert een omleiding wanneer een product op Uitgeschakeld wordt gezet. Het opnieuw inschakelen van het product verwijdert de bijbehorende automatische omleiding."
"Enable auto-redirect on delete","Automatische omleiding bij verwijderen inschakelen"
"Generate a redirect when a product is deleted, using the product URL captured at delete time.","Genereert een omleiding wanneer een product wordt verwijderd, met gebruik van de product-URL die op het moment van verwijdering is vastgelegd."
"Fallback URL","Fallback-URL"
"Destination used when a removed product has no active category. Leave blank to fall through to the homepage.","Bestemming die wordt gebruikt wanneer een verwijderd product geen actieve categorie heeft. Laat leeg om door te verwijzen naar de startpagina."
"301 preserves link equity (recommended); 302/307 are temporary.","301 behoudt de linkwaarde (aanbevolen); 302/307 zijn tijdelijk."
"Source","Bron"
"Manual","Handmatig"
"Auto","Automatisch"
"Auto-generated for removed product #%1","Automatisch gegenereerd voor verwijderd product #%1"
