"Conditions","Умови"
"There is no sample file for this entity.","Для цієї сутності немає зразкового файлу."
"%1 records were inserted or updated","%1 записів вставлено або оновлено"
"URLs have been processed.","URL-адреси оброблено."
"Something went wrong.","Щось пішло не так."
"Missing canonical URL.","Відсутній canonical URL."
"%1 canonical on the page.","%1 canonical на сторінці."
"Canonical created not using Mirasvit SEO extension.","Canonical створено не за допомогою розширення Mirasvit SEO."
"There is no H1 tag on the page.","На сторінці немає тегу H1."
"One H1 tag","Один тег H1"
"%1 H1 tags.","%1 тег(ів) H1."
"Length = %1. Recommended length up to %2 characters.","Довжина = %1. Рекомендована довжина — до %2 символів."
"Meta title not defined.","Мета-заголовок не визначено."
"Meta description not defined.","Мета-опис не визначено."
"Meta keywords not defined.","Мета-ключові слова не визначено."
"Some alt tags are empty or missing.","Деякі alt-теги порожні або відсутні."
"Total number of images","Загальна кількість зображень"
"Images without alt attribute","Зображення без атрибута alt"
"Images with empty alt attribute","Зображення з порожнім атрибутом alt"
"%1 images with correct alt attribute.","%1 зображень з правильним атрибутом alt."
"Conditions combination","Комбінація умов"
"Categories and layered navigation","Категорії та фасетна навігація"
"Products","Товари"
"Product attributes","Атрибути товару"
"Products additional","Додаткові параметри товарів"
"Attribute set","Набір атрибутів"
"Category","Категорія"
"Created (days ago)","Створено (днів тому)"
"Updated (days ago)","Оновлено (днів тому)"
"Quantity","Кількість"
"Price - Final Price","Ціна — Підсумкова ціна"
"Percent Discount","Знижка у відсотках"
"Open Chooser","Відкрити вибірник"
"Disabled","Вимкнено"
"Enabled for all websites","Увімкнено для всіх сайтів"
"Configure","Налаштувати"
"Add automatically","Додати автоматично"
"Add all selected options","Додати всі вибрані опції"
"Add if only one option selected","Додати, якщо вибрана лише одна опція"
"Without filters","Без фільтрів"
"With all filters","З усіма фільтрами"
"Default","За замовчуванням"
"Parent product","Батьківський товар"
"Use Robots meta header","Використовувати Robots meta header"
"Enabled","Увімкнено"
"Enabled if cookie exist","Увімкнено, якщо є cookie"
"Right","Праворуч"
"Left","Ліворуч"
"Active","Активний"
"Inactive","Неактивний"
"Don't change","Не змінювати"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","Спочатку за замовчуванням"
"Custom","Власний"
"Brand only","Лише бренд"
"Category + Brand","Категорія + Бренд"
"Direct link","Пряме посилання"
"Shortest path","Найкоротший шлях"
"Longest path","Найдовший шлях"
"Long","Довгий"
"Short","Короткий"
"Include categories path to Product URLs","Включати шлях категорій до URL товарів"
"Don't include categories path to Product URLs","Не включати шлях категорій до URL товарів"
"301 Moved permanently","301 Переміщено назавжди"
"302 Object moved","302 Об'єкт переміщено"
"307 Temporary redirect","307 Тимчасове перенаправлення"
"Total number of products with reviews","Загальна кількість товарів з відгуками"
"Total number of reviews","Загальна кількість відгуків"
"Redirect to the same page with trailing slash","Перенаправляти на ту саму сторінку з кінцевим слешем"
"Redirect to the same page without trailing slash","Перенаправляти на ту саму сторінку без кінцевого слеша"
"Parent category path has been removed.","Шлях батьківської категорії видалено."
"Alternate Settings","Налаштування alternate"
"Alternate group","Група alternate"
"Open Graph Image Url","URL зображення Open Graph"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","Неправильне значення коду локалі hreflang: ""%1"". Необхідно використовувати <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">формат ISO 3166-1 Alpha 2</a>"
"Template for URL key of Product Images","Шаблон ключа URL для зображень товарів"
"Template for Product Images Alt","Шаблон alt для зображень товарів"
"Template for Product Images Title","Шаблон title для зображень товарів"
"The store can't be indexed when closed to robots and crawlers.","Магазин не може бути проіндексований, якщо він закритий для роботів і краулерів."
"The page needs to display a correct title and store description in search results.","Сторінка має відображати правильний заголовок і опис магазину в результатах пошуку."
"Unable to run test, the robots.txt file is empty","Неможливо запустити тест — файл robots.txt порожній"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","Отримайте глибше розуміння своїх клієнтів. Google Analytics надає безкоштовні інструменти для аналізу даних вашого бізнесу в одному місці."
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","Будь ласка, увімкніть модуль Mirasvit_SeoSitemap, виконавши таку команду: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","Розширені результати пошуку, що надають користувачам додаткову інформацію про вміст сторінки. Google та інші пошукові системи використовують структуровані дані, що містяться в HTML або JavaScript веб-сторінки, для формування цих сніпетів."
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","Використання назв товарів або інших змінних як імен файлів зображень є більш описовим для пошукових систем, ніж використання випадкових символів або цифр."
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","Alt-теги надають текстову альтернативу зображенню для пошукових систем і тих, хто використовує програми зчитування з екрана."
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Коли параметр ""Використовувати мета-теги товарів, якщо вони не порожні"" встановлено на ""Так"", це вплине на цей шаблон. Детальніше"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Коли параметр ""Використовувати мета-теги категорій, якщо вони не порожні"" встановлено на ""Так"", це вплине на цей шаблон. Детальніше"
"Blog Data","Дані блогу"
"Brand Data","Дані бренду"
"Category Data","Дані категорії"
"CMS Page Data","Дані CMS-сторінки"
"Filter Data","Дані фільтра"
"Landing Page Data","Дані лендінгової сторінки"
"Current Page Data","Дані поточної сторінки"
"Pagination","Пагінація"
"Page %1","Сторінка %1"
"Product Data","Дані товару"
"Store Data","Дані магазину"
"Reversed by TrailingSlashService","Скасовано TrailingSlashService"
"Auto-generated by TrailingSlashService","Автоматично згенеровано TrailingSlashService"
"Product ID: %1 Store ID: %2 Url Key: %3","ID товару: %1 ID магазину: %2 Ключ URL: %3"
"Already used url key","Ключ URL вже використовується"
"Empty url key","Порожній ключ URL"
"Duplicate used url key","Дублюючий ключ URL"
"Updated url key","Ключ URL оновлено"
"Edit","Редагувати"
"Delete","Видалити"
"Delete item?","Видалити елемент?"
"Back","Назад"
"Are you sure you want to do this?","Ви впевнені, що хочете це зробити?"
"Reset","Скинути"
"Resets input fields values","Скидає значення полів введення"
"Save and continue edit","Зберегти та продовжити редагування"
"Save","Зберегти"
"All store views","Усі представлення магазину"
"Tests passed.","Тести пройдено."
"test(s) remaining","тест(ів) залишилось"
"Hint","Підказка"
"Solution","Рішення"
"here","тут"
"Import redirects (.csv)","Імпортувати перенаправлення (.csv)"
"Import redirects","Імпортувати перенаправлення"
"Download example CSV file for redirect import","Завантажити приклад CSV-файлу для імпорту перенаправлень"
"Example of CSV file","Приклад CSV-файлу"
"Export redirects (.csv)","Експортувати перенаправлення (.csv)"
"Export redirects","Експортувати перенаправлення"
"This operation can take a long time.","Ця операція може зайняти тривалий час."
"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","Усі URL категорій будуть змінені. Цю дію не можна скасувати. Ви хочете підтвердити?"
"Error during request.","Помилка під час запиту."
"Error during removal of category path.","Помилка під час видалення шляху категорії."
"Error during processing URLs.","Помилка під час обробки URL."
"All URLs will be changed. This action cannot be undone. Do you want to confirm it?","Усі URL будуть змінені. Цю дію не можна скасувати. Ви хочете підтвердити?"
"Category image for %1","Зображення категорії для %1"
"Attention","Увага"
"SEO general settings","Загальні SEO-налаштування"
"Canonical settings","Налаштування canonical"
"Configure canonical URLs to prevent duplicate content issues and consolidate ranking signals.","Налаштуйте canonical URL для запобігання проблемам з дублюванням контенту та консолідації сигналів ранжування."
"Common settings","Загальні налаштування"
"Control general canonical URL behavior across your store.","Керуйте загальною поведінкою canonical URL у вашому магазині."
"Enable canonical URLs","Увімкнути canonical URL"
"Activate canonical URL generation to prevent duplicate content penalties and improve SEO ranking.","Активуйте генерацію canonical URL для запобігання штрафам за дублювання контенту та покращення SEO-рейтингу."
"Don't use canonical URLs on pages","Не використовувати canonical URL на сторінках"
"Specify URL patterns where canonical tags should be omitted (one URL per line).","Вкажіть шаблони URL, де теги canonical мають бути пропущені (по одному URL на рядок)."
"Add pagination to canonical URLs","Додати пагінацію до canonical URL"
"When enabled, pagination parameters will be included in canonical URLs for paginated content.","Якщо увімкнено, параметри пагінації будуть включені в canonical URL для сторінкового контенту."
"Strip store codes from canonicals","Видаляти коди магазинів з canonical"
"Strip store codes from canonical URLs for cleaner URL structure when using multiple store views.","Видаляйте коди магазинів з canonical URL для більш чіткої структури URL при використанні кількох представлень магазину."
"Cross-domain canonical URL","Крос-доменний canonical URL"
"Configure canonical URLs to point to a preferred domain when content exists across multiple domains.","Налаштуйте canonical URL для вказівки на бажаний домен, коли контент існує на кількох доменах."
"HTTPS URLs for cross-domain canonical","HTTPS URL для крос-доменного canonical"
"Force HTTPS protocol in cross-domain canonical URLs for security and consistency.","Примусово використовуйте протокол HTTPS у крос-доменних canonical URL для безпеки та узгодженості."
"Product page settings","Налаштування сторінки товару"
"Configure canonical URL behavior specifically for product pages.","Налаштуйте поведінку canonical URL спеціально для сторінок товарів."
"Product canonical URL format","Формат canonical URL товару"
"Choose between shortest/longest path format for product canonical URLs.","Виберіть формат найкоротшого/найдовшого шляху для canonical URL товарів."
"Canonical tag for child products","Тег canonical для дочірніх товарів"
"Define canonical URL behavior for child products within complex product types.","Визначте поведінку canonical URL для дочірніх товарів у складних типах товарів."
"Configurable product","Конфігурований товар"
"Set canonical tag behavior for simple products that are part of configurable products.","Задайте поведінку тегу canonical для простих товарів, що є частиною конфігурованих товарів."
"Grouped product","Згрупований товар"
"Set canonical tag behavior for simple products that are part of grouped products.","Задайте поведінку тегу canonical для простих товарів, що є частиною згрупованих товарів."
"Bundle product","Пакетний товар"
"Set canonical tag behavior for simple products that are part of bundle products.","Задайте поведінку тегу canonical для простих товарів, що є частиною пакетних товарів."
"Category page settings","Налаштування сторінки категорії"
"Configure canonical URL behavior specifically for category pages.","Налаштуйте поведінку canonical URL спеціально для сторінок категорій."
"Canonical URL for filtered categories","Canonical URL для відфільтрованих категорій"
"Define how canonical URLs should handle category pages with active filters.","Визначте, як canonical URL мають обробляти сторінки категорій з активними фільтрами."
"Filter inclusion in canonical URL","Включення фільтрів у canonical URL"
"Configure which specific filters should be included in canonical URLs.","Налаштуйте, які конкретні фільтри мають включатися в canonical URL."
"Enable link rel=""next/prev""","Увімкнути link rel=""next/prev"""
"Implement pagination relationship tags to help search engines understand paginated content structure.","Впровадьте теги зв'язку пагінації, щоб допомогти пошуковим системам зрозуміти структуру сторінкового контенту."
"Meta Robots settings","Налаштування Meta Robots"
"Control indexing and crawling behavior with Robots meta tags and headers.","Керуйте поведінкою індексування та сканування за допомогою мета-тегів і заголовків Robots."
"Custom robots rules by URL pattern","Власні правила robots за шаблоном URL"
"Configure custom Robots meta tag directives for specific URL patterns.","Налаштуйте власні директиви мета-тегу Robots для конкретних шаблонів URL."
"Robots meta header for HTTPS","Robots meta header для HTTPS"
"Configure X-Robots-Tag header behavior specifically for HTTPS pages.","Налаштуйте поведінку заголовка X-Robots-Tag спеціально для HTTPS-сторінок."
"Alternate and hreflang settings","Налаштування alternate та hreflang"
"Configure alternate language version indicators for international SEO optimization.","Налаштуйте індикатори альтернативних мовних версій для міжнародної SEO-оптимізації."
"Enable alternate and hreflang links","Увімкнути alternate та hreflang посилання"
"Activate alternate language version tags to help search engines serve the correct language/regional version to users.","Активуйте теги альтернативних мовних версій, щоб допомогти пошуковим системам показувати користувачам правильну мовну/регіональну версію."
"Manual alternate setting","Ручне налаштування alternate"
"Configure specific store relationships for hreflang tag generation.","Налаштуйте конкретні зв'язки між магазинами для генерації тегів hreflang."
"Hreflang x-default settings","Налаштування hreflang x-default"
"Specify which store view should be used as the default language fallback.","Вкажіть, яке представлення магазину має використовуватися як мовний fallback за замовчуванням."
"Hreflang locale code","Код локалі hreflang"
"Override the default locale code used in hreflang attributes for this store view.","Перевизначте код локалі за замовчуванням, що використовується в атрибутах hreflang для цього представлення магазину."
"Hreflang x-default","Hreflang x-default"
"Designate this website as the default language version when appropriate.","Позначте цей сайт як версію мови за замовчуванням, якщо це доречно."
"Add locale code to hreflang","Додати код локалі до hreflang"
"Automatically append locale codes to hreflang attributes based on store locale settings.","Автоматично додавайте коди локалей до атрибутів hreflang на основі налаштувань локалі магазину."
"Simplify category alternate links","Спростити alternate посилання для категорій"
"Remove extra parameters from category alternate URLs.","Видаліть зайві параметри з alternate URL категорій."
"Include hreflang links in sitemap","Включати hreflang посилання в карту сайту"
"Add alternate language indicators to XML sitemaps for improved multi-language SEO.","Додайте індикатори альтернативних мов до XML-карт сайту для покращення багатомовного SEO."
"Manage URL redirects to maintain SEO value and improve user experience.","Керуйте перенаправленнями URL для збереження SEO-цінності та покращення досвіду користувачів."
"Trailing slash redirects","Перенаправлення кінцевого слеша"
"Standardize URL format by enforcing consistent trailing slash usage across the site.","Стандартизуйте формат URL, забезпечуючи послідовне використання кінцевого слеша на всьому сайті."
"Process URLs","Обробити URL"
"Apply the trailing slash setting to all existing URLs in the database.<br/>Save configuration before pushing the button.","Застосуйте налаштування кінцевого слеша до всіх існуючих URL в базі даних.<br/>Збережіть конфігурацію перед натисканням кнопки."
"Redirect URLs to lowercase","Перенаправляти URL до нижнього регістру"
"Force lowercase URL format to prevent duplicate content from case variations.","Примусово використовуйте URL у нижньому регістрі, щоб уникнути дублювання контенту через варіації регістру."
"Page types allowed for lowercase redirects","Типи сторінок, для яких дозволені перенаправлення до нижнього регістру"
"Specify which page types should be included in lowercase redirection rules.","Вкажіть, які типи сторінок мають включатися в правила перенаправлення до нижнього регістру."
"SEO-friendly URL settings","Налаштування SEO-оптимізованих URL"
"Configure URL structure optimization for better search engine visibility.","Налаштуйте оптимізацію структури URL для кращої видимості в пошукових системах."
"Create shorter category URLs","Створити коротші URL категорій"
"Generate shorter, cleaner category URLs by eliminating parent category paths.","Генеруйте коротші та чистіші URL категорій, усуваючи шляхи батьківських категорій."
"Apply the parent category path removal to all existing category URLs in the database.<br/>Save configuration before pushing the button.","Застосуйте видалення шляху батьківської категорії до всіх існуючих URL категорій в базі даних.<br/>Збережіть конфігурацію перед натисканням кнопки."
"Product","Товар"
"URL key template","Шаблон ключа URL"
"Define a structured template for automatic product URL key generation using product attributes.<br/><br/>Example:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>To apply for all products run in ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Additional info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>","Визначте структурований шаблон для автоматичної генерації ключів URL товарів з використанням атрибутів товару.<br/><br/>Приклад:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>Для застосування до всіх товарів виконайте через ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Додаткова інформація:<br/><code>bin/magento mirasvit:seo:product-url-template</code>"
"Function is disabled if current field is empty.","Функція вимкнена, якщо поточне поле порожнє."
"Use template for new product URLs","Використовувати шаблон для нових URL товарів"
"Automatically generate URL keys based on the template when creating new products.","Автоматично генеруйте ключі URL на основі шаблону при створенні нових товарів."
"If enabled, the extension will overwrite the Magento native URL key <br/>","Якщо увімкнено, розширення перезапише нативний ключ URL Magento <br/>"
"Update URLs on visibility change","Оновлювати URL при зміні видимості"
"Regenerate URL keys when product visibility is updated to maintain consistency.","Перегенеруйте ключі URL при оновленні видимості товару для підтримки узгодженості."
"SEO-friendly product image settings","Налаштування SEO-оптимізованих зображень товарів"
"Optimize product image filenames and attributes for better image search visibility.","Оптимізуйте імена файлів зображень товарів та їх атрибути для кращої видимості в пошуку зображень."
"Enable SEO-friendly image URLs","Увімкнути SEO-оптимізовані URL зображень"
"Generate descriptive, keyword-rich image filenames for product images.<br><strong>Warning:</strong> This feature may cause significant performance issues when using remote storage (AWS S3, Azure Blob, etc.) due to additional API calls required to check file existence. For stores with remote storage, consider keeping this option disabled or expect increased page load times.","Генеруйте описові, насичені ключовими словами імена файлів зображень для товарів.<br><strong>Увага:</strong> Ця функція може спричинити суттєві проблеми з продуктивністю при використанні віддаленого сховища (AWS S3, Azure Blob тощо) через додаткові API-запити для перевірки існування файлів. Для магазинів з віддаленим сховищем розгляньте можливість залишити цю опцію вимкненою або очікуйте збільшення часу завантаження сторінок."
"Image name template","Шаблон імені зображення"
"Define the pattern for generating SEO-friendly image filenames using product attributes.<br/>If empty, [product_name] will be used.","Визначте шаблон для генерації SEO-оптимізованих імен файлів зображень з використанням атрибутів товару.<br/>Якщо порожньо, буде використано [product_name]."
"Autogenerate image alt and title","Автоматично генерувати alt і title зображень"
"Automatically create descriptive alt and title attributes for product images.","Автоматично створюйте описові атрибути alt і title для зображень товарів."
"Image alt template","Шаблон alt зображення"
"Define the pattern for generating image alt text using product attributes.","Визначте шаблон для генерації alt-тексту зображень з використанням атрибутів товару."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getLabel()","Щоб отримати значення в шаблоні зображення (зазвичай image_with_borders.phtml), використовуйте $block->getLabel()"
"Image title template","Шаблон title зображення"
"Define the pattern for generating image title attributes using product attributes.<br/>If empty, a value from the 'Image alt template' field will be used.","Визначте шаблон для генерації атрибутів title зображень з використанням атрибутів товару.<br/>Якщо порожньо, буде використано значення з поля 'Шаблон alt зображення'."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getTitle()","Щоб отримати значення в шаблоні зображення (зазвичай image_with_borders.phtml), використовуйте $block->getTitle()"
"Product breadcrumbs","Хлібні крихти товару"
"Configure product page breadcrumb trail generation to improve navigation and SEO.","Налаштуйте генерацію хлібних крихт на сторінках товарів для покращення навігації та SEO."
"Appearance","Зовнішній вигляд"
"Define when and how custom breadcrumb trails should appear on product pages.","Визначте, коли і як власні хлібні крихти мають відображатися на сторінках товарів."
"Format","Формат"
"Choose between shortest path (highest category level) or longest path (deepest category) for breadcrumb generation.","Виберіть між найкоротшим шляхом (найвищий рівень категорії) або найдовшим шляхом (найглибша категорія) для генерації хлібних крихт."
"Include brand","Включити бренд"
"Add the product's brand as a breadcrumb item in the navigation trail. The brand will appear as a clickable breadcrumb element before the product name.","Додайте бренд товару як елемент хлібних крихт у навігаційному ланцюжку. Бренд відображатиметься як клікабельний елемент перед назвою товару."
"Brand attribute","Атрибут бренду"
"Specify which product attribute contains brand information.","Вкажіть, який атрибут товару містить інформацію про бренд."
"Brand format","Формат бренду"
"Choose how the brand breadcrumb item appears. ""Brand only"" shows just the brand name. ""Category + Brand"" shows the parent category name followed by the brand name in a single breadcrumb item.","Виберіть, як відображається елемент хлібних крихт з брендом. ""Лише бренд"" показує лише назву бренду. ""Категорія + Бренд"" показує назву батьківської категорії, а потім назву бренду в одному елементі хлібних крихт."
"Alternate settings","Налаштування alternate"
"Open Graph image URL","URL зображення Open Graph"
"If empty Open Graph will use logo image URL","Якщо порожньо, Open Graph використовуватиме URL зображення логотипу"
"General information","Загальна інформація"
"Is active","Активний"
"Canonical URL","Canonical URL"
"Visible in store view","Видимий у представленні магазину"
"Check URL for regular expression","Перевірити URL за регулярним виразом"
"In this field use only regular expression. Leave blank to disable.<br/>For example: /orion-two-tone-fitted-jacket/<br/>If URL of the page matches this expression and other conditions are met, the rule will be applied.","У цьому полі використовуйте лише регулярний вираз. Залиште порожнім для відключення.<br/>Наприклад: /orion-two-tone-fitted-jacket/<br/>Якщо URL сторінки відповідає цьому виразу і інші умови виконані, правило буде застосовано."
"Additional","Додатково"
"Sort order","Порядок сортування"
"Comments","Коментарі"
"Add canonical rewrite","Додати перезапис canonical"
"Change status","Змінити статус"
"Delete items","Видалити елементи"
"Are you sure you want to delete the selected items?","Ви впевнені, що хочете видалити вибрані елементи?"
"ID","ID"
"Regular expression","Регулярний вираз"
"Status","Статус"
"Store view","Представлення магазину"
"Request URL","URL запиту"
"Target URL","Цільовий URL"
"Redirect type","Тип перенаправлення"
"HTTP response status code that will be used when redirecting.","HTTP-код статусу відповіді, який буде використовуватися при перенаправленні."
"Redirect only if the request URL can't be found (404)","Перенаправляти лише якщо URL запиту не знайдено (404)"
"Request URL and Target URL cannot be the same.","URL запиту та цільовий URL не можуть збігатися."
"Target URL must be different from Request URL.","Цільовий URL має відрізнятися від URL запиту."
"Auto-redirect for removed products","Автоматичне перенаправлення для видалених товарів"
"Automatically redirect the URLs of disabled or deleted products to a relevant active destination instead of returning a 404. Targets resolve in priority order: the product's first active category, then the fallback URL, then the homepage. Generated rules appear in Marketing &#8594; SEO &#8594; Redirects and can be edited or removed.","Автоматично перенаправляє URL-адреси вимкнених або видалених товарів на відповідне активне призначення замість повернення помилки 404. Призначення визначаються за пріоритетом: перша активна категорія товару, потім резервна URL-адреса, а потім головна сторінка. Згенеровані правила відображаються в Marketing &#8594; SEO &#8594; Redirects, і їх можна редагувати або видаляти."
"Enable auto-redirect on disable","Увімкнути автоматичне перенаправлення під час вимкнення"
"Generate a redirect when a product is set to Disabled. Re-enabling the product removes its auto-redirect.","Створює перенаправлення, коли товар встановлено як Вимкнено. Повторне ввімкнення товару видаляє його автоматичне перенаправлення."
"Enable auto-redirect on delete","Увімкнути автоматичне перенаправлення під час видалення"
"Generate a redirect when a product is deleted, using the product URL captured at delete time.","Створює перенаправлення під час видалення товару, використовуючи URL-адресу товару, зафіксовану на момент видалення."
"Fallback URL","Резервна URL-адреса"
"Destination used when a removed product has no active category. Leave blank to fall through to the homepage.","Призначення, яке використовується, коли видалений товар не має активної категорії. Залиште порожнім для перенаправлення на головну сторінку."
"301 preserves link equity (recommended); 302/307 are temporary.","301 зберігає вагу посилань (рекомендовано); 302/307 є тимчасовими."
"Source","Джерело"
"Manual","Вручну"
"Auto","Автоматично"
"Auto-generated for removed product #%1","Згенеровано автоматично для видаленого товару #%1"
