"Conditions","Podmínky"
"302 Object moved","302 Objekt přesunut"
"307 Temporary redirect","307 Dočasné přesměrování"
"Total number of products with reviews","Celkový počet produktů s recenzemi"
"Total number of reviews","Celkový počet recenzí"
"Redirect to the same page with trailing slash","Přesměrovat na stejnou stránku s koncovým lomítkem"
"Redirect to the same page without trailing slash","Přesměrovat na stejnou stránku bez koncového lomítka"
"Parent category path has been removed.","Cesta nadřazené kategorie byla odstraněna."
"Alternate Settings","Nastavení alternate"
"Alternate group","Skupina alternate"
"Open Graph Image Url","URL obrázku Open Graph"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","Nesprávná hodnota kódu lokality hreflang: ""%1"". Je nutné použít <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">formát ISO 3166-1 Alpha 2</a>"
"Template for URL key of Product Images","Šablona klíče URL pro obrázky produktů"
"Template for Product Images Alt","Šablona alt pro obrázky produktů"
"Template for Product Images Title","Šablona title pro obrázky produktů"
"The store can't be indexed when closed to robots and crawlers.","Obchod nemůže být indexován, pokud je uzavřen pro roboty a prohledávače."
"The page needs to display a correct title and store description in search results.","Stránka musí zobrazovat správný titulek a popis obchodu ve výsledcích vyhledávání."
"Unable to run test, the robots.txt file is empty","Nelze spustit test — soubor robots.txt je prázdný"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","Získejte hlubší porozumění svým zákazníkům. Google Analytics vám poskytuje bezplatné nástroje potřebné k analýze dat vašeho podnikání na jednom místě."
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","Aktivujte prosím modul Mirasvit_SeoSitemap spuštěním následujícího příkazu: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","Rozšířené výsledky vyhledávání poskytující uživatelům doplňující informace o obsahu stránky. Google a další vyhledávače používají strukturovaná data obsažená v HTML nebo JavaScriptu webové stránky k vytváření těchto snippetů."
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","Použití názvů produktů nebo jiných proměnných jako názvů souborů obrázků je pro vyhledávače popisnější než použití náhodných znaků nebo čísel."
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","Alt tagy poskytují textovou alternativu obrázku pro vyhledávače a uživatele používající čtečky obrazovky."
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Pokud je možnost ""Použít meta tagy produktů, pokud nejsou prázdné"" nastavena na ""Ano"", ovlivní to tuto šablonu. Přečtěte si více"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Pokud je možnost ""Použít meta tagy kategorií, pokud nejsou prázdné"" nastavena na ""Ano"", ovlivní to tuto šablonu. Přečtěte si více"
"Blog Data","Data blogu"
"Brand Data","Data značky"
"Category Data","Data kategorie"
"CMS Page Data","Data CMS stránky"
"Filter Data","Data filtru"
"Landing Page Data","Data vstupní stránky"
"Current Page Data","Data aktuální stránky"
"Pagination","Stránkování"
"Page %1","Stránka %1"
"Product Data","Data produktu"
"Store Data","Data obchodu"
"Reversed by TrailingSlashService","Stornováno TrailingSlashService"
"Auto-generated by TrailingSlashService","Automaticky generováno TrailingSlashService"
"Product ID: %1 Store ID: %2 Url Key: %3","ID produktu: %1 ID obchodu: %2 Klíč URL: %3"
"Already used url key","Klíč URL je již použit"
"Empty url key","Prázdný klíč URL"
"Duplicate used url key","Duplicitní klíč URL"
"Updated url key","Klíč URL aktualizován"
"Edit","Upravit"
"Delete","Smazat"
"Delete item?","Smazat položku?"
"Back","Zpět"
"Are you sure you want to do this?","Opravdu to chcete provést?"
"Reset","Resetovat"
"Resets input fields values","Resetuje hodnoty vstupních polí"
"Save and continue edit","Uložit a pokračovat v úpravách"
"Save","Uložit"
"All store views","Všechna zobrazení obchodu"
"Tests passed.","Testy prošly."
"test(s) remaining","zbývající test(y)"
"Hint","Nápověda"
"Solution","Řešení"
"here","zde"
"Import redirects (.csv)","Importovat přesměrování (.csv)"
"Import redirects","Importovat přesměrování"
"Download example CSV file for redirect import","Stáhnout vzorový CSV soubor pro import přesměrování"
"Example of CSV file","Příklad CSV souboru"
"Export redirects (.csv)","Exportovat přesměrování (.csv)"
"Export redirects","Exportovat přesměrování"
"This operation can take a long time.","Tato operace může trvat dlouhou dobu."
"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","Všechny URL kategorií budou změněny. Tuto akci nelze vrátit. Chcete ji potvrdit?"
"Error during request.","Chyba při požadavku."
"Error during removal of category path.","Chyba při odstraňování cesty kategorie."
"Error during processing URLs.","Chyba při zpracování URL adres."
"All URLs will be changed. This action cannot be undone. Do you want to confirm it?","Všechny URL adresy budou změněny. Tuto akci nelze vrátit. Chcete ji potvrdit?"
"Category image for %1","Obrázek kategorie pro %1"
"Attention","Pozor"
"SEO general settings","Obecná SEO nastavení"
"Canonical settings","Nastavení canonical"
"Configure canonical URLs to prevent duplicate content issues and consolidate ranking signals.","Nakonfigurujte canonical URL adresy pro prevenci problémů s duplicitním obsahem a konsolidaci signálů hodnocení."
"Common settings","Obecná nastavení"
"Control general canonical URL behavior across your store.","Řiďte obecné chování canonical URL v celém obchodě."
"Enable canonical URLs","Povolit canonical URL"
"Activate canonical URL generation to prevent duplicate content penalties and improve SEO ranking.","Aktivujte generování canonical URL pro prevenci penalizací za duplicitní obsah a zlepšení SEO hodnocení."
"Don't use canonical URLs on pages","Nepoužívat canonical URL na stránkách"
"Specify URL patterns where canonical tags should be omitted (one URL per line).","Zadejte vzory URL, kde mají být canonical tagy vynechány (jedna URL na řádek)."
"Add pagination to canonical URLs","Přidat stránkování do canonical URL"
"When enabled, pagination parameters will be included in canonical URLs for paginated content.","Pokud je povoleno, parametry stránkování budou zahrnuty do canonical URL pro stránkovaný obsah."
"Strip store codes from canonicals","Odstranit kódy obchodů z canonical"
"Strip store codes from canonical URLs for cleaner URL structure when using multiple store views.","Odstraňte kódy obchodů z canonical URL pro čistší strukturu URL při používání více zobrazení obchodu."
"Cross-domain canonical URL","Mezidoménová canonical URL"
"Configure canonical URLs to point to a preferred domain when content exists across multiple domains.","Nakonfigurujte canonical URL tak, aby ukazovaly na preferovanou doménu, pokud obsah existuje na více doménách."
"HTTPS URLs for cross-domain canonical","HTTPS URL pro mezidoménový canonical"
"Force HTTPS protocol in cross-domain canonical URLs for security and consistency.","Vynuťte protokol HTTPS v mezidoménových canonical URL pro bezpečnost a konzistenci."
"Product page settings","Nastavení stránky produktu"
"Configure canonical URL behavior specifically for product pages.","Nakonfigurujte chování canonical URL speciálně pro stránky produktů."
"Product canonical URL format","Formát canonical URL produktu"
"Choose between shortest/longest path format for product canonical URLs.","Zvolte formát nejkratší/nejdelší cesty pro canonical URL produktů."
"Canonical tag for child products","Tag canonical pro podřazené produkty"
"Define canonical URL behavior for child products within complex product types.","Definujte chování canonical URL pro podřazené produkty v rámci komplexních typů produktů."
"Configurable product","Konfigurovatelný produkt"
"Set canonical tag behavior for simple products that are part of configurable products.","Nastavte chování tagu canonical pro jednoduché produkty, které jsou součástí konfigurovatelných produktů."
"Grouped product","Skupinový produkt"
"Set canonical tag behavior for simple products that are part of grouped products.","Nastavte chování tagu canonical pro jednoduché produkty, které jsou součástí skupinových produktů."
"Bundle product","Balíčkový produkt"
"Set canonical tag behavior for simple products that are part of bundle products.","Nastavte chování tagu canonical pro jednoduché produkty, které jsou součástí balíčkových produktů."
"Category page settings","Nastavení stránky kategorie"
"Configure canonical URL behavior specifically for category pages.","Nakonfigurujte chování canonical URL speciálně pro stránky kategorií."
"Canonical URL for filtered categories","Canonical URL pro filtrované kategorie"
"Define how canonical URLs should handle category pages with active filters.","Definujte, jak by canonical URL měly zpracovávat stránky kategorií s aktivními filtry."
"Filter inclusion in canonical URL","Zahrnutí filtrů do canonical URL"
"Configure which specific filters should be included in canonical URLs.","Nakonfigurujte, které konkrétní filtry mají být zahrnuty do canonical URL."
"Enable link rel=""next/prev""","Povolit link rel=""next/prev"""
"Implement pagination relationship tags to help search engines understand paginated content structure.","Implementujte tagy vztahu stránkování, aby vyhledávače lépe porozuměly struktuře stránkovaného obsahu."
"Meta Robots settings","Nastavení Meta Robots"
"Control indexing and crawling behavior with Robots meta tags and headers.","Řiďte chování indexování a prohledávání pomocí meta tagů a hlaviček Robots."
"Custom robots rules by URL pattern","Vlastní pravidla robots podle vzoru URL"
"Configure custom Robots meta tag directives for specific URL patterns.","Nakonfigurujte vlastní direktivy meta tagu Robots pro konkrétní vzory URL."
"Robots meta header for HTTPS","Robots meta header pro HTTPS"
"Configure X-Robots-Tag header behavior specifically for HTTPS pages.","Nakonfigurujte chování hlavičky X-Robots-Tag speciálně pro HTTPS stránky."
"Alternate and hreflang settings","Nastavení alternate a hreflang"
"Configure alternate language version indicators for international SEO optimization.","Nakonfigurujte indikátory alternativních jazykových verzí pro mezinárodní SEO optimalizaci."
"Enable alternate and hreflang links","Povolit alternate a hreflang odkazy"
"Activate alternate language version tags to help search engines serve the correct language/regional version to users.","Aktivujte tagy alternativních jazykových verzí, aby vyhledávače zobrazovaly uživatelům správnou jazykovou/regionální verzi."
"Manual alternate setting","Ruční nastavení alternate"
"Configure specific store relationships for hreflang tag generation.","Nakonfigurujte konkrétní vztahy mezi obchody pro generování tagů hreflang."
"Hreflang x-default settings","Nastavení hreflang x-default"
"Specify which store view should be used as the default language fallback.","Zadejte, které zobrazení obchodu má být použito jako výchozí jazykový záložní mechanismus."
"Hreflang locale code","Kód lokality hreflang"
"Override the default locale code used in hreflang attributes for this store view.","Přepište výchozí kód lokality používaný v atributech hreflang pro toto zobrazení obchodu."
"Hreflang x-default","Hreflang x-default"
"Designate this website as the default language version when appropriate.","Označte tento web jako výchozí jazykovou verzi, pokud je to vhodné."
"Add locale code to hreflang","Přidat kód lokality do hreflang"
"Automatically append locale codes to hreflang attributes based on store locale settings.","Automaticky přidávejte kódy lokalit k atributům hreflang na základě nastavení lokality obchodu."
"Simplify category alternate links","Zjednodušit alternate odkazy kategorií"
"Remove extra parameters from category alternate URLs.","Odstraňte nadbytečné parametry z alternate URL kategorií."
"Include hreflang links in sitemap","Zahrnout hreflang odkazy do mapy webu"
"Add alternate language indicators to XML sitemaps for improved multi-language SEO.","Přidejte indikátory alternativních jazyků do XML map webu pro zlepšení vícejazyčného SEO."
"Manage URL redirects to maintain SEO value and improve user experience.","Spravujte přesměrování URL pro zachování SEO hodnoty a zlepšení uživatelského prostředí."
"Trailing slash redirects","Přesměrování koncového lomítka"
"Standardize URL format by enforcing consistent trailing slash usage across the site.","Standardizujte formát URL vynucením konzistentního používání koncového lomítka na celém webu."
"Process URLs","Zpracovat URL"
"Apply the trailing slash setting to all existing URLs in the database.<br/>Save configuration before pushing the button.","Aplikujte nastavení koncového lomítka na všechny existující URL v databázi.<br/>Před stisknutím tlačítka uložte konfiguraci."
"Redirect URLs to lowercase","Přesměrovat URL na malá písmena"
"Force lowercase URL format to prevent duplicate content from case variations.","Vynuťte formát URL s malými písmeny pro prevenci duplicitního obsahu způsobeného různými velikostmi písmen."
"Page types allowed for lowercase redirects","Typy stránek povolené pro přesměrování na malá písmena"
"Specify which page types should be included in lowercase redirection rules.","Zadejte, které typy stránek mají být zahrnuty do pravidel přesměrování na malá písmena."
"SEO-friendly URL settings","Nastavení SEO optimalizovaných URL"
"Configure URL structure optimization for better search engine visibility.","Nakonfigurujte optimalizaci struktury URL pro lepší viditelnost ve vyhledávačích."
"Create shorter category URLs","Vytvořit kratší URL kategorií"
"Generate shorter, cleaner category URLs by eliminating parent category paths.","Generujte kratší a čistší URL kategorií eliminací cest nadřazených kategorií."
"Apply the parent category path removal to all existing category URLs in the database.<br/>Save configuration before pushing the button.","Aplikujte odstranění cesty nadřazené kategorie na všechny existující URL kategorií v databázi.<br/>Před stisknutím tlačítka uložte konfiguraci."
"Product","Produkt"
"URL key template","Šablona klíče URL"
"Define a structured template for automatic product URL key generation using product attributes.<br/><br/>Example:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>To apply for all products run in ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Additional info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>","Definujte strukturovanou šablonu pro automatické generování klíčů URL produktů pomocí atributů produktu.<br/><br/>Příklad:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>Pro aplikaci na všechny produkty spusťte přes ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Další informace:<br/><code>bin/magento mirasvit:seo:product-url-template</code>"
"Function is disabled if current field is empty.","Funkce je zakázána, pokud je aktuální pole prázdné."
"Use template for new product URLs","Použít šablonu pro nové URL produktů"
"Automatically generate URL keys based on the template when creating new products.","Automaticky generujte klíče URL na základě šablony při vytváření nových produktů."
"If enabled, the extension will overwrite the Magento native URL key <br/>","Pokud je povoleno, rozšíření přepíše nativní klíč URL Magento <br/>"
"Update URLs on visibility change","Aktualizovat URL při změně viditelnosti"
"Regenerate URL keys when product visibility is updated to maintain consistency.","Znovu generujte klíče URL při aktualizaci viditelnosti produktu pro zachování konzistence."
"SEO-friendly product image settings","Nastavení SEO optimalizovaných obrázků produktů"
"Optimize product image filenames and attributes for better image search visibility.","Optimalizujte názvy souborů obrázků produktů a jejich atributy pro lepší viditelnost ve vyhledávání obrázků."
"Enable SEO-friendly image URLs","Povolit SEO optimalizované URL obrázků"
"Generate descriptive, keyword-rich image filenames for product images.<br><strong>Warning:</strong> This feature may cause significant performance issues when using remote storage (AWS S3, Azure Blob, etc.) due to additional API calls required to check file existence. For stores with remote storage, consider keeping this option disabled or expect increased page load times.","Generujte popisné, klíčovými slovy bohaté názvy souborů obrázků produktů.<br><strong>Upozornění:</strong> Tato funkce může způsobit významné problémy s výkonem při používání vzdáleného úložiště (AWS S3, Azure Blob atd.) kvůli dodatečným API voláním potřebným ke kontrole existence souboru. Pro obchody se vzdáleným úložištěm zvažte ponechání této možnosti zakázané nebo očekávejte zvýšenou dobu načítání stránek."
"Image name template","Šablona názvu obrázku"
"Define the pattern for generating SEO-friendly image filenames using product attributes.<br/>If empty, [product_name] will be used.","Definujte vzor pro generování SEO optimalizovaných názvů souborů obrázků pomocí atributů produktu.<br/>Pokud je prázdné, bude použit [product_name]."
"Autogenerate image alt and title","Automaticky generovat alt a title obrázků"
"Automatically create descriptive alt and title attributes for product images.","Automaticky vytvářejte popisné atributy alt a title pro obrázky produktů."
"Image alt template","Šablona alt obrázku"
"Define the pattern for generating image alt text using product attributes.","Definujte vzor pro generování alt textu obrázků pomocí atributů produktu."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getLabel()","Pro získání hodnoty v šabloně obrázku (obvykle image_with_borders.phtml) použijte $block->getLabel()"
"Image title template","Šablona title obrázku"
"Define the pattern for generating image title attributes using product attributes.<br/>If empty, a value from the 'Image alt template' field will be used.","Definujte vzor pro generování atributů title obrázků pomocí atributů produktu.<br/>Pokud je prázdné, bude použita hodnota z pole 'Šablona alt obrázku'."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getTitle()","Pro získání hodnoty v šabloně obrázku (obvykle image_with_borders.phtml) použijte $block->getTitle()"
"Product breadcrumbs","Navigační drobečky produktu"
"Configure product page breadcrumb trail generation to improve navigation and SEO.","Nakonfigurujte generování navigačních drobečků na stránkách produktů pro zlepšení navigace a SEO."
"Appearance","Vzhled"
"Define when and how custom breadcrumb trails should appear on product pages.","Definujte, kdy a jak mají vlastní navigační drobečky zobrazovat na stránkách produktů."
"Format","Formát"
"Choose between shortest path (highest category level) or longest path (deepest category) for breadcrumb generation.","Zvolte mezi nejkratší cestou (nejvyšší úroveň kategorie) nebo nejdelší cestou (nejhlubší kategorie) pro generování navigačních drobečků."
"Include brand","Zahrnout značku"
"Add the product's brand as a breadcrumb item in the navigation trail. The brand will appear as a clickable breadcrumb element before the product name.","Přidejte značku produktu jako položku navigačních drobečků v navigačním řetězci. Značka se zobrazí jako klikatelný prvek před názvem produktu."
"Brand attribute","Atribut značky"
"Specify which product attribute contains brand information.","Zadejte, který atribut produktu obsahuje informace o značce."
"Brand format","Formát značky"
"Choose how the brand breadcrumb item appears. ""Brand only"" shows just the brand name. ""Category + Brand"" shows the parent category name followed by the brand name in a single breadcrumb item.","Zvolte, jak se zobrazuje položka navigačního drobečku se značkou. ""Pouze značka"" zobrazuje pouze název značky. ""Kategorie + Značka"" zobrazuje název nadřazené kategorie následovaný názvem značky v jedné položce navigačního drobečku."
"Alternate settings","Nastavení alternate"
"Open Graph image URL","URL obrázku Open Graph"
"If empty Open Graph will use logo image URL","Pokud je prázdné, Open Graph použije URL obrázku loga"
"General information","Obecné informace"
"Is active","Aktivní"
"Canonical URL","Canonical URL"
"Visible in store view","Viditelné v zobrazení obchodu"
"Check URL for regular expression","Zkontrolovat URL regulárním výrazem"
"In this field use only regular expression. Leave blank to disable.<br/>For example: /orion-two-tone-fitted-jacket/<br/>If URL of the page matches this expression and other conditions are met, the rule will be applied.","V tomto poli používejte pouze regulární výraz. Nechte prázdné pro deaktivaci.<br/>Příklad: /orion-two-tone-fitted-jacket/<br/>Pokud URL stránky odpovídá tomuto výrazu a jsou splněny ostatní podmínky, pravidlo bude aplikováno."
"Additional","Další"
"Sort order","Pořadí řazení"
"Comments","Komentáře"
"Add canonical rewrite","Přidat přepis canonical"
"Change status","Změnit stav"
"Delete items","Smazat položky"
"Are you sure you want to delete the selected items?","Opravdu chcete smazat vybrané položky?"
"ID","ID"
"Regular expression","Regulární výraz"
"Status","Stav"
"Store view","Zobrazení obchodu"
"Request URL","URL požadavku"
"Target URL","Cílová URL"
"Redirect type","Typ přesměrování"
"HTTP response status code that will be used when redirecting.","HTTP stavový kód odpovědi, který bude použit při přesměrování."
"Redirect only if the request URL can't be found (404)","Přesměrovat pouze pokud URL požadavku nelze najít (404)"
"Request URL and Target URL cannot be the same.","URL požadavku a cílová URL nemohou být stejné."
"Target URL must be different from Request URL.","Cílová URL musí být odlišná od URL požadavku."
"Auto-redirect for removed products","Automatické přesměrování pro odebrané produkty"
"Automatically redirect the URLs of disabled or deleted products to a relevant active destination instead of returning a 404. Targets resolve in priority order: the product's first active category, then the fallback URL, then the homepage. Generated rules appear in Marketing &#8594; SEO &#8594; Redirects and can be edited or removed.","Automaticky přesměruje adresy URL deaktivovaných nebo smazaných produktů na relevantní aktivní cíl namísto vrácení chyby 404. Cíle se vyhodnocují podle priority: první aktivní kategorie produktu, poté záložní adresa URL a nakonec domovská stránka. Vygenerovaná pravidla se zobrazují v Marketing &#8594; SEO &#8594; Redirects a lze je upravit nebo odebrat."
"Enable auto-redirect on disable","Povolit automatické přesměrování při deaktivaci"
"Generate a redirect when a product is set to Disabled. Re-enabling the product removes its auto-redirect.","Vytvoří přesměrování, když je produkt nastaven na Deaktivováno. Opětovná aktivace produktu jeho automatické přesměrování odstraní."
"Enable auto-redirect on delete","Povolit automatické přesměrování při smazání"
"Generate a redirect when a product is deleted, using the product URL captured at delete time.","Vytvoří přesměrování při smazání produktu pomocí adresy URL produktu zachycené v okamžiku smazání."
"Fallback URL","Záložní adresa URL"
"Destination used when a removed product has no active category. Leave blank to fall through to the homepage.","Cíl použitý, když odebraný produkt nemá žádnou aktivní kategorii. Ponechte prázdné pro přesměrování na domovskou stránku."
"301 preserves link equity (recommended); 302/307 are temporary.","301 zachovává hodnotu odkazů (doporučeno); 302/307 jsou dočasné."
"Source","Zdroj"
"Manual","Ruční"
"Auto","Automaticky"
"Auto-generated for removed product #%1","Automaticky vygenerováno pro odebraný produkt #%1"
