"Conditions","Warunki"
"All URLs will be changed. This action cannot be undone. Do you want to confirm it?","Wszystkie adresy URL zostaną zmienione. Tej czynności nie można cofnąć. Czy chcesz potwierdzić?"
"Category image for %1","Obraz kategorii dla %1"
"Attention","Uwaga"
"SEO general settings","Ogólne ustawienia SEO"
"Canonical settings","Ustawienia kanoniczne"
"Configure canonical URLs to prevent duplicate content issues and consolidate ranking signals.","Skonfiguruj kanoniczne adresy URL, aby zapobiec problemom z zduplikowaną treścią i skonsolidować sygnały rankingowe."
"Common settings","Wspólne ustawienia"
"Control general canonical URL behavior across your store.","Kontroluj ogólne zachowanie kanonicznego adresu URL w swoim sklepie."
"Enable canonical URLs","Włącz kanoniczne adresy URL"
"Activate canonical URL generation to prevent duplicate content penalties and improve SEO ranking.","Aktywuj generowanie kanoniczych adresów URL, aby zapobiec karom za zduplikowaną treść i poprawić ranking SEO."
"Don't use canonical URLs on pages","Nie używaj kanoniczych adresów URL na stronach"
"Specify URL patterns where canonical tags should be omitted (one URL per line).","Określ wzorce URL, gdzie znaczniki kanoniczne powinny być pomijane (jeden URL na linię)."
"Add pagination to canonical URLs","Dodaj paginację do kanoniczych adresów URL"
"When enabled, pagination parameters will be included in canonical URLs for paginated content.","Po włączeniu parametry paginacji będą uwzględniane w kanoniczych adresach URL dla treści paginowanych."
"Strip store codes from canonicals","Usuń kody sklepu z kanoniczych URL"
"Strip store codes from canonical URLs for cleaner URL structure when using multiple store views.","Usuń kody sklepu z kanoniczych adresów URL dla czystszej struktury URL przy używaniu wielu widoków sklepu."
"Cross-domain canonical URL","Kanoniczny URL między domenami"
"Configure canonical URLs to point to a preferred domain when content exists across multiple domains.","Skonfiguruj kanoniczne adresy URL wskazujące na preferowaną domenę, gdy treść istnieje w wielu domenach."
"HTTPS URLs for cross-domain canonical","Adresy URL HTTPS dla kanoniczych URL między domenami"
"Force HTTPS protocol in cross-domain canonical URLs for security and consistency.","Wymuszaj protokół HTTPS w kanoniczych adresach URL między domenami dla bezpieczeństwa i spójności."
"Product page settings","Ustawienia strony produktu"
"Configure canonical URL behavior specifically for product pages.","Skonfiguruj zachowanie kanonicznego adresu URL specjalnie dla stron produktów."
"Product canonical URL format","Format kanonicznego adresu URL produktu"
"Choose between shortest/longest path format for product canonical URLs.","Wybierz format najkrótszej/najdłuższej ścieżki dla kanoniczych adresów URL produktów."
"Canonical tag for child products","Znacznik kanoniczny dla produktów potomnych"
"Define canonical URL behavior for child products within complex product types.","Zdefiniuj zachowanie kanonicznego adresu URL dla produktów potomnych w złożonych typach produktów."
"Configurable product","Produkt konfigurowalny"
"Set canonical tag behavior for simple products that are part of configurable products.","Ustaw zachowanie znacznika kanonicznego dla prostych produktów będących częścią produktów konfigurowalnych."
"Grouped product","Produkt grupowy"
"Set canonical tag behavior for simple products that are part of grouped products.","Ustaw zachowanie znacznika kanonicznego dla prostych produktów będących częścią produktów grupowych."
"Bundle product","Produkt w zestawie"
"Set canonical tag behavior for simple products that are part of bundle products.","Ustaw zachowanie znacznika kanonicznego dla prostych produktów będących częścią produktów w zestawie."
"Category page settings","Ustawienia strony kategorii"
"Configure canonical URL behavior specifically for category pages.","Skonfiguruj zachowanie kanonicznego adresu URL specjalnie dla stron kategorii."
"Canonical URL for filtered categories","Kanoniczny adres URL dla filtrowanych kategorii"
"Define how canonical URLs should handle category pages with active filters.","Zdefiniuj, jak kanoniczne adresy URL powinny obsługiwać strony kategorii z aktywnymi filtrami."
"Filter inclusion in canonical URL","Uwzględnienie filtrów w kanonicznym adresie URL"
"Configure which specific filters should be included in canonical URLs.","Skonfiguruj, które konkretne filtry powinny być uwzględniane w kanoniczych adresach URL."
"Enable link rel=""next/prev""","Włącz link rel=""next/prev"""
"Implement pagination relationship tags to help search engines understand paginated content structure.","Zaimplementuj znaczniki relacji paginacji, aby pomóc wyszukiwarkom zrozumieć strukturę treści paginowanych."
"Meta Robots settings","Ustawienia Meta Robots"
"Control indexing and crawling behavior with Robots meta tags and headers.","Kontroluj zachowanie indeksowania i przeszukiwania za pomocą znaczników meta Robots i nagłówków."
"Custom robots rules by URL pattern","Niestandardowe reguły robotów według wzorca URL"
"Configure custom Robots meta tag directives for specific URL patterns.","Skonfiguruj niestandardowe dyrektywy znacznika meta Robots dla określonych wzorców URL."
"Robots meta header for HTTPS","Nagłówek meta Robots dla HTTPS"
"Configure X-Robots-Tag header behavior specifically for HTTPS pages.","Skonfiguruj zachowanie nagłówka X-Robots-Tag specjalnie dla stron HTTPS."
"Alternate and hreflang settings","Ustawienia alternatywne i hreflang"
"Configure alternate language version indicators for international SEO optimization.","Skonfiguruj wskaźniki alternatywnych wersji językowych dla międzynarodowej optymalizacji SEO."
"Enable alternate and hreflang links","Włącz linki alternatywne i hreflang"
"Activate alternate language version tags to help search engines serve the correct language/regional version to users.","Aktywuj znaczniki alternatywnych wersji językowych, aby pomóc wyszukiwarkom wyświetlać użytkownikom właściwą wersję językową/regionalną."
"Manual alternate setting","Ręczne ustawienie alternatywne"
"Configure specific store relationships for hreflang tag generation.","Skonfiguruj określone relacje między sklepami dla generowania znaczników hreflang."
"Hreflang x-default settings","Ustawienia hreflang x-default"
"Specify which store view should be used as the default language fallback.","Określ, który widok sklepu ma być używany jako domyślny rezerwowy język."
"Hreflang locale code","Kod lokalizacji Hreflang"
"Override the default locale code used in hreflang attributes for this store view.","Zastąp domyślny kod lokalizacji używany w atrybutach hreflang dla tego widoku sklepu."
"Hreflang x-default","Hreflang x-default"
"Designate this website as the default language version when appropriate.","Wyznacz tę witrynę jako domyślną wersję językową, gdy jest to właściwe."
"Add locale code to hreflang","Dodaj kod lokalizacji do hreflang"
"Automatically append locale codes to hreflang attributes based on store locale settings.","Automatycznie dołączaj kody lokalizacji do atrybutów hreflang na podstawie ustawień lokalizacji sklepu."
"Simplify category alternate links","Uprość alternatywne linki kategorii"
"Remove extra parameters from category alternate URLs.","Usuń dodatkowe parametry z alternatywnych adresów URL kategorii."
"Include hreflang links in sitemap","Uwzględnij linki hreflang w mapie witryny"
"Add alternate language indicators to XML sitemaps for improved multi-language SEO.","Dodaj wskaźniki języka alternatywnego do map witryn XML dla lepszego SEO wielojęzycznego."
"Manage URL redirects to maintain SEO value and improve user experience.","Zarządzaj przekierowaniami URL, aby utrzymać wartość SEO i poprawić doświadczenie użytkownika."
"Trailing slash redirects","Przekierowania z ukośnikiem końcowym"
"Standardize URL format by enforcing consistent trailing slash usage across the site.","Standaryzuj format URL, wymuszając spójne użycie ukośnika końcowego w całej witrynie."
"Process URLs","Przetwarzaj adresy URL"
"Apply the trailing slash setting to all existing URLs in the database.<br/>Save configuration before pushing the button.","Zastosuj ustawienie ukośnika końcowego do wszystkich istniejących adresów URL w bazie danych.<br/>Zapisz konfigurację przed naciśnięciem przycisku."
"Redirect URLs to lowercase","Przekieruj adresy URL na małe litery"
"Force lowercase URL format to prevent duplicate content from case variations.","Wymuś format URL z małymi literami, aby zapobiec zduplikowanej treści wynikającej z różnic w wielkości liter."
"Page types allowed for lowercase redirects","Typy stron dozwolone dla przekierowań na małe litery"
"Specify which page types should be included in lowercase redirection rules.","Określ, które typy stron powinny być uwzględnione w regułach przekierowań na małe litery."
"SEO-friendly URL settings","Ustawienia przyjaznych adresów URL SEO"
"Configure URL structure optimization for better search engine visibility.","Skonfiguruj optymalizację struktury URL dla lepszej widoczności w wyszukiwarkach."
"Create shorter category URLs","Twórz krótsze adresy URL kategorii"
"Generate shorter, cleaner category URLs by eliminating parent category paths.","Generuj krótsze, czystsze adresy URL kategorii, eliminując ścieżki kategorii nadrzędnych."
"Apply the parent category path removal to all existing category URLs in the database.<br/>Save configuration before pushing the button.","Zastosuj usunięcie ścieżki kategorii nadrzędnej do wszystkich istniejących adresów URL kategorii w bazie danych.<br/>Zapisz konfigurację przed naciśnięciem przycisku."
"Product","Produkt"
"URL key template","Szablon klucza URL"
"Define a structured template for automatic product URL key generation using product attributes.<br/><br/>Example:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>To apply for all products run in ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Additional info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>","Zdefiniuj ustrukturyzowany szablon do automatycznego generowania kluczy URL produktów przy użyciu atrybutów produktów.<br/><br/>Przykład:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>Aby zastosować dla wszystkich produktów, uruchom przez ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Dodatkowe informacje:<br/><code>bin/magento mirasvit:seo:product-url-template</code>"
"Function is disabled if current field is empty.","Funkcja jest wyłączona, jeśli bieżące pole jest puste."
"Use template for new product URLs","Używaj szablonu dla nowych adresów URL produktów"
"Automatically generate URL keys based on the template when creating new products.","Automatycznie generuj klucze URL na podstawie szablonu podczas tworzenia nowych produktów."
"If enabled, the extension will overwrite the Magento native URL key <br/>","Jeśli włączone, rozszerzenie nadpisze natywny klucz URL Magento <br/>"
"Update URLs on visibility change","Aktualizuj adresy URL przy zmianie widoczności"
"Regenerate URL keys when product visibility is updated to maintain consistency.","Regeneruj klucze URL po zaktualizowaniu widoczności produktu, aby zachować spójność."
"SEO-friendly product image settings","Przyjazne SEO ustawienia obrazów produktów"
"Optimize product image filenames and attributes for better image search visibility.","Optymalizuj nazwy plików i atrybuty obrazów produktów dla lepszej widoczności w wyszukiwaniu obrazów."
"Enable SEO-friendly image URLs","Włącz przyjazne SEO adresy URL obrazów"
"Generate descriptive, keyword-rich image filenames for product images.<br><strong>Warning:</strong> This feature may cause significant performance issues when using remote storage (AWS S3, Azure Blob, etc.) due to additional API calls required to check file existence. For stores with remote storage, consider keeping this option disabled or expect increased page load times.","Generuj opisowe, bogate w słowa kluczowe nazwy plików obrazów dla obrazów produktów.<br><strong>Ostrzeżenie:</strong> Ta funkcja może powodować znaczne problemy z wydajnością podczas korzystania z pamięci zdalnej (AWS S3, Azure Blob itp.) ze względu na dodatkowe wywołania API wymagane do sprawdzenia istnienia pliku. W przypadku sklepów z pamięcią zdalną rozważ pozostawienie tej opcji wyłączonej lub spodziewaj się dłuższych czasów ładowania stron."
"Image name template","Szablon nazwy obrazu"
"Define the pattern for generating SEO-friendly image filenames using product attributes.<br/>If empty, [product_name] will be used.","Zdefiniuj wzorzec do generowania przyjaznych SEO nazw plików obrazów przy użyciu atrybutów produktu.<br/>Jeśli puste, zostanie użyte [product_name]."
"Autogenerate image alt and title","Automatycznie generuj alt i tytuł obrazu"
"Automatically create descriptive alt and title attributes for product images.","Automatycznie twórz opisowe atrybuty alt i title dla obrazów produktów."
"Image alt template","Szablon alt obrazu"
"Define the pattern for generating image alt text using product attributes.","Zdefiniuj wzorzec do generowania tekstu alt obrazu przy użyciu atrybutów produktu."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getLabel()","Aby uzyskać wartość w szablonie obrazu (zwykle image_with_borders.phtml), użyj $block->getLabel()"
"Image title template","Szablon tytułu obrazu"
"Define the pattern for generating image title attributes using product attributes.<br/>If empty, a value from the 'Image alt template' field will be used.","Zdefiniuj wzorzec do generowania atrybutów tytułu obrazu przy użyciu atrybutów produktu.<br/>Jeśli puste, zostanie użyta wartość z pola 'Szablon alt obrazu'."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getTitle()","Aby uzyskać wartość w szablonie obrazu (zwykle image_with_borders.phtml), użyj $block->getTitle()"
"Product breadcrumbs","Okruszki nawigacyjne produktu"
"Configure product page breadcrumb trail generation to improve navigation and SEO.","Skonfiguruj generowanie ścieżki okruszków nawigacyjnych na stronie produktu, aby poprawić nawigację i SEO."
"Appearance","Wygląd"
"Define when and how custom breadcrumb trails should appear on product pages.","Zdefiniuj, kiedy i jak niestandardowe ścieżki okruszków nawigacyjnych mają pojawiać się na stronach produktów."
"Format","Format"
"Choose between shortest path (highest category level) or longest path (deepest category) for breadcrumb generation.","Wybierz najkrótszą ścieżkę (najwyższy poziom kategorii) lub najdłuższą ścieżkę (najgłębsza kategoria) dla generowania okruszków nawigacyjnych."
"Include brand","Uwzględnij markę"
"Add the product's brand as a breadcrumb item in the navigation trail. The brand will appear as a clickable breadcrumb element before the product name.","Dodaj markę produktu jako element okruszków nawigacyjnych w ścieżce nawigacji. Marka pojawi się jako klikalny element okruszków przed nazwą produktu."
"Brand attribute","Atrybut marki"
"Specify which product attribute contains brand information.","Określ, który atrybut produktu zawiera informacje o marce."
"Brand format","Format marki"
"Choose how the brand breadcrumb item appears. ""Brand only"" shows just the brand name. ""Category + Brand"" shows the parent category name followed by the brand name in a single breadcrumb item.","Wybierz, jak wyświetlany jest element okruszków marki. ""Tylko marka"" wyświetla tylko nazwę marki. ""Kategoria + Marka"" wyświetla nazwę kategorii nadrzędnej, a następnie nazwę marki w jednym elemencie okruszków."
"Alternate settings","Ustawienia alternatywne"
"Open Graph image URL","URL obrazu Open Graph"
"If empty Open Graph will use logo image URL","Jeśli puste, Open Graph użyje adresu URL obrazu logo"
"General information","Informacje ogólne"
"Is active","Jest aktywny"
"Canonical URL","Kanoniczny adres URL"
"Visible in store view","Widoczny w widoku sklepu"
"Check URL for regular expression","Sprawdź URL wyrażeniem regularnym"
"In this field use only regular expression. Leave blank to disable.<br/>For example: /orion-two-tone-fitted-jacket/<br/>If URL of the page matches this expression and other conditions are met, the rule will be applied.","W tym polu używaj wyłącznie wyrażenia regularnego. Pozostaw puste, aby wyłączyć.<br/>Na przykład: /orion-two-tone-fitted-jacket/<br/>Jeśli adres URL strony pasuje do tego wyrażenia i spełnione są pozostałe warunki, reguła zostanie zastosowana."
"Additional","Dodatkowe"
"Sort order","Kolejność sortowania"
"Comments","Komentarze"
"Add canonical rewrite","Dodaj przepisanie kanoniczne"
"Change status","Zmień status"
"Delete items","Usuń elementy"
"Are you sure you want to delete the selected items?","Czy na pewno chcesz usunąć wybrane elementy?"
"ID","ID"
"Regular expression","Wyrażenie regularne"
"Status","Status"
"Store view","Widok sklepu"
"Request URL","Adres URL żądania"
"Target URL","Docelowy adres URL"
"Redirect type","Typ przekierowania"
"HTTP response status code that will be used when redirecting.","Kod statusu odpowiedzi HTTP, który będzie używany podczas przekierowania."
"Redirect only if the request URL can't be found (404)","Przekieruj tylko jeśli żądany adres URL nie zostanie znaleziony (404)"
"Request URL and Target URL cannot be the same.","Adres URL żądania i docelowy adres URL nie mogą być takie same."
"Target URL must be different from Request URL.","Docelowy adres URL musi różnić się od adresu URL żądania."
"Auto-redirect for removed products","Automatyczne przekierowanie dla usuniętych produktów"
"Automatically redirect the URLs of disabled or deleted products to a relevant active destination instead of returning a 404. Targets resolve in priority order: the product's first active category, then the fallback URL, then the homepage. Generated rules appear in Marketing &#8594; SEO &#8594; Redirects and can be edited or removed.","Automatycznie przekierowuje adresy URL wyłączonych lub usuniętych produktów do odpowiedniego aktywnego celu zamiast zwracać błąd 404. Cele są ustalane według priorytetu: pierwsza aktywna kategoria produktu, następnie zapasowy adres URL, a na końcu strona główna. Wygenerowane reguły pojawiają się w Marketing &#8594; SEO &#8594; Redirects i można je edytować lub usunąć."
"Enable auto-redirect on disable","Włącz automatyczne przekierowanie przy wyłączeniu"
"Generate a redirect when a product is set to Disabled. Re-enabling the product removes its auto-redirect.","Tworzy przekierowanie, gdy produkt zostanie ustawiony na Wyłączony. Ponowne włączenie produktu usuwa jego automatyczne przekierowanie."
"Enable auto-redirect on delete","Włącz automatyczne przekierowanie przy usunięciu"
"Generate a redirect when a product is deleted, using the product URL captured at delete time.","Tworzy przekierowanie po usunięciu produktu, korzystając z adresu URL produktu zapisanego w momencie usunięcia."
"Fallback URL","Zapasowy adres URL"
"Destination used when a removed product has no active category. Leave blank to fall through to the homepage.","Cel używany, gdy usunięty produkt nie ma aktywnej kategorii. Pozostaw puste, aby przekierować na stronę główną."
"301 preserves link equity (recommended); 302/307 are temporary.","301 zachowuje wartość linków (zalecane); 302/307 są tymczasowe."
"Source","Źródło"
"Manual","Ręcznie"
"Auto","Automatycznie"
"Auto-generated for removed product #%1","Wygenerowano automatycznie dla usuniętego produktu #%1"
