"Conditions","条件"
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","请通过运行以下命令启用Mirasvit_SeoSitemap模块: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","为搜索者提供页面内容附加信息的增强搜索结果。Google和其他搜索引擎使用网页HTML或Javascript中包含的结构化数据来形成这些摘要。"
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","使用产品名称或其他变量作为图片文件名比使用随机字符或数字对搜索引擎更具描述性。"
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","alt标签为搜索引擎和使用屏幕阅读器访问网页的用户提供图片的文本替代内容。"
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","当""如果不为空则使用产品中的元标签""选项设置为""是""时，将影响此模板。了解更多"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","当""如果不为空则使用分类中的元标签""选项设置为""是""时，将影响此模板。了解更多"
"Blog Data","博客数据"
"Brand Data","品牌数据"
"Category Data","分类数据"
"CMS Page Data","CMS页面数据"
"Filter Data","筛选器数据"
"Landing Page Data","落地页数据"
"Current Page Data","当前页面数据"
"Pagination","分页"
"Page %1","第 %1 页"
"Product Data","产品数据"
"Store Data","商店数据"
"Reversed by TrailingSlashService","已由TrailingSlashService还原"
"Auto-generated by TrailingSlashService","由TrailingSlashService自动生成"
"Product ID: %1 Store ID: %2 Url Key: %3","产品ID: %1 商店ID: %2 URL键: %3"
"Already used url key","URL键已被使用"
"Empty url key","URL键为空"
"Duplicate used url key","重复的URL键"
"Updated url key","URL键已更新"
"Edit","编辑"
"Delete","删除"
"Delete item?","删除此项目？"
"Back","返回"
"Are you sure you want to do this?","您确定要执行此操作吗？"
"Reset","重置"
"Resets input fields values","重置输入字段的值"
"Save and continue edit","保存并继续编辑"
"Save","保存"
"All store views","所有商店视图"
"Tests passed.","测试通过。"
"test(s) remaining","项测试待完成"
"Hint","提示"
"Solution","解决方案"
"here","此处"
"Import redirects (.csv)","导入重定向 (.csv)"
"Import redirects","导入重定向"
"Download example CSV file for redirect import","下载重定向导入的CSV示例文件"
"Example of CSV file","CSV文件示例"
"Export redirects (.csv)","导出重定向 (.csv)"
"Export redirects","导出重定向"
"This operation can take a long time.","此操作可能需要较长时间。"
"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","所有分类URL将被更改。此操作无法撤销。是否确认？"
"Error during request.","请求时发生错误。"
"Error during removal of category path.","删除分类路径时发生错误。"
"Error during processing URLs.","处理URL时发生错误。"
"All URLs will be changed. This action cannot be undone. Do you want to confirm it?","所有URL将被更改。此操作无法撤销。是否确认？"
"Category image for %1","%1 的分类图片"
"Attention","注意"
"SEO general settings","SEO常规设置"
"Canonical settings","canonical设置"
"Configure canonical URLs to prevent duplicate content issues and consolidate ranking signals.","配置canonical URL以防止重复内容问题并整合排名信号。"
"Common settings","通用设置"
"Control general canonical URL behavior across your store.","控制整个商店的canonical URL常规行为。"
"Enable canonical URLs","启用canonical URL"
"Activate canonical URL generation to prevent duplicate content penalties and improve SEO ranking.","激活canonical URL生成以防止重复内容惩罚并提高SEO排名。"
"Don't use canonical URLs on pages","不在页面上使用canonical URL"
"Specify URL patterns where canonical tags should be omitted (one URL per line).","指定应省略canonical标签的URL模式（每行一个URL）。"
"Add pagination to canonical URLs","向canonical URL添加分页"
"When enabled, pagination parameters will be included in canonical URLs for paginated content.","启用后，分页内容的canonical URL中将包含分页参数。"
"Strip store codes from canonicals","从canonical URL中删除商店代码"
"Strip store codes from canonical URLs for cleaner URL structure when using multiple store views.","使用多个商店视图时，从canonical URL中删除商店代码以获得更简洁的URL结构。"
"Cross-domain canonical URL","跨域canonical URL"
"Configure canonical URLs to point to a preferred domain when content exists across multiple domains.","当内容存在于多个域名时，配置canonical URL指向首选域名。"
"HTTPS URLs for cross-domain canonical","跨域canonical的HTTPS URL"
"Force HTTPS protocol in cross-domain canonical URLs for security and consistency.","在跨域canonical URL中强制使用HTTPS协议以确保安全性和一致性。"
"Product page settings","产品页面设置"
"Configure canonical URL behavior specifically for product pages.","专门为产品页面配置canonical URL行为。"
"Product canonical URL format","产品canonical URL格式"
"Choose between shortest/longest path format for product canonical URLs.","为产品canonical URL选择最短/最长路径格式。"
"Canonical tag for child products","子产品的canonical标签"
"Define canonical URL behavior for child products within complex product types.","为复杂产品类型中的子产品定义canonical URL行为。"
"Configurable product","可配置产品"
"Set canonical tag behavior for simple products that are part of configurable products.","为可配置产品组成部分的简单产品设置canonical标签行为。"
"Grouped product","分组产品"
"Set canonical tag behavior for simple products that are part of grouped products.","为分组产品组成部分的简单产品设置canonical标签行为。"
"Bundle product","捆绑产品"
"Set canonical tag behavior for simple products that are part of bundle products.","为捆绑产品组成部分的简单产品设置canonical标签行为。"
"Category page settings","分类页面设置"
"Configure canonical URL behavior specifically for category pages.","专门为分类页面配置canonical URL行为。"
"Canonical URL for filtered categories","已过滤分类的canonical URL"
"Define how canonical URLs should handle category pages with active filters.","定义canonical URL应如何处理带有活跃筛选器的分类页面。"
"Filter inclusion in canonical URL","canonical URL中包含筛选器"
"Configure which specific filters should be included in canonical URLs.","配置canonical URL中应包含的特定筛选器。"
"Enable link rel=""next/prev""","启用 link rel=""next/prev"""
"Implement pagination relationship tags to help search engines understand paginated content structure.","实施分页关系标签，帮助搜索引擎理解分页内容结构。"
"Meta Robots settings","Meta Robots设置"
"Control indexing and crawling behavior with Robots meta tags and headers.","使用Robots元标签和标头控制索引和抓取行为。"
"Custom robots rules by URL pattern","按URL模式自定义robots规则"
"Configure custom Robots meta tag directives for specific URL patterns.","为特定URL模式配置自定义Robots元标签指令。"
"Robots meta header for HTTPS","HTTPS的Robots元标头"
"Configure X-Robots-Tag header behavior specifically for HTTPS pages.","专门为HTTPS页面配置X-Robots-Tag标头行为。"
"Alternate and hreflang settings","备用语言和hreflang设置"
"Configure alternate language version indicators for international SEO optimization.","配置备用语言版本指示器以优化国际SEO。"
"Enable alternate and hreflang links","启用备用链接和hreflang链接"
"Activate alternate language version tags to help search engines serve the correct language/regional version to users.","激活备用语言版本标签，帮助搜索引擎向用户提供正确的语言/地区版本。"
"Manual alternate setting","手动备用设置"
"Configure specific store relationships for hreflang tag generation.","配置特定商店关系以生成hreflang标签。"
"Hreflang x-default settings","Hreflang x-default设置"
"Specify which store view should be used as the default language fallback.","指定哪个商店视图应用作默认语言回退。"
"Hreflang locale code","Hreflang区域代码"
"Override the default locale code used in hreflang attributes for this store view.","覆盖此商店视图的hreflang属性中使用的默认区域代码。"
"Hreflang x-default","Hreflang x-default"
"Designate this website as the default language version when appropriate.","在适当情况下将此网站指定为默认语言版本。"
"Add locale code to hreflang","向hreflang添加区域代码"
"Automatically append locale codes to hreflang attributes based on store locale settings.","根据商店区域设置自动将区域代码附加到hreflang属性。"
"Simplify category alternate links","简化分类备用链接"
"Remove extra parameters from category alternate URLs.","从分类备用URL中删除多余参数。"
"Include hreflang links in sitemap","在站点地图中包含hreflang链接"
"Add alternate language indicators to XML sitemaps for improved multi-language SEO.","向XML站点地图添加备用语言指示器以改善多语言SEO。"
"Manage URL redirects to maintain SEO value and improve user experience.","管理URL重定向以保持SEO价值并改善用户体验。"
"Trailing slash redirects","尾部斜杠重定向"
"Standardize URL format by enforcing consistent trailing slash usage across the site.","通过在整个网站强制执行一致的尾部斜杠使用来标准化URL格式。"
"Process URLs","处理URL"
"Apply the trailing slash setting to all existing URLs in the database.<br/>Save configuration before pushing the button.","将尾部斜杠设置应用于数据库中所有现有URL。<br/>点击按钮前请先保存配置。"
"Redirect URLs to lowercase","将URL重定向为小写"
"Force lowercase URL format to prevent duplicate content from case variations.","强制URL格式为小写，以防止因大小写变化产生重复内容。"
"Page types allowed for lowercase redirects","允许小写重定向的页面类型"
"Specify which page types should be included in lowercase redirection rules.","指定小写重定向规则中应包含的页面类型。"
"SEO-friendly URL settings","SEO友好URL设置"
"Configure URL structure optimization for better search engine visibility.","配置URL结构优化以提升搜索引擎可见性。"
"Create shorter category URLs","创建更短的分类URL"
"Generate shorter, cleaner category URLs by eliminating parent category paths.","通过删除父分类路径生成更短、更简洁的分类URL。"
"Apply the parent category path removal to all existing category URLs in the database.<br/>Save configuration before pushing the button.","将父分类路径删除应用于数据库中所有现有分类URL。<br/>点击按钮前请先保存配置。"
"Product","产品"
"URL key template","URL键模板"
"Define a structured template for automatic product URL key generation using product attributes.<br/><br/>Example:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>To apply for all products run in ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Additional info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>","使用产品属性定义用于自动生成产品URL键的结构化模板。<br/><br/>示例:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>通过ssh对所有产品应用:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>更多信息:<br/><code>bin/magento mirasvit:seo:product-url-template</code>"
"Function is disabled if current field is empty.","如果当前字段为空，该功能将被禁用。"
"Use template for new product URLs","为新产品URL使用模板"
"Automatically generate URL keys based on the template when creating new products.","创建新产品时根据模板自动生成URL键。"
"If enabled, the extension will overwrite the Magento native URL key <br/>","如果启用，扩展将覆盖Magento原生URL键 <br/>"
"Update URLs on visibility change","可见性更改时更新URL"
"Regenerate URL keys when product visibility is updated to maintain consistency.","产品可见性更新时重新生成URL键以保持一致性。"
"SEO-friendly product image settings","SEO友好产品图片设置"
"Optimize product image filenames and attributes for better image search visibility.","优化产品图片文件名和属性以提升图片搜索可见性。"
"Enable SEO-friendly image URLs","启用SEO友好图片URL"
"Generate descriptive, keyword-rich image filenames for product images.<br><strong>Warning:</strong> This feature may cause significant performance issues when using remote storage (AWS S3, Azure Blob, etc.) due to additional API calls required to check file existence. For stores with remote storage, consider keeping this option disabled or expect increased page load times.","为产品图片生成描述性、富含关键词的图片文件名。<br><strong>警告:</strong>使用远程存储（AWS S3、Azure Blob等）时，由于需要额外的API调用来检查文件是否存在，此功能可能会导致严重的性能问题。对于使用远程存储的商店，建议保持此选项禁用，否则页面加载时间将增加。"
"Image name template","图片名称模板"
"Define the pattern for generating SEO-friendly image filenames using product attributes.<br/>If empty, [product_name] will be used.","使用产品属性定义生成SEO友好图片文件名的模式。<br/>如果为空，将使用[product_name]。"
"Autogenerate image alt and title","自动生成图片alt和标题"
"Automatically create descriptive alt and title attributes for product images.","自动为产品图片创建描述性的alt和title属性。"
"Image alt template","图片alt模板"
"Define the pattern for generating image alt text using product attributes.","使用产品属性定义生成图片alt文本的模式。"
"To get the value in the image template (usually image_with_borders.phtml), use $block->getLabel()","要在图片模板（通常是image_with_borders.phtml）中获取值，请使用$block->getLabel()"
"Image title template","图片标题模板"
"Define the pattern for generating image title attributes using product attributes.<br/>If empty, a value from the 'Image alt template' field will be used.","使用产品属性定义生成图片title属性的模式。<br/>如果为空，将使用"图片alt模板"字段中的值。"
"To get the value in the image template (usually image_with_borders.phtml), use $block->getTitle()","要在图片模板（通常是image_with_borders.phtml）中获取值，请使用$block->getTitle()"
"Product breadcrumbs","产品面包屑导航"
"Configure product page breadcrumb trail generation to improve navigation and SEO.","配置产品页面面包屑路径生成以改善导航和SEO。"
"Appearance","外观"
"Define when and how custom breadcrumb trails should appear on product pages.","定义自定义面包屑路径在产品页面上出现的时机和方式。"
"Format","格式"
"Choose between shortest path (highest category level) or longest path (deepest category) for breadcrumb generation.","为面包屑生成选择最短路径（最高分类层级）或最长路径（最深分类）。"
"Include brand","包含品牌"
"Add the product's brand as a breadcrumb item in the navigation trail. The brand will appear as a clickable breadcrumb element before the product name.","将产品品牌作为面包屑项添加到导航路径中。品牌将作为可点击的面包屑元素显示在产品名称之前。"
"Brand attribute","品牌属性"
"Specify which product attribute contains brand information.","指定包含品牌信息的产品属性。"
"Brand format","品牌格式"
"Choose how the brand breadcrumb item appears. ""Brand only"" shows just the brand name. ""Category + Brand"" shows the parent category name followed by the brand name in a single breadcrumb item.","选择品牌面包屑项的显示方式。""仅品牌""仅显示品牌名称。""分类 + 品牌""在单个面包屑项中显示父分类名称和品牌名称。"
"Alternate settings","备用设置"
"Open Graph image URL","Open Graph图片URL"
"If empty Open Graph will use logo image URL","如果为空，Open Graph将使用徽标图片URL"
"General information","基本信息"
"Is active","是否启用"
"Canonical URL","canonical URL"
"Visible in store view","在商店视图中可见"
"Check URL for regular expression","用正则表达式检查URL"
"In this field use only regular expression. Leave blank to disable.<br/>For example: /orion-two-tone-fitted-jacket/<br/>If URL of the page matches this expression and other conditions are met, the rule will be applied.","此字段仅使用正则表达式。留空则禁用。<br/>例如: /orion-two-tone-fitted-jacket/<br/>如果页面URL与此表达式匹配且满足其他条件，则将应用该规则。"
"Additional","附加信息"
"Sort order","排序顺序"
"Comments","备注"
"Add canonical rewrite","添加canonical重写"
"Change status","更改状态"
"Delete items","删除项目"
"Are you sure you want to delete the selected items?","您确定要删除所选项目吗？"
"ID","ID"
"Regular expression","正则表达式"
"Status","状态"
"Store view","商店视图"
"Request URL","请求URL"
"Target URL","目标URL"
"Redirect type","重定向类型"
"HTTP response status code that will be used when redirecting.","重定向时将使用的HTTP响应状态码。"
"Redirect only if the request URL can't be found (404)","仅在请求URL无法找到时重定向 (404)"
"Request URL and Target URL cannot be the same.","请求URL和目标URL不能相同。"
"Target URL must be different from Request URL.","目标URL必须与请求URL不同。"
"Auto-redirect for removed products","已移除商品的自动重定向"
"Automatically redirect the URLs of disabled or deleted products to a relevant active destination instead of returning a 404. Targets resolve in priority order: the product's first active category, then the fallback URL, then the homepage. Generated rules appear in Marketing &#8594; SEO &#8594; Redirects and can be edited or removed.","自动将已禁用或已删除商品的 URL 重定向到相关的有效目标，而不是返回 404。目标按优先级顺序解析：商品的首个有效分类，然后是后备 URL，最后是首页。生成的规则显示在 Marketing &#8594; SEO &#8594; Redirects 中，可进行编辑或移除。"
"Enable auto-redirect on disable","禁用时启用自动重定向"
"Generate a redirect when a product is set to Disabled. Re-enabling the product removes its auto-redirect.","当商品被设置为已禁用时生成重定向。重新启用该商品会移除其自动重定向。"
"Enable auto-redirect on delete","删除时启用自动重定向"
"Generate a redirect when a product is deleted, using the product URL captured at delete time.","在商品被删除时生成重定向，使用删除时捕获的商品 URL。"
"Fallback URL","后备 URL"
"Destination used when a removed product has no active category. Leave blank to fall through to the homepage.","当已移除商品没有有效分类时使用的目标。留空则重定向至首页。"
"301 preserves link equity (recommended); 302/307 are temporary.","301 可保留链接权重（推荐）；302/307 为临时重定向。"
"Source","来源"
"Manual","手动"
"Auto","自动"
"Auto-generated for removed product #%1","为已移除商品 #%1 自动生成"
