"Template manager","模板管理器"
"Meta title","元标题"
"Meta keywords","元关键词"
"Meta description","元描述"
"Title (H1)","标题 (H1)"
"Product short description","产品简短描述"
"Product Description","产品描述"
"Category description","分类描述"
"Brand Description","品牌描述"
"Under product list","产品列表下方"
"Under short description","简短描述下方"
"Under full description","完整描述下方"
"Categories","分类"
"Layered navigation","分层导航"
"Products","产品"
"CMS pages","CMS页面"
"Blog","博客"
"Landing Pages","落地页"
"SEO Rewrite Import","SEO重写导入"
"Import rewrites (.csv)","导入重写 (.csv)"
"Import rewrites","导入重写"
"This is a required field.","此为必填字段。"
"Example of CSV file","CSV文件示例"
"SEO Rewrite Export","SEO重写导出"
"Export rewrites (.csv)","导出重写 (.csv)"
"Export rewrites","导出重写"
"Please select the rule type","请选择规则类型"
"Preview not allowed for layered navigation templates","分层导航模板不允许预览"
"Preview not allowed for Blog templates","博客模板不允许预览"
"Preview not allowed for Brand templates","品牌模板不允许预览"
"URL or Entity IDs separated by comma","URL或实体ID，以逗号分隔"
"Nothing to display","无内容显示"
"Template variables","模板变量"
"learn more","了解更多"
"Double click on a variable to insert it into the field","双击变量将其插入字段"
"Learn more about template variables","了解更多关于模板变量的信息"
"Template Preview","模板预览"
"Reload","重新加载"
"SEO Templates and rewrites","SEO模板和重写"
"General settings","常规设置"
"Configure basic behavior of meta tags processing across your store.","配置商店整体的元标签处理基本行为。"
"Apply store prefixes to custom titles","将商店前缀应用于自定义标题"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","启用后，商店的标题前缀/后缀（在内容 > 设计 > 配置中设置）将自动应用于任何自定义元标题。"
"Allow HTML in meta tags","允许在元标签中使用HTML"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","启用后，HTML特殊字符（&、<、>等）将在元标签中保留而不是被转义。适用于包含特殊符号或实体。"
"Use existing meta tags","使用现有元标签"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","定义模块应如何为不同页面类型应用基于模板的元标签。启用后，扩展首先检查原始元标签。如果不为空则使用它们；否则根据定义的模板生成元标签。禁用后，无论现有元标签如何，始终从模板生成元标签。"
"Category pages","分类页面"
"Product pages","产品页面"
"Blog pages","博客页面"
"Requires Mirasvit Blog module.","需要Mirasvit Blog模块。"
"Brand pages","品牌页面"
"Requires Mirasvit Brand module.","需要Mirasvit Brand模块。"
"Landing pages","落地页"
"Requires Mirasvit Landing Page module.","需要Mirasvit Landing Page模块。"
"Content and meta length settings","内容和元数据长度设置"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","为不同的元元素指定字符限制，以确保在搜索结果中的最佳显示。元元素值将被截断到指定长度。过低的值将被推荐最小值替换。"
"Maximum character length for meta titles.","元标题的最大字符长度。"
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","Google通常显示约55-60个字符。低于25的值默认为55。如果值为空或0，则不应用限制。"
"Maximum character length for meta descriptions.","元描述的最大字符长度。"
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Google通常显示约150-160个字符。低于25的值默认为150。如果值为空或0，则不应用限制。"
"Product name","产品名称"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","产品页面上显示的产品名称的最大字符长度。此设置控制页面内容中产品标题的截断。"
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","低于10的值默认为25。如果值为空或0，则不应用限制。"
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","产品页面上显示的产品简短描述的最大字符长度。此设置影响页面内容的呈现。"
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","低于25的值默认为90。如果值为空或0，则不应用限制。"
"Paginated content settings","分页内容设置"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","配置分页信息在多页分类列表和搜索结果的元标签中的显示方式。"
"Add pagination to meta titles","向元标题添加分页信息"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","控制分页内容的元标题中页码的显示方式。帮助搜索引擎理解分页结构。"
"Add pagination to meta descriptions","向元描述添加分页信息"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","控制分页内容的元描述中页码的显示方式。有助于在分页页面中保持唯一的元描述。"
"H1 Title","H1标题"
"General information","基本信息"
"Pattern of URL or action name","URL或操作名称的模式"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","可以是完整的操作名称或请求路径。允许使用通配符。示例:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","是否启用"
"Sort order","排序顺序"
"Store view","商店视图"
"Title","标题"
"Use title in breadcrumbs","在面包屑导航中使用标题"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","启用后，<b>标题</b>字段值将用作匹配页面上最后一个面包屑项目标签。"
"Robots meta header","Robots元标头"
"Add to Sitemap","添加到站点地图"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","包含的链接模式不得为操作名称或包含通配符。对于前端站点地图，<b>标题</b>字段是必填项。"
"SEO description position","SEO描述位置"
"Template for adding SEO description","添加SEO描述的模板"
"Block template","块模板"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","将添加到可在""SEO描述位置""和""添加SEO描述的模板""字段或""SEO描述""小部件中配置的位置。"
"Add rewrite","添加重写"
"ID","ID"
"URL","URL"
"Meta Robots","Meta Robots"
"Description position","描述位置"
"Store","商店"
"Internal name","内部名称"
"Type","类型"
"Description settings","描述设置"
"Will only be applied if native Magento category description block is displayed on the frontend.","仅在Magento原生分类描述块显示在前端时才会应用。"
"Short description","简短描述"
"Full description","完整描述"
"Rules processing","规则处理"
"Stop further rules processing","停止进一步的规则处理"
"Apply to child categories","应用于子分类"
"If category is set in Conditions, template will also be applied to all child categories.","如果条件中设置了分类，模板也将应用于所有子分类。"
"Landing pages additional settings","落地页附加设置"
"Apply for landing pages","应用于落地页"
"CMS pages additional settings","CMS页面附加设置"
"Apply for homepage","应用于首页"
"Brands additional settings","品牌附加设置"
"Apply for the ""All Brands"" page","应用于""所有品牌""页面"
"Add template","添加模板"
"Template","模板"
"Rule type","规则类型"
