"Template manager","Sjabloonbeheer"
"Pattern of URL or action name","Patroon van URL of actienaam"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","Kan een volledige actienaam of een aanvraagpad zijn. Jokerteken toegestaan. Voorbeelden:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","Is actief"
"Sort order","Sorteervolgorde"
"Store view","Winkelweergave"
"Title","Titel"
"Use title in breadcrumbs","Titel gebruiken in breadcrumbs"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","Indien ingeschakeld wordt de waarde van het veld <b>Titel</b> gebruikt als het label van het laatste breadcrumb-item op de overeenkomende pagina."
"Robots meta header","Robots meta-header"
"Add to Sitemap","Toevoegen aan sitemap"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Het opgenomen linkpatroon mag geen actienaam zijn of jokertekens bevatten. Voor een frontend sitemap is het veld <b>Titel</b> vereist."
"SEO description position","SEO-beschrijvingspositie"
"Template for adding SEO description","Sjabloon voor het toevoegen van SEO-beschrijving"
"Block template","Bloksjabloon"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","Wordt toegevoegd op de positie die u kunt configureren in het veld ""SEO-beschrijvingspositie"" en ""Sjabloon voor het toevoegen van SEO-beschrijving"" of aan de widget ""SEO-beschrijving""."
"Add rewrite","Herschrijving toevoegen"
"ID","ID"
"URL","URL"
"Meta Robots","Meta Robots"
"Description position","Beschrijvingspositie"
"Store","Winkel"
"Internal name","Interne naam"
"Type","Type"
"Description settings","Beschrijvingsinstellingen"
"Will only be applied if native Magento category description block is displayed on the frontend.","Wordt alleen toegepast als het native Magento-categoriebeschrijvingsblok op de frontend wordt weergegeven."
"Short description","Korte beschrijving"
"Full description","Volledige beschrijving"
"Rules processing","Regelverwerking"
"Stop further rules processing","Verdere regelverwerking stoppen"
"Apply to child categories","Toepassen op onderliggende categorieën"
"If category is set in Conditions, template will also be applied to all child categories.","Als een categorie is ingesteld in de Voorwaarden, wordt het sjabloon ook toegepast op alle onderliggende categorieën."
"Landing pages additional settings","Extra instellingen voor landingspagina's"
"Apply for landing pages","Toepassen op landingspagina's"
"CMS pages additional settings","Extra instellingen voor CMS-pagina's"
"Apply for homepage","Toepassen op de startpagina"
"Brands additional settings","Extra merkinstellingen"
"Apply for the ""All Brands"" page","Toepassen op de pagina ""Alle merken"""
"Add template","Sjabloon toevoegen"
"Template","Sjabloon"
"Rule type","Regeltype"
