"Template manager","Menedżer szablonów"
"Product Description","Opis produktu"
"Category description","Opis kategorii"
"Brand Description","Opis marki"
"Under product list","Pod listą produktów"
"Under short description","Pod krótkim opisem"
"Under full description","Pod pełnym opisem"
"Categories","Kategorie"
"Layered navigation","Nawigacja warstwowa"
"Products","Produkty"
"CMS pages","Strony CMS"
"Blog","Blog"
"Landing Pages","Strony docelowe"
"SEO Rewrite Import","Import przepisań SEO"
"Import rewrites (.csv)","Importuj przepisania (.csv)"
"Import rewrites","Importuj przepisania"
"This is a required field.","To pole jest wymagane."
"Example of CSV file","Przykład pliku CSV"
"SEO Rewrite Export","Eksport przepisań SEO"
"Export rewrites (.csv)","Eksportuj przepisania (.csv)"
"Export rewrites","Eksportuj przepisania"
"Please select the rule type","Wybierz typ reguły"
"Preview not allowed for layered navigation templates","Podgląd jest niedozwolony dla szablonów nawigacji warstwowej"
"Preview not allowed for Blog templates","Podgląd jest niedozwolony dla szablonów bloga"
"Preview not allowed for Brand templates","Podgląd jest niedozwolony dla szablonów marki"
"URL or Entity IDs separated by comma","URL lub identyfikatory encji oddzielone przecinkiem"
"Nothing to display","Brak elementów do wyświetlenia"
"Template variables","Zmienne szablonu"
"learn more","dowiedz się więcej"
"Double click on a variable to insert it into the field","Kliknij dwukrotnie zmienną, aby wstawić ją do pola"
"Learn more about template variables","Dowiedz się więcej o zmiennych szablonu"
"Template Preview","Podgląd szablonu"
"Reload","Odśwież"
"SEO Templates and rewrites","Szablony SEO i przepisania"
"General settings","Ustawienia ogólne"
"Configure basic behavior of meta tags processing across your store.","Skonfiguruj podstawowe zachowanie przetwarzania znaczników meta w sklepie."
"Apply store prefixes to custom titles","Zastosuj prefiksy sklepu do niestandardowych tytułów"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","Po włączeniu prefiks/sufiks tytułu sklepu (skonfigurowany w Treść > Projekt > Konfiguracja) będzie automatycznie stosowany do wszystkich niestandardowych meta tytułów."
"Allow HTML in meta tags","Zezwalaj na HTML w znacznikach meta"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","Po włączeniu znaki specjalne HTML (&, <, > itp.) będą zachowywane w znacznikach meta zamiast być escapowane. Przydatne do uwzględniania specjalnych symboli lub encji."
"Use existing meta tags","Używaj istniejących znaczników meta"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","Zdefiniuj, jak moduł ma stosować znaczniki meta oparte na szablonach dla różnych typów stron. Po włączeniu rozszerzenie najpierw sprawdza oryginalne znaczniki meta. Jeśli nie są puste, używa ich; w przeciwnym razie generuje znaczniki meta na podstawie zdefiniowanych szablonów. Po wyłączeniu znaczniki meta są zawsze generowane z szablonów, niezależnie od istniejących znaczników meta."
"Category pages","Strony kategorii"
"Product pages","Strony produktów"
"Blog pages","Strony bloga"
"Requires Mirasvit Blog module.","Wymaga modułu Mirasvit Blog."
"Brand pages","Strony marki"
"Requires Mirasvit Brand module.","Wymaga modułu Mirasvit Brand."
"Landing pages","Strony docelowe"
"Requires Mirasvit Landing Page module.","Wymaga modułu Mirasvit Landing Page."
"Content and meta length settings","Ustawienia długości treści i meta"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","Określ limity znaków dla różnych elementów meta, aby zapewnić optymalne wyświetlanie w wynikach wyszukiwania. Wartość elementu meta zostanie obcięta do określonej długości. Zbyt niskie wartości zostaną zastąpione zalecanymi minimami."
"Maximum character length for meta titles.","Maksymalna długość znaków dla meta tytułów."
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","Google zazwyczaj wyświetla ~55-60 znaków. Wartości poniżej 25 domyślnie przyjmą 55. Jeśli wartość jest pusta lub wynosi 0, nie jest stosowany żaden limit."
"Maximum character length for meta descriptions.","Maksymalna długość znaków dla meta opisów."
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Google zazwyczaj wyświetla ~150-160 znaków. Wartości poniżej 25 domyślnie przyjmą 150. Jeśli wartość jest pusta lub wynosi 0, nie jest stosowany żaden limit."
"Product name","Nazwa produktu"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","Maksymalna długość znaków dla nazw produktów wyświetlanych na stronach produktów. To ustawienie kontroluje skracanie tytułów produktów w treści strony."
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","Wartości poniżej 10 domyślnie przyjmą 25. Jeśli wartość jest pusta lub wynosi 0, nie jest stosowany żaden limit."
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","Maksymalna długość znaków dla krótkich opisów produktów wyświetlanych na stronach produktów. To ustawienie wpływa na prezentację treści strony."
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","Wartości poniżej 25 domyślnie przyjmą 90. Jeśli wartość jest pusta lub wynosi 0, nie jest stosowany żaden limit."
"Paginated content settings","Ustawienia treści paginowanych"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","Skonfiguruj, jak informacje o paginacji pojawiają się w znacznikach meta dla wielostronicowych list kategorii i wyników wyszukiwania."
"Add pagination to meta titles","Dodaj paginację do meta tytułów"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","Kontroluje, jak numery stron pojawiają się w meta tytułach dla treści paginowanych. Pomaga wyszukiwarkom zrozumieć strukturę paginacji."
"Add pagination to meta descriptions","Dodaj paginację do meta opisów"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","Kontroluje, jak numery stron pojawiają się w meta opisach dla treści paginowanych. Pomaga zachować unikalne meta opisy na stronach paginowanych."
"H1 Title","Tytuł H1"
"General information","Informacje ogólne"
"Pattern of URL or action name","Wzorzec URL lub nazwa akcji"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","Może to być pełna nazwa akcji lub ścieżka żądania. Dozwolone symbole wieloznaczne. Przykłady:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","Jest aktywny"
"Sort order","Kolejność sortowania"
"Store view","Widok sklepu"
"Title","Tytuł"
"Use title in breadcrumbs","Używaj tytułu w okruszkach nawigacyjnych"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","Po włączeniu wartość pola <b>Tytuł</b> będzie używana jako etykieta ostatniego elementu okruszków nawigacyjnych na dopasowanej stronie."
"Robots meta header","Nagłówek meta Robots"
"Add to Sitemap","Dodaj do mapy witryny"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Dołączony wzorzec linku nie może być nazwą akcji ani zawierać symboli wieloznacznych. Dla mapy witryny frontend wymagane jest pole <b>Tytuł</b>."
"SEO description position","Pozycja opisu SEO"
"Template for adding SEO description","Szablon do dodawania opisu SEO"
"Block template","Szablon bloku"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","Zostanie dodany na pozycji, którą możesz skonfigurować w polach ""Pozycja opisu SEO"" i ""Szablon do dodawania opisu SEO"" lub do widżetu ""Opis SEO""."
"Add rewrite","Dodaj przepisanie"
"ID","ID"
"URL","URL"
"Meta Robots","Meta Robots"
"Description position","Pozycja opisu"
"Store","Sklep"
"Internal name","Nazwa wewnętrzna"
"Type","Typ"
"Description settings","Ustawienia opisu"
"Will only be applied if native Magento category description block is displayed on the frontend.","Zostanie zastosowane tylko jeśli natywny blok opisu kategorii Magento jest wyświetlany na frontendzie."
"Short description","Krótki opis"
"Full description","Pełny opis"
"Rules processing","Przetwarzanie reguł"
"Stop further rules processing","Zatrzymaj dalsze przetwarzanie reguł"
"Apply to child categories","Zastosuj do kategorii podrzędnych"
"If category is set in Conditions, template will also be applied to all child categories.","Jeśli kategoria jest ustawiona w Warunkach, szablon zostanie również zastosowany do wszystkich kategorii podrzędnych."
"Landing pages additional settings","Dodatkowe ustawienia stron docelowych"
"Apply for landing pages","Zastosuj dla stron docelowych"
"CMS pages additional settings","Dodatkowe ustawienia stron CMS"
"Apply for homepage","Zastosuj dla strony głównej"
"Brands additional settings","Dodatkowe ustawienia marek"
"Apply for the ""All Brands"" page","Zastosuj dla strony ""Wszystkie marki"""
"Add template","Dodaj szablon"
"Template","Szablon"
"Rule type","Typ reguły"
