"Template manager","Менеджер шаблонів"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","Визначте, як модуль має застосовувати мета-теги на основі шаблонів для різних типів сторінок. Якщо увімкнено, розширення спочатку перевіряє оригінальні мета-теги. Якщо вони не порожні, використовує їх; інакше генерує мета-теги на основі визначених шаблонів. Якщо вимкнено, мета-теги завжди генеруються з шаблонів, незалежно від існуючих мета-тегів."
"Category pages","Сторінки категорій"
"Product pages","Сторінки товарів"
"Blog pages","Сторінки блогу"
"Requires Mirasvit Blog module.","Потрібен модуль Mirasvit Blog."
"Brand pages","Сторінки брендів"
"Requires Mirasvit Brand module.","Потрібен модуль Mirasvit Brand."
"Landing pages","Лендінгові сторінки"
"Requires Mirasvit Landing Page module.","Потрібен модуль Mirasvit Landing Page."
"Content and meta length settings","Налаштування довжини контенту та мета"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","Вкажіть обмеження символів для різних мета-елементів, щоб забезпечити оптимальне відображення в результатах пошуку. Значення мета-елемента буде скорочено до вказаної довжини. Занадто малі значення будуть замінені рекомендованими мінімумами."
"Maximum character length for meta titles.","Максимальна довжина символів для мета-заголовків."
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","Google зазвичай відображає ~55-60 символів. Значення нижче 25 за замовчуванням будуть 55. Якщо значення порожнє або 0, обмеження не застосовується."
"Maximum character length for meta descriptions.","Максимальна довжина символів для мета-описів."
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Google зазвичай відображає ~150-160 символів. Значення нижче 25 за замовчуванням будуть 150. Якщо значення порожнє або 0, обмеження не застосовується."
"Product name","Назва товару"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","Максимальна довжина символів для назв товарів, що відображаються на сторінках товарів. Це налаштування контролює скорочення заголовків товарів у контенті сторінки."
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","Значення нижче 10 за замовчуванням будуть 25. Якщо значення порожнє або 0, обмеження не застосовується."
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","Максимальна довжина символів для коротких описів товарів, що відображаються на сторінках товарів. Це налаштування впливає на представлення контенту сторінки."
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","Значення нижче 25 за замовчуванням будуть 90. Якщо значення порожнє або 0, обмеження не застосовується."
"Paginated content settings","Налаштування сторінкового контенту"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","Налаштуйте, як інформація про пагінацію відображається в мета-тегах для багатосторінкових списків категорій та результатів пошуку."
"Add pagination to meta titles","Додати пагінацію до мета-заголовків"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","Керує відображенням номерів сторінок у мета-заголовках для сторінкового контенту. Допомагає пошуковим системам зрозуміти структуру пагінації."
"Add pagination to meta descriptions","Додати пагінацію до мета-описів"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","Керує відображенням номерів сторінок у мета-описах для сторінкового контенту. Допомагає підтримувати унікальні мета-описи на всіх сторінках пагінації."
"H1 Title","Заголовок H1"
"General information","Загальна інформація"
"Pattern of URL or action name","Шаблон URL або назви дії"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","Може бути повною назвою дії або шляхом запиту. Символи підстановки дозволені. Приклади:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","Активний"
"Sort order","Порядок сортування"
"Store view","Представлення магазину"
"Title","Заголовок"
"Use title in breadcrumbs","Використовувати заголовок у хлібних крихтах"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","Якщо увімкнено, значення поля <b>Заголовок</b> буде використовуватися як мітка останнього елемента хлібних крихт на відповідній сторінці."
"Robots meta header","Robots meta header"
"Add to Sitemap","Додати до карти сайту"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Включений шаблон посилання не повинен бути назвою дії або містити символи підстановки. Для фронтальної карти сайту поле <b>Заголовок</b> є обов'язковим."
"SEO description position","Позиція SEO-опису"
"Template for adding SEO description","Шаблон для додавання SEO-опису"
"Block template","Шаблон блоку"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","Буде додано в позицію, яку ви можете налаштувати в полях ""Позиція SEO-опису"" та ""Шаблон для додавання SEO-опису"" або у віджет ""SEO-опис""."
"Add rewrite","Додати перезапис"
"ID","ID"
"URL","URL"
"Meta Robots","Meta Robots"
"Description position","Позиція опису"
"Store","Магазин"
"Internal name","Внутрішня назва"
"Type","Тип"
"Description settings","Налаштування опису"
"Will only be applied if native Magento category description block is displayed on the frontend.","Буде застосовано лише якщо нативний блок опису категорії Magento відображається на фронтенді."
"Short description","Короткий опис"
"Full description","Повний опис"
"Rules processing","Обробка правил"
"Stop further rules processing","Зупинити подальшу обробку правил"
"Apply to child categories","Застосувати до дочірніх категорій"
"If category is set in Conditions, template will also be applied to all child categories.","Якщо категорія встановлена в умовах, шаблон також буде застосований до всіх дочірніх категорій."
"Landing pages additional settings","Додаткові налаштування лендінгових сторінок"
"Apply for landing pages","Застосувати для лендінгових сторінок"
"CMS pages additional settings","Додаткові налаштування CMS-сторінок"
"Apply for homepage","Застосувати для головної сторінки"
"Brands additional settings","Додаткові налаштування брендів"
"Apply for the ""All Brands"" page","Застосувати для сторінки ""Усі бренди"""
"Add template","Додати шаблон"
"Template","Шаблон"
"Rule type","Тип правила"
