"Template manager","Správce šablon"
"Is Brand Page — %1","Stránka značky — %1"
"State","Stav"
"Applied Template — %1","Aplikovaná šablona — %1"
"Applied Rewrite — %1","Aplikovaný přepis — %1"
"Content","Obsah"
"Content Sources","Zdroje obsahu"
"Page %1 | %2","Stránka %1 | %2"
"%1 | Page %2","%1 | Stránka %2"
"Tag: %1","Štítek: %1"
"Back","Zpět"
"Delete","Smazat"
"Are you sure you want to do this?","Opravdu to chcete provést?"
"Save and continue edit","Uložit a pokračovat v úpravách"
"Save","Uložit"
"Edit","Upravit"
"Delete rewrite?","Smazat přepis?"
"Default","Výchozí"
"Yes","Ano"
"No","Ne"
"Bottom of the page","Spodek stránky"
"Under custom template","Pod vlastní šablonou"
"Don't add automatically","Nepřidávat automaticky"
"Don't change","Neměnit"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","Podmínky"
"Conditions (leave blank for all elements, depending from rule type)","Podmínky (nechte prázdné pro všechny prvky, v závislosti na typu pravidla)"
"Duplicate","Duplikovat"
"Delete template?","Smazat šablonu?"
"Meta title","Meta titulek"
"Meta keywords","Meta klíčová slova"
"Meta description","Meta popis"
"Title (H1)","Titulek (H1)"
"Product short description","Krátký popis produktu"
"Product Description","Popis produktu"
"Category description","Popis kategorie"
"Brand Description","Popis značky"
"Under product list","Pod seznamem produktů"
"Under short description","Pod krátkým popisem"
"Under full description","Pod plným popisem"
"Categories","Kategorie"
"Layered navigation","Vrstvená navigace"
"Products","Produkty"
"CMS pages","CMS stránky"
"Blog","Blog"
"Landing Pages","Vstupní stránky"
"SEO Rewrite Import","Import SEO přepisů"
"Import rewrites (.csv)","Importovat přepisy (.csv)"
"Import rewrites","Importovat přepisy"
"This is a required field.","Toto pole je povinné."
"Example of CSV file","Příklad CSV souboru"
"SEO Rewrite Export","Export SEO přepisů"
"Export rewrites (.csv)","Exportovat přepisy (.csv)"
"Export rewrites","Exportovat přepisy"
"Please select the rule type","Vyberte prosím typ pravidla"
"Preview not allowed for layered navigation templates","Náhled není povolen pro šablony vrstvené navigace"
"Preview not allowed for Blog templates","Náhled není povolen pro šablony blogu"
"Preview not allowed for Brand templates","Náhled není povolen pro šablony značky"
"URL or Entity IDs separated by comma","URL nebo ID entit oddělené čárkou"
"Nothing to display","Nic k zobrazení"
"Template variables","Proměnné šablony"
"learn more","zjistit více"
"Double click on a variable to insert it into the field","Dvojklikem na proměnnou ji vložíte do pole"
"Learn more about template variables","Zjistit více o proměnných šablony"
"Template Preview","Náhled šablony"
"Reload","Obnovit"
"SEO Templates and rewrites","SEO šablony a přepisy"
"General settings","Obecná nastavení"
"Configure basic behavior of meta tags processing across your store.","Nakonfigurujte základní chování zpracování meta tagů v celém obchodě."
"Apply store prefixes to custom titles","Aplikovat předpony obchodu na vlastní titulky"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","Pokud je povoleno, předpona/přípona titulku obchodu (nakonfigurovaná v Obsah > Design > Konfigurace) bude automaticky aplikována na jakékoli vlastní meta titulky."
"Allow HTML in meta tags","Povolit HTML v meta tazích"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","Pokud je povoleno, speciální HTML znaky (&, <, > atd.) budou v meta tazích zachovány místo přerušení. Užitečné pro zahrnutí speciálních symbolů nebo entit."
"Use existing meta tags","Použít existující meta tagy"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","Definujte, jak má modul aplikovat meta tagy založené na šablonách pro různé typy stránek. Pokud je povoleno, rozšíření nejprve zkontroluje původní meta tagy. Pokud nejsou prázdné, použije je; jinak generuje meta tagy na základě definovaných šablon. Pokud je zakázáno, meta tagy jsou vždy generovány ze šablon bez ohledu na existující meta tagy."
"Category pages","Stránky kategorií"
"Product pages","Stránky produktů"
"Blog pages","Stránky blogu"
"Requires Mirasvit Blog module.","Vyžaduje modul Mirasvit Blog."
"Brand pages","Stránky značek"
"Requires Mirasvit Brand module.","Vyžaduje modul Mirasvit Brand."
"Landing pages","Vstupní stránky"
"Requires Mirasvit Landing Page module.","Vyžaduje modul Mirasvit Landing Page."
"Content and meta length settings","Nastavení délky obsahu a meta"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","Zadejte limity znaků pro různé meta elementy pro zajištění optimálního zobrazení ve výsledcích vyhledávání. Hodnota meta elementu bude zkrácena na zadanou délku. Příliš nízké hodnoty budou nahrazeny doporučenými minimy."
"Maximum character length for meta titles.","Maximální délka znaků pro meta titulky."
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","Google obvykle zobrazuje ~55-60 znaků. Hodnoty pod 25 budou výchozí na 55. Pokud je hodnota prázdná nebo 0, není aplikován žádný limit."
"Maximum character length for meta descriptions.","Maximální délka znaků pro meta popisy."
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Google obvykle zobrazuje ~150-160 znaků. Hodnoty pod 25 budou výchozí na 150. Pokud je hodnota prázdná nebo 0, není aplikován žádný limit."
"Product name","Název produktu"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","Maximální délka znaků pro názvy produktů zobrazené na stránkách produktů. Toto nastavení řídí zkrácení titulků produktů v obsahu stránky."
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","Hodnoty pod 10 budou výchozí na 25. Pokud je hodnota prázdná nebo 0, není aplikován žádný limit."
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","Maximální délka znaků pro krátké popisy produktů zobrazené na stránkách produktů. Toto nastavení ovlivňuje prezentaci obsahu stránky."
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","Hodnoty pod 25 budou výchozí na 90. Pokud je hodnota prázdná nebo 0, není aplikován žádný limit."
"Paginated content settings","Nastavení stránkovaného obsahu"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","Nakonfigurujte, jak se informace o stránkování zobrazují v meta tazích pro vícestrankové výpisy kategorií a výsledky vyhledávání."
"Add pagination to meta titles","Přidat stránkování do meta titulků"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","Řídí, jak se čísla stránek zobrazují v meta titulcích pro stránkovaný obsah. Pomáhá vyhledávačům porozumět struktuře stránkování."
"Add pagination to meta descriptions","Přidat stránkování do meta popisů"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","Řídí, jak se čísla stránek zobrazují v meta popisech pro stránkovaný obsah. Pomáhá udržovat jedinečné meta popisy napříč stránkovanými stránkami."
"H1 Title","Titulek H1"
"General information","Obecné informace"
"Pattern of URL or action name","Vzor URL nebo název akce"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","Může být plný název akce nebo cesta požadavku. Zástupné znaky jsou povoleny. Příklady:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","Aktivní"
"Sort order","Pořadí řazení"
"Store view","Zobrazení obchodu"
"Title","Titulek"
"Use title in breadcrumbs","Použít titulek v navigačních drobečcích"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","Pokud je povoleno, hodnota pole <b>Titulek</b> bude použita jako štítek posledního prvku navigačních drobečků na odpovídající stránce."
"Robots meta header","Robots meta header"
"Add to Sitemap","Přidat do mapy webu"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Zahrnutý vzor odkazu nesmí být název akce ani obsahovat zástupné znaky. Pro frontendovou mapu webu je pole <b>Titulek</b> povinné."
"SEO description position","Pozice SEO popisu"
"Template for adding SEO description","Šablona pro přidání SEO popisu"
"Block template","Šablona bloku"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","Bude přidáno na pozici, kterou lze nakonfigurovat v poli ""Pozice SEO popisu"" a ""Šablona pro přidání SEO popisu"" nebo do widgetu ""SEO popis""."
"Add rewrite","Přidat přepis"
"ID","ID"
"URL","URL"
"Meta Robots","Meta Robots"
"Description position","Pozice popisu"
"Store","Obchod"
"Internal name","Interní název"
"Type","Typ"
"Description settings","Nastavení popisu"
"Will only be applied if native Magento category description block is displayed on the frontend.","Bude aplikováno pouze pokud je nativní blok popisu kategorie Magento zobrazen na frontendu."
"Short description","Krátký popis"
"Full description","Plný popis"
"Rules processing","Zpracování pravidel"
"Stop further rules processing","Zastavit další zpracování pravidel"
"Apply to child categories","Aplikovat na podkategorie"
"If category is set in Conditions, template will also be applied to all child categories.","Pokud je kategorie nastavena v podmínkách, šablona bude také aplikována na všechny podkategorie."
"Landing pages additional settings","Další nastavení vstupních stránek"
"Apply for landing pages","Aplikovat pro vstupní stránky"
"CMS pages additional settings","Další nastavení CMS stránek"
"Apply for homepage","Aplikovat pro domovskou stránku"
"Brands additional settings","Další nastavení značek"
"Apply for the ""All Brands"" page","Aplikovat pro stránku ""Všechny značky"""
"Add template","Přidat šablonu"
"Template","Šablona"
"Rule type","Typ pravidla"
