"Template manager","مدير القوالب"
"Is Product Page — %1","صفحة منتج — %1"
"Is CMS page — %1","صفحة CMS — %1"
"Is Blog Page — %1","صفحة مدونة — %1"
"Is Brand Page — %1","صفحة علامة تجارية — %1"
"State","الحالة"
"Applied Template — %1","القالب المطبق — %1"
"Applied Rewrite — %1","إعادة الكتابة المطبقة — %1"
"Content","المحتوى"
"Content Sources","مصادر المحتوى"
"Page %1 | %2","الصفحة %1 | %2"
"%1 | Page %2","%1 | الصفحة %2"
"Tag: %1","الوسم: %1"
"Back","رجوع"
"Delete","حذف"
"Are you sure you want to do this?","هل أنت متأكد من رغبتك في تنفيذ هذا الإجراء؟"
"Save and continue edit","حفظ ومتابعة التعديل"
"Save","حفظ"
"Edit","تعديل"
"Delete rewrite?","حذف إعادة الكتابة؟"
"Default","افتراضي"
"Yes","نعم"
"No","لا"
"Bottom of the page","أسفل الصفحة"
"Under custom template","أسفل القالب المخصص"
"Don't add automatically","لا تضف تلقائياً"
"Don't change","لا تغيير"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","الشروط"
"Conditions (leave blank for all elements, depending from rule type)","الشروط (اتركها فارغة لجميع العناصر، حسب نوع القاعدة)"
"Duplicate","تكرار"
"Delete template?","حذف القالب؟"
"Meta title","عنوان ميتا"
"Meta keywords","كلمات ميتا المفتاحية"
"Meta description","وصف ميتا"
"Title (H1)","العنوان (H1)"
"Product short description","وصف المنتج المختصر"
"Product Description","وصف المنتج"
"Category description","وصف الفئة"
"Brand Description","وصف العلامة التجارية"
"Under product list","أسفل قائمة المنتجات"
"Under short description","أسفل الوصف المختصر"
"Under full description","أسفل الوصف الكامل"
"Categories","الفئات"
"Layered navigation","التنقل المتعدد الطبقات"
"Products","المنتجات"
"CMS pages","صفحات CMS"
"Blog","المدونة"
"Landing Pages","الصفحات المقصودة"
"SEO Rewrite Import","استيراد إعادة كتابة SEO"
"Import rewrites (.csv)","استيراد عمليات إعادة الكتابة (.csv)"
"Import rewrites","استيراد عمليات إعادة الكتابة"
"This is a required field.","هذا الحقل مطلوب."
"Example of CSV file","مثال على ملف CSV"
"SEO Rewrite Export","تصدير إعادة كتابة SEO"
"Export rewrites (.csv)","تصدير عمليات إعادة الكتابة (.csv)"
"Export rewrites","تصدير عمليات إعادة الكتابة"
"Please select the rule type","يرجى تحديد نوع القاعدة"
"Preview not allowed for layered navigation templates","المعاينة غير مسموح بها لقوالب التنقل المتعدد الطبقات"
"Preview not allowed for Blog templates","المعاينة غير مسموح بها لقوالب المدونة"
"Preview not allowed for Brand templates","المعاينة غير مسموح بها لقوالب العلامة التجارية"
"URL or Entity IDs separated by comma","URL أو معرّفات الكيانات مفصولة بفاصلة"
"Nothing to display","لا شيء لعرضه"
"Template variables","متغيرات القالب"
"learn more","اعرف المزيد"
"Double click on a variable to insert it into the field","انقر نقراً مزدوجاً على متغير لإدراجه في الحقل"
"Learn more about template variables","اعرف المزيد حول متغيرات القالب"
"Template Preview","معاينة القالب"
"Reload","تحديث"
"SEO Templates and rewrites","قوالب SEO وعمليات إعادة الكتابة"
"General settings","الإعدادات العامة"
"Configure basic behavior of meta tags processing across your store.","اضبط السلوك الأساسي لمعالجة وسوم ميتا عبر متجرك."
"Apply store prefixes to custom titles","تطبيق بادئات المتجر على العناوين المخصصة"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","عند التفعيل، سيتم تطبيق بادئة/لاحقة عنوان المتجر (المضبوطة في المحتوى > التصميم > الإعدادات) تلقائياً على أي عناوين ميتا مخصصة."
"Allow HTML in meta tags","السماح بـ HTML في وسوم ميتا"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","عند التفعيل، ستُحفظ الأحرف الخاصة في HTML (&، <، >، إلخ) في وسوم ميتا بدلاً من إخضاعها للترميز. مفيد لتضمين الرموز أو الكيانات الخاصة."
"Use existing meta tags","استخدام وسوم ميتا الموجودة"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","حدد كيفية تطبيق الوحدة لوسوم ميتا المستندة إلى القوالب لأنواع الصفحات المختلفة. عند التفعيل، تتحقق الإضافة أولاً من وسوم ميتا الأصلية. إذا لم تكن فارغة تستخدمها؛ وإلا تنشئ وسوم ميتا بناءً على القوالب المحددة. عند التعطيل، تُنشأ وسوم ميتا دائماً من القوالب بغض النظر عن وسوم ميتا الموجودة."
"Category pages","صفحات الفئات"
"Product pages","صفحات المنتجات"
"Blog pages","صفحات المدونة"
"Requires Mirasvit Blog module.","يتطلب وحدة Mirasvit Blog."
"Brand pages","صفحات العلامة التجارية"
"Requires Mirasvit Brand module.","يتطلب وحدة Mirasvit Brand."
"Landing pages","الصفحات المقصودة"
"Requires Mirasvit Landing Page module.","يتطلب وحدة Mirasvit Landing Page."
"Content and meta length settings","إعدادات طول المحتوى وميتا"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","حدد حدود الأحرف لعناصر ميتا المختلفة لضمان العرض الأمثل في نتائج البحث. سيتم اقتطاع قيمة عنصر ميتا إلى الطول المحدد. ستُستبدل القيم المنخفضة جداً بالحدود الدنيا الموصى بها."
"Maximum character length for meta titles.","الحد الأقصى لأحرف عناوين ميتا."
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","تعرض Google عادةً ~55-60 حرفاً. القيم الأقل من 25 ستكون افتراضياً 55. إذا كانت القيمة فارغة أو 0، لا يوجد حد مطبق."
"Maximum character length for meta descriptions.","الحد الأقصى لأحرف أوصاف ميتا."
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","تعرض Google عادةً ~150-160 حرفاً. القيم الأقل من 25 ستكون افتراضياً 150. إذا كانت القيمة فارغة أو 0، لا يوجد حد مطبق."
"Product name","اسم المنتج"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","الحد الأقصى لأحرف أسماء المنتجات المعروضة في صفحات المنتجات. يتحكم هذا الإعداد في اقتطاع عناوين المنتجات في محتوى الصفحة."
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","القيم الأقل من 10 ستكون افتراضياً 25. إذا كانت القيمة فارغة أو 0، لا يوجد حد مطبق."
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","الحد الأقصى لأحرف الأوصاف المختصرة للمنتجات المعروضة في صفحات المنتجات. يؤثر هذا الإعداد على عرض محتوى الصفحة."
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","القيم الأقل من 25 ستكون افتراضياً 90. إذا كانت القيمة فارغة أو 0، لا يوجد حد مطبق."
"Paginated content settings","إعدادات المحتوى المرقّم"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","اضبط كيفية ظهور معلومات ترقيم الصفحات في وسوم ميتا لقوائم الفئات متعددة الصفحات ونتائج البحث."
"Add pagination to meta titles","إضافة ترقيم الصفحات إلى عناوين ميتا"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","يتحكم في كيفية ظهور أرقام الصفحات في عناوين ميتا للمحتوى المرقّم. يساعد محركات البحث على فهم بنية ترقيم الصفحات."
"Add pagination to meta descriptions","إضافة ترقيم الصفحات إلى أوصاف ميتا"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","يتحكم في كيفية ظهور أرقام الصفحات في أوصاف ميتا للمحتوى المرقّم. يساعد على الحفاظ على أوصاف ميتا فريدة عبر الصفحات المرقّمة."
"H1 Title","عنوان H1"
"General information","المعلومات العامة"
"Pattern of URL or action name","نمط URL أو اسم الإجراء"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","يمكن أن يكون اسم إجراء كاملاً أو مسار طلب. البدل مسموح به. أمثلة:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","نشط"
"Sort order","ترتيب الفرز"
"Store view","عرض المتجر"
"Title","العنوان"
"Use title in breadcrumbs","استخدام العنوان في مسار التنقل"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","عند التفعيل، ستُستخدم قيمة حقل <b>العنوان</b> كتسمية لآخر عنصر في مسار التنقل في الصفحة المتطابقة."
"Robots meta header","رأس ميتا Robots"
"Add to Sitemap","إضافة إلى خريطة الموقع"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","يجب ألا يكون نمط الرابط المضمّن اسم إجراء أو يحتوي على أحرف بدل. بالنسبة لخريطة الموقع الأمامية، حقل <b>العنوان</b> مطلوب."
"SEO description position","موضع وصف SEO"
"Template for adding SEO description","قالب لإضافة وصف SEO"
"Block template","قالب الكتلة"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","سيتم إضافته في الموضع الذي يمكنك ضبطه في حقل ""موضع وصف SEO"" و""قالب لإضافة وصف SEO"" أو إلى أداة ""وصف SEO""."
"Add rewrite","إضافة إعادة كتابة"
"ID","المعرّف"
"URL","URL"
"Meta Robots","Meta Robots"
"Description position","موضع الوصف"
"Store","المتجر"
"Internal name","الاسم الداخلي"
"Type","النوع"
"Description settings","إعدادات الوصف"
"Will only be applied if native Magento category description block is displayed on the frontend.","ستُطبق فقط إذا كانت كتلة وصف فئة Magento الأصلية معروضة في الواجهة الأمامية."
"Short description","وصف مختصر"
"Full description","وصف كامل"
"Rules processing","معالجة القواعد"
"Stop further rules processing","إيقاف معالجة القواعد الإضافية"
"Apply to child categories","تطبيق على الفئات الفرعية"
"If category is set in Conditions, template will also be applied to all child categories.","إذا كانت الفئة مضبوطة في الشروط، سيُطبق القالب أيضاً على جميع الفئات الفرعية."
"Landing pages additional settings","إعدادات إضافية للصفحات المقصودة"
"Apply for landing pages","تطبيق على الصفحات المقصودة"
"CMS pages additional settings","إعدادات إضافية لصفحات CMS"
"Apply for homepage","تطبيق على الصفحة الرئيسية"
"Brands additional settings","إعدادات إضافية للعلامات التجارية"
"Apply for the ""All Brands"" page","تطبيق على صفحة ""جميع العلامات التجارية"""
"Add template","إضافة قالب"
"Template","القالب"
"Rule type","نوع القاعدة"
