"Template manager","Gerenciador de templates"
"Bottom of the page","Na parte inferior da página"
"Under custom template","Abaixo do template personalizado"
"Don't add automatically","Não adicionar automaticamente"
"Don't change","Não alterar"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","Condições"
"Conditions (leave blank for all elements, depending from rule type)","Condições (deixar em branco para todos os elementos, dependendo do tipo de regra)"
"Duplicate","Duplicar"
"Delete template?","Excluir o template?"
"Meta title","Meta título"
"Meta keywords","Meta palavras-chave"
"Meta description","Meta descrição"
"Title (H1)","Título (H1)"
"Product short description","Descrição curta do produto"
"Product Description","Descrição do produto"
"Category description","Descrição da categoria"
"Brand Description","Descrição da marca"
"Under product list","Abaixo da lista de produtos"
"Under short description","Abaixo da descrição curta"
"Under full description","Abaixo da descrição completa"
"Categories","Categorias"
"Layered navigation","Navegação em camadas"
"Products","Produtos"
"CMS pages","Páginas CMS"
"Blog","Blog"
"Landing Pages","Páginas de destino"
"SEO Rewrite Import","Importação de reescrita SEO"
"Import rewrites (.csv)","Importar reescritas (.csv)"
"Import rewrites","Importar reescritas"
"This is a required field.","Este campo é obrigatório."
"Example of CSV file","Exemplo de arquivo CSV"
"SEO Rewrite Export","Exportação de reescrita SEO"
"Export rewrites (.csv)","Exportar reescritas (.csv)"
"Export rewrites","Exportar reescritas"
"Please select the rule type","Por favor, selecione o tipo de regra"
"Preview not allowed for layered navigation templates","Pré-visualização não permitida para templates de navegação em camadas"
"Preview not allowed for Blog templates","Pré-visualização não permitida para templates de blog"
"Preview not allowed for Brand templates","Pré-visualização não permitida para templates de marca"
"URL or Entity IDs separated by comma","URL ou IDs de entidade separados por vírgula"
"Nothing to display","Nada a exibir"
"Template variables","Variáveis do template"
"learn more","saiba mais"
"Double click on a variable to insert it into the field","Clique duas vezes em uma variável para inseri-la no campo"
"Learn more about template variables","Saiba mais sobre as variáveis do template"
"Template Preview","Pré-visualização do template"
"Reload","Recarregar"
"SEO Templates and rewrites","Templates SEO e reescritas"
"General settings","Configurações gerais"
"Configure basic behavior of meta tags processing across your store.","Configure o comportamento básico do processamento de meta tags em toda a sua loja."
"Apply store prefixes to custom titles","Aplicar prefixos da loja a títulos personalizados"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","Quando ativado, o prefixo/sufixo do título da loja (configurado em Conteúdo > Design > Configuração) será aplicado automaticamente a qualquer meta título personalizado."
"Allow HTML in meta tags","Permitir HTML em meta tags"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","Quando ativado, os caracteres especiais HTML (&, <, >, etc.) serão preservados nas meta tags em vez de serem escapados. Útil para incluir símbolos ou entidades especiais."
"Use existing meta tags","Usar meta tags existentes"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","Defina como o módulo deve aplicar as meta tags baseadas em templates para diferentes tipos de página. Quando ativado, a extensão verifica primeiro as meta tags originais. Se não estiverem vazias, as utiliza; caso contrário, gera meta tags com base nos templates definidos. Quando desativado, as meta tags são sempre geradas a partir dos templates, independentemente das meta tags existentes."
"Category pages","Páginas de categoria"
"Product pages","Páginas de produto"
"Blog pages","Páginas de blog"
"Requires Mirasvit Blog module.","Requer o módulo Mirasvit Blog."
"Brand pages","Páginas de marca"
"Requires Mirasvit Brand module.","Requer o módulo Mirasvit Brand."
"Landing pages","Páginas de destino"
"Requires Mirasvit Landing Page module.","Requer o módulo Mirasvit Landing Page."
"Content and meta length settings","Configurações de comprimento de conteúdo e meta"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","Especifique os limites de caracteres para os diferentes elementos meta para garantir uma exibição ideal nos resultados de pesquisa. O valor do elemento meta será truncado ao comprimento especificado. Valores muito baixos serão substituídos pelos mínimos recomendados."
"Maximum character length for meta titles.","Comprimento máximo de caracteres para meta títulos."
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","O Google normalmente exibe ~55-60 caracteres. Valores abaixo de 25 terão como padrão 55. Se o valor estiver vazio ou for 0, nenhum limite é aplicado."
"Maximum character length for meta descriptions.","Comprimento máximo de caracteres para meta descrições."
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","O Google normalmente exibe ~150-160 caracteres. Valores abaixo de 25 terão como padrão 150. Se o valor estiver vazio ou for 0, nenhum limite é aplicado."
"Product name","Nome do produto"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","Comprimento máximo de caracteres para nomes de produtos exibidos nas páginas de produtos. Esta configuração controla o truncamento dos títulos de produtos no conteúdo da página."
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","Valores abaixo de 10 terão como padrão 25. Se o valor estiver vazio ou for 0, nenhum limite é aplicado."
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","Comprimento máximo de caracteres para descrições curtas de produtos exibidas nas páginas de produtos. Esta configuração afeta a apresentação do conteúdo da página."
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","Valores abaixo de 25 terão como padrão 90. Se o valor estiver vazio ou for 0, nenhum limite é aplicado."
"Paginated content settings","Configurações de conteúdo paginado"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","Configure como as informações de paginação aparecem nas meta tags para listagens de categorias de várias páginas e resultados de pesquisa."
"Add pagination to meta titles","Adicionar paginação aos meta títulos"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","Controla como os números de página aparecem nos meta títulos para conteúdo paginado. Ajuda os mecanismos de busca a entender a estrutura de paginação."
"Add pagination to meta descriptions","Adicionar paginação às meta descrições"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","Controla como os números de página aparecem nas meta descrições para conteúdo paginado. Ajuda a manter meta descrições exclusivas nas páginas paginadas."
"H1 Title","Título H1"
"General information","Informações gerais"
"Pattern of URL or action name","Padrão de URL ou nome de ação"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","Pode ser um nome de ação completo ou um caminho de solicitação. Caracteres curinga são permitidos. Exemplos:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","Está ativo"
"Sort order","Ordem de classificação"
"Store view","Visão da loja"
"Title","Título"
"Use title in breadcrumbs","Usar título no breadcrumb"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","Quando ativado, o valor do campo <b>Título</b> será usado como o rótulo do último item do breadcrumb na página correspondente."
"Robots meta header","Cabeçalho meta robots"
"Add to Sitemap","Adicionar ao mapa do site"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","O padrão de link incluído não deve ser um nome de ação nem conter caracteres curinga. Para um mapa do site frontend, o campo <b>Título</b> é obrigatório."
"SEO description position","Posição da descrição SEO"
"Template for adding SEO description","Template para adicionar descrição SEO"
"Block template","Template de bloco"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","Será adicionado na posição que você pode configurar nos campos ""Posição da descrição SEO"" e ""Template para adicionar descrição SEO"" ou no widget ""Descrição SEO""."
"Add rewrite","Adicionar reescrita"
"ID","ID"
"URL","URL"
"Meta Robots","Meta Robots"
"Description position","Posição da descrição"
"Store","Loja"
"Internal name","Nome interno"
"Type","Tipo"
"Description settings","Configurações da descrição"
"Will only be applied if native Magento category description block is displayed on the frontend.","Será aplicado apenas se o bloco de descrição de categoria nativo do Magento for exibido no frontend."
"Short description","Descrição curta"
"Full description","Descrição completa"
"Rules processing","Processamento de regras"
"Stop further rules processing","Parar o processamento de regras adicionais"
"Apply to child categories","Aplicar a categorias filhas"
"If category is set in Conditions, template will also be applied to all child categories.","Se a categoria estiver definida nas Condições, o template também será aplicado a todas as categorias filhas."
"Landing pages additional settings","Configurações adicionais de páginas de destino"
"Apply for landing pages","Aplicar para páginas de destino"
"CMS pages additional settings","Configurações adicionais de páginas CMS"
"Apply for homepage","Aplicar para a página inicial"
"Brands additional settings","Configurações adicionais de marcas"
"Apply for the ""All Brands"" page","Aplicar para a página ""Todas as marcas"""
"Add template","Adicionar template"
"Template","Template"
"Rule type","Tipo de regra"
