"Template manager","Gestor de modelos"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","Será adicionado na posição que pode configurar nos campos ""Posição da descrição SEO"" e ""Modelo para adicionar descrição SEO"" ou no widget ""Descrição SEO""."
"Add rewrite","Adicionar reescrita"
"ID","ID"
"URL","URL"
"Meta Robots","Meta Robots"
"Description position","Posição da descrição"
"Store","Loja"
"Internal name","Nome interno"
"Type","Tipo"
"Description settings","Definições de descrição"
"Will only be applied if native Magento category description block is displayed on the frontend.","Será aplicado apenas se o bloco de descrição de categoria nativo do Magento for exibido no frontend."
"Short description","Descrição breve"
"Full description","Descrição completa"
"Rules processing","Processamento de regras"
"Stop further rules processing","Parar o processamento de regras adicionais"
"Apply to child categories","Aplicar a categorias filhas"
"If category is set in Conditions, template will also be applied to all child categories.","Se a categoria estiver definida nas Condições, o modelo também será aplicado a todas as categorias filhas."
"Landing pages additional settings","Definições adicionais de páginas de destino"
"Apply for landing pages","Aplicar para páginas de destino"
"CMS pages additional settings","Definições adicionais de páginas CMS"
"Apply for homepage","Aplicar para a página inicial"
"Brands additional settings","Definições adicionais de marcas"
"Apply for the ""All Brands"" page","Aplicar para a página ""Todas as marcas"""
"Add template","Adicionar modelo"
"Template","Modelo"
"Rule type","Tipo de regra"
