"Template manager","Şablon yöneticisi"
"Brand Description","Marka açıklaması"
"Under product list","Ürün listesinin altında"
"Under short description","Kısa açıklamanın altında"
"Under full description","Tam açıklamanın altında"
"Categories","Kategoriler"
"Layered navigation","Katmanlı navigasyon"
"Products","Ürünler"
"CMS pages","CMS sayfaları"
"Blog","Blog"
"Landing Pages","Açılış sayfaları"
"SEO Rewrite Import","SEO Yeniden Yazma İçe Aktarma"
"Import rewrites (.csv)","Yeniden yazmaları içe aktar (.csv)"
"Import rewrites","Yeniden yazmaları içe aktar"
"This is a required field.","Bu zorunlu bir alandır."
"Example of CSV file","CSV dosyası örneği"
"SEO Rewrite Export","SEO Yeniden Yazma Dışa Aktarma"
"Export rewrites (.csv)","Yeniden yazmaları dışa aktar (.csv)"
"Export rewrites","Yeniden yazmaları dışa aktar"
"Please select the rule type","Lütfen kural türünü seçin"
"Preview not allowed for layered navigation templates","Katmanlı navigasyon şablonları için önizleme yapılamaz"
"Preview not allowed for Blog templates","Blog şablonları için önizleme yapılamaz"
"Preview not allowed for Brand templates","Marka şablonları için önizleme yapılamaz"
"URL or Entity IDs separated by comma","Virgülle ayrılmış URL veya Varlık ID'leri"
"Nothing to display","Görüntülenecek bir şey yok"
"Template variables","Şablon değişkenleri"
"learn more","daha fazla bilgi edinin"
"Double click on a variable to insert it into the field","Değişkeni alana eklemek için üzerine çift tıklayın"
"Learn more about template variables","Şablon değişkenleri hakkında daha fazla bilgi edinin"
"Template Preview","Şablon önizleme"
"Reload","Yenile"
"SEO Templates and rewrites","SEO Şablonları ve yeniden yazmalar"
"General settings","Genel ayarlar"
"Configure basic behavior of meta tags processing across your store.","Mağazanız genelinde meta etiket işlemenin temel davranışını yapılandırın."
"Apply store prefixes to custom titles","Özel başlıklara mağaza öneklerini uygula"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","Etkinleştirildiğinde, mağazanın başlık öneki/son eki (İçerik > Tasarım > Yapılandırma'da ayarlanmış) herhangi bir özel meta başlığına otomatik olarak uygulanır."
"Allow HTML in meta tags","Meta etiketlerde HTML'ye izin ver"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","Etkinleştirildiğinde, HTML özel karakterleri (&, <, > vb.) kaçış karakterine dönüştürülmek yerine meta etiketlerde korunur. Özel semboller veya varlıklar dahil etmek için kullanışlıdır."
"Use existing meta tags","Mevcut meta etiketleri kullan"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","Modülün farklı sayfa türleri için şablon tabanlı meta etiketleri nasıl uygulayacağını tanımlayın. Etkinleştirildiğinde uzantı önce orijinal meta etiketleri kontrol eder. Boş değillerse onları kullanır; aksi takdirde tanımlanan şablonlara göre meta etiketler oluşturur. Devre dışı bırakıldığında, mevcut meta etiketlerinden bağımsız olarak meta etiketler her zaman şablonlardan oluşturulur."
"Category pages","Kategori sayfaları"
"Product pages","Ürün sayfaları"
"Blog pages","Blog sayfaları"
"Requires Mirasvit Blog module.","Mirasvit Blog modülü gereklidir."
"Brand pages","Marka sayfaları"
"Requires Mirasvit Brand module.","Mirasvit Brand modülü gereklidir."
"Landing pages","Açılış sayfaları"
"Requires Mirasvit Landing Page module.","Mirasvit Landing Page modülü gereklidir."
"Content and meta length settings","İçerik ve meta uzunluğu ayarları"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","Arama sonuçlarında optimum görüntüleme sağlamak için farklı meta öğeler için karakter sınırları belirtin. Meta öğe değeri belirtilen uzunluğa kısaltılır. Çok düşük değerler önerilen minimumlarla değiştirilir."
"Maximum character length for meta titles.","Meta başlıklar için maksimum karakter uzunluğu."
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","Google genellikle ~55-60 karakter görüntüler. 25'in altındaki değerler varsayılan olarak 55 olur. Değer boş veya 0 ise limit uygulanmaz."
"Maximum character length for meta descriptions.","Meta açıklamalar için maksimum karakter uzunluğu."
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Google genellikle ~150-160 karakter görüntüler. 25'in altındaki değerler varsayılan olarak 150 olur. Değer boş veya 0 ise limit uygulanmaz."
"Product name","Ürün adı"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","Ürün sayfalarında görüntülenen ürün adları için maksimum karakter uzunluğu. Bu ayar, sayfa içeriğindeki ürün başlıklarının kısaltılmasını kontrol eder."
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","10'un altındaki değerler varsayılan olarak 25 olur. Değer boş veya 0 ise limit uygulanmaz."
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","Ürün sayfalarında görüntülenen ürün kısa açıklamaları için maksimum karakter uzunluğu. Bu ayar sayfa içeriği sunumunu etkiler."
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","25'in altındaki değerler varsayılan olarak 90 olur. Değer boş veya 0 ise limit uygulanmaz."
"Paginated content settings","Sayfalanmış içerik ayarları"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","Çok sayfalı kategori listelemeleri ve arama sonuçları için meta etiketlerde sayfalama bilgisinin nasıl görüneceğini yapılandırın."
"Add pagination to meta titles","Meta başlıklara sayfalama ekle"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","Sayfalanmış içerik için meta başlıklarda sayfa numaralarının nasıl görüneceğini kontrol eder. Arama motorlarının sayfalama yapısını anlamasına yardımcı olur."
"Add pagination to meta descriptions","Meta açıklamalara sayfalama ekle"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","Sayfalanmış içerik için meta açıklamalarda sayfa numaralarının nasıl görüneceğini kontrol eder. Sayfalanmış sayfalar genelinde benzersiz meta açıklamaların korunmasına yardımcı olur."
"H1 Title","H1 Başlığı"
"General information","Genel bilgi"
"Pattern of URL or action name","URL veya eylem adı deseni"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","Tam eylem adı veya istek yolu olabilir. Joker karaktere izin verilir. Örnekler:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","Aktif"
"Sort order","Sıralama düzeni"
"Store view","Mağaza Görünümü"
"Title","Başlık"
"Use title in breadcrumbs","Başlığı ekmek kırıntılarında kullan"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","Etkinleştirildiğinde, <b>Başlık</b> alanı değeri eşleşen sayfada son ekmek kırıntısı öğesi etiketi olarak kullanılır."
"Robots meta header","Robots meta başlığı"
"Add to Sitemap","Site haritasına ekle"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Dahil edilen bağlantı deseni bir eylem adı olmamalı veya joker karakterler içermemelidir. Frontend site haritası için <b>Başlık</b> alanı zorunludur."
"SEO description position","SEO açıklaması konumu"
"Template for adding SEO description","SEO açıklaması eklemek için şablon"
"Block template","Blok şablonu"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","\"SEO açıklaması konumu\" ve \"SEO açıklaması eklemek için şablon\" alanında yapılandırabileceğiniz konuma veya \"SEO açıklaması\" widget'ına eklenecektir."
"Add rewrite","Yeniden yazma ekle"
"ID","ID"
"URL","URL"
"Meta Robots","Meta Robots"
"Description position","Açıklama konumu"
"Store","Mağaza"
"Internal name","Dahili ad"
"Type","Tür"
"Description settings","Açıklama ayarları"
"Will only be applied if native Magento category description block is displayed on the frontend.","Yalnızca yerel Magento kategori açıklaması bloğu frontend'de görüntüleniyorsa uygulanır."
"Short description","Kısa açıklama"
"Full description","Tam açıklama"
"Rules processing","Kural işleme"
"Stop further rules processing","Daha fazla kural işlemeyi durdur"
"Apply to child categories","Alt kategorilere uygula"
"If category is set in Conditions, template will also be applied to all child categories.","Koşullarda kategori ayarlanmışsa şablon tüm alt kategorilere de uygulanır."
"Landing pages additional settings","Açılış sayfaları ek ayarları"
"Apply for landing pages","Açılış sayfaları için uygula"
"CMS pages additional settings","CMS sayfaları ek ayarları"
"Apply for homepage","Ana sayfa için uygula"
"Brands additional settings","Markalar ek ayarları"
"Apply for the ""All Brands"" page","\"Tüm Markalar\" sayfası için uygula"
"Add template","Şablon ekle"
"Template","Şablon"
"Rule type","Kural türü"
