"Conditions","条件"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","静的コンテンツページのリッチスニペットとOpenGraphデータを管理します。これにより、検索エンジンが情報ページを適切に解釈し、ソーシャルメディアで共有された際の表示を向上させます。"
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","CMSページから不正な構造化データを自動的に削除します。静的コンテンツページのクリーンなマークアップを維持するのに役立ちます。"
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","CMSページの構造化データマークアップを有効にします。これにより、WebPage、Article、BlogPostingなどのschema.orgタイプで強化された検索結果表示が可能になります。"
"Default schema type","デフォルトスキーマタイプ"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","ページごとの上書きが設定されていない場合にCMSページに使用されるデフォルトのschema.orgタイプを選択してください。個々のページはCMSページエディターでこれを上書きできます。"
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","CMSページのOpenGraphメタデータを有効にします。これにより、ソーシャルプラットフォームで共有された際の静的ページの表示が向上します。"
"Landing page","ランディングページ"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","検索結果でのランディングページの表示方法を制御します。これらの設定は検索エンジンがランディングページ構造をよりよく理解し、検索結果でのランディングページ情報の表示を向上させるのに役立ちます。Mirasvit Landing Pageのみで動作します。"
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","ランディングページから不正な構造化データを自動的に削除します。クリーンなマークアップを維持し、スキーマ検証の問題を防ぐのに役立ちます。"
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","ランディングページの構造化データマークアップを有効にします。これにより、ランディングページリストの強化された検索結果表示が可能になります。"
"Landing page description","ランディングページ説明"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","ランディングページ構造化データで使用される説明フィールドを制御します。ランディングページコンテンツを最もよく表すソースを選択してください。"
"Landing page image","ランディングページ画像"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","構造化データにランディングページのサムネイル画像を含めます。検索とソーシャルシェアリングにビジュアルコンテキストを提供するのに役立ちます。"
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","ランディングページ構造化データに商品情報を含めるかどうか、また含める方法を制御します。ランディングページ内の利用可能な商品を表示できます。警告: ""ランディングページ全体""モードは現在のページに関わらずすべての商品を出力し、Googleのガイドラインに違反し、スパムマークアップとして扱われる可能性があり、大きなカテゴリのページ読み込み時間を大幅に増加させる可能性があります。"
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","ランディングページ構造化データ内で商品データがフォーマットされる方法を決定します。""アグリゲート商品""は価格帯を持つ単一の商品スキーマを出力します。"
"Brand name for aggregate Product schema. Leave empty to use store name.","アグリゲート商品スキーマのブランド名。ストア名を使用するには空白にしてください。"
"Include aggregated rating from all products in landing page for aggregate Product schema.","アグリゲート商品スキーマのランディングページ内すべての商品からの集計評価を含めます。"
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","ランディングページのOpenGraphメタデータを有効にします。これにより、ソーシャルメディアプラットフォームで共有された際のランディングページの表示を制御します。"
"Organization","組織"
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","検索エンジン向けに組織に関する構造化データを定義してください。この情報は検索結果でのビジネスアイデンティティの確立を助け、ナレッジパネル表示などの特別な機能を有効にすることができます。"
"Activates structured data about your organization. This helps search engines understand your business identity.","組織に関する構造化データを有効にします。これにより、検索エンジンがビジネスアイデンティティを理解するのに役立ちます。"
"Display scope","表示スコープ"
"Choose where organization schema markup should appear on your website.","ウェブサイト上のどこに組織スキーママークアップを表示するかを選択してください。"
"CMS pages","CMSページ"
"Select specific CMS pages where organization schema markup should be displayed.","組織スキーママークアップを表示するCMSページを選択してください。"
"Name","名前"
"Controls how your organization name is determined. Select default store name or specify a custom business name.","組織名の決定方法を制御します。デフォルトのストア名を選択するか、カスタムビジネス名を指定してください。"
"Name value","名前の値"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","カスタム命名を使用する際に組織の正式名称を入力してください。一貫性のために法人名と一致させる必要があります。"
"Country","国"
"Determines how your organization's country is specified. Important for local business structured data.","組織の国の指定方法を決定します。ローカルビジネスの構造化データに重要です。"
"Country value","国の値"
"Enter your organization's country name when using custom specification.","カスタム指定を使用する際に組織の国名を入力してください。"
"Locality address","市区町村"
"Controls how your organization's city/locality is determined. Important for local search visibility.","組織の市区町村の決定方法を制御します。ローカル検索での視認性に重要です。"
"Locality address value","市区町村の値"
"Enter your organization's city or locality when using custom specification.","カスタム指定を使用する際に組織の市区町村を入力してください。"
"Address region","都道府県"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","組織の都道府県/州/地域の決定方法を制御します。地域の検索関連性に役立ちます。"
"Region value","地域の値"
"Enter your organization's state, province or region when using custom specification.","カスタム指定を使用する際に組織の都道府県または地域を入力してください。"
"Postal code","郵便番号"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","組織の郵便番号の決定方法を制御します。正確な位置マッピングに重要です。"
"Postal code value","郵便番号の値"
"Enter your organization's postal code when using custom specification.","カスタム指定を使用する際に組織の郵便番号を入力してください。"
"Street address","番地"
"Controls how your organization's street address is determined. Provides detailed location information.","組織の番地の決定方法を制御します。詳細な位置情報を提供します。"
"Street address value","番地の値"
"Enter your organization's full street address when using custom specification.","カスタム指定を使用する際に組織の完全な番地を入力してください。"
"Telephone number","電話番号"
"Controls how your organization's phone contact is determined. Important for customer contact information.","組織の電話連絡先の決定方法を制御します。顧客連絡先情報に重要です。"
"Telephone number value","電話番号の値"
"Enter your organization's primary contact phone number when using custom specification.","カスタム指定を使用する際に組織の主要連絡先電話番号を入力してください。"
"Fax number","ファックス番号"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","該当する場合は組織のファックス番号を入力してください。ビジネスコミュニケーションのためのオプションの連絡方法です。"
"Email","メールアドレス"
"Controls how your organization's email contact is determined. Provides alternative contact information.","組織のメール連絡先の決定方法を制御します。代替の連絡先情報を提供します。"
"Email value","メールアドレスの値"
"Enter your organization's public contact email address when using custom specification.","カスタム指定を使用する際に組織の公開連絡先メールアドレスを入力してください。"
"<strong><u>Social media links:</u></strong>","<strong><u>ソーシャルメディアリンク:</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","ソーシャルメディアプロフィールへの完全なURLを入力してください。これらはウェブサイトとソーシャルチャンネルの公式つながりを確立し、検索エンジンがオンラインプレゼンスを確認するのに役立ちます。"
"YouTube channel","YouTubeチャンネル"
"Facebook account","Facebookアカウント"
"LinkedIn profile","LinkedInプロフィール"
"Instagram account","Instagramアカウント"
"Pinterest account","Pinterestアカウント"
"Tumblr account","Tumblrアカウント"
"Twitter account","Twitterアカウント"
"Breadcrumbs","パンくずリスト"
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","検索エンジンがサイトのナビゲーション階層を理解できるように構造化パンくずリストデータを有効にします。これにより、サイトのインデックス作成が向上し、検索結果でのパンくずリストナビゲーションの表示を向上させることができます。"
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","構造化パンくずリストマークアップを有効にします。これにより、検索エンジンがサイト階層を理解し、検索結果でパンくずリストナビゲーションの強化表示が可能になります。"
"Twitter card","Twitterカード"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","Twitterで共有された際のページの表示を制御するためにTwitterカードのメタデータを設定してください。これにより、適切な画像と説明でのソーシャルシェアリングを最適化するのに役立ちます。"
"Add Twitter summary card","Twitterサマリーカードを追加"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","実装するTwitterカードのタイプを制御します。これにより、コンテンツがTwitterで共有された際の表示方法が決まります。"
"Twitter username","Twitterユーザー名"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","@記号なしでTwitterハンドルを入力してください。これにより、Twitterアカウントが共有コンテンツに関連付けられます。"
"Search box","検索ボックス"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","検索スニペットに直接検索ボックスを追加して、検索結果でのサイトの外観を向上させてください。これにより、カスタムサイト検索を通じてより的を絞ったトラフィックを獲得できます。"
"Search box type","検索ボックスタイプ"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","検索結果でサイト検索が表示されるかどうかとそのタイプを決定します。これにより、訪問者が検索結果から直接サイトを検索することを促進できます。"
"Path to the blog search","ブログ検索のパス"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","ブログ検索機能のURLパスを入力してください。検索結果でブログ固有の検索を有効にする際に必要です。"
"Rich snippet","リッチスニペット"
"Schema type","スキーマタイプ"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","このページのschema.orgタイプを選択してください。ストア > 設定 > リッチスニペットとOpenGraph > CMSページのグローバル設定を使用するには""デフォルト""のままにしてください。"
"Rich snippet extender","リッチスニペット拡張機能"
"Back","戻る"
"General","全般"
"Is active","有効"
"Entity type","エンティティタイプ"
"Store view","ストアビュー"
"Snippet extension","スニペット拡張"
"JSON snippet","JSONスニペット"
"Enclose the JSON snippet in curly braces","JSONスニペットを波括弧で囲んでください"
"Override non-empty fields","空でないフィールドを上書き"
"Add extender","拡張機能を追加"
"ID","ID"
Answer Engine (AEO),回答エンジン (AEO)
Enable Answer-Engine Optimization,回答エンジン最適化を有効にする
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.",構造化データのグラフをAI回答エンジン（ChatGPT検索、Perplexity、Gemini、Google AI Overviews）が発見できるようにします。有効にすると、出力されるJSON-LDノードは安定した@id値を持ち、相互参照されて1つの連結グラフにまとまるため、回答エンジンはページから信頼できる単一のエンティティを組み立てられます。無効の場合、出力は標準のリッチスニペットの動作と同一です。
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.",各構造化データノードに安定した@id値を追加し、それらを1つの連結グラフに結び付けます（商品はそのブランドと販売組織を参照します）。既定では無効です。有効にしても出力されるエンティティは変わらず、リンクされるだけです。
"Legal name","法人名"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","上記の表示名と異なる場合は、組織の正式な登録法人名を入力してください。検索エンジンが正式な事業者情報を識別するのに役立ちます。"
"Founding date","設立日"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","組織の設立日をYYYY-MM-DD形式で入力してください。検索エンジンがナレッジグラフや信頼性シグナルに使用します。"
"Number of employees","従業員数"
"Enter the approximate number of employees in your organization.","組織のおおよその従業員数を入力してください。"
"Area served","対応地域"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","組織が対応する地理的地域を入力してください（例:「日本」または「世界中」）。"
"<strong><u>Contact points:</u></strong>","<strong><u>連絡先:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","部門ごとに専用の電話/メール連絡先を設定します。上記の一般的な電話/メールに加えて追加され、検索エンジンやユーザーが適切な部門に直接連絡できるようにします。"
"Customer service telephone","カスタマーサービスの電話番号"
"Customer service email","カスタマーサービスのメールアドレス"
"Customer service area served","カスタマーサービスの対応地域"
"Sales telephone","営業窓口の電話番号"
"Sales email","営業窓口のメールアドレス"
"Sales area served","営業窓口の対応地域"
"Technical support telephone","テクニカルサポートの電話番号"
"Technical support email","テクニカルサポートのメールアドレス"
"Technical support area served","テクニカルサポートの対応地域"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","カスタマーサービスの連絡先メールの決定方法を制御します。ストア情報を使用する場合、カスタマーサポートの送信者メールが使用されます。"
"Customer service email value","カスタマーサービスのメールアドレス値"
"Enter the customer service contact email address when using custom specification.","カスタム指定を使用する際にカスタマーサービスの連絡先メールアドレスを入力してください。"
"Controls how the sales contact email is determined. Store information uses your Sales Representative sender email.","営業窓口の連絡先メールの決定方法を制御します。ストア情報を使用する場合、営業担当者の送信者メールが使用されます。"
"Sales email value","営業窓口のメールアドレス値"
"Enter the sales contact email address when using custom specification.","カスタム指定を使用する際に営業窓口の連絡先メールアドレスを入力してください。"
