"Conditions","Koşullar"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","Ürün sayfalarından yanlış yapılandırılmış verileri otomatik olarak kaldırır. Temiz işaretlemenin korunmasına ve şema doğrulama sorunlarının önlenmesine yardımcı olur."
"Enable rich snippet","Zengin snippet'i etkinleştir"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","Ürün sayfaları için yapılandırılmış veri işaretlemesini etkinleştirir. Bu, ürünle ilgili tüm zengin snippet'ler için ana anahtardır."
"Item name length","Öğe adı uzunluğu"
"Maximum character length for item name in structured data.","Yapılandırılmış verilerdeki öğe adı için maksimum karakter uzunluğu."
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Google tarafından önerilen maksimum değer 150'dir. 25'in altındaki değerler varsayılan olarak 150 olur. Değer boş veya 0 ise limit uygulanmaz."
"Item price","Öğe fiyatı"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","OpenGraph ve Zengin Snippet'lere ürün fiyatlandırma bilgilerini dahil eder. Uyarı: bunu devre dışı bırakmak fiyatı yapılandırılmış verilerden kaldırır ve geçerli Ürün zengin snippet'leri için fiyat gerekli olduğundan Google Rich Results doğrulama hatalarına neden olabilir."
"Single price mode","Tek fiyat modu"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","Etkinleştirildiğinde, fiyat aralıklarıyla AggregateOffer türü yerine tek bir fiyat değeriyle schema.org Offer türünü kullanır. Bu, yapılandırılmış verileri birden fazla teklif toplamından tek bir teklif temsiline dönüştürür."
"Include price valid until","Fiyat geçerlilik tarihini dahil et"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","Bu, arama motorlarının fiyatların zamansal geçerliliğini anlamasına yardımcı olur ve fiyat karşılaştırma özelliklerinde doğruluğu artırabilir. Promosyon fiyatlandırması, zaman sınırlı teklifler veya düzenli güncellenen fiyatlandırma yapıları için kullanışlıdır."
"Item description","Öğe açıklaması"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","Yapılandırılmış verilerde hangi ürün açıklama alanının kullanılacağını kontrol eder. Kapsamlı ürün bilgisi için en uygun kaynağı seçin."
"Item description length","Öğe açıklaması uzunluğu"
"Maximum character length for item description in structured data.","Yapılandırılmış verilerdeki öğe açıklaması için maksimum karakter uzunluğu."
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","Google tarafından önerilen maksimum değer 5000'dir. 25'in altındaki değerler varsayılan olarak 5000 olur. Değer boş veya 0 ise limit uygulanmaz."
"Item image","Öğe resmi"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","Ürün resimlerini yapılandırılmış verilere dahil eder. Bu, arama sonuçlarında ve zengin snippet'lerde ürünlerin görsel temsilini sağlar."
"Item availability","Öğe müsaitliği"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","Ürün stok durumunu yapılandırılmış verilerde gösterir. Bu, arama sonuçlarında doğrudan potansiyel müşterilere stok düzeylerini iletmeye yardımcı olur."
"Payment methods","Ödeme yöntemleri"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","Kabul edilen ödeme yöntemlerini yapılandırılmış verilerde listeler. Bu, ziyaretçiler tıklamadan önce ödeme seçenekleri hakkında şeffaflık sağlar."
"Delivery methods","Teslimat yöntemleri"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","Gönderim ve teslimat seçeneklerini yapılandırılmış verilere dahil eder. Bu, sipariş karşılama yöntemleri konusunda müşteri beklentilerini belirlemeye yardımcı olur."
"Product category","Ürün kategorisi"
"Displays category information in product structured data. This helps establish product classification context for search engines.","Ürün yapılandırılmış verilerinde kategori bilgilerini görüntüler. Bu, arama motorları için ürün sınıflandırma bağlamının oluşturulmasına yardımcı olur."
"Manufacturer part number","Üretici parça numarası"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","Üretici parça numaralarını yapılandırılmış verilere dahil eder. Bu, teknik tanımlayıcılarla belirli ürün aramalarında keşfedilebilirliği artırır."
"Manufacturer part number attribute","Üretici parça numarası özelliği"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","Hangi ürün özelliğinin üretici parça numarası verilerini içerdiğini belirtin. Sistem, yapılandırılmış verileri doldurmak için bu özelliği okuyacaktır."
"Brand attribute","Marka özelliği"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","Hangi ürün özelliğinin marka bilgisi içerdiğini belirtin. Bu, mevcut marka verilerinizi yapılandırılmış işaretlemeye eşler."
"Model attribute","Model özelliği"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","Hangi ürün özelliğinin model bilgisi içerdiğini belirtin. Yapılandırılmış verilerde belirli ürün modellerini tanımlamaya yardımcı olur."
"Color attribute","Renk özelliği"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","Hangi ürün özelliğinin renk bilgisi içerdiğini belirtin. Ürün varyantları ve zengin sonuçlarda filtreleme için önemlidir."
"Size attribute","Boyut özelliği"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","Hangi ürün özelliğinin boyut bilgisi içerdiğini belirtin. Giyim ve boyutsal ürün verileri için geçerlidir."
"Material attribute","Malzeme özelliği"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","Hangi ürün özelliğinin malzeme bilgisi içerdiğini belirtin (ör. ""malzeme"", ""kumaş""). Product üzerinde doğrudan schema.org özelliği olarak çıktı verir."
"Pattern attribute","Desen özelliği"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","Hangi ürün özelliğinin desen bilgisi içerdiğini belirtin (ör. ""desen""). Product üzerinde doğrudan schema.org özelliği olarak çıktı verir."
"Weight unit","Ağırlık birimi"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","Ürün ağırlıkları için kullanılan standart ölçüm birimini seçin. Yapılandırılmış verilerde tutarlı ağırlık temsili sağlar."
"Dimensions","Boyutlar"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","Yapılandırılmış verilerde boyutsal ölçümleri etkinleştirin. Boyutun müşteriler için önemli olduğu fiziksel ürünler için önemlidir."
"Unit","Birim"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","Ürün boyutları için ölçüm birimini belirtin (ör. inç, cm). Boyutsal temsilin tutarlılığını korur."
"Height attribute","Yükseklik özelliği"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","Hangi ürün özelliğinin yükseklik ölçümlerini içerdiğini belirtin. Yükseklik verilerinizi yapılandırılmış işaretlemeye eşler."
"Width attribute","Genişlik özelliği"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","Hangi ürün özelliğinin genişlik ölçümlerini içerdiğini belirtin. Genişlik verilerinizi yapılandırılmış işaretlemeye eşler."
"Depth attribute","Derinlik özelliği"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","Hangi ürün özelliğinin derinlik ölçümlerini içerdiğini belirtin. Derinlik verilerinizi yapılandırılmış işaretlemeye eşler."
"Product condition","Ürün durumu"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","Ürünlerin yeni, kullanılmış veya yenilenmiş olup olmadığını belirtin. Bu, pazaryerleri ve satıcılar için önemlidir."
"Condition attribute","Durum özelliği"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","Hangi ürün özelliğinin durum bilgisi içerdiğini belirtin. Sistem, durum verileri için bu özelliği okuyacaktır."
"New attribute value","Yeni özellik değeri"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","Bir ürünün yeni olduğunu gösteren tam özellik değerini belirtin. Bu, dahili değerlerinizi schema.org standartlarına eşler."
"Used attribute value","Kullanılmış özellik değeri"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","Bir ürünün kullanılmış olduğunu gösteren tam özellik değerini belirtin. Bu, dahili değerlerinizi schema.org standartlarına eşler."
"Refurbished attribute value","Yenilenmiş özellik değeri"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","Bir ürünün yenilenmiş olduğunu gösteren tam özellik değerini belirtin. Bu, dahili değerlerinizi schema.org standartlarına eşler."
"Damaged attribute value","Hasarlı özellik değeri"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","Bir ürünün hasarlı olduğunu gösteren tam özellik değerini belirtin. Bu, dahili değerlerinizi schema.org standartlarına eşler."
"Individual review markup","Bireysel inceleme işaretlemesi"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","Her bireysel ürün incelemesi için işaretleme dahil edin. Bu, toplu derecelendirmelerin ötesinde arama sonuçlarında inceleme içeriğinin zengin görüntülenmesini sağlar."
"Add rich snippets for product variants","Ürün varyantları için zengin snippet ekle"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","Farklı renkler veya boyutlar gibi ürün varyasyonları için yapılandırılmış veriler dahil edin. Bu, arama motorlarının eksiksiz ürün teklifinizi anlamasına yardımcı olur."
"<strong><u>GTIN configuration:</u></strong>","<strong><u>GTIN yapılandırması:</u></strong>"
"GTIN-8 attribute","GTIN-8 özelliği"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","Hangi özelliğin 8 basamaklı GTIN/EAN kodları içerdiğini belirtin. Uluslararası ürün tanımlaması için önemlidir."
"GTIN-12 attribute","GTIN-12 özelliği"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","Hangi özelliğin 12 basamaklı GTIN/UPC kodları içerdiğini belirtin. Kuzey Amerika ürün tanımlaması için standart."
"GTIN-13 attribute","GTIN-13 özelliği"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","Hangi özelliğin 13 basamaklı GTIN/EAN kodları içerdiğini belirtin. Yaygın uluslararası ürün tanımlama formatı."
"GTIN-14 attribute","GTIN-14 özelliği"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","Hangi özelliğin 14 basamaklı GTIN kodları içerdiğini belirtin. Tedarik zinciri tanımlamasında ambalaj seviyeleri için kullanılır."
"Category page","Kategori sayfası"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","Kategori sayfalarının arama sonuçlarında nasıl temsil edildiğini kontrol edin. Bu ayarlar, arama motorlarının kategori yapınızı daha iyi anlamasına ve kategori bilgilerinin arama sonuçlarında görüntülenmesini iyileştirmesine yardımcı olur."
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","Kategori sayfalarından yanlış yapılandırılmış verileri otomatik olarak kaldırır. Temiz işaretlemenin korunmasına ve şema doğrulama sorunlarının önlenmesine yardımcı olur."
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","Kategori sayfaları için yapılandırılmış veri işaretlemesini etkinleştirir. Bu, kategori listelemeleri için gelişmiş arama sonucu görüntülemeyi sağlar."
"Category description","Kategori açıklaması"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","Kategori yapılandırılmış verilerinde hangi açıklama alanının kullanılacağını kontrol eder. Kategori içeriğinizi en iyi temsil eden kaynağı seçin."
"Category image","Kategori resmi"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","Kategori küçük resimlerini yapılandırılmış verilere dahil eder. Arama ve sosyal paylaşımda görsel bağlam sağlamaya yardımcı olur."
"Product offers","Ürün teklifleri"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Ürün bilgilerinin kategori yapılandırılmış verilerine dahil edilip edilmeyeceğini ve nasıl dahil edileceğini kontrol eder. Bu, kategorilerdeki mevcut ürünleri gösterebilir. Uyarı: \"Tüm kategori\" modu, Google'ın yönergelerini ihlal edebilir."
"Product offers format","Ürün teklifleri formatı"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","Ürün verilerinin kategori yapılandırılmış verileri içinde nasıl biçimlendirildiğini belirler. \"Toplu Ürün\" tüm kategoriden fiyat aralığıyla tek bir Ürün şeması çıktısı verir."
"Brand name","Marka adı"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","Toplu Ürün şeması için marka adı. Marka sayfaları için mağaza adını veya marka adını kullanmak üzere boş bırakın."
"Include aggregate rating","Toplu derecelendirmeyi dahil et"
"Include aggregated rating from all products in category for aggregate Product schema.","Toplu Ürün şeması için kategorideki tüm ürünlerden toplu derecelendirmeyi dahil edin."
"Exclude products with price 0","Fiyatı 0 olan ürünleri hariç tut"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","Etkinleştirildiğinde, fiyatı 0 olan ürünler toplu teklif hesaplamasından hariç tutulur. Bu, kategori ücretsiz ürünler içerdiğinde lowPrice'ın 0 göstermesini önler."
"Enable OpenGraph","OpenGraph'ı etkinleştir"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","Kategori sayfaları için OpenGraph meta verilerini etkinleştirir. Bu, kategori sayfalarının sosyal medya platformlarında paylaşıldığında nasıl göründüğünü kontrol eder."
"CMS page","CMS sayfası"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","Statik içerik sayfaları için zengin snippet'leri ve OpenGraph verilerini yönetin. Bu, arama motorlarının bilgi sayfalarınızı doğru yorumlamasına yardımcı olur ve sosyal medyada paylaşıldığında nasıl göründüklerini iyileştirir."
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","CMS sayfalarından yanlış yapılandırılmış verileri otomatik olarak kaldırır. Statik içerik sayfalarında temiz işaretlemenin korunmasına yardımcı olur."
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","CMS sayfaları için yapılandırılmış veri işaretlemesini etkinleştirir. Bu, WebPage, Article, BlogPosting ve daha fazlası gibi schema.org türleriyle gelişmiş arama sonucu görüntülemeyi sağlar."
"Default schema type","Varsayılan şema türü"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","Sayfa başına geçersiz kılma ayarlanmadığında CMS sayfaları için kullanılan varsayılan schema.org türünü seçin. Bireysel sayfalar bunu CMS sayfa düzenleyicisinde geçersiz kılabilir."
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","CMS sayfaları için OpenGraph meta verilerini etkinleştirir. Bu, statik sayfaların sosyal platformlarda paylaşıldığında nasıl göründüğünü iyileştirir."
"Landing page","Açılış sayfası"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","Açılış sayfalarının arama sonuçlarında nasıl temsil edildiğini kontrol edin. Bu ayarlar, arama motorlarının açılış sayfası yapınızı daha iyi anlamasına yardımcı olur. Yalnızca Mirasvit Landing Page ile çalışır."
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","Açılış sayfalarından yanlış yapılandırılmış verileri otomatik olarak kaldırır. Temiz işaretlemenin korunmasına yardımcı olur."
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","Açılış sayfaları için yapılandırılmış veri işaretlemesini etkinleştirir. Bu, açılış sayfası listelemeleri için gelişmiş arama sonucu görüntülemeyi sağlar."
"Landing page description","Açılış sayfası açıklaması"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","Açılış sayfası yapılandırılmış verilerinde hangi açıklama alanının kullanılacağını kontrol eder. Açılış sayfası içeriğinizi en iyi temsil eden kaynağı seçin."
"Landing page image","Açılış sayfası resmi"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","Açılış sayfası küçük resimlerini yapılandırılmış verilere dahil eder. Arama ve sosyal paylaşımda görsel bağlam sağlamaya yardımcı olur."
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Ürün bilgilerinin açılış sayfası yapılandırılmış verilerine dahil edilip edilmeyeceğini kontrol eder. Uyarı: \"Tüm açılış sayfası\" modu Google'ın yönergelerini ihlal edebilir."
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","Ürün verilerinin açılış sayfası yapılandırılmış verileri içinde nasıl biçimlendirildiğini belirler. \"Toplu Ürün\" fiyat aralığıyla tek bir Ürün şeması çıktısı verir."
"Brand name for aggregate Product schema. Leave empty to use store name.","Toplu Ürün şeması için marka adı. Mağaza adını kullanmak üzere boş bırakın."
"Include aggregated rating from all products in landing page for aggregate Product schema.","Toplu Ürün şeması için açılış sayfasındaki tüm ürünlerden toplu derecelendirmeyi dahil edin."
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","Açılış sayfaları için OpenGraph meta verilerini etkinleştirir. Bu, açılış sayfalarının sosyal medya platformlarında paylaşıldığında nasıl göründüğünü kontrol eder."
"Organization","Organizasyon"
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","Arama motorları için organizasyonunuz hakkında yapılandırılmış veriler tanımlayın. Bu bilgiler, arama sonuçlarında işletme kimliğinizin oluşturulmasına yardımcı olur."
"Activates structured data about your organization. This helps search engines understand your business identity.","Organizasyonunuz hakkında yapılandırılmış verileri etkinleştirir. Bu, arama motorlarının işletme kimliğinizi anlamasına yardımcı olur."
"Display scope","Görüntüleme kapsamı"
"Choose where organization schema markup should appear on your website.","Organizasyon şeması işaretlemesinin web sitenizde nerede görüneceğini seçin."
"CMS pages","CMS sayfaları"
"Select specific CMS pages where organization schema markup should be displayed.","Organizasyon şeması işaretlemesinin görüntüleneceği belirli CMS sayfalarını seçin."
"Name","Ad"
"Controls how your organization name is determined. Select default store name or specify a custom business name.","Organizasyon adınızın nasıl belirlendiğini kontrol eder. Varsayılan mağaza adını seçin veya özel bir işletme adı belirtin."
"Name value","Ad değeri"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","Özel adlandırma kullanırken organizasyonunuzun resmi adını girin. Tutarlılık için yasal işletme adınızla eşleşmelidir."
"Country","Ülke"
"Determines how your organization's country is specified. Important for local business structured data.","Organizasyonunuzun ülkesinin nasıl belirtildiğini belirler. Yerel işletme yapılandırılmış verileri için önemlidir."
"Country value","Ülke değeri"
"Enter your organization's country name when using custom specification.","Özel belirtim kullanırken organizasyonunuzun ülke adını girin."
"Locality address","Şehir adresi"
"Controls how your organization's city/locality is determined. Important for local search visibility.","Organizasyonunuzun şehir/yerelliğinin nasıl belirlendiğini kontrol eder. Yerel arama görünürlüğü için önemlidir."
"Locality address value","Şehir adresi değeri"
"Enter your organization's city or locality when using custom specification.","Özel belirtim kullanırken organizasyonunuzun şehrini veya yerini girin."
"Address region","Adres bölgesi"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","Organizasyonunuzun eyalet/il/bölgesinin nasıl belirlendiğini kontrol eder. Bölgesel arama alaka düzeyine yardımcı olur."
"Region value","Bölge değeri"
"Enter your organization's state, province or region when using custom specification.","Özel belirtim kullanırken organizasyonunuzun eyaletini, ilini veya bölgesini girin."
"Postal code","Posta kodu"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","Organizasyonunuzun ZIP/posta kodunun nasıl belirlendiğini kontrol eder. Kesin konum haritalama için önemlidir."
"Postal code value","Posta kodu değeri"
"Enter your organization's postal code when using custom specification.","Özel belirtim kullanırken organizasyonunuzun posta kodunu girin."
"Street address","Sokak adresi"
"Controls how your organization's street address is determined. Provides detailed location information.","Organizasyonunuzun sokak adresinin nasıl belirlendiğini kontrol eder. Ayrıntılı konum bilgisi sağlar."
"Street address value","Sokak adresi değeri"
"Enter your organization's full street address when using custom specification.","Özel belirtim kullanırken organizasyonunuzun tam sokak adresini girin."
"Telephone number","Telefon numarası"
"Controls how your organization's phone contact is determined. Important for customer contact information.","Organizasyonunuzun telefon iletişiminin nasıl belirlendiğini kontrol eder. Müşteri iletişim bilgileri için önemlidir."
"Telephone number value","Telefon numarası değeri"
"Enter your organization's primary contact phone number when using custom specification.","Özel belirtim kullanırken organizasyonunuzun birincil iletişim telefon numarasını girin."
"Fax number","Faks numarası"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","Geçerliyse organizasyonunuzun faks numarasını girin. İş iletişimleri için isteğe bağlı iletişim yöntemi."
"Email","E-posta"
"Controls how your organization's email contact is determined. Provides alternative contact information.","Organizasyonunuzun e-posta iletişiminin nasıl belirlendiğini kontrol eder. Alternatif iletişim bilgileri sağlar."
"Email value","E-posta değeri"
"Enter your organization's public contact email address when using custom specification.","Özel belirtim kullanırken organizasyonunuzun genel iletişim e-posta adresini girin."
"<strong><u>Social media links:</u></strong>","<strong><u>Sosyal medya bağlantıları:</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","Sosyal medya profillerinize tam URL'ler girin. Bunlar, web siteniz ile sosyal kanallar arasında resmi bağlantı kurar ve arama motorlarının çevrimiçi varlığınızı doğrulamasına yardımcı olur."
"YouTube channel","YouTube kanalı"
"Facebook account","Facebook hesabı"
"LinkedIn profile","LinkedIn profili"
"Instagram account","Instagram hesabı"
"Pinterest account","Pinterest hesabı"
"Tumblr account","Tumblr hesabı"
"Twitter account","Twitter hesabı"
"Breadcrumbs","Ekmek kırıntıları"
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","Arama motorlarının site navigasyon hiyerarşinizi anlamasına yardımcı olmak için yapılandırılmış ekmek kırıntısı verilerini etkinleştirin. Bu, site indekslemeyi iyileştirir ve ekmek kırıntısı navigasyonunun arama sonuçlarında nasıl göründüğünü geliştirebilir."
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","Yapılandırılmış ekmek kırıntısı işaretlemesini etkinleştirir. Bu, arama motorlarının site hiyerarşinizi anlamasına yardımcı olur ve arama sonuçlarında gelişmiş ekmek kırıntısı navigasyonu görüntüleyebilir."
"Twitter card","Twitter kartı"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","Sayfalarınızın Twitter'da paylaşıldığında nasıl göründüğünü kontrol etmek için Twitter kartı meta verilerini yapılandırın. Bu, uygun resimler ve açıklamalarla sosyal paylaşımı optimize etmeye yardımcı olur."
"Add Twitter summary card","Twitter özet kartı ekle"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","Hangi Twitter kartı türünün uygulanacağını kontrol eder. Bu, içeriğinizin Twitter'da paylaşıldığında nasıl göründüğünü belirler."
"Twitter username","Twitter kullanıcı adı"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","Twitter tanıtıcınızı @ sembolü olmadan girin. Bu, Twitter hesabınızı paylaşılan içerikle ilişkilendirir."
"Search box","Arama kutusu"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","Arama snippet'ine doğrudan bir arama kutusu ekleyerek sitenizin arama sonuçlarındaki görünümünü geliştirin. Bu, özel site aramaları aracılığıyla daha hedefli trafik çekebilir."
"Search box type","Arama kutusu türü"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","Arama sonuçlarında site aramasının olup olmayacağını ve ne tür site aramasının yer alacağını belirler. Bu, ziyaretçileri arama sonuçlarından doğrudan sitenizi aramaya teşvik edebilir."
"Path to the blog search","Blog arama yolu"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","Blog arama işlevi için URL yolunu girin. Arama sonuçlarında bloga özgü aramayı etkinleştirirken gereklidir."
"Rich snippet","Zengin snippet"
"Schema type","Şema türü"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","Bu sayfa için schema.org türünü seçin. Mağazalar > Yapılandırma > Zengin snippet'ler ve OpenGraph > CMS sayfası'ndaki genel ayarı kullanmak için \"Varsayılan\" olarak bırakın."
