"Conditions","Voorwaarden"
"Delivery methods","Leveringsmethoden"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","Bevat verzend- en leveringsopties in gestructureerde gegevens. Dit helpt klantenverwachtingen te stellen met betrekking tot uitvoeringsmethoden."
"Product category","Productcategorie"
"Displays category information in product structured data. This helps establish product classification context for search engines.","Toont categorie-informatie in gestructureerde productgegevens. Dit helpt de productclassificatiecontext voor zoekmachines te bepalen."
"Manufacturer part number","Onderdeelnummer van fabrikant"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","Bevat onderdeelnummers van de fabrikant in gestructureerde gegevens. Dit verbetert de vindbaarheid bij specifieke productzoekopdrachten via technische identificatoren."
"Manufacturer part number attribute","Attribuut voor onderdeelnummer van fabrikant"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","Geef aan welk productattribuut de gegevens van het onderdeelnummer van de fabrikant bevat. Het systeem leest dit attribuut om gestructureerde gegevens te vullen."
"Brand attribute","Merkattribuut"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","Geef aan welk productattribuut merkinformatie bevat. Dit koppelt uw bestaande merkgegevens aan gestructureerde opmaak."
"Model attribute","Modelattribuut"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","Geef aan welk productattribuut modelinformatie bevat. Helpt specifieke productmodellen te identificeren in gestructureerde gegevens."
"Color attribute","Kleurattribuut"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","Geef aan welk productattribuut kleurinformatie bevat. Belangrijk voor productvarianten en filtering in rich results."
"Size attribute","Maatattribuut"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","Geef aan welk productattribuut maatinformatie bevat. Relevant voor kleding en dimensionale productgegevens."
"Material attribute","Materiaalattribuut"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","Geef aan welk productattribuut materiaalinformatie bevat (bijv. ""materiaal"", ""stof""). Wordt weergegeven als een directe schema.org-eigenschap op het Product."
"Pattern attribute","Patroonattribuut"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","Geef aan welk productattribuut patrooninformatie bevat (bijv. ""patroon""). Wordt weergegeven als een directe schema.org-eigenschap op het Product."
"Weight unit","Gewichtseenheid"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","Selecteer de standaard meeteenheid voor productgewichten. Zorgt voor consistente gewichtsweergave in gestructureerde gegevens."
"Dimensions","Afmetingen"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","Schakel dimensionale metingen in gestructureerde gegevens in. Belangrijk voor fysieke producten waarbij maat belangrijk is voor klanten."
"Unit","Eenheid"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","Geef de meeteenheid op voor productafmetingen (bijv. inches, cm). Handhaaft consistentie in dimensionale weergave."
"Height attribute","Hoogteattribuut"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","Geef aan welk productattribuut hoogtemetingen bevat. Koppelt uw hoogtegegevens aan gestructureerde opmaak."
"Width attribute","Breedteattribuut"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","Geef aan welk productattribuut breedtemetingen bevat. Koppelt uw breedtegegevens aan gestructureerde opmaak."
"Depth attribute","Diepteattribuut"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","Geef aan welk productattribuut dieptemetingen bevat. Koppelt uw dieptegegevens aan gestructureerde opmaak."
"Product condition","Productconditie"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","Geef aan of producten nieuw, gebruikt of gereviseerd zijn. Dit is belangrijk voor marktplaatsen en wederverkopers."
"Condition attribute","Conditieattribuut"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","Geef aan welk productattribuut conditie-informatie bevat. Het systeem leest dit attribuut voor conditiegegevens."
"New attribute value","Waarde van attribuut nieuw"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","Geef de exacte attribuutwaarde op die aangeeft dat een product nieuw is. Dit koppelt uw interne waarden aan schema.org-normen."
"Used attribute value","Waarde van attribuut gebruikt"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","Geef de exacte attribuutwaarde op die aangeeft dat een product gebruikt is. Dit koppelt uw interne waarden aan schema.org-normen."
"Refurbished attribute value","Waarde van attribuut gereviseerd"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","Geef de exacte attribuutwaarde op die aangeeft dat een product gereviseerd is. Dit koppelt uw interne waarden aan schema.org-normen."
"Damaged attribute value","Waarde van attribuut beschadigd"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","Geef de exacte attribuutwaarde op die aangeeft dat een product beschadigd is. Dit koppelt uw interne waarden aan schema.org-normen."
"Individual review markup","Individuele beoordelingsopmaak"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","Neem opmaak op voor elke individuele productbeoordeling. Dit maakt een rijke weergave van beoordelingsinhoud mogelijk in zoekresultaten buiten geaggregeerde beoordelingen."
"Add rich snippets for product variants","Rich snippets toevoegen voor productvarianten"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","Neem gestructureerde gegevens op voor productvariaties zoals verschillende kleuren of maten. Dit helpt zoekmachines uw volledige productaanbod te begrijpen."
"<strong><u>GTIN configuration:</u></strong>","<strong><u>GTIN-configuratie:</u></strong>"
"GTIN-8 attribute","GTIN-8-attribuut"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","Geef aan welk attribuut 8-cijferige GTIN/EAN-codes bevat. Belangrijk voor internationale productidentificatie."
"GTIN-12 attribute","GTIN-12-attribuut"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","Geef aan welk attribuut 12-cijferige GTIN/UPC-codes bevat. Standaard voor Noord-Amerikaanse productidentificatie."
"GTIN-13 attribute","GTIN-13-attribuut"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","Geef aan welk attribuut 13-cijferige GTIN/EAN-codes bevat. Veelgebruikt internationaal productidentificatieformaat."
"GTIN-14 attribute","GTIN-14-attribuut"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","Geef aan welk attribuut 14-cijferige GTIN-codes bevat. Gebruikt voor verpakkingsniveaus bij identificatie in de toeleveringsketen."
"Category page","Categoriepagina"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","Beheer hoe categoriepagina's worden weergegeven in zoekresultaten. Deze instellingen helpen zoekmachines uw categoriestructuur beter te begrijpen en de weergave van categorie-informatie in zoekresultaten te verbeteren."
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","Verwijdert automatisch onjuiste gestructureerde gegevens van categoriepagina's. Helpt schone opmaak te behouden en schemavalidatieproblemen te voorkomen."
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","Activeert gestructureerde gegevensopmaak voor categoriepagina's. Dit maakt verbeterde zoekresultaatweergaven mogelijk voor categorieoverzichten."
"Category description","Categoriebeschrijving"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","Bepaalt welk beschrijvingsveld wordt gebruikt in gestructureerde categoriegegevens. Selecteer de bron die uw categorieinhoud het beste vertegenwoordigt."
"Category image","Categorieafbeelding"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","Bevat miniatuurafbeeldingen van categorieën in gestructureerde gegevens. Helpt visuele context te bieden bij zoeken en sociaal delen."
"Product offers","Productaanbiedingen"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Bepaalt of en hoe productinformatie wordt opgenomen in gestructureerde categoriegegevens. Dit kan beschikbare producten binnen categorieën tonen. Waarschuwing: de modus ""Volledige categorie"" geeft alle producten weer ongeacht de huidige pagina, wat in strijd is met de richtlijnen van Google, als spam-opmaak kan worden behandeld en de laadtijd aanzienlijk kan verhogen."
"Product offers format","Formaat van productaanbiedingen"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","Bepaalt hoe productgegevens worden opgemaakt in gestructureerde categoriegegevens. ""Geaggregeerd product"" geeft een enkel productschema met prijsbereik van de gehele categorie."
"Brand name","Merknaam"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","Merknaam voor het geaggregeerde productschema. Leeg laten om de winkelnaam of merknaam voor merkpagina's te gebruiken."
"Include aggregate rating","Geaggregeerde beoordeling opnemen"
"Include aggregated rating from all products in category for aggregate Product schema.","Geaggregeerde beoordeling van alle producten in de categorie opnemen voor het geaggregeerde productschema."
"Exclude products with price 0","Producten met prijs 0 uitsluiten"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","Indien ingeschakeld worden producten met prijs 0 uitgesloten van de geaggregeerde aanbiedingsberekening. Dit voorkomt dat lowPrice 0 toont wanneer de categorie gratis producten bevat."
"Enable OpenGraph","OpenGraph inschakelen"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","Activeert OpenGraph-metagegevens voor categoriepagina's. Dit bepaalt hoe categoriepagina's verschijnen wanneer ze worden gedeeld op sociale mediaplatforms."
"CMS page","CMS-pagina"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","Beheer rich snippets en OpenGraph-gegevens voor statische inhoudspagina's. Dit helpt zoekmachines uw informatiepagina's correct te interpreteren en verbetert hoe ze verschijnen bij sociaal delen."
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","Verwijdert automatisch onjuiste gestructureerde gegevens van CMS-pagina's. Helpt schone opmaak op statische inhoudspagina's te behouden."
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","Activeert gestructureerde gegevensopmaak voor CMS-pagina's. Dit maakt verbeterde zoekresultaatweergaven mogelijk met schema.org-typen zoals WebPage, Article, BlogPosting en meer."
"Default schema type","Standaard schematype"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","Selecteer het standaard schema.org-type voor CMS-pagina's wanneer geen paginaspecifieke overschrijving is ingesteld. Individuele pagina's kunnen dit overschrijven in de CMS-pagina-editor."
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","Activeert OpenGraph-metagegevens voor CMS-pagina's. Dit verbetert hoe statische pagina's verschijnen bij sociaal delen."
"Landing page","Landingspagina"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","Beheer hoe landingspagina's worden weergegeven in zoekresultaten. Deze instellingen helpen zoekmachines uw landingspaginastructuur beter te begrijpen en de weergave van landingspagina-informatie in zoekresultaten te verbeteren. Werkt alleen met Mirasvit Landing Page."
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","Verwijdert automatisch onjuiste gestructureerde gegevens van landingspagina's. Helpt schone opmaak te behouden en schemavalidatieproblemen te voorkomen."
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","Activeert gestructureerde gegevensopmaak voor landingspagina's. Dit maakt verbeterde zoekresultaatweergaven mogelijk voor landingspagina-overzichten."
"Landing page description","Beschrijving van landingspagina"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","Bepaalt welk beschrijvingsveld wordt gebruikt in gestructureerde landingspaginagegevens. Selecteer de bron die uw landingspaginainhoud het beste vertegenwoordigt."
"Landing page image","Afbeelding van landingspagina"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","Bevat miniatuurafbeeldingen van landingspagina's in gestructureerde gegevens. Helpt visuele context te bieden bij zoeken en sociaal delen."
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Bepaalt of en hoe productinformatie wordt opgenomen in gestructureerde landingspaginagegevens. Dit kan beschikbare producten op landingspagina's tonen. Waarschuwing: de modus ""Volledige landingspagina"" geeft alle producten weer ongeacht de huidige pagina, wat in strijd is met de richtlijnen van Google, als spam-opmaak kan worden behandeld en de laadtijd aanzienlijk kan verhogen."
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","Bepaalt hoe productgegevens worden opgemaakt in gestructureerde landingspaginagegevens. ""Geaggregeerd product"" geeft een enkel productschema met prijsbereik."
"Brand name for aggregate Product schema. Leave empty to use store name.","Merknaam voor het geaggregeerde productschema. Leeg laten om de winkelnaam te gebruiken."
"Include aggregated rating from all products in landing page for aggregate Product schema.","Geaggregeerde beoordeling van alle producten op de landingspagina opnemen voor het geaggregeerde productschema."
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","Activeert OpenGraph-metagegevens voor landingspagina's. Dit bepaalt hoe landingspagina's verschijnen wanneer ze worden gedeeld op sociale mediaplatforms."
"Organization","Organisatie"
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","Definieer gestructureerde gegevens over uw organisatie voor zoekmachines. Deze informatie helpt uw bedrijfsidentiteit in zoekresultaten te vestigen en kan speciale functies mogelijk maken zoals kennispanelen."
"Activates structured data about your organization. This helps search engines understand your business identity.","Activeert gestructureerde gegevens over uw organisatie. Dit helpt zoekmachines uw bedrijfsidentiteit te begrijpen."
"Display scope","Weergavebereik"
"Choose where organization schema markup should appear on your website.","Kies waar de organisatieschema-opmaak op uw website moet verschijnen."
"CMS pages","CMS-pagina's"
"Select specific CMS pages where organization schema markup should be displayed.","Selecteer specifieke CMS-pagina's waar de organisatieschema-opmaak moet worden weergegeven."
"Name","Naam"
"Controls how your organization name is determined. Select default store name or specify a custom business name.","Bepaalt hoe de naam van uw organisatie wordt bepaald. Selecteer de standaard winkelnaam of geef een aangepaste bedrijfsnaam op."
"Name value","Naamwaarde"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","Voer de officiële naam van uw organisatie in bij aangepaste naamgeving. Dit moet overeenkomen met uw juridische bedrijfsnaam voor consistentie."
"Country","Land"
"Determines how your organization's country is specified. Important for local business structured data.","Bepaalt hoe het land van uw organisatie wordt opgegeven. Belangrijk voor gestructureerde gegevens van lokale bedrijven."
"Country value","Landwaarde"
"Enter your organization's country name when using custom specification.","Voer de landnaam van uw organisatie in bij aangepaste specificatie."
"Locality address","Plaatselijk adres"
"Controls how your organization's city/locality is determined. Important for local search visibility.","Bepaalt hoe de stad/plaats van uw organisatie wordt bepaald. Belangrijk voor lokale zoekvisibiliteit."
"Locality address value","Waarde van plaatselijk adres"
"Enter your organization's city or locality when using custom specification.","Voer de stad of plaats van uw organisatie in bij aangepaste specificatie."
"Address region","Adresregio"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","Bepaalt hoe de staat/provincie/regio van uw organisatie wordt bepaald. Helpt bij regionale zoekrelevantie."
"Region value","Regiowaarde"
"Enter your organization's state, province or region when using custom specification.","Voer de staat, provincie of regio van uw organisatie in bij aangepaste specificatie."
"Postal code","Postcode"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","Bepaalt hoe de postcode van uw organisatie wordt bepaald. Belangrijk voor nauwkeurige locatiekaarten."
"Postal code value","Postcodewaarde"
"Enter your organization's postal code when using custom specification.","Voer de postcode van uw organisatie in bij aangepaste specificatie."
"Street address","Straatadres"
"Controls how your organization's street address is determined. Provides detailed location information.","Bepaalt hoe het straatadres van uw organisatie wordt bepaald. Biedt gedetailleerde locatie-informatie."
"Street address value","Waarde van straatadres"
"Enter your organization's full street address when using custom specification.","Voer het volledige straatadres van uw organisatie in bij aangepaste specificatie."
"Telephone number","Telefoonnummer"
"Controls how your organization's phone contact is determined. Important for customer contact information.","Bepaalt hoe het telefonische contact van uw organisatie wordt bepaald. Belangrijk voor klantcontactinformatie."
"Telephone number value","Waarde van telefoonnummer"
"Enter your organization's primary contact phone number when using custom specification.","Voer het primaire contacttelefoonnummer van uw organisatie in bij aangepaste specificatie."
"Fax number","Faxnummer"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","Voer het faxnummer van uw organisatie in indien van toepassing. Optionele contactmethode voor zakelijke communicatie."
"Email","E-mail"
"Controls how your organization's email contact is determined. Provides alternative contact information.","Bepaalt hoe het e-mailcontact van uw organisatie wordt bepaald. Biedt alternatieve contactinformatie."
"Email value","E-mailwaarde"
"Enter your organization's public contact email address when using custom specification.","Voer het openbare contact-e-mailadres van uw organisatie in bij aangepaste specificatie."
"<strong><u>Social media links:</u></strong>","<strong><u>Sociale medialinks:</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","Voer volledige URL's in naar uw sociale mediaprofielen. Deze maken een officiële verbinding tussen uw website en sociale kanalen, waardoor zoekmachines uw online aanwezigheid kunnen verifiëren."
"YouTube channel","YouTube-kanaal"
"Facebook account","Facebook-account"
"LinkedIn profile","LinkedIn-profiel"
"Instagram account","Instagram-account"
"Pinterest account","Pinterest-account"
"Tumblr account","Tumblr-account"
"Twitter account","Twitter-account"
"Breadcrumbs","Breadcrumbs"
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","Schakel gestructureerde breadcrumbgegevens in om zoekmachines te helpen uw sitenavigatiehierarchie te begrijpen. Dit verbetert de site-indexering en kan verbeteren hoe breadcrumbnavigatie verschijnt in zoekresultaten."
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","Activeert gestructureerde breadcrumb-opmaak. Dit helpt zoekmachines uw sitehierarchie te begrijpen en kan verbeterde breadcrumbnavigatie weergeven in zoekresultaten."
"Twitter card","Twitter-kaart"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","Configureer Twitter-kaart-metagegevens om te bepalen hoe uw pagina's verschijnen wanneer ze op Twitter worden gedeeld. Dit helpt sociaal delen te optimaliseren met geschikte afbeeldingen en beschrijvingen."
"Add Twitter summary card","Twitter-overzichtskaart toevoegen"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","Bepaalt welk type Twitter-kaart moet worden geïmplementeerd. Dit bepaalt hoe uw inhoud verschijnt wanneer deze op Twitter wordt gedeeld."
"Twitter username","Twitter-gebruikersnaam"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","Voer uw Twitter-handle in zonder het @-symbool. Dit koppelt uw Twitter-account aan gedeelde inhoud."
"Search box","Zoekvak"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","Verbeter het uiterlijk van uw site in zoekresultaten door een zoekvak toe te voegen direct in het zoekfragment. Dit kan meer gericht verkeer genereren via aangepaste zoekopdrachten op de site."
"Search box type","Type zoekvak"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","Bepaalt of en welk type sitezoekfunctie in zoekresultaten wordt weergegeven. Dit kan bezoekers aanmoedigen om direct vanuit zoekresultaten op uw site te zoeken."
"Path to the blog search","Pad naar blog zoeken"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","Voer het URL-pad in voor uw blogzoekfunctionaliteit. Vereist bij het inschakelen van blogspecifiek zoeken in zoekresultaten."
"Rich snippet","Rich snippet"
"Schema type","Schematype"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","Selecteer het schema.org-type voor deze pagina. Laat op ""Standaard"" staan om de globale instelling te gebruiken van Winkels > Configuratie > Rich snippets en OpenGraph > CMS-pagina."
"Rich snippet extender","Rich snippet-uitbreider"
"Back","Terug"
"General","Algemeen"
"Is active","Is actief"
"Entity type","Entiteitstype"
"Store view","Winkelweergave"
"Snippet extension","Snippet-extensie"
"JSON snippet","JSON-fragment"
"Enclose the JSON snippet in curly braces","Sluit het JSON-fragment in accolades"
"Override non-empty fields","Niet-lege velden overschrijven"
"Add extender","Uitbreider toevoegen"
"ID","ID"
Answer Engine (AEO),Antwoordengine (AEO)
Enable Answer-Engine Optimization,Antwoordengine-optimalisatie inschakelen
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.","Maak de grafiek met gestructureerde gegevens vindbaar voor AI-antwoordengines (ChatGPT-zoeken, Perplexity, Gemini, Google AI Overviews). Wanneer ingeschakeld, dragen de uitgegeven JSON-LD-knooppunten stabiele @id-waarden en worden ze onderling gekoppeld tot één samenhangende grafiek, zodat een antwoordengine uit de pagina één betrouwbare entiteit kan samenstellen. Wanneer uitgeschakeld, is de uitvoer identiek aan het standaardgedrag van rich snippets."
