Conditions,Conditions
"Delete wrong snippets automatically","Delete wrong snippets automatically"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues."
"Enable rich snippet","Enable rich snippet"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","Activates structured data markup for product pages. This is the master switch for all product-related rich snippets."
"Item name length","Item name length"
"Maximum character length for item name in structured data.","Maximum character length for item name in structured data."
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied."
"Item price","Item price"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets."
"Single price mode","Single price mode"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation."
"Include price valid until","Include price valid until"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures."
"Item description","Item description"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information."
"Item description length","Item description length"
"Maximum character length for item description in structured data.","Maximum character length for item description in structured data."
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied."
"Item image","Item image"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","Includes product images in structured data. This enables visual representation of products in search results and rich snippets."
"Item availability","Item availability"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results."
"Payment methods","Payment methods"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through."
"Delivery methods","Delivery methods"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods."
"Product category","Product category"
"Displays category information in product structured data. This helps establish product classification context for search engines.","Displays category information in product structured data. This helps establish product classification context for search engines."
"Manufacturer part number","Manufacturer part number"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers."
"Manufacturer part number attribute","Manufacturer part number attribute"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data."
"Brand attribute","Brand attribute"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","Specify which product attribute contains brand information. This maps your existing brand data to structured markup."
"Model attribute","Model attribute"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","Specify which product attribute contains model information. Helps identify specific product models in structured data."
"Color attribute","Color attribute"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","Specify which product attribute contains color information. Important for product variants and filtering in rich results."
"Size attribute","Size attribute"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","Specify which product attribute contains size information. Relevant for apparel and dimensional product data."
"Material attribute","Material attribute"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product."
"Pattern attribute","Pattern attribute"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product."
"Weight unit","Weight unit"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data."
Dimensions,Dimensions
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","Enable dimensional measurements in structured data. Important for physical products where size matters to customers."
Unit,Unit
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation."
"Height attribute","Height attribute"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","Specify which product attribute contains height measurements. Maps your height data to structured markup."
"Width attribute","Width attribute"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","Specify which product attribute contains width measurements. Maps your width data to structured markup."
"Depth attribute","Depth attribute"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","Specify which product attribute contains depth measurements. Maps your depth data to structured markup."
"Product condition","Product condition"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers."
"Condition attribute","Condition attribute"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","Specify which product attribute contains condition information. The system will read this attribute for condition data."
"New attribute value","New attribute value"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards."
"Used attribute value","Used attribute value"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards."
"Refurbished attribute value","Refurbished attribute value"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards."
"Damaged attribute value","Damaged attribute value"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards."
"Individual review markup","Individual review markup"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings."
"Add rich snippets for product variants","Add rich snippets for product variants"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering."
"<strong><u>GTIN configuration:</u></strong>","<strong><u>GTIN configuration:</u></strong>"
"GTIN-8 attribute","GTIN-8 attribute"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification."
"GTIN-12 attribute","GTIN-12 attribute"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification."
"GTIN-13 attribute","GTIN-13 attribute"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format."
"GTIN-14 attribute","GTIN-14 attribute"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification."
"Category page","Category page"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results."
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues."
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","Activates structured data markup for category pages. This enables enhanced search result displays for category listings."
"Category description","Category description"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","Controls which description field is used in category structured data. Select the source that best represents your category content."
"Category image","Category image"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing."
"Product offers","Product offers"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories."
"Product offers format","Product offers format"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category."
"Brand name","Brand name"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages."
"Include aggregate rating","Include aggregate rating"
"Include aggregated rating from all products in category for aggregate Product schema.","Include aggregated rating from all products in category for aggregate Product schema."
"Exclude products with price 0","Exclude products with price 0"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products."
"Enable OpenGraph","Enable OpenGraph"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms."
"CMS page","CMS page"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media."
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages."
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more."
"Default schema type","Default schema type"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor."
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms."
"Landing page","Landing page"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only."
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues."
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings."
"Landing page description","Landing page description"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","Controls which description field is used in landing page structured data. Select the source that best represents your landing page content."
"Landing page image","Landing page image"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing."
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories."
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range."
"Brand name for aggregate Product schema. Leave empty to use store name.","Brand name for aggregate Product schema. Leave empty to use store name."
"Include aggregated rating from all products in landing page for aggregate Product schema.","Include aggregated rating from all products in landing page for aggregate Product schema."
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms."
Organization,Organization
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays."
"Activates structured data about your organization. This helps search engines understand your business identity.","Activates structured data about your organization. This helps search engines understand your business identity."
"Display scope","Display scope"
"Choose where organization schema markup should appear on your website.","Choose where organization schema markup should appear on your website."
"CMS pages","CMS pages"
"Select specific CMS pages where organization schema markup should be displayed.","Select specific CMS pages where organization schema markup should be displayed."
Name,Name
"Controls how your organization name is determined. Select default store name or specify a custom business name.","Controls how your organization name is determined. Select default store name or specify a custom business name."
"Name value","Name value"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","Enter your organization's official name when using custom naming. This should match your legal business name for consistency."
Country,Country
"Determines how your organization's country is specified. Important for local business structured data.","Determines how your organization's country is specified. Important for local business structured data."
"Country value","Country value"
"Enter your organization's country name when using custom specification.","Enter your organization's country name when using custom specification."
"Locality address","Locality address"
"Controls how your organization's city/locality is determined. Important for local search visibility.","Controls how your organization's city/locality is determined. Important for local search visibility."
"Locality address value","Locality address value"
"Enter your organization's city or locality when using custom specification.","Enter your organization's city or locality when using custom specification."
"Address region","Address region"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","Controls how your organization's state/province/region is determined. Helps with regional search relevance."
"Region value","Region value"
"Enter your organization's state, province or region when using custom specification.","Enter your organization's state, province or region when using custom specification."
"Postal code","Postal code"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","Controls how your organization's ZIP/postal code is determined. Important for precise location mapping."
"Postal code value","Postal code value"
"Enter your organization's postal code when using custom specification.","Enter your organization's postal code when using custom specification."
"Street address","Street address"
"Controls how your organization's street address is determined. Provides detailed location information.","Controls how your organization's street address is determined. Provides detailed location information."
"Street address value","Street address value"
"Enter your organization's full street address when using custom specification.","Enter your organization's full street address when using custom specification."
"Telephone number","Telephone number"
"Controls how your organization's phone contact is determined. Important for customer contact information.","Controls how your organization's phone contact is determined. Important for customer contact information."
"Telephone number value","Telephone number value"
"Enter your organization's primary contact phone number when using custom specification.","Enter your organization's primary contact phone number when using custom specification."
"Fax number","Fax number"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","Enter your organization's fax number if applicable. Optional contact method for business communications."
Email,Email
"Controls how your organization's email contact is determined. Provides alternative contact information.","Controls how your organization's email contact is determined. Provides alternative contact information."
"Email value","Email value"
"Enter your organization's public contact email address when using custom specification.","Enter your organization's public contact email address when using custom specification."
"<strong><u>Social media links:</u></strong>","<strong><u>Social media links:</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence."
"YouTube channel","YouTube channel"
"Facebook account","Facebook account"
"LinkedIn profile","LinkedIn profile"
"Instagram account","Instagram account"
"Pinterest account","Pinterest account"
"Tumblr account","Tumblr account"
"Twitter account","Twitter account"
Breadcrumbs,Breadcrumbs
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results."
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results."
"Twitter card","Twitter card"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions."
"Add Twitter summary card","Add Twitter summary card"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter."
"Twitter username","Twitter username"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content."
"Search box","Search box"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches."
"Search box type","Search box type"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results."
"Path to the blog search","Path to the blog search"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results."
"Rich snippet","Rich snippet"
"Schema type","Schema type"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page."
"Rich snippet extender","Rich snippet extender"
Back,Back
General,General
"Is active","Is active"
"Entity type","Entity type"
"Store view","Store view"
"Snippet extension","Snippet extension"
"JSON snippet","JSON snippet"
"Enclose the JSON snippet in curly braces","Enclose the JSON snippet in curly braces"
"Override non-empty fields","Override non-empty fields"
"Add extender","Add extender"
ID,ID
Answer Engine (AEO),Answer Engine (AEO)
Enable Answer-Engine Optimization,Enable Answer-Engine Optimization
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.","Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour."
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.","Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them."
"Legal name","Legal name"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity."
"Founding date","Founding date"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals."
"Number of employees","Number of employees"
"Enter the approximate number of employees in your organization.","Enter the approximate number of employees in your organization."
"Area served","Area served"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide""."
"<strong><u>Contact points:</u></strong>","<strong><u>Contact points:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly."
"Customer service telephone","Customer service telephone"
"Customer service email","Customer service email"
"Customer service area served","Customer service area served"
"Sales telephone","Sales telephone"
"Sales email","Sales email"
"Sales area served","Sales area served"
"Technical support telephone","Technical support telephone"
"Technical support email","Technical support email"
"Technical support area served","Technical support area served"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","Controls how the customer service contact email is determined. Store information uses your Customer Support sender email."
"Customer service email value","Customer service email value"
"Enter the customer service contact email address when using custom specification.","Enter the customer service contact email address when using custom specification."
"Controls how the sales contact email is determined. Store information uses your Sales Representative sender email.","Controls how the sales contact email is determined. Store information uses your Sales Representative sender email."
"Sales email value","Sales email value"
"Enter the sales contact email address when using custom specification.","Enter the sales contact email address when using custom specification."
