"Conditions","Warunki"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","Skonfiguruj rich snippets dla stron produktów, aby poprawić widoczność w wyszukiwarkach. Te ustawienia poprawiają sposób wyświetlania produktów w wynikach wyszukiwania, dodając informacje takie jak ceny, dostępność i recenzje."
"Delete wrong snippets automatically","Automatycznie usuwaj błędne snippety"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","Automatycznie usuwa nieprawidłowe dane strukturalne ze stron produktów. Pomaga utrzymać czysty markup i zapobiega problemom z walidacją schematu."
"Enable rich snippet","Włącz rich snippet"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","Aktywuje oznaczanie danych strukturalnych dla stron produktów. Jest to główny przełącznik dla wszystkich rich snippetów związanych z produktami."
"Item name length","Długość nazwy elementu"
"Maximum character length for item name in structured data.","Maksymalna długość znaków dla nazwy elementu w danych strukturalnych."
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Maksymalna wartość zalecana przez Google to 150. Wartości poniżej 25 domyślnie przyjmą 150. Jeśli wartość jest pusta lub wynosi 0, nie jest stosowany żaden limit."
"Item price","Cena elementu"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","Zawiera informacje o cenach produktów w OpenGraph i Rich Snippets. Ostrzeżenie: wyłączenie tego spowoduje usunięcie ceny z danych strukturalnych i może powodować błędy walidacji Google Rich Results, ponieważ cena jest wymagana dla prawidłowych rich snippetów produktów."
"Single price mode","Tryb pojedynczej ceny"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","Po włączeniu używa typu schema.org Offer z pojedynczą wartością ceny zamiast typu AggregateOffer z przedziałami cenowymi. Zmienia to dane strukturalne z agregacji wielu ofert na reprezentację pojedynczej oferty."
"Include price valid until","Uwzględnij cenę ważną do"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","Pomaga wyszukiwarkom zrozumieć czasową ważność ceny i może poprawić dokładność funkcji porównywania cen. Przydatne dla cen promocyjnych, ofert ograniczonych czasowo lub regularnie aktualizowanych struktur cenowych."
"Item description","Opis elementu"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","Kontroluje, które pole opisu produktu jest używane w danych strukturalnych. Wybierz najbardziej odpowiednie źródło dla kompleksowych informacji o produkcie."
"Item description length","Długość opisu elementu"
"Maximum character length for item description in structured data.","Maksymalna długość znaków dla opisu elementu w danych strukturalnych."
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","Maksymalna wartość zalecana przez Google to 5000. Wartości poniżej 25 domyślnie przyjmą 5000. Jeśli wartość jest pusta lub wynosi 0, nie jest stosowany żaden limit."
"Item image","Obraz elementu"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","Zawiera obrazy produktów w danych strukturalnych. Umożliwia wizualną reprezentację produktów w wynikach wyszukiwania i rich snippetach."
"Item availability","Dostępność elementu"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","Pokazuje stan magazynowy produktu w danych strukturalnych. Pomaga komunikować poziomy zapasów potencjalnym klientom bezpośrednio w wynikach wyszukiwania."
"Payment methods","Metody płatności"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","Wymienia akceptowane metody płatności w danych strukturalnych. Zapewnia przejrzystość opcji płatności przed kliknięciem przez odwiedzających."
"Delivery methods","Metody dostawy"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","Zawiera opcje wysyłki i dostawy w danych strukturalnych. Pomaga ustalić oczekiwania klientów co do metod realizacji."
"Product category","Kategoria produktu"
"Displays category information in product structured data. This helps establish product classification context for search engines.","Wyświetla informacje o kategorii w danych strukturalnych produktu. Pomaga ustalić kontekst klasyfikacji produktu dla wyszukiwarek."
"Manufacturer part number","Numer części producenta"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","Zawiera numery części producenta w danych strukturalnych. Poprawia możliwość odkrycia w wyszukiwaniach konkretnych produktów według identyfikatorów technicznych."
"Manufacturer part number attribute","Atrybut numeru części producenta"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","Określ, który atrybut produktu zawiera dane numeru części producenta. System odczyta ten atrybut, aby wypełnić dane strukturalne."
"Brand attribute","Atrybut marki"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","Określ, który atrybut produktu zawiera informacje o marce. Mapuje to istniejące dane marki na strukturowany markup."
"Model attribute","Atrybut modelu"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","Określ, który atrybut produktu zawiera informacje o modelu. Pomaga identyfikować konkretne modele produktów w danych strukturalnych."
"Color attribute","Atrybut koloru"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","Określ, który atrybut produktu zawiera informacje o kolorze. Ważne dla wariantów produktów i filtrowania w rich results."
"Size attribute","Atrybut rozmiaru"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","Określ, który atrybut produktu zawiera informacje o rozmiarze. Istotne dla odzieży i danych produktów o wymiarach."
"Material attribute","Atrybut materiału"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","Określ, który atrybut produktu zawiera informacje o materiale (np. ""materiał"", ""tkanina""). Jest wyświetlany jako bezpośrednia właściwość schema.org na Produkcie."
"Pattern attribute","Atrybut wzoru"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","Określ, który atrybut produktu zawiera informacje o wzorze (np. ""wzór""). Jest wyświetlany jako bezpośrednia właściwość schema.org na Produkcie."
"Weight unit","Jednostka wagi"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","Wybierz standardową jednostkę miary używaną dla wag produktów. Zapewnia spójną reprezentację wagi w danych strukturalnych."
"Dimensions","Wymiary"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","Włącz pomiary wymiarów w danych strukturalnych. Ważne dla produktów fizycznych, gdzie rozmiar ma znaczenie dla klientów."
"Unit","Jednostka"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","Określ jednostkę miary dla wymiarów produktu (np. cale, cm). Utrzymuje spójność w reprezentacji wymiarów."
"Height attribute","Atrybut wysokości"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","Określ, który atrybut produktu zawiera pomiary wysokości. Mapuje dane wysokości na strukturowany markup."
"Width attribute","Atrybut szerokości"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","Określ, który atrybut produktu zawiera pomiary szerokości. Mapuje dane szerokości na strukturowany markup."
"Depth attribute","Atrybut głębokości"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","Określ, który atrybut produktu zawiera pomiary głębokości. Mapuje dane głębokości na strukturowany markup."
"Product condition","Stan produktu"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","Wskaż, czy produkty są nowe, używane czy odnowione. Jest to ważne dla platform handlowych i sprzedawców."
"Condition attribute","Atrybut stanu"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","Określ, który atrybut produktu zawiera informacje o stanie. System odczyta ten atrybut dla danych stanu."
"New attribute value","Wartość atrybutu nowy"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","Określ dokładną wartość atrybutu wskazującą, że produkt jest nowy. Mapuje to wewnętrzne wartości na standardy schema.org."
"Used attribute value","Wartość atrybutu używany"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","Określ dokładną wartość atrybutu wskazującą, że produkt jest używany. Mapuje to wewnętrzne wartości na standardy schema.org."
"Refurbished attribute value","Wartość atrybutu odnowiony"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","Określ dokładną wartość atrybutu wskazującą, że produkt jest odnowiony. Mapuje to wewnętrzne wartości na standardy schema.org."
"Damaged attribute value","Wartość atrybutu uszkodzony"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","Określ dokładną wartość atrybutu wskazującą, że produkt jest uszkodzony. Mapuje to wewnętrzne wartości na standardy schema.org."
"Individual review markup","Markup indywidualnej recenzji"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","Dołącz markup dla każdej indywidualnej recenzji produktu. Umożliwia to bogate wyświetlanie treści recenzji w wynikach wyszukiwania poza zbiorczymi ocenami."
"Add rich snippets for product variants","Dodaj rich snippety dla wariantów produktów"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","Dołącz dane strukturalne dla wariantów produktów, takich jak różne kolory lub rozmiary. Pomaga to wyszukiwarkom zrozumieć pełną ofertę produktów."
"<strong><u>GTIN configuration:</u></strong>","<strong><u>Konfiguracja GTIN:</u></strong>"
"GTIN-8 attribute","Atrybut GTIN-8"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","Określ, który atrybut zawiera 8-cyfrowe kody GTIN/EAN. Ważne dla międzynarodowej identyfikacji produktów."
"GTIN-12 attribute","Atrybut GTIN-12"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","Określ, który atrybut zawiera 12-cyfrowe kody GTIN/UPC. Standard dla identyfikacji produktów w Ameryce Północnej."
"GTIN-13 attribute","Atrybut GTIN-13"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","Określ, który atrybut zawiera 13-cyfrowe kody GTIN/EAN. Powszechny format międzynarodowej identyfikacji produktów."
"GTIN-14 attribute","Atrybut GTIN-14"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","Określ, który atrybut zawiera 14-cyfrowe kody GTIN. Używane dla poziomów opakowań w identyfikacji łańcucha dostaw."
"Category page","Strona kategorii"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","Kontroluj sposób reprezentowania stron kategorii w wynikach wyszukiwania. Te ustawienia pomagają wyszukiwarkom lepiej zrozumieć strukturę kategorii i poprawiają wyświetlanie informacji o kategorii w wynikach wyszukiwania."
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","Automatycznie usuwa nieprawidłowe dane strukturalne ze stron kategorii. Pomaga utrzymać czysty markup i zapobiega problemom z walidacją schematu."
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","Aktywuje oznaczanie danych strukturalnych dla stron kategorii. Umożliwia to ulepszone wyświetlanie wyników wyszukiwania dla list kategorii."
"Category description","Opis kategorii"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","Kontroluje, które pole opisu jest używane w danych strukturalnych kategorii. Wybierz źródło, które najlepiej reprezentuje treść kategorii."
"Category image","Obraz kategorii"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","Zawiera miniatury obrazów kategorii w danych strukturalnych. Pomaga zapewnić kontekst wizualny w wyszukiwaniu i udostępnianiu społecznościowym."
"Product offers","Oferty produktów"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Kontroluje, czy i w jaki sposób informacje o produktach są uwzględniane w danych strukturalnych kategorii. Może to pokazywać dostępne produkty w kategoriach. Ostrzeżenie: tryb ""Cała kategoria"" wyświetla wszystkie produkty niezależnie od bieżącej strony, co narusza wytyczne Google wymagające odzwierciedlania widocznej treści strony przez dane strukturalne, może być traktowane jako spamowy markup i może znacznie wydłużyć czas ładowania strony dla dużych kategorii."
"Product offers format","Format ofert produktów"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","Określa, jak dane produktów są formatowane w danych strukturalnych kategorii. ""Produkt zbiorczy"" generuje pojedynczy schemat Produktu z przedziałem cenowym całej kategorii."
"Brand name","Nazwa marki"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","Nazwa marki dla zbiorczego schematu Produktu. Pozostaw puste, aby użyć nazwy sklepu lub nazwy marki dla stron marki."
"Include aggregate rating","Uwzględnij ocenę zbiorczą"
"Include aggregated rating from all products in category for aggregate Product schema.","Uwzględnij zbiorczą ocenę ze wszystkich produktów w kategorii dla zbiorczego schematu Produktu."
"Exclude products with price 0","Wyklucz produkty z ceną 0"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","Po włączeniu produkty z ceną 0 zostaną wykluczone z obliczania zbiorczej oferty. Zapobiega to wyświetlaniu 0 przez lowPrice, gdy kategoria zawiera bezpłatne produkty."
"Enable OpenGraph","Włącz OpenGraph"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","Aktywuje metadane OpenGraph dla stron kategorii. Kontroluje to, jak strony kategorii wyglądają po udostępnieniu na platformach mediów społecznościowych."
"CMS page","Strona CMS"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","Zarządzaj rich snippetami i danymi OpenGraph dla statycznych stron treści. Pomaga to wyszukiwarkom właściwie interpretować strony informacyjne i poprawia ich wygląd podczas udostępniania w mediach społecznościowych."
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","Automatycznie usuwa nieprawidłowe dane strukturalne ze stron CMS. Pomaga utrzymać czysty markup na statycznych stronach treści."
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","Aktywuje oznaczanie danych strukturalnych dla stron CMS. Umożliwia to ulepszone wyświetlanie wyników wyszukiwania z typami schema.org, takimi jak WebPage, Article, BlogPosting i inne."
"Default schema type","Domyślny typ schematu"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","Wybierz domyślny typ schema.org używany dla stron CMS, gdy nie ustawiono zastąpienia per-strona. Poszczególne strony mogą to zastąpić w edytorze stron CMS."
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","Aktywuje metadane OpenGraph dla stron CMS. Poprawia to wygląd statycznych stron podczas udostępniania na platformach społecznościowych."
"Landing page","Strona docelowa"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","Kontroluj sposób reprezentowania stron docelowych w wynikach wyszukiwania. Te ustawienia pomagają wyszukiwarkom lepiej zrozumieć strukturę strony docelowej i poprawiają wyświetlanie informacji o stronie docelowej w wynikach wyszukiwania. Działa tylko z Mirasvit Landing Page."
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","Automatycznie usuwa nieprawidłowe dane strukturalne ze stron docelowych. Pomaga utrzymać czysty markup i zapobiega problemom z walidacją schematu."
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","Aktywuje oznaczanie danych strukturalnych dla stron docelowych. Umożliwia to ulepszone wyświetlanie wyników wyszukiwania dla list stron docelowych."
"Landing page description","Opis strony docelowej"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","Kontroluje, które pole opisu jest używane w danych strukturalnych strony docelowej. Wybierz źródło, które najlepiej reprezentuje treść strony docelowej."
"Landing page image","Obraz strony docelowej"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","Zawiera miniatury obrazów strony docelowej w danych strukturalnych. Pomaga zapewnić kontekst wizualny w wyszukiwaniu i udostępnianiu społecznościowym."
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Kontroluje, czy i w jaki sposób informacje o produktach są uwzględniane w danych strukturalnych strony docelowej. Może to pokazywać dostępne produkty na stronach docelowych. Ostrzeżenie: tryb ""Cała strona docelowa"" wyświetla wszystkie produkty niezależnie od bieżącej strony, co narusza wytyczne Google wymagające odzwierciedlania widocznej treści strony przez dane strukturalne, może być traktowane jako spamowy markup i może znacznie wydłużyć czas ładowania strony dla dużych kategorii."
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","Określa, jak dane produktów są formatowane w danych strukturalnych strony docelowej. ""Produkt zbiorczy"" generuje pojedynczy schemat Produktu z przedziałem cenowym."
"Brand name for aggregate Product schema. Leave empty to use store name.","Nazwa marki dla zbiorczego schematu Produktu. Pozostaw puste, aby użyć nazwy sklepu."
"Include aggregated rating from all products in landing page for aggregate Product schema.","Uwzględnij zbiorczą ocenę ze wszystkich produktów na stronie docelowej dla zbiorczego schematu Produktu."
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","Aktywuje metadane OpenGraph dla stron docelowych. Kontroluje to, jak strony docelowe wyglądają po udostępnieniu na platformach mediów społecznościowych."
"Organization","Organizacja"
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","Zdefiniuj dane strukturalne o swojej organizacji dla wyszukiwarek. Informacje te pomagają ustalić tożsamość biznesową w wynikach wyszukiwania i mogą włączyć specjalne funkcje, takie jak panele wiedzy."
"Activates structured data about your organization. This helps search engines understand your business identity.","Aktywuje dane strukturalne o Twojej organizacji. Pomaga to wyszukiwarkom zrozumieć tożsamość Twojego biznesu."
"Display scope","Zakres wyświetlania"
"Choose where organization schema markup should appear on your website.","Wybierz, gdzie markup schematu organizacji ma się pojawiać na Twojej witrynie."
"CMS pages","Strony CMS"
"Select specific CMS pages where organization schema markup should be displayed.","Wybierz konkretne strony CMS, na których ma być wyświetlany markup schematu organizacji."
"Name","Nazwa"
"Controls how your organization name is determined. Select default store name or specify a custom business name.","Kontroluje sposób ustalania nazwy organizacji. Wybierz domyślną nazwę sklepu lub podaj niestandardową nazwę firmy."
"Name value","Wartość nazwy"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","Wprowadź oficjalną nazwę organizacji przy użyciu niestandardowego nazewnictwa. Powinna ona odpowiadać prawnej nazwie firmy dla spójności."
"Country","Kraj"
"Determines how your organization's country is specified. Important for local business structured data.","Określa, jak podaje się kraj organizacji. Ważne dla danych strukturalnych lokalnych firm."
"Country value","Wartość kraju"
"Enter your organization's country name when using custom specification.","Wprowadź nazwę kraju organizacji przy użyciu niestandardowej specyfikacji."
"Locality address","Adres miejscowości"
"Controls how your organization's city/locality is determined. Important for local search visibility.","Kontroluje sposób ustalania miasta/miejscowości organizacji. Ważne dla widoczności w lokalnych wyszukiwaniach."
"Locality address value","Wartość adresu miejscowości"
"Enter your organization's city or locality when using custom specification.","Wprowadź miasto lub miejscowość organizacji przy użyciu niestandardowej specyfikacji."
"Address region","Region adresu"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","Kontroluje sposób ustalania stanu/prowincji/regionu organizacji. Pomaga w regionalnej trafności wyszukiwania."
"Region value","Wartość regionu"
"Enter your organization's state, province or region when using custom specification.","Wprowadź stan, prowincję lub region organizacji przy użyciu niestandardowej specyfikacji."
"Postal code","Kod pocztowy"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","Kontroluje sposób ustalania kodu pocztowego organizacji. Ważne dla precyzyjnego mapowania lokalizacji."
"Postal code value","Wartość kodu pocztowego"
"Enter your organization's postal code when using custom specification.","Wprowadź kod pocztowy organizacji przy użyciu niestandardowej specyfikacji."
"Street address","Adres ulicy"
"Controls how your organization's street address is determined. Provides detailed location information.","Kontroluje sposób ustalania adresu ulicy organizacji. Dostarcza szczegółowych informacji o lokalizacji."
"Street address value","Wartość adresu ulicy"
"Enter your organization's full street address when using custom specification.","Wprowadź pełny adres ulicy organizacji przy użyciu niestandardowej specyfikacji."
"Telephone number","Numer telefonu"
"Controls how your organization's phone contact is determined. Important for customer contact information.","Kontroluje sposób ustalania kontaktu telefonicznego organizacji. Ważne dla informacji kontaktowych klientów."
"Telephone number value","Wartość numeru telefonu"
"Enter your organization's primary contact phone number when using custom specification.","Wprowadź główny numer telefonu kontaktowego organizacji przy użyciu niestandardowej specyfikacji."
"Fax number","Numer faksu"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","Wprowadź numer faksu organizacji, jeśli dotyczy. Opcjonalna metoda kontaktu dla komunikacji biznesowej."
"Email","E-mail"
"Controls how your organization's email contact is determined. Provides alternative contact information.","Kontroluje sposób ustalania kontaktu e-mailowego organizacji. Dostarcza alternatywnych informacji kontaktowych."
"Email value","Wartość e-mail"
"Enter your organization's public contact email address when using custom specification.","Wprowadź publiczny adres e-mail kontaktowy organizacji przy użyciu niestandardowej specyfikacji."
"<strong><u>Social media links:</u></strong>","<strong><u>Linki do mediów społecznościowych:</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","Wprowadź pełne adresy URL do profili w mediach społecznościowych. Ustanawiają one oficjalne połączenie między Twoją witryną a kanałami społecznościowymi, pomagając wyszukiwarkom zweryfikować Twoją obecność online."
"YouTube channel","Kanał YouTube"
"Facebook account","Konto Facebook"
"LinkedIn profile","Profil LinkedIn"
"Instagram account","Konto Instagram"
"Pinterest account","Konto Pinterest"
"Tumblr account","Konto Tumblr"
"Twitter account","Konto Twitter"
"Breadcrumbs","Okruszki nawigacyjne"
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","Włącz ustrukturyzowane dane okruszków nawigacyjnych, aby pomóc wyszukiwarkom zrozumieć hierarchię nawigacji witryny. Poprawia to indeksowanie witryny i może ulepszyć wyświetlanie nawigacji okruszkami w wynikach wyszukiwania."
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","Aktywuje ustrukturyzowany markup okruszków nawigacyjnych. Pomaga to wyszukiwarkom zrozumieć hierarchię witryny i może wyświetlać ulepszoną nawigację okruszkami w wynikach wyszukiwania."
"Twitter card","Karta Twitter"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","Skonfiguruj metadane karty Twitter, aby kontrolować wygląd stron po udostępnieniu na Twitter. Pomaga to zoptymalizować udostępnianie społecznościowe z odpowiednimi obrazami i opisami."
"Add Twitter summary card","Dodaj kartę podsumowania Twitter"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","Kontroluje, jaki typ karty Twitter wdrożyć. Określa to wygląd treści po udostępnieniu na Twitter."
"Twitter username","Nazwa użytkownika Twitter"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","Wprowadź swój uchwyt Twitter bez symbolu @. Kojarzy to konto Twitter z udostępnianą treścią."
"Search box","Pole wyszukiwania"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","Popraw wygląd witryny w wynikach wyszukiwania, dodając pole wyszukiwania bezpośrednio w snippecie wyszukiwania. Może to przyciągnąć bardziej ukierunkowany ruch poprzez niestandardowe wyszukiwania witryny."
"Search box type","Typ pola wyszukiwania"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","Określa, czy i jaki typ wyszukiwania witryny jest wyróżniony w wynikach wyszukiwania. Może to zachęcać odwiedzających do wyszukiwania na witrynie bezpośrednio z wyników wyszukiwania."
"Path to the blog search","Ścieżka do wyszukiwania bloga"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","Wprowadź ścieżkę URL dla funkcji wyszukiwania bloga. Wymagane przy włączaniu wyszukiwania specyficznego dla bloga w wynikach wyszukiwania."
"Rich snippet","Rich snippet"
"Schema type","Typ schematu"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","Wybierz typ schema.org dla tej strony. Pozostaw jako ""Domyślny"", aby użyć globalnego ustawienia z Sklepy > Konfiguracja > Rich snippety i OpenGraph > Strona CMS."
"Rich snippet extender","Rozszerzenie rich snippet"
"Back","Wstecz"
"General","Ogólne"
"Is active","Jest aktywny"
"Entity type","Typ encji"
"Store view","Widok sklepu"
"Snippet extension","Rozszerzenie snippetu"
"JSON snippet","Snippet JSON"
"Enclose the JSON snippet in curly braces","Umieść snippet JSON w nawiasach klamrowych"
"Override non-empty fields","Zastąp niepuste pola"
"Add extender","Dodaj rozszerzenie"
"ID","ID"
Answer Engine (AEO),Silnik odpowiedzi (AEO)
Enable Answer-Engine Optimization,Włącz optymalizację pod silniki odpowiedzi
