"Conditions","الشروط"
"Brand name for aggregate Product schema. Leave empty to use store name.","اسم العلامة التجارية لمخطط المنتج المجمّع. اتركه فارغاً لاستخدام اسم المتجر."
"Include aggregated rating from all products in landing page for aggregate Product schema.","تضمين التقييم المجمّع من جميع المنتجات في الصفحة المقصودة لمخطط المنتج المجمّع."
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","تُفعّل بيانات OpenGraph الوصفية للصفحات المقصودة. يتحكم هذا في طريقة ظهور الصفحات المقصودة عند مشاركتها على منصات التواصل الاجتماعي."
"Organization","المؤسسة"
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","حدد بيانات منظمة حول مؤسستك لمحركات البحث. تساعد هذه المعلومات في تأسيس هوية عملك في نتائج البحث ويمكن أن تتيح ميزات خاصة مثل عرض لوحة المعرفة."
"Activates structured data about your organization. This helps search engines understand your business identity.","تُفعّل البيانات المنظمة حول مؤسستك. يساعد هذا محركات البحث على فهم هوية عملك."
"Display scope","نطاق العرض"
"Choose where organization schema markup should appear on your website.","اختر أين يجب أن يظهر ترميز schema المؤسسة على موقعك."
"CMS pages","صفحات CMS"
"Select specific CMS pages where organization schema markup should be displayed.","حدد صفحات CMS المحددة حيث يجب عرض ترميز schema المؤسسة."
"Name","الاسم"
"Controls how your organization name is determined. Select default store name or specify a custom business name.","يتحكم في كيفية تحديد اسم مؤسستك. اختر اسم المتجر الافتراضي أو حدد اسماً تجارياً مخصصاً."
"Name value","قيمة الاسم"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","أدخل الاسم الرسمي لمؤسستك عند استخدام التسمية المخصصة. يجب أن يتطابق مع اسمك التجاري القانوني للاتساق."
"Country","الدولة"
"Determines how your organization's country is specified. Important for local business structured data.","يحدد كيفية تحديد دولة مؤسستك. مهم لبيانات الأعمال المحلية المنظمة."
"Country value","قيمة الدولة"
"Enter your organization's country name when using custom specification.","أدخل اسم دولة مؤسستك عند استخدام التحديد المخصص."
"Locality address","عنوان المدينة"
"Controls how your organization's city/locality is determined. Important for local search visibility.","يتحكم في كيفية تحديد مدينة/منطقة مؤسستك. مهم لظهور البحث المحلي."
"Locality address value","قيمة عنوان المدينة"
"Enter your organization's city or locality when using custom specification.","أدخل مدينة أو منطقة مؤسستك عند استخدام التحديد المخصص."
"Address region","منطقة العنوان"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","يتحكم في كيفية تحديد ولاية/مقاطعة/منطقة مؤسستك. يساعد في ملاءمة البحث الإقليمي."
"Region value","قيمة المنطقة"
"Enter your organization's state, province or region when using custom specification.","أدخل ولاية أو مقاطعة أو منطقة مؤسستك عند استخدام التحديد المخصص."
"Postal code","الرمز البريدي"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","يتحكم في كيفية تحديد الرمز البريدي لمؤسستك. مهم لتحديد الموقع الدقيق."
"Postal code value","قيمة الرمز البريدي"
"Enter your organization's postal code when using custom specification.","أدخل الرمز البريدي لمؤسستك عند استخدام التحديد المخصص."
"Street address","عنوان الشارع"
"Controls how your organization's street address is determined. Provides detailed location information.","يتحكم في كيفية تحديد عنوان شارع مؤسستك. يوفر معلومات موقع مفصّلة."
"Street address value","قيمة عنوان الشارع"
"Enter your organization's full street address when using custom specification.","أدخل العنوان الكامل لشارع مؤسستك عند استخدام التحديد المخصص."
"Telephone number","رقم الهاتف"
"Controls how your organization's phone contact is determined. Important for customer contact information.","يتحكم في كيفية تحديد جهة اتصال هاتف مؤسستك. مهم لمعلومات التواصل مع العملاء."
"Telephone number value","قيمة رقم الهاتف"
"Enter your organization's primary contact phone number when using custom specification.","أدخل رقم هاتف الاتصال الرئيسي لمؤسستك عند استخدام التحديد المخصص."
"Fax number","رقم الفاكس"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","أدخل رقم فاكس مؤسستك إن وُجد. وسيلة اتصال اختيارية للمراسلات التجارية."
"Email","البريد الإلكتروني"
"Controls how your organization's email contact is determined. Provides alternative contact information.","يتحكم في كيفية تحديد جهة اتصال البريد الإلكتروني لمؤسستك. يوفر معلومات اتصال بديلة."
"Email value","قيمة البريد الإلكتروني"
"Enter your organization's public contact email address when using custom specification.","أدخل عنوان البريد الإلكتروني العام لمؤسستك عند استخدام التحديد المخصص."
"<strong><u>Social media links:</u></strong>","<strong><u>روابط وسائل التواصل الاجتماعي:</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","أدخل عناوين URL الكاملة لملفاتك الشخصية على وسائل التواصل الاجتماعي. تُنشئ هذه الروابط صلة رسمية بين موقعك وقنوات التواصل الاجتماعي، مما يساعد محركات البحث على التحقق من حضورك الإلكتروني."
"YouTube channel","قناة YouTube"
"Facebook account","حساب Facebook"
"LinkedIn profile","ملف LinkedIn الشخصي"
"Instagram account","حساب Instagram"
"Pinterest account","حساب Pinterest"
"Tumblr account","حساب Tumblr"
"Twitter account","حساب Twitter"
"Breadcrumbs","مسار التنقل"
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","تفعيل بيانات مسار التنقل المنظمة لمساعدة محركات البحث على فهم هرمية تنقل موقعك. يحسن هذا فهرسة الموقع ويمكن أن يعزز طريقة ظهور تنقل مسار التنقل في نتائج البحث."
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","تُفعّل ترميز مسار التنقل المنظم. يساعد هذا محركات البحث على فهم هرمية موقعك وقد يُعرض تنقل مسار التنقل المحسّن في نتائج البحث."
"Twitter card","بطاقة Twitter"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","اضبط بيانات بطاقة Twitter الوصفية للتحكم في طريقة ظهور صفحاتك عند مشاركتها على Twitter. يساعد هذا في تحسين المشاركة الاجتماعية بالصور والأوصاف المناسبة."
"Add Twitter summary card","إضافة بطاقة ملخص Twitter"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","يتحكم في نوع بطاقة Twitter التي يجب تطبيقها. يحدد هذا طريقة ظهور محتواك عند مشاركته على Twitter."
"Twitter username","اسم مستخدم Twitter"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","أدخل اسم مستخدم Twitter بدون رمز @. يربط هذا حساب Twitter الخاص بك بالمحتوى المشارك."
"Search box","مربع البحث"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","عزّز ظهور موقعك في نتائج البحث بإضافة مربع بحث مباشرةً في مقتطف البحث. يمكن أن يجذب هذا المزيد من الزيارات المستهدفة من خلال عمليات البحث المخصصة في الموقع."
"Search box type","نوع مربع البحث"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","يحدد ما إذا كان البحث في الموقع مُعرّضاً في نتائج البحث ونوعه. يمكن أن يشجع هذا الزوار على البحث في موقعك مباشرةً من نتائج البحث."
"Path to the blog search","المسار إلى بحث المدونة"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","أدخل مسار URL لوظيفة بحث مدونتك. مطلوب عند تفعيل البحث الخاص بالمدونة في نتائج البحث."
"Rich snippet","المقتطف المنسق"
"Schema type","نوع schema"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","اختر نوع schema.org لهذه الصفحة. اتركه كـ""افتراضي"" لاستخدام الإعداد العام من المتاجر > الإعدادات > المقتطفات المنسقة وOpenGraph > صفحة CMS."
