"Conditions","Condições"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","Quando ativado, usa o tipo schema.org Offer com um único valor de preço em vez do tipo AggregateOffer com intervalos de preço. Isto altera os dados estruturados de agregação de múltiplas ofertas para uma representação de oferta única."
"Include price valid until","Incluir preço válido até"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","Isto ajuda os motores de pesquisa a compreender a validade temporal do preço e pode melhorar a precisão nas funcionalidades de comparação de preços. Útil para preços promocionais, ofertas por tempo limitado ou estruturas de preços atualizadas regularmente."
"Item description","Descrição do item"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","Controla qual campo de descrição do produto é usado em dados estruturados. Selecione a fonte mais adequada para informações abrangentes do produto."
"Item description length","Comprimento da descrição do item"
"Maximum character length for item description in structured data.","Comprimento máximo de caracteres para a descrição do item em dados estruturados."
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","O valor máximo recomendado pelo Google é 5000. Valores abaixo de 25 serão predefinidos para 5000. Se o valor estiver vazio ou for 0, não é aplicado nenhum limite."
"Item image","Imagem do item"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","Inclui imagens de produto em dados estruturados. Isto permite a representação visual de produtos nos resultados de pesquisa e rich snippets."
"Item availability","Disponibilidade do item"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","Mostra o estado do inventário do produto em dados estruturados. Isto ajuda a comunicar os níveis de stock a potenciais clientes diretamente nos resultados de pesquisa."
"Payment methods","Métodos de pagamento"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","Lista os métodos de pagamento aceites em dados estruturados. Isto proporciona transparência sobre as opções de pagamento antes de os visitantes clicarem."
"Delivery methods","Métodos de entrega"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","Inclui opções de envio e entrega em dados estruturados. Isto ajuda a definir as expectativas dos clientes em relação aos métodos de fulfillment."
"Product category","Categoria do produto"
"Displays category information in product structured data. This helps establish product classification context for search engines.","Exibe informações de categoria em dados estruturados de produto. Isto ajuda a estabelecer o contexto de classificação do produto para os motores de pesquisa."
"Manufacturer part number","Número de peça do fabricante"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","Inclui números de peça do fabricante em dados estruturados. Isto melhora a capacidade de descoberta em pesquisas de produtos específicos por identificadores técnicos."
"Manufacturer part number attribute","Atributo de número de peça do fabricante"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","Especifique qual atributo de produto contém os dados do número de peça do fabricante. O sistema irá ler este atributo para preencher os dados estruturados."
"Brand attribute","Atributo de marca"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","Especifique qual atributo de produto contém informações de marca. Isto mapeia os seus dados de marca existentes para marcação estruturada."
"Model attribute","Atributo de modelo"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","Especifique qual atributo de produto contém informações de modelo. Ajuda a identificar modelos de produto específicos em dados estruturados."
"Color attribute","Atributo de cor"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","Especifique qual atributo de produto contém informações de cor. Importante para variantes de produto e filtragem em rich results."
"Size attribute","Atributo de tamanho"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","Especifique qual atributo de produto contém informações de tamanho. Relevante para vestuário e dados de produtos dimensionais."
"Material attribute","Atributo de material"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","Especifique qual atributo de produto contém informações de material (p. ex., ""material"", ""tecido""). É emitido como uma propriedade schema.org direta no Produto."
"Pattern attribute","Atributo de padrão"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","Especifique qual atributo de produto contém informações de padrão (p. ex., ""padrão""). É emitido como uma propriedade schema.org direta no Produto."
"Weight unit","Unidade de peso"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","Selecione a unidade de medida padrão usada para pesos de produto. Garante uma representação consistente do peso em dados estruturados."
"Dimensions","Dimensões"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","Ative medições dimensionais em dados estruturados. Importante para produtos físicos onde o tamanho é relevante para os clientes."
"Unit","Unidade"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","Especifique a unidade de medida para as dimensões do produto (p. ex., polegadas, cm). Mantém a consistência na representação dimensional."
"Height attribute","Atributo de altura"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","Especifique qual atributo de produto contém medições de altura. Mapeia os seus dados de altura para marcação estruturada."
"Width attribute","Atributo de largura"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","Especifique qual atributo de produto contém medições de largura. Mapeia os seus dados de largura para marcação estruturada."
"Depth attribute","Atributo de profundidade"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","Especifique qual atributo de produto contém medições de profundidade. Mapeia os seus dados de profundidade para marcação estruturada."
"Product condition","Condição do produto"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","Indique se os produtos são novos, usados ou recondicionados. Isto é importante para marketplaces e revendedores."
"Condition attribute","Atributo de condição"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","Especifique qual atributo de produto contém informações de condição. O sistema irá ler este atributo para dados de condição."
"New attribute value","Valor de atributo novo"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","Especifique o valor exato do atributo que indica que um produto é novo. Isto mapeia os seus valores internos para os padrões schema.org."
"Used attribute value","Valor de atributo usado"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","Especifique o valor exato do atributo que indica que um produto é usado. Isto mapeia os seus valores internos para os padrões schema.org."
"Refurbished attribute value","Valor de atributo recondicionado"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","Especifique o valor exato do atributo que indica que um produto é recondicionado. Isto mapeia os seus valores internos para os padrões schema.org."
"Damaged attribute value","Valor de atributo danificado"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","Especifique o valor exato do atributo que indica que um produto está danificado. Isto mapeia os seus valores internos para os padrões schema.org."
"Individual review markup","Marcação de avaliação individual"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","Inclua marcação para cada avaliação individual do produto. Isto permite uma apresentação rica do conteúdo de avaliações nos resultados de pesquisa para além das classificações agregadas."
"Add rich snippets for product variants","Adicionar rich snippets para variantes de produto"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","Inclua dados estruturados para variações de produto como cores ou tamanhos diferentes. Isto ajuda os motores de pesquisa a compreender a sua oferta completa de produtos."
"<strong><u>GTIN configuration:</u></strong>","<strong><u>Configuração de GTIN:</u></strong>"
"GTIN-8 attribute","Atributo GTIN-8"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","Especifique qual atributo contém códigos GTIN/EAN de 8 dígitos. Importante para identificação internacional de produtos."
"GTIN-12 attribute","Atributo GTIN-12"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","Especifique qual atributo contém códigos GTIN/UPC de 12 dígitos. Padrão para identificação de produtos na América do Norte."
"GTIN-13 attribute","Atributo GTIN-13"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","Especifique qual atributo contém códigos GTIN/EAN de 13 dígitos. Formato comum de identificação internacional de produtos."
"GTIN-14 attribute","Atributo GTIN-14"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","Especifique qual atributo contém códigos GTIN de 14 dígitos. Usado para níveis de embalagem na identificação da cadeia de abastecimento."
"Category page","Página de categoria"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","Controle como as páginas de categoria são representadas nos resultados de pesquisa. Estas definições ajudam os motores de pesquisa a compreender melhor a estrutura de categoria e a melhorar a apresentação de informações de categoria nos resultados de pesquisa."
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","Remove automaticamente dados estruturados incorretos das páginas de categoria. Ajuda a manter uma marcação limpa e a evitar problemas de validação de schema."
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","Ativa a marcação de dados estruturados para páginas de categoria. Isto permite apresentações melhoradas de resultados de pesquisa para listagens de categorias."
"Category description","Descrição de categoria"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","Controla qual campo de descrição é usado em dados estruturados de categoria. Selecione a fonte que melhor representa o conteúdo da sua categoria."
"Category image","Imagem de categoria"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","Inclui imagens de miniatura de categoria em dados estruturados. Ajuda a fornecer contexto visual na pesquisa e partilha social."
"Product offers","Ofertas de produto"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Controla se e como as informações do produto são incluídas em dados estruturados de categoria. Isto pode mostrar produtos disponíveis dentro das categorias. Aviso: o modo ""Categoria completa"" emite todos os produtos independentemente da página atual, o que viola as diretrizes do Google que exigem que os dados estruturados reflitam o conteúdo da página visível, pode ser tratado como marcação de spam e pode aumentar significativamente o tempo de carregamento de página para categorias grandes."
"Product offers format","Formato de ofertas de produto"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","Determina como os dados do produto são formatados em dados estruturados de categoria. ""Produto agregado"" emite um único schema de Produto com intervalo de preço de toda a categoria."
"Brand name","Nome da marca"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","Nome da marca para o schema de Produto agregado. Deixe vazio para usar o nome da loja ou o nome da marca para páginas de marca."
"Include aggregate rating","Incluir classificação agregada"
"Include aggregated rating from all products in category for aggregate Product schema.","Inclua a classificação agregada de todos os produtos na categoria para o schema de Produto agregado."
"Exclude products with price 0","Excluir produtos com preço 0"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","Quando ativado, os produtos com preço 0 serão excluídos do cálculo da oferta agregada. Isto impede que o lowPrice mostre 0 quando a categoria contém produtos gratuitos."
"Enable OpenGraph","Ativar OpenGraph"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","Ativa metadados OpenGraph para páginas de categoria. Isto controla como as páginas de categoria aparecem quando partilhadas em plataformas de redes sociais."
"CMS page","Página CMS"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","Gira rich snippets e dados OpenGraph para páginas de conteúdo estático. Isto ajuda os motores de pesquisa a interpretar corretamente as suas páginas informacionais e melhora a sua aparência quando partilhadas nas redes sociais."
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","Remove automaticamente dados estruturados incorretos das páginas CMS. Ajuda a manter uma marcação limpa em páginas de conteúdo estático."
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","Ativa a marcação de dados estruturados para páginas CMS. Isto permite apresentações melhoradas de resultados de pesquisa com tipos schema.org como WebPage, Article, BlogPosting e outros."
"Default schema type","Tipo de schema predefinido"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","Selecione o tipo schema.org predefinido usado para páginas CMS quando não está definida nenhuma substituição por página. Páginas individuais podem substituir isto no editor de páginas CMS."
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","Ativa metadados OpenGraph para páginas CMS. Isto melhora a aparência das páginas estáticas quando partilhadas em plataformas sociais."
"Landing page","Página de destino"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","Controle como as páginas de destino são representadas nos resultados de pesquisa. Estas definições ajudam os motores de pesquisa a compreender melhor a estrutura da página de destino e a melhorar a apresentação de informações da página de destino nos resultados de pesquisa. Funciona apenas com Mirasvit Landing Page."
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","Remove automaticamente dados estruturados incorretos das páginas de destino. Ajuda a manter uma marcação limpa e a evitar problemas de validação de schema."
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","Ativa a marcação de dados estruturados para páginas de destino. Isto permite apresentações melhoradas de resultados de pesquisa para listagens de páginas de destino."
"Landing page description","Descrição da página de destino"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","Controla qual campo de descrição é usado em dados estruturados de página de destino. Selecione a fonte que melhor representa o conteúdo da sua página de destino."
"Landing page image","Imagem da página de destino"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","Inclui imagens de miniatura de página de destino em dados estruturados. Ajuda a fornecer contexto visual na pesquisa e partilha social."
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Controla se e como as informações do produto são incluídas em dados estruturados de página de destino. Isto pode mostrar produtos disponíveis dentro das páginas de destino. Aviso: o modo ""Página de destino completa"" emite todos os produtos independentemente da página atual, o que viola as diretrizes do Google que exigem que os dados estruturados reflitam o conteúdo da página visível, pode ser tratado como marcação de spam e pode aumentar significativamente o tempo de carregamento de página para categorias grandes."
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","Determina como os dados do produto são formatados em dados estruturados de página de destino. ""Produto agregado"" emite um único schema de Produto com intervalo de preço."
"Brand name for aggregate Product schema. Leave empty to use store name.","Nome da marca para o schema de Produto agregado. Deixe vazio para usar o nome da loja."
"Include aggregated rating from all products in landing page for aggregate Product schema.","Inclua a classificação agregada de todos os produtos na página de destino para o schema de Produto agregado."
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","Ativa metadados OpenGraph para páginas de destino. Isto controla como as páginas de destino aparecem quando partilhadas em plataformas de redes sociais."
"Organization","Organização"
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","Defina dados estruturados sobre a sua organização para os motores de pesquisa. Estas informações ajudam a estabelecer a identidade do seu negócio nos resultados de pesquisa e podem ativar funcionalidades especiais como painéis de conhecimento."
"Activates structured data about your organization. This helps search engines understand your business identity.","Ativa dados estruturados sobre a sua organização. Isto ajuda os motores de pesquisa a compreender a identidade do seu negócio."
"Display scope","Âmbito de apresentação"
"Choose where organization schema markup should appear on your website.","Escolha onde a marcação de schema da organização deve aparecer no seu site."
"CMS pages","Páginas CMS"
"Select specific CMS pages where organization schema markup should be displayed.","Selecione as páginas CMS específicas onde a marcação de schema da organização deve ser exibida."
"Name","Nome"
"Controls how your organization name is determined. Select default store name or specify a custom business name.","Controla como o nome da sua organização é determinado. Selecione o nome predefinido da loja ou especifique um nome comercial personalizado."
"Name value","Valor do nome"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","Introduza o nome oficial da sua organização quando usar nomenclatura personalizada. Deve corresponder ao nome legal do seu negócio para consistência."
"Country","País"
"Determines how your organization's country is specified. Important for local business structured data.","Determina como o país da sua organização é especificado. Importante para dados estruturados de negócios locais."
"Country value","Valor do país"
"Enter your organization's country name when using custom specification.","Introduza o nome do país da sua organização quando usar especificação personalizada."
"Locality address","Endereço de localidade"
"Controls how your organization's city/locality is determined. Important for local search visibility.","Controla como a cidade/localidade da sua organização é determinada. Importante para visibilidade na pesquisa local."
"Locality address value","Valor do endereço de localidade"
"Enter your organization's city or locality when using custom specification.","Introduza a cidade ou localidade da sua organização quando usar especificação personalizada."
"Address region","Região do endereço"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","Controla como o estado/província/região da sua organização é determinado. Ajuda com a relevância da pesquisa regional."
"Region value","Valor da região"
"Enter your organization's state, province or region when using custom specification.","Introduza o estado, província ou região da sua organização quando usar especificação personalizada."
"Postal code","Código postal"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","Controla como o código postal da sua organização é determinado. Importante para mapeamento preciso de localização."
"Postal code value","Valor do código postal"
"Enter your organization's postal code when using custom specification.","Introduza o código postal da sua organização quando usar especificação personalizada."
"Street address","Morada"
"Controls how your organization's street address is determined. Provides detailed location information.","Controla como a morada da sua organização é determinada. Fornece informações detalhadas de localização."
"Street address value","Valor da morada"
"Enter your organization's full street address when using custom specification.","Introduza a morada completa da sua organização quando usar especificação personalizada."
"Telephone number","Número de telefone"
"Controls how your organization's phone contact is determined. Important for customer contact information.","Controla como o contacto telefónico da sua organização é determinado. Importante para informações de contacto do cliente."
"Telephone number value","Valor do número de telefone"
"Enter your organization's primary contact phone number when using custom specification.","Introduza o número de telefone de contacto principal da sua organização quando usar especificação personalizada."
"Fax number","Número de fax"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","Introduza o número de fax da sua organização, se aplicável. Método de contacto opcional para comunicações empresariais."
"Email","E-mail"
"Controls how your organization's email contact is determined. Provides alternative contact information.","Controla como o contacto de e-mail da sua organização é determinado. Fornece informações de contacto alternativas."
"Email value","Valor de e-mail"
"Enter your organization's public contact email address when using custom specification.","Introduza o endereço de e-mail de contacto público da sua organização quando usar especificação personalizada."
"<strong><u>Social media links:</u></strong>","<strong><u>Hiperligações de redes sociais:</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","Introduza os URLs completos para os seus perfis de redes sociais. Estes estabelecem uma ligação oficial entre o seu site e os canais sociais, ajudando os motores de pesquisa a verificar a sua presença online."
"YouTube channel","Canal YouTube"
"Facebook account","Conta Facebook"
"LinkedIn profile","Perfil LinkedIn"
"Instagram account","Conta Instagram"
"Pinterest account","Conta Pinterest"
"Tumblr account","Conta Tumblr"
"Twitter account","Conta Twitter"
"Breadcrumbs","Breadcrumbs"
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","Ative dados de breadcrumb estruturados para ajudar os motores de pesquisa a compreender a hierarquia de navegação do seu site. Isto melhora a indexação do site e pode melhorar a forma como a navegação de breadcrumb aparece nos resultados de pesquisa."
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","Ativa a marcação de breadcrumb estruturada. Isto ajuda os motores de pesquisa a compreender a hierarquia do seu site e pode exibir uma navegação de breadcrumb melhorada nos resultados de pesquisa."
"Twitter card","Cartão Twitter"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","Configure os metadados do cartão Twitter para controlar como as suas páginas aparecem quando partilhadas no Twitter. Isto ajuda a otimizar a partilha social com imagens e descrições adequadas."
"Add Twitter summary card","Adicionar cartão de resumo Twitter"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","Controla qual tipo de cartão Twitter implementar. Isto determina como o seu conteúdo aparece quando partilhado no Twitter."
"Twitter username","Nome de utilizador Twitter"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","Introduza o seu nome de utilizador Twitter sem o símbolo @. Isto associa a sua conta Twitter ao conteúdo partilhado."
"Search box","Caixa de pesquisa"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","Melhore a aparência do seu site nos resultados de pesquisa adicionando uma caixa de pesquisa diretamente no snippet de pesquisa. Isto pode gerar tráfego mais direcionado através de pesquisas personalizadas no site."
"Search box type","Tipo de caixa de pesquisa"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","Determina se e que tipo de pesquisa de site é apresentado nos resultados de pesquisa. Isto pode encorajar os visitantes a pesquisar o seu site diretamente a partir dos resultados de pesquisa."
"Path to the blog search","Caminho para a pesquisa do blogue"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","Introduza o caminho URL para a funcionalidade de pesquisa do seu blogue. Necessário ao ativar a pesquisa específica do blogue nos resultados de pesquisa."
"Rich snippet","Rich snippet"
"Schema type","Tipo de schema"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","Selecione o tipo schema.org para esta página. Deixe como ""Predefinição"" para usar a definição global em Lojas > Configuração > Rich snippets e OpenGraph > Página CMS."
"Rich snippet extender","Extensor de rich snippet"
"Back","Voltar"
"General","Geral"
"Is active","Está ativo"
"Entity type","Tipo de entidade"
"Store view","Vista de loja"
"Snippet extension","Extensão de snippet"
"JSON snippet","Snippet JSON"
"Enclose the JSON snippet in curly braces","Envolva o snippet JSON em chavetas"
"Override non-empty fields","Substituir campos não vazios"
"Add extender","Adicionar extensor"
"ID","ID"
Answer Engine (AEO),Motor de respostas (AEO)
Enable Answer-Engine Optimization,Ativar a otimização para motores de respostas
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.","Torne o grafo de dados estruturados detetável pelos motores de respostas de IA (pesquisa do ChatGPT, Perplexity, Gemini, Google AI Overviews). Quando ativado, os nós JSON-LD emitidos contêm valores @id estáveis e são referenciados entre si num único grafo ligado, para que um motor de respostas possa montar uma única entidade fiável a partir da página. Quando desativado, a saída é idêntica ao comportamento padrão dos rich snippets."
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.","Adiciona valores @id estáveis a cada nó de dados estruturados e liga-os num único grafo ligado (o produto faz referência à sua marca e à organização vendedora). Desativado por predefinição; ativá-lo não altera quais entidades são emitidas, apenas as liga."
"Legal name","Denominação social"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","Introduza a denominação social completa e registada da sua organização, se for diferente do nome apresentado acima. Ajuda os motores de pesquisa a identificar a sua identidade comercial oficial."
"Founding date","Data de fundação"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","Introduza a data de fundação da sua organização no formato AAAA-MM-DD. Utilizada pelos motores de pesquisa para o Knowledge Graph e sinais de confiança."
"Number of employees","Número de colaboradores"
"Enter the approximate number of employees in your organization.","Introduza o número aproximado de colaboradores da sua organização."
"Area served","Área servida"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","Introduza a área geográfica servida pela sua organização, por exemplo, ""Portugal"" ou ""Todo o mundo""."
"<strong><u>Contact points:</u></strong>","<strong><u>Pontos de contacto:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","Defina pontos de contacto dedicados de telefone/e-mail por departamento. São adicionados para além do telefone/e-mail geral acima e ajudam os motores de pesquisa e os utilizadores a contactar diretamente o departamento certo."
"Customer service telephone","Telefone de apoio ao cliente"
"Customer service email","E-mail de apoio ao cliente"
"Customer service area served","Área servida pelo apoio ao cliente"
"Sales telephone","Telefone de vendas"
"Sales email","E-mail de vendas"
"Sales area served","Área servida pelas vendas"
"Technical support telephone","Telefone de suporte técnico"
"Technical support email","E-mail de suporte técnico"
"Technical support area served","Área servida pelo suporte técnico"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","Controla como o e-mail de contacto do apoio ao cliente é determinado. As informações da loja utilizam o e-mail do remetente de Apoio ao Cliente."
"Customer service email value","Valor do e-mail de apoio ao cliente"
