"Conditions","Condiciones"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","Elimina automáticamente los datos estructurados incorrectos de las páginas de producto. Ayuda a mantener un marcado limpio y prevenir problemas de validación del esquema."
"Enable rich snippet","Habilitar rich snippet"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","Activa el marcado de datos estructurados para páginas de producto. Este es el interruptor principal para todos los rich snippets relacionados con productos."
"Item name length","Longitud del nombre del elemento"
"Maximum character length for item name in structured data.","Longitud máxima de caracteres para el nombre del elemento en datos estructurados."
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","El valor máximo recomendado por Google es 150. Los valores por debajo de 25 tendrán como valor predeterminado 150. Si el valor está vacío o es 0, no se aplica ningún límite."
"Item price","Precio del elemento"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","Incluye información de precios del producto en OpenGraph y Rich Snippets. Advertencia: deshabilitarlo eliminará el precio de los datos estructurados y puede causar errores de validación en Google Rich Results, ya que el precio es requerido para los rich snippets de Producto válidos."
"Single price mode","Modo de precio único"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","Cuando está habilitado, usa el tipo schema.org Offer con un valor de precio único en lugar del tipo AggregateOffer con rangos de precios. Esto cambia los datos estructurados de la agregación de múltiples ofertas a una representación de oferta única."
"Include price valid until","Incluir precio válido hasta"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","Esto ayuda a los motores de búsqueda a entender la validez temporal del precio y puede mejorar la precisión en las funciones de comparación de precios. Útil para precios promocionales, ofertas por tiempo limitado o estructuras de precios actualizadas regularmente."
"Item description","Descripción del elemento"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","Controla qué campo de descripción del producto se utiliza en los datos estructurados. Seleccione la fuente más apropiada para información completa del producto."
"Item description length","Longitud de la descripción del elemento"
"Maximum character length for item description in structured data.","Longitud máxima de caracteres para la descripción del elemento en datos estructurados."
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","El valor máximo recomendado por Google es 5000. Los valores por debajo de 25 tendrán como valor predeterminado 5000. Si el valor está vacío o es 0, no se aplica ningún límite."
"Item image","Imagen del elemento"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","Incluye imágenes del producto en datos estructurados. Esto permite la representación visual de los productos en los resultados de búsqueda y los rich snippets."
"Item availability","Disponibilidad del elemento"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","Muestra el estado del inventario del producto en datos estructurados. Esto ayuda a comunicar los niveles de stock a los clientes potenciales directamente en los resultados de búsqueda."
"Payment methods","Métodos de pago"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","Lista los métodos de pago aceptados en datos estructurados. Esto proporciona transparencia sobre las opciones de pago antes de que los visitantes hagan clic."
"Delivery methods","Métodos de entrega"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","Incluye opciones de envío y entrega en datos estructurados. Esto ayuda a establecer las expectativas del cliente con respecto a los métodos de cumplimiento."
"Product category","Categoría del producto"
"Displays category information in product structured data. This helps establish product classification context for search engines.","Muestra información de categoría en los datos estructurados del producto. Esto ayuda a establecer el contexto de clasificación del producto para los motores de búsqueda."
"Manufacturer part number","Número de pieza del fabricante"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","Incluye números de pieza del fabricante en datos estructurados. Esto mejora la capacidad de descubrimiento para búsquedas de productos específicos por identificadores técnicos."
"Manufacturer part number attribute","Atributo de número de pieza del fabricante"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","Especifique qué atributo del producto contiene los datos del número de pieza del fabricante. El sistema leerá este atributo para completar los datos estructurados."
"Brand attribute","Atributo de marca"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","Especifique qué atributo del producto contiene información de marca. Esto mapea sus datos de marca existentes al marcado estructurado."
"Model attribute","Atributo de modelo"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","Especifique qué atributo del producto contiene información de modelo. Ayuda a identificar modelos de producto específicos en los datos estructurados."
"Color attribute","Atributo de color"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","Especifique qué atributo del producto contiene información de color. Importante para las variantes de producto y el filtrado en los resultados enriquecidos."
"Size attribute","Atributo de tamaño"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","Especifique qué atributo del producto contiene información de tamaño. Relevante para prendas de vestir y datos dimensionales del producto."
"Material attribute","Atributo de material"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","Especifique qué atributo del producto contiene información de material (por ejemplo, ""material"", ""tela""). Se emite como una propiedad directa de schema.org en Product."
"Pattern attribute","Atributo de patrón"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","Especifique qué atributo del producto contiene información de patrón (por ejemplo, ""patrón""). Se emite como una propiedad directa de schema.org en Product."
"Weight unit","Unidad de peso"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","Seleccione la unidad de medida estándar utilizada para los pesos de los productos. Garantiza una representación coherente del peso en los datos estructurados."
"Dimensions","Dimensiones"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","Habilite las medidas dimensionales en los datos estructurados. Importante para los productos físicos donde el tamaño importa a los clientes."
"Unit","Unidad"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","Especifique la unidad de medida para las dimensiones del producto (por ejemplo, pulgadas, cm). Mantiene la coherencia en la representación dimensional."
"Height attribute","Atributo de altura"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","Especifique qué atributo del producto contiene medidas de altura. Mapea sus datos de altura al marcado estructurado."
"Width attribute","Atributo de ancho"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","Especifique qué atributo del producto contiene medidas de ancho. Mapea sus datos de ancho al marcado estructurado."
"Depth attribute","Atributo de profundidad"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","Especifique qué atributo del producto contiene medidas de profundidad. Mapea sus datos de profundidad al marcado estructurado."
"Product condition","Condición del producto"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","Indique si los productos son nuevos, usados o reacondicionados. Esto es importante para los mercados y revendedores."
"Condition attribute","Atributo de condición"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","Especifique qué atributo del producto contiene información de condición. El sistema leerá este atributo para los datos de condición."
"New attribute value","Valor de atributo para nuevo"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","Especifique el valor exacto del atributo que indica que un producto es nuevo. Esto mapea sus valores internos a los estándares de schema.org."
"Used attribute value","Valor de atributo para usado"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","Especifique el valor exacto del atributo que indica que un producto es usado. Esto mapea sus valores internos a los estándares de schema.org."
"Refurbished attribute value","Valor de atributo para reacondicionado"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","Especifique el valor exacto del atributo que indica que un producto está reacondicionado. Esto mapea sus valores internos a los estándares de schema.org."
"Damaged attribute value","Valor de atributo para dañado"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","Especifique el valor exacto del atributo que indica que un producto está dañado. Esto mapea sus valores internos a los estándares de schema.org."
"Individual review markup","Marcado de reseñas individuales"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","Incluya el marcado para cada reseña individual del producto. Esto permite una visualización enriquecida del contenido de las reseñas en los resultados de búsqueda más allá de las calificaciones agregadas."
"Add rich snippets for product variants","Agregar rich snippets para variantes de producto"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","Incluya datos estructurados para las variaciones del producto como diferentes colores o tamaños. Esto ayuda a los motores de búsqueda a entender su oferta de productos completa."
"<strong><u>GTIN configuration:</u></strong>","<strong><u>Configuración GTIN:</u></strong>"
"GTIN-8 attribute","Atributo GTIN-8"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","Especifique qué atributo contiene los códigos GTIN/EAN de 8 dígitos. Importante para la identificación internacional de productos."
"GTIN-12 attribute","Atributo GTIN-12"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","Especifique qué atributo contiene los códigos GTIN/UPC de 12 dígitos. Estándar para la identificación de productos en América del Norte."
"GTIN-13 attribute","Atributo GTIN-13"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","Especifique qué atributo contiene los códigos GTIN/EAN de 13 dígitos. Formato común de identificación de productos internacional."
"GTIN-14 attribute","Atributo GTIN-14"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","Especifique qué atributo contiene los códigos GTIN de 14 dígitos. Se usa para niveles de embalaje en la identificación de la cadena de suministro."
"Category page","Página de categoría"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","Controle cómo se representan las páginas de categoría en los resultados de búsqueda. Estas configuraciones ayudan a los motores de búsqueda a comprender mejor la estructura de sus categorías y mejorar la visualización de información de categorías en los resultados de búsqueda."
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","Elimina automáticamente los datos estructurados incorrectos de las páginas de categoría. Ayuda a mantener un marcado limpio y prevenir problemas de validación del esquema."
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","Activa el marcado de datos estructurados para las páginas de categoría. Esto permite visualizaciones mejoradas de resultados de búsqueda para los listados de categorías."
"Category description","Descripción de categoría"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","Controla qué campo de descripción se utiliza en los datos estructurados de la categoría. Seleccione la fuente que mejor represente el contenido de su categoría."
"Category image","Imagen de categoría"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","Incluye imágenes en miniatura de categoría en datos estructurados. Ayuda a proporcionar contexto visual en la búsqueda y el intercambio en redes sociales."
"Product offers","Ofertas de productos"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Controla si y cómo se incluye la información del producto en los datos estructurados de la categoría. Esto puede mostrar los productos disponibles dentro de las categorías. Advertencia: el modo ""Categoría completa"" genera todos los productos independientemente de la página actual, lo que viola las directrices de Google que requieren que los datos estructurados reflejen el contenido de la página visible, puede tratarse como marcado spam y puede aumentar significativamente el tiempo de carga de la página para categorías grandes."
"Product offers format","Formato de ofertas de productos"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","Determina cómo se formatean los datos del producto dentro de los datos estructurados de la categoría. ""Aggregate Product"" genera un esquema de Product único con rango de precios de toda la categoría."
"Brand name","Nombre de marca"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","Nombre de marca para el esquema de Product agregado. Dejar vacío para usar el nombre de la tienda o el nombre de marca en las páginas de marca."
"Include aggregate rating","Incluir calificación agregada"
"Include aggregated rating from all products in category for aggregate Product schema.","Incluir la calificación agregada de todos los productos en la categoría para el esquema de Product agregado."
"Exclude products with price 0","Excluir productos con precio 0"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","Cuando está habilitado, los productos con precio 0 serán excluidos del cálculo de oferta agregada. Esto evita que lowPrice muestre 0 cuando la categoría contiene productos gratuitos."
"Enable OpenGraph","Habilitar OpenGraph"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","Activa los metadatos OpenGraph para las páginas de categoría. Esto controla cómo aparecen las páginas de categoría cuando se comparten en plataformas de redes sociales."
"CMS page","Página CMS"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","Gestione los rich snippets y los datos OpenGraph para las páginas de contenido estático. Esto ayuda a los motores de búsqueda a interpretar correctamente sus páginas informativas y mejora su apariencia cuando se comparten en redes sociales."
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","Elimina automáticamente los datos estructurados incorrectos de las páginas CMS. Ayuda a mantener un marcado limpio en las páginas de contenido estático."
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","Activa el marcado de datos estructurados para las páginas CMS. Esto permite visualizaciones mejoradas de resultados de búsqueda con tipos de schema.org como WebPage, Article, BlogPosting y más."
"Default schema type","Tipo de esquema predeterminado"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","Seleccione el tipo de schema.org predeterminado utilizado para las páginas CMS cuando no se establece una anulación por página. Las páginas individuales pueden anular esto en el editor de páginas CMS."
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","Activa los metadatos OpenGraph para las páginas CMS. Esto mejora la apariencia de las páginas estáticas cuando se comparten en plataformas sociales."
"Landing page","Página de destino"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","Controle cómo se representan las páginas de destino en los resultados de búsqueda. Estas configuraciones ayudan a los motores de búsqueda a comprender mejor la estructura de sus páginas de destino y mejorar la visualización de información de páginas de destino en los resultados de búsqueda. Solo funciona con Mirasvit Landing Page."
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","Elimina automáticamente los datos estructurados incorrectos de las páginas de destino. Ayuda a mantener un marcado limpio y prevenir problemas de validación del esquema."
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","Activa el marcado de datos estructurados para las páginas de destino. Esto permite visualizaciones mejoradas de resultados de búsqueda para los listados de páginas de destino."
"Landing page description","Descripción de la página de destino"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","Controla qué campo de descripción se utiliza en los datos estructurados de la página de destino. Seleccione la fuente que mejor represente el contenido de su página de destino."
"Landing page image","Imagen de la página de destino"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","Incluye imágenes en miniatura de la página de destino en datos estructurados. Ayuda a proporcionar contexto visual en la búsqueda y el intercambio en redes sociales."
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Controla si y cómo se incluye la información del producto en los datos estructurados de la página de destino. Esto puede mostrar los productos disponibles dentro de las páginas de destino. Advertencia: el modo ""Página de destino completa"" genera todos los productos independientemente de la página actual, lo que viola las directrices de Google que requieren que los datos estructurados reflejen el contenido de la página visible, puede tratarse como marcado spam y puede aumentar significativamente el tiempo de carga de la página para categorías grandes."
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","Determina cómo se formatean los datos del producto dentro de los datos estructurados de la página de destino. ""Aggregate Product"" genera un esquema de Product único con rango de precios."
"Brand name for aggregate Product schema. Leave empty to use store name.","Nombre de marca para el esquema de Product agregado. Dejar vacío para usar el nombre de la tienda."
"Include aggregated rating from all products in landing page for aggregate Product schema.","Incluir la calificación agregada de todos los productos en la página de destino para el esquema de Product agregado."
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","Activa los metadatos OpenGraph para las páginas de destino. Esto controla cómo aparecen las páginas de destino cuando se comparten en plataformas de redes sociales."
"Organization","Organización"
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","Defina datos estructurados sobre su organización para los motores de búsqueda. Esta información ayuda a establecer la identidad de su negocio en los resultados de búsqueda y puede habilitar funciones especiales como la visualización del panel de conocimiento."
"Activates structured data about your organization. This helps search engines understand your business identity.","Activa los datos estructurados sobre su organización. Esto ayuda a los motores de búsqueda a comprender la identidad de su negocio."
"Display scope","Ámbito de visualización"
"Choose where organization schema markup should appear on your website.","Elija dónde debe aparecer el marcado de esquema de organización en su sitio web."
"CMS pages","Páginas CMS"
"Select specific CMS pages where organization schema markup should be displayed.","Seleccione las páginas CMS específicas donde debe mostrarse el marcado de esquema de organización."
"Name","Nombre"
"Controls how your organization name is determined. Select default store name or specify a custom business name.","Controla cómo se determina el nombre de su organización. Seleccione el nombre de la tienda predeterminado o especifique un nombre comercial personalizado."
"Name value","Valor de nombre"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","Ingrese el nombre oficial de su organización cuando use nombres personalizados. Esto debe coincidir con su nombre comercial legal para mayor coherencia."
"Country","País"
"Determines how your organization's country is specified. Important for local business structured data.","Determina cómo se especifica el país de su organización. Importante para los datos estructurados de negocios locales."
"Country value","Valor de país"
"Enter your organization's country name when using custom specification.","Ingrese el nombre del país de su organización cuando use especificación personalizada."
"Locality address","Dirección de localidad"
"Controls how your organization's city/locality is determined. Important for local search visibility.","Controla cómo se determina la ciudad/localidad de su organización. Importante para la visibilidad en búsquedas locales."
"Locality address value","Valor de dirección de localidad"
"Enter your organization's city or locality when using custom specification.","Ingrese la ciudad o localidad de su organización cuando use especificación personalizada."
"Address region","Región de la dirección"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","Controla cómo se determina el estado/provincia/región de su organización. Ayuda con la relevancia de búsqueda regional."
"Region value","Valor de región"
"Enter your organization's state, province or region when using custom specification.","Ingrese el estado, provincia o región de su organización cuando use especificación personalizada."
"Postal code","Código postal"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","Controla cómo se determina el código postal de su organización. Importante para la localización precisa."
"Postal code value","Valor de código postal"
"Enter your organization's postal code when using custom specification.","Ingrese el código postal de su organización cuando use especificación personalizada."
"Street address","Dirección de la calle"
"Controls how your organization's street address is determined. Provides detailed location information.","Controla cómo se determina la dirección de la calle de su organización. Proporciona información detallada de ubicación."
"Street address value","Valor de dirección de la calle"
"Enter your organization's full street address when using custom specification.","Ingrese la dirección completa de la calle de su organización cuando use especificación personalizada."
"Telephone number","Número de teléfono"
"Controls how your organization's phone contact is determined. Important for customer contact information.","Controla cómo se determina el contacto telefónico de su organización. Importante para la información de contacto del cliente."
"Telephone number value","Valor de número de teléfono"
"Enter your organization's primary contact phone number when using custom specification.","Ingrese el número de teléfono de contacto principal de su organización cuando use especificación personalizada."
"Fax number","Número de fax"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","Ingrese el número de fax de su organización si corresponde. Método de contacto opcional para comunicaciones empresariales."
"Email","Correo electrónico"
"Controls how your organization's email contact is determined. Provides alternative contact information.","Controla cómo se determina el contacto por correo electrónico de su organización. Proporciona información de contacto alternativa."
"Email value","Valor de correo electrónico"
"Enter your organization's public contact email address when using custom specification.","Ingrese la dirección de correo electrónico de contacto público de su organización cuando use especificación personalizada."
"<strong><u>Social media links:</u></strong>","<strong><u>Enlaces de redes sociales:</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","Ingrese las URLs completas de sus perfiles en redes sociales. Estas establecen una conexión oficial entre su sitio web y los canales sociales, ayudando a los motores de búsqueda a verificar su presencia en línea."
"YouTube channel","Canal de YouTube"
"Facebook account","Cuenta de Facebook"
"LinkedIn profile","Perfil de LinkedIn"
"Instagram account","Cuenta de Instagram"
"Pinterest account","Cuenta de Pinterest"
"Tumblr account","Cuenta de Tumblr"
"Twitter account","Cuenta de Twitter"
"Breadcrumbs","Rutas de navegación"
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","Habilite los datos estructurados de rutas de navegación para ayudar a los motores de búsqueda a comprender la jerarquía de navegación de su sitio. Esto mejora la indexación del sitio y puede mejorar la forma en que las rutas de navegación aparecen en los resultados de búsqueda."
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","Activa el marcado estructurado de rutas de navegación. Esto ayuda a los motores de búsqueda a comprender la jerarquía de su sitio y puede mostrar una navegación de rutas mejorada en los resultados de búsqueda."
"Twitter card","Tarjeta de Twitter"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","Configure los metadatos de la tarjeta de Twitter para controlar cómo aparecen sus páginas cuando se comparten en Twitter. Esto ayuda a optimizar el intercambio social con imágenes y descripciones apropiadas."
"Add Twitter summary card","Agregar tarjeta de resumen de Twitter"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","Controla qué tipo de tarjeta de Twitter implementar. Esto determina cómo aparece su contenido cuando se comparte en Twitter."
"Twitter username","Nombre de usuario de Twitter"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","Ingrese su nombre de usuario de Twitter sin el símbolo @. Esto asocia su cuenta de Twitter con el contenido compartido."
"Search box","Caja de búsqueda"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","Mejore la apariencia de su sitio en los resultados de búsqueda agregando una caja de búsqueda directamente en el fragmento de búsqueda. Esto puede generar tráfico más específico a través de búsquedas personalizadas del sitio."
"Search box type","Tipo de caja de búsqueda"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","Determina si y qué tipo de búsqueda del sitio se presenta en los resultados de búsqueda. Esto puede alentar a los visitantes a buscar en su sitio directamente desde los resultados de búsqueda."
"Path to the blog search","Ruta a la búsqueda del blog"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","Ingrese la ruta URL para la funcionalidad de búsqueda de su blog. Necesario cuando se habilita la búsqueda específica del blog en los resultados de búsqueda."
"Rich snippet","Rich snippet"
"Schema type","Tipo de esquema"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","Seleccione el tipo de schema.org para esta página. Dejar como ""Predeterminado"" para usar la configuración global de Tiendas > Configuración > Rich snippets y OpenGraph > Página CMS."
"Rich snippet extender","Extensor de rich snippet"
"Back","Volver"
"General","General"
"Is active","Está activo"
"Entity type","Tipo de entidad"
"Store view","Vista de la tienda"
"Snippet extension","Extensión de snippet"
"JSON snippet","Snippet JSON"
"Enclose the JSON snippet in curly braces","Incluya el snippet JSON entre llaves"
"Override non-empty fields","Anular campos no vacíos"
"Add extender","Agregar extensor"
"ID","ID"
Answer Engine (AEO),Motor de respuestas (AEO)
Enable Answer-Engine Optimization,Habilitar la optimización para motores de respuestas
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.","Haga que el grafo de datos estructurados sea detectable por los motores de respuestas con IA (búsqueda de ChatGPT, Perplexity, Gemini, Google AI Overviews). Cuando se habilita, los nodos JSON-LD emitidos llevan valores @id estables y se referencian entre sí en un único grafo conectado, de modo que un motor de respuestas puede ensamblar una sola entidad fiable a partir de la página. Cuando se deshabilita, la salida es idéntica al comportamiento estándar de los fragmentos enriquecidos."
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.","Añade valores @id estables a cada nodo de datos estructurados y los une en un único grafo conectado (el producto hace referencia a su marca y a la organización vendedora). Desactivado de forma predeterminada; activarlo no cambia qué entidades se emiten, solo las enlaza."
"Legal name","Razón social"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","Introduzca el nombre legal completo y registrado de su organización, si difiere del nombre mostrado arriba. Ayuda a los motores de búsqueda a distinguir su identidad comercial oficial."
"Founding date","Fecha de fundación"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","Introduzca la fecha de fundación de su organización en formato AAAA-MM-DD. Los motores de búsqueda la utilizan para el Knowledge Graph y señales de confianza."
"Number of employees","Número de empleados"
"Enter the approximate number of employees in your organization.","Introduzca el número aproximado de empleados de su organización."
"Area served","Área de cobertura"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","Introduzca el área geográfica que cubre su organización, por ejemplo, ""España"" o ""Todo el mundo""."
"<strong><u>Contact points:</u></strong>","<strong><u>Puntos de contacto:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","Defina puntos de contacto telefónico/de correo electrónico dedicados por departamento. Se añaden además del teléfono/correo electrónico general anterior y ayudan a los motores de búsqueda y a los usuarios a contactar directamente con el departamento correcto."
"Customer service telephone","Teléfono de atención al cliente"
