"Conditions","Condições"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","Especifique qual atributo contém códigos GTIN/UPC de 12 dígitos. Padrão para identificação de produtos norte-americanos."
"GTIN-13 attribute","Atributo GTIN-13"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","Especifique qual atributo contém códigos GTIN/EAN de 13 dígitos. Formato comum de identificação internacional de produtos."
"GTIN-14 attribute","Atributo GTIN-14"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","Especifique qual atributo contém códigos GTIN de 14 dígitos. Usado para níveis de embalagem na identificação da cadeia de abastecimento."
"Category page","Página de categoria"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","Controle como as páginas de categoria são representadas nos resultados de pesquisa. Essas configurações ajudam os mecanismos de busca a compreender melhor a estrutura de suas categorias e melhorar a exibição de informações de categorias nos resultados de pesquisa."
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","Remove automaticamente dados estruturados incorretos das páginas de categoria. Ajuda a manter um markup limpo e prevenir problemas de validação de schema."
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","Ativa o markup de dados estruturados para páginas de categoria. Isso permite exibições aprimoradas de resultados de pesquisa para listagens de categorias."
"Category description","Descrição da categoria"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","Controla qual campo de descrição é usado nos dados estruturados da categoria. Selecione a fonte que melhor representa o conteúdo de sua categoria."
"Category image","Imagem da categoria"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","Inclui imagens em miniatura da categoria em dados estruturados. Ajuda a fornecer contexto visual na pesquisa e no compartilhamento em redes sociais."
"Product offers","Ofertas de produtos"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Controla se e como as informações do produto são incluídas nos dados estruturados da categoria. Isso pode mostrar os produtos disponíveis dentro das categorias. Aviso: o modo ""Categoria inteira"" gera todos os produtos independentemente da página atual, violando as diretrizes do Google que exigem que os dados estruturados reflitam o conteúdo visível da página, pode ser tratado como markup spam e pode aumentar significativamente o tempo de carregamento da página para categorias grandes."
"Product offers format","Formato das ofertas de produtos"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","Determina como os dados do produto são formatados nos dados estruturados da categoria. ""Aggregate Product"" gera um único schema Product com faixa de preço de toda a categoria."
"Brand name","Nome da marca"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","Nome da marca para o schema Product agregado. Deixe vazio para usar o nome da loja ou o nome da marca para páginas de marca."
"Include aggregate rating","Incluir classificação agregada"
"Include aggregated rating from all products in category for aggregate Product schema.","Incluir a classificação agregada de todos os produtos na categoria para o schema Product agregado."
"Exclude products with price 0","Excluir produtos com preço 0"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","Quando ativado, produtos com preço 0 serão excluídos do cálculo de oferta agregada. Isso evita que lowPrice mostre 0 quando a categoria contém produtos gratuitos."
"Enable OpenGraph","Ativar OpenGraph"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","Ativa os metadados OpenGraph para páginas de categoria. Isso controla como as páginas de categoria aparecem quando compartilhadas em plataformas de redes sociais."
"CMS page","Página CMS"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","Gerencie rich snippets e dados OpenGraph para páginas de conteúdo estático. Isso ajuda os mecanismos de busca a interpretar corretamente suas páginas informativas e melhora como elas aparecem quando compartilhadas nas redes sociais."
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","Remove automaticamente dados estruturados incorretos das páginas CMS. Ajuda a manter um markup limpo nas páginas de conteúdo estático."
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","Ativa o markup de dados estruturados para páginas CMS. Isso permite exibições aprimoradas de resultados de pesquisa com tipos schema.org como WebPage, Article, BlogPosting e outros."
"Default schema type","Tipo de schema padrão"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","Selecione o tipo de schema.org padrão usado para páginas CMS quando nenhuma substituição por página está definida. As páginas individuais podem substituir isso no editor de páginas CMS."
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","Ativa os metadados OpenGraph para páginas CMS. Isso melhora como as páginas estáticas aparecem quando compartilhadas em plataformas sociais."
"Landing page","Página de destino"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","Controle como as páginas de destino são representadas nos resultados de pesquisa. Essas configurações ajudam os mecanismos de busca a compreender melhor a estrutura das suas páginas de destino e melhorar a exibição de informações de páginas de destino nos resultados de pesquisa. Funciona apenas com Mirasvit Landing Page."
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","Remove automaticamente dados estruturados incorretos das páginas de destino. Ajuda a manter um markup limpo e prevenir problemas de validação de schema."
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","Ativa o markup de dados estruturados para páginas de destino. Isso permite exibições aprimoradas de resultados de pesquisa para listagens de páginas de destino."
"Landing page description","Descrição da página de destino"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","Controla qual campo de descrição é usado nos dados estruturados da página de destino. Selecione a fonte que melhor representa o conteúdo da sua página de destino."
"Landing page image","Imagem da página de destino"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","Inclui imagens em miniatura da página de destino em dados estruturados. Ajuda a fornecer contexto visual na pesquisa e no compartilhamento em redes sociais."
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Controla se e como as informações do produto são incluídas nos dados estruturados da página de destino. Isso pode mostrar os produtos disponíveis dentro das páginas de destino. Aviso: o modo ""Página de destino inteira"" gera todos os produtos independentemente da página atual, violando as diretrizes do Google que exigem que os dados estruturados reflitam o conteúdo visível da página, pode ser tratado como markup spam e pode aumentar significativamente o tempo de carregamento da página para categorias grandes."
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","Determina como os dados do produto são formatados nos dados estruturados da página de destino. ""Aggregate Product"" gera um único schema Product com faixa de preço."
"Brand name for aggregate Product schema. Leave empty to use store name.","Nome da marca para o schema Product agregado. Deixe vazio para usar o nome da loja."
"Include aggregated rating from all products in landing page for aggregate Product schema.","Incluir a classificação agregada de todos os produtos na página de destino para o schema Product agregado."
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","Ativa os metadados OpenGraph para páginas de destino. Isso controla como as páginas de destino aparecem quando compartilhadas em plataformas de redes sociais."
"Organization","Organização"
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","Defina dados estruturados sobre sua organização para os mecanismos de busca. Essas informações ajudam a estabelecer a identidade do seu negócio nos resultados de pesquisa e podem ativar recursos especiais como exibições do painel de conhecimento."
"Activates structured data about your organization. This helps search engines understand your business identity.","Ativa os dados estruturados sobre sua organização. Isso ajuda os mecanismos de busca a compreender a identidade do seu negócio."
"Display scope","Escopo de exibição"
"Choose where organization schema markup should appear on your website.","Escolha onde o markup de schema da organização deve aparecer no seu site."
"CMS pages","Páginas CMS"
"Select specific CMS pages where organization schema markup should be displayed.","Selecione as páginas CMS específicas onde o markup de schema da organização deve ser exibido."
"Name","Nome"
"Controls how your organization name is determined. Select default store name or specify a custom business name.","Controla como o nome da sua organização é determinado. Selecione o nome da loja padrão ou especifique um nome comercial personalizado."
"Name value","Valor do nome"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","Insira o nome oficial da sua organização ao usar nomenclatura personalizada. Isso deve corresponder ao seu nome comercial legal para consistência."
"Country","País"
"Determines how your organization's country is specified. Important for local business structured data.","Determina como o país da sua organização é especificado. Importante para dados estruturados de negócios locais."
"Country value","Valor do país"
"Enter your organization's country name when using custom specification.","Insira o nome do país da sua organização ao usar especificação personalizada."
"Locality address","Endereço de localidade"
"Controls how your organization's city/locality is determined. Important for local search visibility.","Controla como a cidade/localidade da sua organização é determinada. Importante para a visibilidade em pesquisas locais."
"Locality address value","Valor do endereço de localidade"
"Enter your organization's city or locality when using custom specification.","Insira a cidade ou localidade da sua organização ao usar especificação personalizada."
"Address region","Região do endereço"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","Controla como o estado/província/região da sua organização é determinado. Ajuda com a relevância de pesquisa regional."
"Region value","Valor da região"
"Enter your organization's state, province or region when using custom specification.","Insira o estado, província ou região da sua organização ao usar especificação personalizada."
"Postal code","Código postal"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","Controla como o CEP/código postal da sua organização é determinado. Importante para mapeamento preciso de localização."
"Postal code value","Valor do código postal"
"Enter your organization's postal code when using custom specification.","Insira o código postal da sua organização ao usar especificação personalizada."
"Street address","Endereço da rua"
"Controls how your organization's street address is determined. Provides detailed location information.","Controla como o endereço da rua da sua organização é determinado. Fornece informações detalhadas de localização."
"Street address value","Valor do endereço da rua"
"Enter your organization's full street address when using custom specification.","Insira o endereço completo da rua da sua organização ao usar especificação personalizada."
"Telephone number","Número de telefone"
"Controls how your organization's phone contact is determined. Important for customer contact information.","Controla como o contato telefônico da sua organização é determinado. Importante para as informações de contato do cliente."
"Telephone number value","Valor do número de telefone"
"Enter your organization's primary contact phone number when using custom specification.","Insira o número de telefone de contato principal da sua organização ao usar especificação personalizada."
"Fax number","Número de fax"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","Insira o número de fax da sua organização, se aplicável. Método de contato opcional para comunicações empresariais."
"Email","E-mail"
"Controls how your organization's email contact is determined. Provides alternative contact information.","Controla como o contato por e-mail da sua organização é determinado. Fornece informações de contato alternativas."
"Email value","Valor do e-mail"
"Enter your organization's public contact email address when using custom specification.","Insira o endereço de e-mail de contato público da sua organização ao usar especificação personalizada."
"<strong><u>Social media links:</u></strong>","<strong><u>Links de redes sociais:</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","Insira as URLs completas dos seus perfis nas redes sociais. Elas estabelecem uma conexão oficial entre seu site e os canais sociais, ajudando os mecanismos de busca a verificar sua presença online."
"YouTube channel","Canal do YouTube"
"Facebook account","Conta do Facebook"
"LinkedIn profile","Perfil do LinkedIn"
"Instagram account","Conta do Instagram"
"Pinterest account","Conta do Pinterest"
"Tumblr account","Conta do Tumblr"
"Twitter account","Conta do Twitter"
"Breadcrumbs","Breadcrumbs"
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","Ative os dados estruturados de breadcrumb para ajudar os mecanismos de busca a entender a hierarquia de navegação do seu site. Isso melhora a indexação do site e pode aprimorar como a navegação breadcrumb aparece nos resultados de pesquisa."
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","Ativa o markup estruturado de breadcrumb. Isso ajuda os mecanismos de busca a entender a hierarquia do seu site e pode exibir navegação breadcrumb aprimorada nos resultados de pesquisa."
"Twitter card","Cartão do Twitter"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","Configure os metadados do cartão do Twitter para controlar como suas páginas aparecem quando compartilhadas no Twitter. Isso ajuda a otimizar o compartilhamento social com imagens e descrições adequadas."
"Add Twitter summary card","Adicionar cartão de resumo do Twitter"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","Controla qual tipo de cartão do Twitter implementar. Isso determina como seu conteúdo aparece quando compartilhado no Twitter."
"Twitter username","Nome de usuário do Twitter"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","Insira seu nome de usuário do Twitter sem o símbolo @. Isso associa sua conta do Twitter ao conteúdo compartilhado."
"Search box","Caixa de pesquisa"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","Aprimore a aparência do seu site nos resultados de pesquisa adicionando uma caixa de pesquisa diretamente no snippet de pesquisa. Isso pode gerar tráfego mais direcionado por meio de pesquisas personalizadas do site."
"Search box type","Tipo de caixa de pesquisa"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","Determina se e que tipo de pesquisa do site é apresentada nos resultados de pesquisa. Isso pode encorajar os visitantes a pesquisar seu site diretamente dos resultados de pesquisa."
"Path to the blog search","Caminho para a pesquisa do blog"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","Insira o caminho URL para a funcionalidade de pesquisa do seu blog. Obrigatório ao ativar a pesquisa específica do blog nos resultados de pesquisa."
"Rich snippet","Rich snippet"
"Schema type","Tipo de schema"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","Selecione o tipo de schema.org para esta página. Deixe como ""Padrão"" para usar a configuração global em Lojas > Configuração > Rich snippets e OpenGraph > Página CMS."
"Rich snippet extender","Extensor de rich snippet"
"Back","Voltar"
"General","Geral"
"Is active","Está ativo"
"Entity type","Tipo de entidade"
"Store view","Visão da loja"
"Snippet extension","Extensão de snippet"
"JSON snippet","Snippet JSON"
"Enclose the JSON snippet in curly braces","Coloque o snippet JSON entre chaves"
"Override non-empty fields","Substituir campos não vazios"
"Add extender","Adicionar extensor"
"ID","ID"
Answer Engine (AEO),Mecanismo de respostas (AEO)
Enable Answer-Engine Optimization,Ativar a otimização para mecanismos de respostas
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.","Torne o grafo de dados estruturados detectável pelos mecanismos de respostas de IA (busca do ChatGPT, Perplexity, Gemini, Google AI Overviews). Quando ativado, os nós JSON-LD emitidos carregam valores @id estáveis e são referenciados entre si em um único grafo conectado, para que um mecanismo de respostas possa montar uma única entidade confiável a partir da página. Quando desativado, a saída é idêntica ao comportamento padrão dos rich snippets."
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.","Adiciona valores @id estáveis a cada nó de dados estruturados e os une em um único grafo conectado (o produto faz referência à sua marca e à organização vendedora). Desativado por padrão; ativá-lo não muda quais entidades são emitidas, apenas as vincula."
"Legal name","Razão social"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","Insira a razão social completa e registrada da sua organização, se for diferente do nome exibido acima. Ajuda os mecanismos de busca a identificar sua identidade comercial oficial."
"Founding date","Data de fundação"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","Insira a data de fundação da sua organização no formato AAAA-MM-DD. Usada pelos mecanismos de busca para o Knowledge Graph e sinais de confiança."
"Number of employees","Número de funcionários"
"Enter the approximate number of employees in your organization.","Insira o número aproximado de funcionários da sua organização."
"Area served","Área atendida"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","Insira a área geográfica atendida pela sua organização, por exemplo, ""Brasil"" ou ""Todo o mundo""."
"<strong><u>Contact points:</u></strong>","<strong><u>Pontos de contato:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","Defina pontos de contato dedicados de telefone/e-mail por departamento. Eles são adicionados além do telefone/e-mail geral acima e ajudam mecanismos de busca e usuários a alcançar diretamente o departamento certo."
"Customer service telephone","Telefone de atendimento ao cliente"
"Customer service email","E-mail de atendimento ao cliente"
"Customer service area served","Área atendida pelo atendimento ao cliente"
"Sales telephone","Telefone de vendas"
"Sales email","E-mail de vendas"
"Sales area served","Área atendida pelas vendas"
"Technical support telephone","Telefone de suporte técnico"
"Technical support email","E-mail de suporte técnico"
"Technical support area served","Área atendida pelo suporte técnico"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","Controla como o e-mail de contato do atendimento ao cliente é determinado. As informações da loja usam o e-mail do remetente de Suporte ao Cliente."
"Customer service email value","Valor do e-mail de atendimento ao cliente"
