"Conditions","Умови"
"Displays category information in product structured data. This helps establish product classification context for search engines.","Відображає інформацію про категорію в структурованих даних товару. Це допомагає встановити контекст класифікації товарів для пошукових систем."
"Manufacturer part number","Артикул виробника"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","Включає артикули виробника в структуровані дані. Це покращує можливість виявлення при пошуку конкретних товарів за технічними ідентифікаторами."
"Manufacturer part number attribute","Атрибут артикула виробника"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","Вкажіть, який атрибут товару містить дані артикула виробника. Система прочитає цей атрибут для заповнення структурованих даних."
"Brand attribute","Атрибут бренду"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","Вкажіть, який атрибут товару містить інформацію про бренд. Це відображає ваші існуючі дані бренду на структуровану розмітку."
"Model attribute","Атрибут моделі"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","Вкажіть, який атрибут товару містить інформацію про модель. Допомагає ідентифікувати конкретні моделі товарів у структурованих даних."
"Color attribute","Атрибут кольору"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","Вкажіть, який атрибут товару містить інформацію про колір. Важливо для варіантів товарів та фільтрації в розширених результатах."
"Size attribute","Атрибут розміру"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","Вкажіть, який атрибут товару містить інформацію про розмір. Актуально для одягу та розмірних даних товарів."
"Material attribute","Атрибут матеріалу"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","Вкажіть, який атрибут товару містить інформацію про матеріал (наприклад, ""матеріал"", ""тканина""). Виводиться як пряма властивість schema.org для Product."
"Pattern attribute","Атрибут патерну"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","Вкажіть, який атрибут товару містить інформацію про патерн (наприклад, ""патерн""). Виводиться як пряма властивість schema.org для Product."
"Weight unit","Одиниця ваги"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","Виберіть стандартну одиницю виміру, що використовується для ваги товарів. Забезпечує узгоджене представлення ваги в структурованих даних."
"Dimensions","Розміри"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","Увімкніть вимірювання розмірів у структурованих даних. Важливо для фізичних товарів, де розмір має значення для клієнтів."
"Unit","Одиниця"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","Вкажіть одиницю виміру для розмірів товару (наприклад, дюйми, см). Підтримує узгодженість у представленні розмірів."
"Height attribute","Атрибут висоти"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","Вкажіть, який атрибут товару містить виміри висоти. Відображає ваші дані про висоту на структуровану розмітку."
"Width attribute","Атрибут ширини"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","Вкажіть, який атрибут товару містить виміри ширини. Відображає ваші дані про ширину на структуровану розмітку."
"Depth attribute","Атрибут глибини"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","Вкажіть, який атрибут товару містить виміри глибини. Відображає ваші дані про глибину на структуровану розмітку."
"Product condition","Стан товару"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","Вкажіть, чи є товари новими, вживаними або відновленими. Це важливо для маркетплейсів та реселерів."
"Condition attribute","Атрибут стану"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","Вкажіть, який атрибут товару містить інформацію про стан. Система прочитає цей атрибут для отримання даних про стан."
"New attribute value","Значення атрибута «новий»"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","Вкажіть точне значення атрибута, що вказує на те, що товар є новим. Це відображає ваші внутрішні значення на стандарти schema.org."
"Used attribute value","Значення атрибута «вживаний»"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","Вкажіть точне значення атрибута, що вказує на те, що товар є вживаним. Це відображає ваші внутрішні значення на стандарти schema.org."
"Refurbished attribute value","Значення атрибута «відновлений»"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","Вкажіть точне значення атрибута, що вказує на те, що товар є відновленим. Це відображає ваші внутрішні значення на стандарти schema.org."
"Damaged attribute value","Значення атрибута «пошкоджений»"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","Вкажіть точне значення атрибута, що вказує на те, що товар є пошкодженим. Це відображає ваші внутрішні значення на стандарти schema.org."
"Individual review markup","Розмітка індивідуального відгуку"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","Включіть розмітку для кожного окремого відгуку про товар. Це забезпечує розширене відображення контенту відгуків у результатах пошуку, що виходить за межі загального рейтингу."
"Add rich snippets for product variants","Додати розширені сніпети для варіантів товарів"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","Включіть структуровані дані для варіацій товарів, таких як різні кольори або розміри. Це допомагає пошуковим системам зрозуміти ваш повний асортимент товарів."
"<strong><u>GTIN configuration:</u></strong>","<strong><u>Конфігурація GTIN:</u></strong>"
"GTIN-8 attribute","Атрибут GTIN-8"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","Вкажіть, який атрибут містить 8-значні коди GTIN/EAN. Важливо для міжнародної ідентифікації товарів."
"GTIN-12 attribute","Атрибут GTIN-12"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","Вкажіть, який атрибут містить 12-значні коди GTIN/UPC. Стандарт для ідентифікації товарів у Північній Америці."
"GTIN-13 attribute","Атрибут GTIN-13"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","Вкажіть, який атрибут містить 13-значні коди GTIN/EAN. Поширений міжнародний формат ідентифікації товарів."
"GTIN-14 attribute","Атрибут GTIN-14"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","Вкажіть, який атрибут містить 14-значні коди GTIN. Використовується для рівнів пакування в ідентифікації ланцюга постачання."
"Category page","Сторінка категорії"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","Керуйте тим, як сторінки категорій представлені в результатах пошуку. Ці налаштування допомагають пошуковим системам краще зрозуміти структуру ваших категорій та покращити відображення інформації про категорії в результатах пошуку."
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","Автоматично видаляє неправильні структуровані дані зі сторінок категорій. Допомагає підтримувати чисту розмітку та запобігати проблемам валідації схеми."
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","Активує розмітку структурованих даних для сторінок категорій. Це забезпечує покращене відображення результатів пошуку для списків категорій."
"Category description","Опис категорії"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","Керує тим, яке поле опису використовується в структурованих даних категорії. Виберіть джерело, що найкраще представляє контент вашої категорії."
"Category image","Зображення категорії"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","Включає ескізи зображень категорій у структуровані дані. Допомагає надати візуальний контекст під час пошуку та публікації в соціальних мережах."
"Product offers","Пропозиції товарів"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Керує тим, чи включати інформацію про товари в структуровані дані категорії та як це робити. Це може показувати доступні товари в категоріях. Увага: режим ""Вся категорія"" виводить усі товари незалежно від поточної сторінки, що порушує рекомендації Google, які вимагають, щоб структуровані дані відображали видимий контент сторінки, може розглядатися як спамерська розмітка та може значно збільшити час завантаження сторінки для великих категорій."
"Product offers format","Формат пропозицій товарів"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","Визначає, як дані товарів форматуються в структурованих даних категорії. ""Зведений товар"" виводить єдину схему Product з діапазоном цін для всієї категорії."
"Brand name","Назва бренду"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","Назва бренду для зведеної схеми Product. Залиште порожнім, щоб використовувати назву магазину або назву бренду для сторінок брендів."
"Include aggregate rating","Включити зведений рейтинг"
"Include aggregated rating from all products in category for aggregate Product schema.","Включіть зведений рейтинг усіх товарів у категорії для зведеної схеми Product."
"Exclude products with price 0","Виключити товари з ціною 0"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","Якщо увімкнено, товари з ціною 0 будуть виключені з розрахунку зведеної пропозиції. Це запобігає відображенню 0 як lowPrice, коли категорія містить безкоштовні товари."
"Enable OpenGraph","Увімкнути OpenGraph"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","Активує метадані OpenGraph для сторінок категорій. Це контролює, як сторінки категорій виглядають при поширенні в соціальних мережах."
"CMS page","CMS-сторінка"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","Керуйте розширеними сніпетами та даними OpenGraph для статичних сторінок контенту. Це допомагає пошуковим системам правильно інтерпретувати ваші інформаційні сторінки та покращує їх відображення при поширенні в соціальних мережах."
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","Автоматично видаляє неправильні структуровані дані з CMS-сторінок. Допомагає підтримувати чисту розмітку на статичних сторінках контенту."
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","Активує розмітку структурованих даних для CMS-сторінок. Це забезпечує покращене відображення результатів пошуку з типами schema.org, такими як WebPage, Article, BlogPosting та іншими."
"Default schema type","Тип схеми за замовчуванням"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","Виберіть тип schema.org за замовчуванням, що використовується для CMS-сторінок, коли не встановлено перевизначення для окремої сторінки. Окремі сторінки можуть перевизначити це в редакторі CMS-сторінок."
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","Активує метадані OpenGraph для CMS-сторінок. Це покращує відображення статичних сторінок при поширенні на соціальних платформах."
"Landing page","Лендінгова сторінка"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","Керуйте тим, як лендінгові сторінки представлені в результатах пошуку. Ці налаштування допомагають пошуковим системам краще зрозуміти структуру ваших лендінгових сторінок та покращити відображення інформації про лендінгові сторінки в результатах пошуку. Працює лише з Mirasvit Landing Page."
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","Автоматично видаляє неправильні структуровані дані з лендінгових сторінок. Допомагає підтримувати чисту розмітку та запобігати проблемам валідації схеми."
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","Активує розмітку структурованих даних для лендінгових сторінок. Це забезпечує покращене відображення результатів пошуку для списків лендінгових сторінок."
"Landing page description","Опис лендінгової сторінки"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","Керує тим, яке поле опису використовується в структурованих даних лендінгової сторінки. Виберіть джерело, що найкраще представляє контент вашої лендінгової сторінки."
"Landing page image","Зображення лендінгової сторінки"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","Включає ескізи зображень лендінгових сторінок у структуровані дані. Допомагає надати візуальний контекст під час пошуку та публікації в соціальних мережах."
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Керує тим, чи включати інформацію про товари в структуровані дані лендінгової сторінки та як це робити. Це може показувати доступні товари на лендінгових сторінках. Увага: режим ""Вся лендінгова сторінка"" виводить усі товари незалежно від поточної сторінки, що порушує рекомендації Google, може розглядатися як спамерська розмітка та може значно збільшити час завантаження сторінки."
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","Визначає, як дані товарів форматуються в структурованих даних лендінгової сторінки. ""Зведений товар"" виводить єдину схему Product з діапазоном цін."
"Brand name for aggregate Product schema. Leave empty to use store name.","Назва бренду для зведеної схеми Product. Залиште порожнім, щоб використовувати назву магазину."
"Include aggregated rating from all products in landing page for aggregate Product schema.","Включіть зведений рейтинг усіх товарів на лендінговій сторінці для зведеної схеми Product."
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","Активує метадані OpenGraph для лендінгових сторінок. Це контролює, як лендінгові сторінки виглядають при поширенні в соціальних мережах."
"Organization","Організація"
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","Визначте структуровані дані про вашу організацію для пошукових систем. Ця інформація допомагає встановити ідентичність вашого бізнесу в результатах пошуку та може увімкнути спеціальні функції, такі як відображення інформаційної панелі."
"Activates structured data about your organization. This helps search engines understand your business identity.","Активує структуровані дані про вашу організацію. Це допомагає пошуковим системам зрозуміти ідентичність вашого бізнесу."
"Display scope","Область відображення"
"Choose where organization schema markup should appear on your website.","Виберіть, де на вашому сайті має відображатися розмітка схеми організації."
"CMS pages","CMS-сторінки"
"Select specific CMS pages where organization schema markup should be displayed.","Виберіть конкретні CMS-сторінки, де має відображатися розмітка схеми організації."
"Name","Назва"
"Controls how your organization name is determined. Select default store name or specify a custom business name.","Керує тим, як визначається назва вашої організації. Виберіть назву магазину за замовчуванням або вкажіть власну назву бізнесу."
"Name value","Значення назви"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","Введіть офіційну назву вашої організації при використанні власного іменування. Вона повинна відповідати вашій юридичній назві бізнесу для узгодженості."
"Country","Країна"
"Determines how your organization's country is specified. Important for local business structured data.","Визначає, як вказується країна вашої організації. Важливо для структурованих даних місцевого бізнесу."
"Country value","Значення країни"
"Enter your organization's country name when using custom specification.","Введіть назву країни вашої організації при використанні власного визначення."
"Locality address","Адреса міста"
"Controls how your organization's city/locality is determined. Important for local search visibility.","Керує тим, як визначається місто/місцевість вашої організації. Важливо для видимості в локальному пошуку."
"Locality address value","Значення адреси міста"
"Enter your organization's city or locality when using custom specification.","Введіть місто або місцевість вашої організації при використанні власного визначення."
"Address region","Регіон адреси"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","Керує тим, як визначається штат/область/регіон вашої організації. Допомагає з регіональною релевантністю пошуку."
"Region value","Значення регіону"
"Enter your organization's state, province or region when using custom specification.","Введіть штат, область або регіон вашої організації при використанні власного визначення."
"Postal code","Поштовий індекс"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","Керує тим, як визначається ZIP/поштовий індекс вашої організації. Важливо для точного визначення місцезнаходження."
"Postal code value","Значення поштового індексу"
"Enter your organization's postal code when using custom specification.","Введіть поштовий індекс вашої організації при використанні власного визначення."
"Street address","Вулична адреса"
"Controls how your organization's street address is determined. Provides detailed location information.","Керує тим, як визначається вулична адреса вашої організації. Надає детальну інформацію про місцезнаходження."
"Street address value","Значення вуличної адреси"
"Enter your organization's full street address when using custom specification.","Введіть повну вуличну адресу вашої організації при використанні власного визначення."
"Telephone number","Номер телефону"
"Controls how your organization's phone contact is determined. Important for customer contact information.","Керує тим, як визначається телефонний контакт вашої організації. Важливо для контактної інформації клієнтів."
"Telephone number value","Значення номера телефону"
"Enter your organization's primary contact phone number when using custom specification.","Введіть основний контактний номер телефону вашої організації при використанні власного визначення."
"Fax number","Номер факсу"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","Введіть номер факсу вашої організації, якщо це застосовно. Необов'язковий спосіб зв'язку для ділових комунікацій."
"Email","Електронна пошта"
"Controls how your organization's email contact is determined. Provides alternative contact information.","Керує тим, як визначається контакт електронної пошти вашої організації. Надає альтернативну контактну інформацію."
"Email value","Значення електронної пошти"
"Enter your organization's public contact email address when using custom specification.","Введіть публічну контактну адресу електронної пошти вашої організації при використанні власного визначення."
"<strong><u>Social media links:</u></strong>","<strong><u>Посилання на соціальні мережі:</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","Введіть повні URL-адреси ваших профілів у соціальних мережах. Вони встановлюють офіційний зв'язок між вашим сайтом та соціальними каналами, допомагаючи пошуковим системам верифікувати вашу онлайн-присутність."
"YouTube channel","Канал YouTube"
"Facebook account","Акаунт Facebook"
"LinkedIn profile","Профіль LinkedIn"
"Instagram account","Акаунт Instagram"
"Pinterest account","Акаунт Pinterest"
"Tumblr account","Акаунт Tumblr"
"Twitter account","Акаунт Twitter"
"Breadcrumbs","Хлібні крихти"
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","Увімкніть структуровані дані хлібних крихт, щоб допомогти пошуковим системам зрозуміти ієрархію навігації вашого сайту. Це покращує індексацію сайту та може підвищити відображення хлібної навігації в результатах пошуку."
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","Активує структуровану розмітку хлібних крихт. Це допомагає пошуковим системам зрозуміти ієрархію вашого сайту та може відображати покращену навігацію хлібних крихт у результатах пошуку."
"Twitter card","Картка Twitter"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","Налаштуйте метадані картки Twitter для контролю відображення ваших сторінок при поширенні в Twitter. Це допомагає оптимізувати публікацію в соціальних мережах з відповідними зображеннями та описами."
"Add Twitter summary card","Додати зведену картку Twitter"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","Керує тим, який тип картки Twitter реалізувати. Це визначає, як ваш контент виглядає при поширенні в Twitter."
"Twitter username","Ім'я користувача Twitter"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","Введіть ваш Twitter-хендл без символу @. Це пов'язує ваш акаунт Twitter з поширеним контентом."
"Search box","Поле пошуку"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","Покращіть вигляд вашого сайту в результатах пошуку, додавши поле пошуку безпосередньо в сніпет пошуку. Це може залучити більш цільовий трафік через власні пошуки по сайту."
"Search box type","Тип поля пошуку"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","Визначає, чи та який тип пошуку по сайту відображається в результатах пошуку. Це може спонукати відвідувачів шукати на вашому сайті безпосередньо з результатів пошуку."
"Path to the blog search","Шлях до пошуку в блозі"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","Введіть URL-шлях для функції пошуку вашого блогу. Потрібно при увімкненні пошуку, специфічного для блогу, в результатах пошуку."
"Rich snippet","Розширений сніпет"
"Schema type","Тип схеми"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","Виберіть тип schema.org для цієї сторінки. Залиште як ""За замовчуванням"", щоб використовувати глобальне налаштування з Магазини > Конфігурація > Розширені сніпети та OpenGraph > CMS-сторінка."
"Rich snippet extender","Розширювач розширеного сніпета"
"Back","Назад"
"General","Загальне"
"Is active","Активний"
"Entity type","Тип сутності"
"Store view","Представлення магазину"
"Snippet extension","Розширення сніпета"
"JSON snippet","JSON сніпет"
"Enclose the JSON snippet in curly braces","Оберніть JSON сніпет у фігурні дужки"
"Override non-empty fields","Перевизначити непорожні поля"
"Add extender","Додати розширювач"
"ID","ID"
Answer Engine (AEO),Рушій відповідей (AEO)
Enable Answer-Engine Optimization,Увімкнути оптимізацію для рушіїв відповідей
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.","Зробіть граф структурованих даних доступним для виявлення рушіями відповідей зі штучним інтелектом (пошук ChatGPT, Perplexity, Gemini, Google AI Overviews). Коли увімкнено, видані вузли JSON-LD містять стабільні значення @id і перехресно посилаються один на одного в єдиному зв’язаному графі, тож рушій відповідей може зібрати зі сторінки одну надійну сутність. Коли вимкнено, вивід ідентичний до стандартної поведінки розширених сніпетів."
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.","Додає стабільні значення @id до кожного вузла структурованих даних і зшиває їх в єдиний зв’язаний граф (товар посилається на свій бренд і організацію-продавця). Вимкнено за замовчуванням; увімкнення не змінює, які сутності видаються, лише пов’язує їх."
"Legal name","Юридична назва"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","Введіть повну зареєстровану юридичну назву вашої організації, якщо вона відрізняється від назви, вказаної вище. Допомагає пошуковим системам розпізнати вашу офіційну ділову ідентичність."
"Founding date","Дата заснування"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","Введіть дату заснування вашої організації у форматі РРРР-ММ-ДД. Використовується пошуковими системами для Knowledge Graph і сигналів довіри."
"Number of employees","Кількість співробітників"
"Enter the approximate number of employees in your organization.","Введіть приблизну кількість співробітників вашої організації."
"Area served","Обслуговувана територія"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","Введіть географічну територію, яку обслуговує ваша організація, наприклад, «Україна» або «Увесь світ»."
"<strong><u>Contact points:</u></strong>","<strong><u>Контактні дані:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","Визначте окремі телефонні/поштові контакти за відділами. Вони додаються на додаток до загального телефону/пошти вище і допомагають пошуковим системам та користувачам звертатися напряму до потрібного відділу."
"Customer service telephone","Телефон служби підтримки клієнтів"
"Customer service email","Пошта служби підтримки клієнтів"
"Customer service area served","Обслуговувана територія служби підтримки клієнтів"
