"Conditions","Podmínky"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","Spravujte rozšířené snippety a data OpenGraph pro statické stránky s obsahem. To pomáhá vyhledávačům správně interpretovat vaše informační stránky a zlepšuje jejich zobrazení při sdílení na sociálních médiích."
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","Automaticky odstraňuje nesprávná strukturovaná data z CMS stránek. Pomáhá udržovat čistou strukturu na statických stránkách s obsahem."
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","Aktivuje strukturovanou datovou strukturu pro CMS stránky. To umožňuje vylepšené zobrazení výsledků vyhledávání s typy schema.org jako WebPage, Article, BlogPosting a dalšími."
"Default schema type","Výchozí typ schématu"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","Vyberte výchozí typ schema.org používaný pro CMS stránky, pokud není nastaveno přepsání pro jednotlivé stránky. Jednotlivé stránky mohou toto přepsat v editoru CMS stránek."
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","Aktivuje metadata OpenGraph pro CMS stránky. To zlepšuje zobrazení statických stránek při sdílení na sociálních platformách."
"Landing page","Vstupní stránka"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","Řiďte, jak jsou vstupní stránky reprezentovány ve výsledcích vyhledávání. Tato nastavení pomáhají vyhledávačům lépe porozumět struktuře vstupní stránky a zlepšit zobrazení informací o vstupní stránce ve výsledcích vyhledávání. Funguje pouze s Mirasvit Landing Page."
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","Automaticky odstraňuje nesprávná strukturovaná data z vstupních stránek. Pomáhá udržovat čistou strukturu a předcházet problémům s validací schématu."
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","Aktivuje strukturovanou datovou strukturu pro vstupní stránky. To umožňuje vylepšené zobrazení výsledků vyhledávání pro výpisy vstupních stránek."
"Landing page description","Popis vstupní stránky"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","Řídí, které pole popisu se používá ve strukturovaných datech vstupní stránky. Vyberte zdroj, který nejlépe reprezentuje obsah vaší vstupní stránky."
"Landing page image","Obrázek vstupní stránky"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","Zahrnuje miniatury obrázků vstupních stránek do strukturovaných dat. Pomáhá poskytnout vizuální kontext při vyhledávání a sdílení na sociálních sítích."
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Řídí, zda a jak jsou informace o produktech zahrnuty do strukturovaných dat vstupní stránky. To může zobrazovat dostupné produkty na vstupních stránkách. Upozornění: Režim ""Celá vstupní stránka"" výstupem jsou všechny produkty bez ohledu na aktuální stránku, což může být považováno za spamovou strukturu."
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","Určuje, jak jsou data produktů formátována v rámci strukturovaných dat vstupní stránky. ""Souhrnný produkt"" výstupem je jedno schéma Product s rozsahem cen."
"Brand name for aggregate Product schema. Leave empty to use store name.","Název značky pro souhrnné schéma Product. Nechte prázdné pro použití názvu obchodu."
"Include aggregated rating from all products in landing page for aggregate Product schema.","Zahrňte souhrnné hodnocení ze všech produktů na vstupní stránce pro souhrnné schéma Product."
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","Aktivuje metadata OpenGraph pro vstupní stránky. To řídí, jak se vstupní stránky zobrazují při sdílení na platformách sociálních médií."
"Organization","Organizace"
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","Definujte strukturovaná data o vaší organizaci pro vyhledávače. Tato informace pomáhá etablovat identitu vašeho podnikání ve výsledcích vyhledávání a může aktivovat speciální funkce, jako jsou zobrazení informačního panelu."
"Activates structured data about your organization. This helps search engines understand your business identity.","Aktivuje strukturovaná data o vaší organizaci. To pomáhá vyhledávačům porozumět identitě vašeho podnikání."
"Display scope","Rozsah zobrazení"
"Choose where organization schema markup should appear on your website.","Vyberte, kde na vašem webu má být zobrazena struktura schématu organizace."
"CMS pages","CMS stránky"
"Select specific CMS pages where organization schema markup should be displayed.","Vyberte konkrétní CMS stránky, kde má být zobrazena struktura schématu organizace."
"Name","Název"
"Controls how your organization name is determined. Select default store name or specify a custom business name.","Řídí, jak se určuje název vaší organizace. Vyberte výchozí název obchodu nebo zadejte vlastní obchodní název."
"Name value","Hodnota názvu"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","Zadejte oficiální název vaší organizace při použití vlastního pojmenování. Měl by odpovídat vašemu právnímu obchodnímu názvu pro konzistenci."
"Country","Země"
"Determines how your organization's country is specified. Important for local business structured data.","Určuje, jak je specifikována země vaší organizace. Důležité pro strukturovaná data místního podnikání."
"Country value","Hodnota země"
"Enter your organization's country name when using custom specification.","Zadejte název země vaší organizace při použití vlastní specifikace."
"Locality address","Adresa města"
"Controls how your organization's city/locality is determined. Important for local search visibility.","Řídí, jak se určuje město/lokalita vaší organizace. Důležité pro viditelnost v místním vyhledávání."
"Locality address value","Hodnota adresy města"
"Enter your organization's city or locality when using custom specification.","Zadejte město nebo lokalitu vaší organizace při použití vlastní specifikace."
"Address region","Region adresy"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","Řídí, jak se určuje stát/provincie/region vaší organizace. Pomáhá s regionální relevancí vyhledávání."
"Region value","Hodnota regionu"
"Enter your organization's state, province or region when using custom specification.","Zadejte stát, provincii nebo region vaší organizace při použití vlastní specifikace."
"Postal code","PSČ"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","Řídí, jak se určuje PSČ vaší organizace. Důležité pro přesné mapování polohy."
"Postal code value","Hodnota PSČ"
"Enter your organization's postal code when using custom specification.","Zadejte PSČ vaší organizace při použití vlastní specifikace."
"Street address","Adresa ulice"
"Controls how your organization's street address is determined. Provides detailed location information.","Řídí, jak se určuje adresa ulice vaší organizace. Poskytuje podrobné informace o poloze."
"Street address value","Hodnota adresy ulice"
"Enter your organization's full street address when using custom specification.","Zadejte plnou adresu ulice vaší organizace při použití vlastní specifikace."
"Telephone number","Telefonní číslo"
"Controls how your organization's phone contact is determined. Important for customer contact information.","Řídí, jak se určuje telefonní kontakt vaší organizace. Důležité pro kontaktní informace zákazníků."
"Telephone number value","Hodnota telefonního čísla"
"Enter your organization's primary contact phone number when using custom specification.","Zadejte primární kontaktní telefonní číslo vaší organizace při použití vlastní specifikace."
"Fax number","Číslo faxu"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","Zadejte číslo faxu vaší organizace, pokud je to relevantní. Volitelný způsob kontaktu pro obchodní komunikaci."
"Email","E-mail"
"Controls how your organization's email contact is determined. Provides alternative contact information.","Řídí, jak se určuje e-mailový kontakt vaší organizace. Poskytuje alternativní kontaktní informace."
"Email value","Hodnota e-mailu"
"Enter your organization's public contact email address when using custom specification.","Zadejte veřejnou kontaktní e-mailovou adresu vaší organizace při použití vlastní specifikace."
"<strong><u>Social media links:</u></strong>","<strong><u>Odkazy na sociální média:</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","Zadejte úplné URL adresy vašich profilů na sociálních médiích. Ty vytvářejí oficiální propojení mezi vaším webem a sociálními kanály, pomáhají vyhledávačům ověřit vaši online přítomnost."
"YouTube channel","Kanál YouTube"
"Facebook account","Účet Facebook"
"LinkedIn profile","Profil LinkedIn"
"Instagram account","Účet Instagram"
"Pinterest account","Účet Pinterest"
"Tumblr account","Účet Tumblr"
"Twitter account","Účet Twitter"
"Breadcrumbs","Navigační drobečky"
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","Povolte strukturovaná data navigačních drobečků, aby vyhledávače lépe porozuměly hierarchii navigace vašeho webu. To zlepšuje indexaci webu a může vylepšit zobrazení navigace drobečků ve výsledcích vyhledávání."
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","Aktivuje strukturovanou strukturu navigačních drobečků. To pomáhá vyhledávačům porozumět hierarchii vašeho webu a může zobrazit vylepšenou navigaci drobečků ve výsledcích vyhledávání."
"Twitter card","Karta Twitter"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","Nakonfigurujte metadata karty Twitter pro kontrolu zobrazení vašich stránek při sdílení na Twitteru. To pomáhá optimalizovat sdílení na sociálních sítích s vhodnými obrázky a popisy."
"Add Twitter summary card","Přidat souhrnnou kartu Twitter"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","Řídí, který typ karty Twitter implementovat. Tím se určuje, jak se váš obsah zobrazuje při sdílení na Twitteru."
"Twitter username","Uživatelské jméno Twitter"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","Zadejte svůj Twitter identifikátor bez symbolu @. Tím se váš účet Twitter přiřadí ke sdílenému obsahu."
"Search box","Vyhledávací pole"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","Vylepšete vzhled vašeho webu ve výsledcích vyhledávání přidáním vyhledávacího pole přímo do vyhledávacího snippetu. To může přilákat více cílenou návštěvnost prostřednictvím vlastních vyhledávání na webu."
"Search box type","Typ vyhledávacího pole"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","Určuje, zda a jaký typ vyhledávání na webu je zobrazen ve výsledcích vyhledávání. To může povzbudit návštěvníky k prohledávání vašeho webu přímo z výsledků vyhledávání."
"Path to the blog search","Cesta k vyhledávání blogu"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","Zadejte URL cestu pro funkci vyhledávání vašeho blogu. Vyžadováno při povolení vyhledávání specifického pro blog ve výsledcích vyhledávání."
"Rich snippet","Rozšířený snippet"
"Schema type","Typ schématu"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","Vyberte typ schema.org pro tuto stránku. Nechte jako ""Výchozí"" pro použití globálního nastavení z Obchody > Konfigurace > Rozšířené snippety a OpenGraph > CMS stránka."
"Rich snippet extender","Rozšiřovač rozšířeného snippetu"
"Back","Zpět"
"General","Obecné"
"Is active","Aktivní"
"Entity type","Typ entity"
"Store view","Zobrazení obchodu"
"Snippet extension","Rozšíření snippetu"
"JSON snippet","JSON snippet"
"Enclose the JSON snippet in curly braces","Uzavřete JSON snippet do složených závorek"
"Override non-empty fields","Přepsat neprázdná pole"
"Add extender","Přidat rozšiřovač"
"ID","ID"
Answer Engine (AEO),Odpovědní engine (AEO)
Enable Answer-Engine Optimization,Povolit optimalizaci pro odpovědní enginy
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.","Zpřístupněte graf strukturovaných dat odpovědním enginům s umělou inteligencí (ChatGPT search, Perplexity, Gemini, Google AI Overviews). Po povolení nesou vydané uzly JSON-LD stabilní hodnoty @id a jsou vzájemně propojeny do jednoho souvislého grafu, takže odpovědní engine může ze stránky sestavit jednu spolehlivou entitu. Po zakázání je výstup shodný se standardním chováním rich snippetů."
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.","Přidá stabilní hodnoty @id ke každému uzlu strukturovaných dat a propojí je do jednoho souvislého grafu (produkt odkazuje na svou značku a prodávající organizaci). Ve výchozím nastavení vypnuto; zapnutí nezmění, které entity se vydávají, pouze je propojí."
"Legal name","Právní název"
