"Add new link","Yeni bağlantı ekle"
"Example of CSV file","CSV dosyası örneği"
"SEO Autolink Export","SEO Autolink Dışa Aktarma"
"Export links (.csv)","Bağlantıları dışa aktar (.csv)"
"Export links","Bağlantıları dışa aktar"
"Cross-links settings","Çapraz bağlantı ayarları"
"Configure how cross-linking behaves across your site content to enhance internal linking structure.","İç bağlantı yapısını geliştirmek için site içeriğiniz genelinde çapraz bağlantı davranışını yapılandırın."
"Allowed areas for cross-links","Çapraz bağlantılar için izin verilen alanlar"
"Select specific content areas where cross-links should be automatically inserted. Limiting to relevant areas improves page load performance.","Çapraz bağlantıların otomatik olarak ekleneceği belirli içerik alanlarını seçin. İlgili alanlarla sınırlandırmak sayfa yükleme performansını iyileştirir."
"Restrict link placement in tags","Etiketlerdeki bağlantı yerleşimini kısıtla"
"Specify HTML tags where links should not be inserted (e.g., h1, h2, a, strong). Enter one tag per line without brackets.","Bağlantıların eklenmemesi gereken HTML etiketlerini belirtin (ör. h1, h2, a, strong). Parantez olmadan satır başına bir etiket girin."
"Prevent adding cross-links on pages","Sayfalara çapraz bağlantı eklemeyi engelle"
"Enter URL patterns (one per line) where cross-links should be disabled. Use * as wildcard (e.g., catalog/product/* or */checkout).","Çapraz bağlantıların devre dışı bırakılacağı URL desenlerini girin (satır başına bir tane). * karakterini joker olarak kullanın (ör. catalog/product/* veya */checkout)."
"Template paths for link insertion","Bağlantı ekleme için şablon yolları"
"Specify template file paths (one per line) where links should be inserted. Note: Processing will fail for templates exceeding 1000 HTML tags due to memory constraints.","Bağlantıların ekleneceği şablon dosyası yollarını belirtin (satır başına bir tane). Not: Bellek kısıtlamaları nedeniyle 1000'den fazla HTML etiketi içeren şablonlar için işlem başarısız olur."
"Max number of links per page","Sayfa başına maksimum bağlantı sayısı"
"Set maximum number of auto-generated cross-links per page. Lower values may improve page load time and prevent over-optimization.","Sayfa başına otomatik oluşturulan maksimum çapraz bağlantı sayısını ayarlayın. Daha düşük değerler sayfa yükleme süresini iyileştirebilir ve aşırı optimizasyonu önleyebilir."
"Avoid duplicate URLs in cross-links","Çapraz bağlantılarda yinelenen URL'lerden kaçın"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","Etkinleştirildiğinde, birden fazla anahtar kelime aynı URL'ye işaret ediyorsa yalnızca ilk geçtiği yer bağlanır. Bu yinelenen bağlantıları önler ve sayfa yükleme performansını iyileştirir."
"General information","Genel bilgi"
"Keyword","Anahtar kelime"
"URL","URL"
"URL target","URL hedefi"
"URL title","URL başlığı"
"Nofollow","Nofollow"
"Number of substitutions","Değiştirme sayısı"
"Sort order","Sıralama düzeni"
"Occurrence","Geçtiği yer"
"Is active","Aktif"
"Active from","Başlangıç tarihi"
"Active to","Bitiş tarihi"
"Visible in store view","Mağaza görünümünde görünür"
"Change status","Durumu değiştir"
"Active","Aktif"
"Inactive","Etkin değil"
"Delete items","Öğeleri sil"
"Are you sure you want to delete the selected items?","Seçilen öğeleri silmek istediğinizden emin misiniz?"
"ID","ID"
"Store view","Mağaza Görünümü"
"Status","Durum"
"Is nofollow","Nofollow"
"Max replacements","Maks. değiştirme"
"Link type","Bağlantı türü"
"Entity ID","Varlık kimliği"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","Ürün kimliğini veya kategori kimliğini girin. Bu varlığın mevcut URL'si, bağlantı eklendiğinde otomatik olarak çözümlenecektir."
"Custom URL","Özel URL"
"Product by ID","Kimliğe göre ürün"
"Category by ID","Kimliğe göre kategori"
"URL is required for custom URL links.","Özel URL bağlantıları için URL gereklidir."
"Entity ID is required for product/category links.","Ürün/kategori bağlantıları için varlık kimliği gereklidir."
