"Add new link","إضافة رابط جديد"
"Avoid duplicate URLs in cross-links","تجنب عناوين URL المكررة في الروابط المتقاطعة"
"When enabled, if multiple keywords point to the same URL, only the first occurrence will be linked. This prevents duplicate links and improves page load performance.","عند التفعيل، إذا كانت كلمات مفتاحية متعددة تشير إلى نفس URL، فسيتم ربط التكرار الأول فقط. يمنع ذلك الروابط المكررة ويحسن أداء تحميل الصفحة."
"General information","المعلومات العامة"
"Keyword","الكلمة المفتاحية"
"URL","URL"
"URL target","هدف URL"
"URL title","عنوان URL"
"Nofollow","Nofollow"
"Number of substitutions","عدد الاستبدالات"
"Sort order","ترتيب الفرز"
"Occurrence","التكرار"
"Is active","نشط"
"Active from","نشط من"
"Active to","نشط حتى"
"Visible in store view","مرئي في عرض المتجر"
"Change status","تغيير الحالة"
"Active","نشط"
"Inactive","غير نشط"
"Delete items","حذف العناصر"
"Are you sure you want to delete the selected items?","هل أنت متأكد من رغبتك في حذف العناصر المحددة؟"
"ID","المعرّف"
"Store view","عرض المتجر"
"Status","الحالة"
"Is nofollow","Nofollow"
"Max replacements","الحد الأقصى للاستبدالات"
"Link type","نوع الرابط"
"Entity ID","معرف الكيان"
"Enter the product ID or category ID. The current URL for this entity will be resolved automatically when the link is inserted.","أدخل معرف المنتج أو معرف الفئة. سيتم تحليل عنوان URL الحالي لهذا الكيان تلقائيًا عند إدراج الرابط."
"Custom URL","رابط مخصص"
"Product by ID","منتج حسب المعرف"
"Category by ID","فئة حسب المعرف"
"URL is required for custom URL links.","عنوان URL مطلوب لروابط URL المخصصة."
"Entity ID is required for product/category links.","معرف الكيان مطلوب لروابط المنتج/الفئة."
