"Home","首页"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","启用后，image:title和image:caption标签将从所有XML站点地图中删除。减少站点地图文件大小并提高生成性能。"
"Strip PageMap tags","删除PageMap标签"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","启用后，PageMap标签将从所有XML站点地图中删除。PageMap是一个已弃用的Google功能，在现代索引中很少使用。启用可降低站点地图复杂性。"
"Categories options","分类选项"
"Configure how category pages appear in XML sitemaps.","配置分类页面在XML站点地图中的显示方式。"
"Frequency","频率"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","向搜索引擎建议分类页面的更改频率。这只是一个提示，可能不会影响爬取频率。"
"Priority","优先级"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","建议分类页面的相对重要性。这只是一个提示，可能不会影响排名。"
"Valid values range from 0.0 (lowest) to 1.0 (highest)","有效值范围为0.0（最低）到1.0（最高）"
"Products options","产品选项"
"Configure how product pages appear in XML sitemaps.","配置产品页面在XML站点地图中的显示方式。"
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","向搜索引擎建议产品页面的更改频率。动态库存或价格使用"每天"，更静态的产品使用"每周"。"
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","建议产品页面的相对重要性。对于电商网站，通常使用0.6到0.8之间的值。"
"Valid values range from 0.0 to 1.0","有效值范围为0.0到1.0"
"Add images into sitemap","将图片添加到站点地图"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","控制XML站点地图中产品图片的包含情况。添加图片可能提高图片搜索结果中的可见性。"
"Include disabled products","包含已禁用产品"
"When enabled, products that are disabled will still appear in XML sitemaps.","启用后，已禁用的产品仍会出现在XML站点地图中。"
"Include out of stock products","包含缺货产品"
"When enabled, products that are out of stock will still appear in XML sitemaps.","启用后，缺货产品仍会出现在XML站点地图中。"
"CMS pages options","CMS页面选项"
"Configure how CMS pages appear in XML sitemaps.","配置CMS页面在XML站点地图中的显示方式。"
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","向搜索引擎建议CMS页面的更改频率。静态页面通常使用"每月"或"每年"。"
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","建议CMS页面的相对重要性。首页通常使用1.0，而功能页面使用较低的值。"
"Store URL options","商店URL选项"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","为多商店设置配置商店视图URL在XML站点地图中的显示方式。"
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","向搜索引擎建议商店视图首页的更改频率。对于共享内容的多语言网站，这应与主首页频率匹配。"
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","建议商店视图首页的相对重要性。对于多语言网站，值通常应与主首页优先级匹配。"
"Generation settings","生成设置"
"Configure automated XML sitemap generation and error notifications.","配置自动化XML站点地图生成和错误通知。"
"Enable sitemap generation","启用站点地图生成"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","启用后，XML站点地图将根据以下计划自动重新生成。推荐用于频繁更新内容的网站。"
"Start time","开始时间"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","设置站点地图生成开始的时间。选择网站流量较低的时间以最小化性能影响。"
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","设置站点地图的重新生成频率。动态内容建议更频繁的更新，但可能会增加服务器负载。"
"Error email recipient","错误电子邮件收件人"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","站点地图生成失败时接收通知的电子邮件地址。留空则禁用通知。"
"Error email sender","错误电子邮件发件人"
"Email sender identity for sitemap generation error notifications.","站点地图生成错误通知的电子邮件发件人身份。"
"Error email template","错误电子邮件模板"
"Email template chosen based on theme fallback when ""Default"" option is selected.","选择"默认"选项时，根据主题回退选择的电子邮件模板。"
"Sitemap file limits","站点地图文件限制"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","配置XML站点地图文件大小限制以确保与搜索引擎的兼容性。"
"Maximum number of URLs per file","每个文件的最大URL数"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","每个站点地图文件的最大URL数。超出后将自动创建多个站点地图文件。"
"Search engines recommend no more than 50,000 URLs per file","搜索引擎建议每个文件不超过50,000个URL"
"Maximum file size","最大文件大小"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","站点地图文件的最大大小（字节）。超出后将自动创建多个站点地图文件。"
"Search engines recommend files under 50MB (52,428,800 bytes)","搜索引擎建议文件小于50MB（52,428,800字节）"
"Search engine submission settings","搜索引擎提交设置"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","配置通过robots.txt自动向搜索引擎提交XML站点地图。"
"Enable submission to robots.txt","启用提交到robots.txt"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","启用后，站点地图位置将自动添加到robots.txt文件，帮助搜索引擎发现它们。这是对搜索引擎网站管理员工具中直接提交的补充，而非替代。"
"Split sitemap by entity type","按实体类型拆分站点地图"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","启用后，将为每种实体类型（商品、分类、页面、博客等）创建单独的站点地图文件。主站点地图文件将成为引用所有实体特定文件的索引。"
"Custom name for additional sitemap file","附加站点地图文件的自定义名称"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","启用""Split sitemap by entity type""后，未被专用实体文件涵盖的 URL 将默认写入 <em>other-sitemap.xml</em>。输入自定义前缀（例如 <code>brands</code>）可将文件命名为 <em>brands-sitemap.xml</em>。留空则保留默认前缀 <em>other</em>。仅使用小写字母、数字和连字符。"
"Sort URLs by priority","按优先级排序网址"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","启用后，XML 站点地图中的网址将按优先级值从高到低排序（优先级相同的网址按字母顺序排列）。这有助于爬虫在抓取预算受限时优先访问您最重要的页面。启用按实体类型拆分时，网址将在每个实体文件内排序。禁用时默认顺序保持不变。"
"XML parse error","XML 解析错误"
"empty or non-absolute <loc>","空的或非绝对的 <loc>"
"placeholder <loc>","占位符 <loc>"
"duplicate <loc>","重复的 <loc>"
"Valid sitemap XML","有效的站点地图 XML"
"Valid sitemap URLs","有效的站点地图 URL"
