"Home","Domů"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","Definujte klíčová slova pro stránku mapy webu. I když jsou méně důležitá pro moderní SEO, mohou být stále užitečná pro interní vyhledávání."
"Meta description","Meta popis"
"Define the meta description for your sitemap page. This text may appear in search engine results.","Definujte meta popis pro stránku mapy webu. Tento text se může zobrazit ve výsledcích vyhledávačů."
"H1 header","Nadpis H1"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","Definujte hlavní nadpis (H1), který se zobrazuje na stránce mapy webu. Důležité jak pro použitelnost, tak pro SEO."
"Content settings","Nastavení obsahu"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","Řiďte, které typy obsahu jsou zahrnuty ve vaší HTML mapě webu. Tato nastavení určují rozsah a komplexnost vaší mapy webu, umožňují přizpůsobit ji konkrétním navigačním potřebám vašeho webu s ohledem na výkonnostní dopady pro velké katalogy."
"Show products","Zobrazovat produkty"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","Pokud je povoleno, všechny produkty budou uvedeny ve frontendové mapě webu. Zvažte vliv na výkon u velkých katalogů."
"Show categories","Zobrazovat kategorie"
"When enabled, all categories will be included in the frontend sitemap.","Pokud je povoleno, všechny kategorie budou zahrnuty ve frontendové mapě webu."
"Show CMS pages","Zobrazovat CMS stránky"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","Pokud je povoleno, CMS stránky (kromě těch vyloučených v Obecných nastaveních mapy webu) se zobrazí ve frontendové mapě webu."
"Show additional links","Zobrazovat další odkazy"
"When enabled, additional links will be included in the frontend sitemap.","Pokud je povoleno, další odkazy budou zahrnuty ve frontendové mapě webu."
"Show stores","Zobrazovat obchody"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","Pokud je povoleno, odkazy na všechna zobrazení obchodu budou zahrnuty ve frontendové mapě webu. Užitečné pro vícejazyčné obchody ke zlepšení navigace."
"Show landing pages","Zobrazovat vstupní stránky"
"When enabled, landing pages will be included in the frontend sitemap.","Pokud je povoleno, vstupní stránky budou zahrnuty ve frontendové mapě webu."
"Show brands","Zobrazovat značky"
"When enabled, brands will be included in the frontend sitemap.","Pokud je povoleno, značky budou zahrnuty ve frontendové mapě webu."
"Show knowledge base","Zobrazovat znalostní bázi"
"When enabled, the knowledge base will be included in the frontend sitemap.","Pokud je povoleno, znalostní báze bude zahrnuta ve frontendové mapě webu."
"Show blog","Zobrazovat blog"
"When enabled, the blog will be included in the frontend sitemap.","Pokud je povoleno, blog bude zahrnut ve frontendové mapě webu."
"Show Aheadworks blog","Zobrazovat blog Aheadworks"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","Pokud je povoleno, blog Aheadworks bude zahrnut ve frontendové mapě webu."
"Show FishPig blog","Zobrazovat blog FishPig"
"When enabled, the FishPig blog will be included in the frontend sitemap.","Pokud je povoleno, blog FishPig bude zahrnut ve frontendové mapě webu."
"Show Mageplaza blog","Zobrazovat blog Mageplaza"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","Pokud je povoleno, blog Mageplaza bude zahrnut ve frontendové mapě webu."
"Show Magefan blog","Zobrazovat blog Magefan"
"When enabled, the Magefan blog will be included in the frontend sitemap.","Pokud je povoleno, blog Magefan bude zahrnut ve frontendové mapě webu."
"Show Amasty blog","Zobrazovat blog Amasty"
"When enabled, the Amasty blog will be included in the frontend sitemap.","Pokud je povoleno, blog Amasty bude zahrnut ve frontendové mapě webu."
"Show Magezon blog","Zobrazovat blog Magezon"
"When enabled, the Magezon blog will be included in the frontend sitemap.","Pokud je povoleno, blog Magezon bude zahrnut ve frontendové mapě webu."
"XML sitemap settings","Nastavení XML mapy webu"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","Nakonfigurujte XML mapy webu pro prohledávače vyhledávačů. Tato nastavení ovlivňují, jak vyhledávače objevují a indexují obsah vašeho webu."
"Common settings","Obecná nastavení"
"Settings that apply to all XML sitemap entries regardless of content type.","Nastavení platná pro všechny záznamy XML mapy webu bez ohledu na typ obsahu."
"Strip optional sitemap tags","Odstranit volitelné tagy mapy webu"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","Pokud je povoleno, tagy changefreq a priority budou odstraněny ze všech XML map webu. Někteří SEO experti to doporučují, protože tyto hodnoty vyhledávače často ignorují."
"Strip optional image tags","Odstranit volitelné tagy obrázků"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","Pokud je povoleno, tagy image:title a image:caption budou odstraněny ze všech XML map webu. Snižuje velikost souboru mapy webu a zlepšuje výkon generování."
"Strip PageMap tags","Odstranit tagy PageMap"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","Pokud je povoleno, tagy PageMap budou odstraněny ze všech XML map webu. PageMap je zastaralá funkce Google, která se v moderním indexování jen zřídka používá. Povolte pro snížení složitosti mapy webu."
"Categories options","Možnosti kategorií"
"Configure how category pages appear in XML sitemaps.","Nakonfigurujte, jak se stránky kategorií zobrazují v XML mapách webu."
"Frequency","Frekvence"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","Navrhněte vyhledávačům, jak často se stránky kategorií mění. Jedná se pouze o nápovědu a nemusí ovlivnit frekvenci prohledávání."
"Priority","Priorita"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","Navrhněte relativní důležitost stránek kategorií. Jedná se pouze o nápovědu a nemusí ovlivnit hodnocení."
"Valid values range from 0.0 (lowest) to 1.0 (highest)","Platné hodnoty jsou v rozsahu od 0.0 (nejnižší) do 1.0 (nejvyšší)"
"Products options","Možnosti produktů"
"Configure how product pages appear in XML sitemaps.","Nakonfigurujte, jak se stránky produktů zobrazují v XML mapách webu."
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","Navrhněte vyhledávačům, jak často se stránky produktů mění. Použijte 'Denně' pro dynamické zásoby nebo ceny, 'Týdně' pro více statické produkty."
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","Navrhněte relativní důležitost stránek produktů. Pro e-commerce weby se běžně používají hodnoty mezi 0.6 a 0.8."
"Valid values range from 0.0 to 1.0","Platné hodnoty jsou v rozsahu od 0.0 do 1.0"
"Add images into sitemap","Přidat obrázky do mapy webu"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","Řiďte zahrnutí obrázků produktů do XML map webu. Přidávání obrázků může zlepšit viditelnost ve výsledcích vyhledávání obrázků."
"Include disabled products","Zahrnout zakázané produkty"
"When enabled, products that are disabled will still appear in XML sitemaps.","Pokud je povoleno, zakázané produkty se stále budou zobrazovat v XML mapách webu."
"Include out of stock products","Zahrnout produkty vyprodané ze skladu"
"When enabled, products that are out of stock will still appear in XML sitemaps.","Pokud je povoleno, produkty vyprodané ze skladu se stále budou zobrazovat v XML mapách webu."
"CMS pages options","Možnosti CMS stránek"
"Configure how CMS pages appear in XML sitemaps.","Nakonfigurujte, jak se CMS stránky zobrazují v XML mapách webu."
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","Navrhněte vyhledávačům, jak často se CMS stránky mění. Statické stránky obvykle používají 'Měsíčně' nebo 'Ročně'."
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","Navrhněte relativní důležitost CMS stránek. Domovská stránka obvykle používá 1.0, zatímco stránky nástrojů používají nižší hodnoty."
"Store URL options","Možnosti URL obchodu"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","Nakonfigurujte, jak se URL zobrazení obchodu zobrazují v XML mapách webu pro víceobchodní konfigurace."
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","Navrhněte vyhledávačům, jak často se domovské stránky zobrazení obchodu mění. Pro vícejazyčné weby se sdíleným obsahem by to mělo odpovídat frekvenci vaší hlavní domovské stránky."
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","Navrhněte relativní důležitost domovských stránek zobrazení obchodu. Pro vícejazyčné weby by hodnoty měly obvykle odpovídat prioritě vaší hlavní domovské stránky."
"Generation settings","Nastavení generování"
"Configure automated XML sitemap generation and error notifications.","Nakonfigurujte automatické generování XML mapy webu a oznámení o chybách."
"Enable sitemap generation","Povolit generování mapy webu"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","Pokud je povoleno, XML mapy webu budou automaticky regenerovány podle níže uvedeného plánu. Doporučeno pro weby s častými aktualizacemi obsahu."
"Start time","Čas spuštění"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","Nastavte čas, kdy má generování mapy webu začít. Vyberte čas s nízkým provozem webu pro minimalizaci dopadu na výkon."
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","Nastavte, jak často mají být mapy webu regenerovány. Častější aktualizace se doporučují pro dynamický obsah, ale mohou zvýšit zatížení serveru."
"Error email recipient","Příjemce chybových e-mailů"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","E-mailová adresa, která bude dostávat oznámení, pokud generování mapy webu selže. Nechte prázdné pro deaktivaci oznámení."
"Error email sender","Odesílatel chybových e-mailů"
"Email sender identity for sitemap generation error notifications.","Identita odesílatele e-mailu pro oznámení o chybách generování mapy webu."
"Error email template","Šablona chybového e-mailu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Šablona e-mailu vybraná na základě záložního motivu, když je vybrána možnost ""Výchozí""."
"Sitemap file limits","Omezení souborů mapy webu"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","Nakonfigurujte limity velikosti souborů XML mapy webu pro zajištění kompatibility s vyhledávači."
"Maximum number of URLs per file","Maximální počet URL adres na soubor"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","Maximální počet URL adres na soubor mapy webu. Pokud je překročeno, bude automaticky vytvořeno více souborů mapy webu."
"Search engines recommend no more than 50,000 URLs per file","Vyhledávače doporučují maximálně 50 000 URL adres na soubor"
"Maximum file size","Maximální velikost souboru"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","Maximální velikost souboru mapy webu v bajtech. Pokud je překročena, bude automaticky vytvořeno více souborů mapy webu."
"Search engines recommend files under 50MB (52,428,800 bytes)","Vyhledávače doporučují soubory menší než 50 MB (52 428 800 bajtů)"
"Search engine submission settings","Nastavení odesílání vyhledávačům"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","Nakonfigurujte automatické odesílání XML map webu vyhledávačům prostřednictvím robots.txt."
"Enable submission to robots.txt","Povolit odesílání do robots.txt"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","Pokud je povoleno, umístění map webu budou automaticky přidána do souboru robots.txt, což pomáhá vyhledávačům je objevit. Toto doplňuje, nikoli nahrazuje, přímé odesílání v nástrojích pro správce webů vyhledávačů."
"Split sitemap by entity type","Rozdělit sitemap podle typu entity"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","Pokud je povoleno, budou pro každý typ entity (produkty, kategorie, stránky, blogy atd.) vytvořeny samostatné soubory sitemap. Hlavní soubor sitemap se stane indexem odkazujícím na všechny soubory specifické pro danou entitu."
"Custom name for additional sitemap file","Vlastní název pro soubor doplňkové mapy webu"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","Pokud je povolena možnost ""Split sitemap by entity type"", adresy URL, které nejsou zahrnuty v dedikovaném souboru entity, se ve výchozím nastavení zapisují do <em>other-sitemap.xml</em>. Zadejte vlastní předponu (např. <code>brands</code>), chcete-li soubor pojmenovat <em>brands-sitemap.xml</em>. Ponechte prázdné pro zachování výchozí předpony <em>other</em>. Používejte pouze malá písmena, číslice a pomlčky."
"Sort URLs by priority","Řadit URL podle priority"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","Pokud je povoleno, jsou adresy URL v XML sitemapě seřazeny od nejvyšší k nejnižší hodnotě priority (adresy URL se stejnou prioritou jsou seřazeny abecedně). Pomáhá to crawlerům dostat se nejprve k vašim nejdůležitějším stránkám v rámci limitů crawl budgetu. Pokud je povoleno rozdělení podle typu entity, jsou adresy URL seřazeny v rámci každého souboru entity. Při vypnutí zůstává výchozí pořadí beze změny."
"XML parse error","Chyba analýzy XML"
"empty or non-absolute <loc>","prázdný nebo neabsolutní <loc>"
"placeholder <loc>","zástupný <loc>"
"duplicate <loc>","duplicitní <loc>"
"Valid sitemap XML","Platné XML souboru sitemap"
"Valid sitemap URLs","Platné adresy URL souboru sitemap"
