"Home","Accueil"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","Contrôle comment les URLs de redirection sont gérées lors de la génération du plan du site. L'exclusion des redirections empêche les moteurs de recherche d'indexer les URLs de redirection, tandis que leur inclusion permet aux crawlers de découvrir la chaîne de redirection. Les redirections permanentes (301) doivent généralement être exclues car elles pointent vers des URLs canoniques déjà dans le plan du site."
"Additional links","Liens supplémentaires"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","Ajoutez des URLs personnalisées à inclure dans vos plans du site. Format : une URL par ligne. Pour les plans du site frontend, spécifiez l'URL et le titre de la page séparés par une virgule."
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","Exemple :<br/>/promotions/, Nos Promotions<br/>/customer/account/, Compte Client"
"Exclude by pattern","Exclure par modèle"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","Spécifiez des modèles d'URL à exclure de tous les plans du site. Chaque modèle doit être sur une nouvelle ligne. Les caractères génériques (*) sont pris en charge."
"Example:<br/>/catalog/category/*<br/>/checkout/*","Exemple :<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","Paramètres du plan du site frontend"
"Configure how your HTML sitemap appears to visitors and search engines.","Configurez comment votre plan du site HTML apparaît aux visiteurs et aux moteurs de recherche."
"Display settings","Paramètres d'affichage"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","Configurez la présentation visuelle et les éléments d'interface utilisateur de votre plan du site HTML. Ces paramètres contrôlent comment le plan du site est affiché aux visiteurs."
"Columns count","Nombre de colonnes"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","Définissez le nombre de colonnes à afficher dans le plan du site frontend. Plus de colonnes peuvent améliorer la lisibilité sur les grands sites."
"Valid values from 1 to 10","Valeurs valides de 1 à 10"
"Alphabetical product grouping","Groupement alphabétique des produits"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","Lorsqu'il est activé, les produits seront regroupés par ordre alphabétique avec des titres en majuscules, améliorant la navigation pour les visiteurs."
"Show sitemap search box","Afficher la zone de recherche du plan du site"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","Affichez un champ de saisie de recherche sur la page du plan du site frontend. Les visiteurs peuvent l'utiliser pour filtrer et trouver du contenu spécifique dans le plan du site."
"Pagination controls position","Position des contrôles de pagination"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","Configurez où la navigation de pagination apparaît sur le plan du site frontend : en haut, en bas ou aux deux emplacements. Pour les grands plans du site sur plusieurs pages, placer les contrôles en haut et en bas améliore la facilité de navigation."
"Cap product links per page","Limiter les liens de produits par page"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","Définissez le nombre maximum de liens de produits par page pour éviter une taille de page excessive. La pagination sera appliquée automatiquement si dépassé."
"SEO settings","Paramètres SEO"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","Définissez les éléments d'optimisation pour les moteurs de recherche pour votre page de plan du site HTML."
"Base URL path to frontend sitemap","Chemin URL de base vers le plan du site frontend"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","Spécifiez le chemin URL où le plan du site frontend sera accessible (p. ex., 'map' le rendra disponible sur example.com/map)."
"Meta title","Titre méta"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","Définissez le titre de l'onglet du navigateur pour votre page de plan du site. Important pour l'indexation des moteurs de recherche."
"Meta keywords","Mots-clés méta"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","Définissez des mots-clés pour la page du plan du site. Bien que moins importants pour le SEO moderne, cela peut encore être utile pour la recherche interne."
"Meta description","Description méta"
"Define the meta description for your sitemap page. This text may appear in search engine results.","Définissez la description méta pour votre page de plan du site. Ce texte peut apparaître dans les résultats des moteurs de recherche."
"H1 header","En-tête H1"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","Définissez le titre principal (H1) qui apparaît sur la page du plan du site. Important pour l'utilisabilité et le SEO."
"Content settings","Paramètres de contenu"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","Contrôlez les types de contenu inclus dans votre plan du site HTML. Ces paramètres déterminent la portée de votre plan du site."
"Show products","Afficher les produits"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","Lorsqu'il est activé, tous les produits seront listés dans le plan du site frontend. Tenez compte de l'impact sur les performances pour les grands catalogues."
"Show categories","Afficher les catégories"
"When enabled, all categories will be included in the frontend sitemap.","Lorsqu'il est activé, toutes les catégories seront incluses dans le plan du site frontend."
"Show CMS pages","Afficher les pages CMS"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","Lorsqu'il est activé, les pages CMS (sauf celles exclues dans les paramètres généraux du plan du site) apparaîtront dans le plan du site frontend."
"Show additional links","Afficher les liens supplémentaires"
"When enabled, additional links will be included in the frontend sitemap.","Lorsqu'il est activé, des liens supplémentaires seront inclus dans le plan du site frontend."
"Show stores","Afficher les magasins"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","Lorsqu'il est activé, des liens vers toutes les vues de magasin seront inclus dans le plan du site frontend. Utile pour les magasins multilingues pour améliorer la navigation."
"Show landing pages","Afficher les pages de destination"
"When enabled, landing pages will be included in the frontend sitemap.","Lorsqu'il est activé, les pages de destination seront incluses dans le plan du site frontend."
"Show brands","Afficher les marques"
"When enabled, brands will be included in the frontend sitemap.","Lorsqu'il est activé, les marques seront incluses dans le plan du site frontend."
"Show knowledge base","Afficher la base de connaissances"
"When enabled, the knowledge base will be included in the frontend sitemap.","Lorsqu'il est activé, la base de connaissances sera incluse dans le plan du site frontend."
"Show blog","Afficher le blog"
"When enabled, the blog will be included in the frontend sitemap.","Lorsqu'il est activé, le blog sera inclus dans le plan du site frontend."
"Show Aheadworks blog","Afficher le blog Aheadworks"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","Lorsqu'il est activé, le blog Aheadworks sera inclus dans le plan du site frontend."
"Show FishPig blog","Afficher le blog FishPig"
"When enabled, the FishPig blog will be included in the frontend sitemap.","Lorsqu'il est activé, le blog FishPig sera inclus dans le plan du site frontend."
"Show Mageplaza blog","Afficher le blog Mageplaza"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","Lorsqu'il est activé, le blog Mageplaza sera inclus dans le plan du site frontend."
"Show Magefan blog","Afficher le blog Magefan"
"When enabled, the Magefan blog will be included in the frontend sitemap.","Lorsqu'il est activé, le blog Magefan sera inclus dans le plan du site frontend."
"Show Amasty blog","Afficher le blog Amasty"
"When enabled, the Amasty blog will be included in the frontend sitemap.","Lorsqu'il est activé, le blog Amasty sera inclus dans le plan du site frontend."
"Show Magezon blog","Afficher le blog Magezon"
"When enabled, the Magezon blog will be included in the frontend sitemap.","Lorsqu'il est activé, le blog Magezon sera inclus dans le plan du site frontend."
"XML sitemap settings","Paramètres du plan du site XML"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","Configurez les plans du site XML pour les crawlers des moteurs de recherche. Ces paramètres affectent la façon dont les moteurs de recherche découvrent et indexent le contenu de votre site."
"Common settings","Paramètres communs"
"Settings that apply to all XML sitemap entries regardless of content type.","Paramètres qui s'appliquent à toutes les entrées du plan du site XML quel que soit le type de contenu."
"Strip optional sitemap tags","Supprimer les balises optionnelles du plan du site"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","Lorsqu'il est activé, les balises changefreq et priority seront supprimées de tous les plans du site XML. Certains experts SEO recommandent cela car ces valeurs sont souvent ignorées par les moteurs de recherche."
"Strip optional image tags","Supprimer les balises d'image optionnelles"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","Lorsqu'il est activé, les balises image:title et image:caption seront supprimées de tous les plans du site XML. Réduit la taille du fichier du plan du site et améliore les performances de génération."
"Strip PageMap tags","Supprimer les balises PageMap"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","Lorsqu'il est activé, les balises PageMap seront supprimées de tous les plans du site XML. PageMap est une fonctionnalité Google obsolète rarement utilisée dans l'indexation moderne."
"Categories options","Options de catégories"
"Configure how category pages appear in XML sitemaps.","Configurez comment les pages de catégorie apparaissent dans les plans du site XML."
"Frequency","Fréquence"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","Suggérez aux moteurs de recherche la fréquence à laquelle les pages de catégorie changent. Il s'agit uniquement d'une indication et peut ne pas affecter la fréquence de crawl."
"Priority","Priorité"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","Suggérez l'importance relative des pages de catégorie. Il s'agit uniquement d'une indication et peut ne pas affecter le classement."
"Valid values range from 0.0 (lowest) to 1.0 (highest)","Les valeurs valides vont de 0,0 (la plus basse) à 1,0 (la plus haute)"
"Products options","Options de produits"
"Configure how product pages appear in XML sitemaps.","Configurez comment les pages produits apparaissent dans les plans du site XML."
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","Suggérez aux moteurs de recherche la fréquence à laquelle les pages produits changent. Utilisez 'Quotidien' pour un inventaire ou des prix dynamiques, 'Hebdomadaire' pour des produits plus statiques."
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","Suggérez l'importance relative des pages produits. Pour les sites e-commerce, des valeurs entre 0,6 et 0,8 sont couramment utilisées."
"Valid values range from 0.0 to 1.0","Les valeurs valides vont de 0,0 à 1,0"
"Add images into sitemap","Ajouter des images dans le plan du site"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","Contrôlez l'inclusion des images de produits dans les plans du site XML. L'ajout d'images peut améliorer la visibilité dans les résultats de recherche d'images."
"Include disabled products","Inclure les produits désactivés"
"When enabled, products that are disabled will still appear in XML sitemaps.","Lorsqu'il est activé, les produits désactivés apparaîtront toujours dans les plans du site XML."
"Include out of stock products","Inclure les produits hors stock"
"When enabled, products that are out of stock will still appear in XML sitemaps.","Lorsqu'il est activé, les produits en rupture de stock apparaîtront toujours dans les plans du site XML."
"CMS pages options","Options des pages CMS"
"Configure how CMS pages appear in XML sitemaps.","Configurez comment les pages CMS apparaissent dans les plans du site XML."
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","Suggérez aux moteurs de recherche la fréquence à laquelle les pages CMS changent. Les pages statiques utilisent généralement 'Mensuel' ou 'Annuel'."
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","Suggérez l'importance relative des pages CMS. La page d'accueil utilise généralement 1,0, tandis que les pages utilitaires utilisent des valeurs plus basses."
"Store URL options","Options d'URL du magasin"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","Configurez comment les URLs de vue de magasin apparaissent dans les plans du site XML pour les configurations multi-magasins."
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","Suggérez aux moteurs de recherche la fréquence à laquelle les pages d'accueil de vue de magasin changent. Pour les sites multilingues avec du contenu partagé, cela devrait correspondre à la fréquence de votre page d'accueil principale."
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","Suggérez l'importance relative des pages d'accueil de vue de magasin. Pour les sites multilingues, les valeurs doivent généralement correspondre à la priorité de votre page d'accueil principale."
"Generation settings","Paramètres de génération"
"Configure automated XML sitemap generation and error notifications.","Configurez la génération automatique de plans du site XML et les notifications d'erreurs."
"Enable sitemap generation","Activer la génération du plan du site"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","Lorsqu'il est activé, les plans du site XML seront automatiquement régénérés selon le calendrier ci-dessous. Recommandé pour les sites avec des mises à jour fréquentes de contenu."
"Start time","Heure de démarrage"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","Définissez l'heure à laquelle la génération du plan du site doit commencer. Choisissez une heure de faible trafic sur le site pour minimiser l'impact sur les performances."
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","Définissez la fréquence à laquelle les plans du site doivent être régénérés. Des mises à jour plus fréquentes sont recommandées pour le contenu dynamique mais peuvent augmenter la charge du serveur."
"Error email recipient","Destinataire de l'e-mail d'erreur"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","Adresse e-mail qui recevra des notifications si la génération du plan du site échoue. Laissez vide pour désactiver les notifications."
"Error email sender","Expéditeur de l'e-mail d'erreur"
"Email sender identity for sitemap generation error notifications.","Identité de l'expéditeur de l'e-mail pour les notifications d'erreur de génération du plan du site."
"Error email template","Modèle d'e-mail d'erreur"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Modèle d'e-mail choisi en fonction du fallback de thème lorsque l'option ""Par défaut"" est sélectionnée."
"Sitemap file limits","Limites de fichier du plan du site"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","Configurez les limites de taille de fichier du plan du site XML pour assurer la compatibilité avec les moteurs de recherche."
"Maximum number of URLs per file","Nombre maximum d'URLs par fichier"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","URLs maximum par fichier de plan du site. Si dépassé, plusieurs fichiers de plan du site seront créés automatiquement."
"Search engines recommend no more than 50,000 URLs per file","Les moteurs de recherche recommandent pas plus de 50 000 URLs par fichier"
"Maximum file size","Taille maximale du fichier"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","Taille maximale du fichier de plan du site en octets. Si dépassée, plusieurs fichiers de plan du site seront créés automatiquement."
"Search engines recommend files under 50MB (52,428,800 bytes)","Les moteurs de recherche recommandent des fichiers de moins de 50 Mo (52 428 800 octets)"
"Search engine submission settings","Paramètres de soumission aux moteurs de recherche"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","Configurez la soumission automatique des plans du site XML aux moteurs de recherche via robots.txt."
"Enable submission to robots.txt","Activer la soumission à robots.txt"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","Lorsqu'il est activé, les emplacements du plan du site seront automatiquement ajoutés au fichier robots.txt, aidant les moteurs de recherche à les découvrir. Cela complète, sans remplacer, la soumission directe dans les outils pour les webmasters des moteurs de recherche."
"Split sitemap by entity type","Diviser le sitemap par type d'entité"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","Lorsqu'il est activé, des fichiers sitemap séparés seront créés par type d'entité (produits, catégories, pages, blogs, etc.). Le fichier sitemap principal devient un index référençant tous les fichiers spécifiques à chaque entité."
"Custom name for additional sitemap file","Nom personnalisé pour le fichier de sitemap supplémentaire"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","Lorsque l'option ""Split sitemap by entity type"" est activée, les URL non couvertes par un fichier d'entité dédié sont écrites dans <em>other-sitemap.xml</em> par défaut. Saisissez un préfixe personnalisé (p. ex. <code>brands</code>) pour nommer le fichier <em>brands-sitemap.xml</em>. Laissez vide pour conserver le préfixe par défaut <em>other</em>. Utilisez uniquement des lettres minuscules, des chiffres et des tirets."
"Sort URLs by priority","Trier les URL par priorité"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","Lorsqu'il est activé, les URL du sitemap XML sont triées de la valeur de priorité la plus élevée à la plus basse (les URL de priorité égale sont triées par ordre alphabétique). Cela aide les robots d'exploration à atteindre d'abord vos pages les plus importantes lorsque le budget d'exploration est limité. Lorsque la division par type d'entité est activée, les URL sont triées dans chaque fichier d'entité. L'ordre par défaut reste inchangé lorsqu'il est désactivé."
"XML parse error","Erreur d'analyse XML"
"empty or non-absolute <loc>","<loc> vide ou non absolu"
"placeholder <loc>","<loc> d'espace réservé"
"duplicate <loc>","<loc> en double"
"Valid sitemap XML","XML de sitemap valide"
"Valid sitemap URLs","URL de sitemap valides"
