"Home","Ana sayfa"
"When enabled, all SEO rewrite URLs with INDEX FOLLOW meta robots will be included in the sitemap. The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Etkinleştirildiğinde, INDEX FOLLOW meta robotlarına sahip tüm SEO yeniden yazma URL'leri site haritasına dahil edilir. Dahil edilen bağlantı deseni bir eylem adı olmamalı veya joker karakterler içermemelidir. Frontend site haritası için <b>Başlık</b> alanı zorunludur."
"Exclude redirects from sitemap","Yönlendirmeleri site haritasından hariç tut"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","Yönlendirme URL'lerinin site haritası oluşturulmasında nasıl işlendiğini kontrol eder. Yönlendirmeleri hariç tutmak, arama motorlarının yönlendirme URL'lerini indekslemesini önler; dahil etmek ise tarayıcıların yönlendirme zincirini keşfetmesine olanak tanır. Kalıcı yönlendirmeler (301) genellikle hariç tutulmalıdır."
"Additional links","Ek bağlantılar"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","Site haritalarınıza dahil edilecek özel URL'ler ekleyin. Format: satır başına bir URL. Frontend site haritaları için hem URL'yi hem de sayfa başlığını virgülle ayrılmış olarak belirtin."
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","Örnek:<br/>/promotions/, Promosyonlarımız<br/>/customer/account/, Müşteri Hesabı"
"Exclude by pattern","Desene göre hariç tut"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","Tüm site haritalarından hariç tutulacak URL desenlerini belirtin. Her desen yeni bir satırda olmalıdır. Joker karakterler (*) desteklenir."
"Example:<br/>/catalog/category/*<br/>/checkout/*","Örnek:<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","Frontend site haritası ayarları"
"Configure how your HTML sitemap appears to visitors and search engines.","HTML site haritanızın ziyaretçilere ve arama motorlarına nasıl göründüğünü yapılandırın."
"Display settings","Görüntüleme ayarları"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","HTML site haritanızın görsel sunumunu ve kullanıcı arayüzü öğelerini yapılandırın. Bu ayarlar, site haritasının ziyaretçilere nasıl gösterileceğini kontrol eder."
"Columns count","Sütun sayısı"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","Frontend site haritasında kaç sütunun görüntüleneceğini tanımlayın. Daha fazla sütun büyük sitelerde okunabilirliği artırabilir."
"Valid values from 1 to 10","1 ile 10 arasında geçerli değerler"
"Alphabetical product grouping","Alfabetik ürün gruplandırma"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","Etkinleştirildiğinde, ürünler büyük harf başlıklarıyla alfabetik olarak gruplandırılır ve ziyaretçilerin navigasyonunu iyileştirir."
"Show sitemap search box","Site haritası arama kutusunu göster"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","Frontend site haritası sayfasında bir arama girişi alanı görüntüleyin. Ziyaretçiler bunu tüm girişleri kaydırmak zorunda kalmadan site haritasındaki belirli içerikleri filtrelemek ve bulmak için kullanabilir."
"Pagination controls position","Sayfalama kontrolleri konumu"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","Sayfalama navigasyonunun frontend site haritasında nerede görüneceğini yapılandırın: sayfanın üstünde, sayfanın altında veya her iki konumda. Birden fazla sayfaya yayılan büyük site haritaları için kontrollerin üste ve alta yerleştirilmesi navigasyon kullanılabilirliğini iyileştirir."
"Cap product links per page","Sayfa başına ürün bağlantılarını sınırla"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","Aşırı sayfa boyutunu önlemek için sayfa başına maksimum ürün bağlantısı sayısını ayarlayın. Aşılırsa sayfalama otomatik olarak uygulanır."
"SEO settings","SEO ayarları"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","HTML site haritası sayfanız için arama motoru optimizasyon öğelerini tanımlayın. Bu ayarlar, site haritasının arama sonuçlarında nasıl göründüğünü doğrudan etkiler."
"Base URL path to frontend sitemap","Frontend site haritasına temel URL yolu"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","Frontend site haritasının erişilebileceği URL yolunu belirtin (ör. 'map' onu example.com/map adresinde kullanılabilir yapar)."
"Meta title","Meta başlık"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","Site haritası sayfanız için tarayıcı sekmesi başlığını tanımlayın. Arama motoru indekslemesi için önemlidir."
"Meta keywords","Meta anahtar kelimeler"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","Site haritası sayfası için anahtar kelimeler tanımlayın. Modern SEO için daha az önemli olsa da, dahili arama için hâlâ faydalı olabilir."
"Meta description","Meta açıklama"
"Define the meta description for your sitemap page. This text may appear in search engine results.","Site haritası sayfanız için meta açıklama tanımlayın. Bu metin arama motoru sonuçlarında görünebilir."
"H1 header","H1 başlığı"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","Site haritası sayfasında görünen ana başlığı (H1) tanımlayın. Hem kullanılabilirlik hem de SEO için önemlidir."
"Content settings","İçerik ayarları"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","HTML site haritanıza hangi içerik türlerinin dahil edildiğini kontrol edin. Bu ayarlar site haritanızın kapsamını belirler."
"Show products","Ürünleri göster"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","Etkinleştirildiğinde, tüm ürünler frontend site haritasında listelenir. Büyük kataloglar için performans etkisini göz önünde bulundurun."
"Show categories","Kategorileri göster"
"When enabled, all categories will be included in the frontend sitemap.","Etkinleştirildiğinde, tüm kategoriler frontend site haritasına dahil edilir."
"Show CMS pages","CMS sayfalarını göster"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","Etkinleştirildiğinde, CMS sayfaları (Genel site haritası ayarlarında hariç tutulanlar hariç) frontend site haritasında görünür."
"Show additional links","Ek bağlantıları göster"
"When enabled, additional links will be included in the frontend sitemap.","Etkinleştirildiğinde, ek bağlantılar frontend site haritasına dahil edilir."
"Show stores","Mağazaları göster"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","Etkinleştirildiğinde, tüm mağaza görünümlerine bağlantılar frontend site haritasına dahil edilir. Navigasyonu iyileştirmek için çok dilli mağazalar için kullanışlıdır."
"Show landing pages","Açılış sayfalarını göster"
"When enabled, landing pages will be included in the frontend sitemap.","Etkinleştirildiğinde, açılış sayfaları frontend site haritasına dahil edilir."
"Show brands","Markaları göster"
"When enabled, brands will be included in the frontend sitemap.","Etkinleştirildiğinde, markalar frontend site haritasına dahil edilir."
"Show knowledge base","Bilgi bankasını göster"
"When enabled, the knowledge base will be included in the frontend sitemap.","Etkinleştirildiğinde, bilgi bankası frontend site haritasına dahil edilir."
"Show blog","Blogu göster"
"When enabled, the blog will be included in the frontend sitemap.","Etkinleştirildiğinde, blog frontend site haritasına dahil edilir."
"Show Aheadworks blog","Aheadworks blogunu göster"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","Etkinleştirildiğinde, Aheadworks blogu frontend site haritasına dahil edilir."
"Show FishPig blog","FishPig blogunu göster"
"When enabled, the FishPig blog will be included in the frontend sitemap.","Etkinleştirildiğinde, FishPig blogu frontend site haritasına dahil edilir."
"Show Mageplaza blog","Mageplaza blogunu göster"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","Etkinleştirildiğinde, Mageplaza blogu frontend site haritasına dahil edilir."
"Show Magefan blog","Magefan blogunu göster"
"When enabled, the Magefan blog will be included in the frontend sitemap.","Etkinleştirildiğinde, Magefan blogu frontend site haritasına dahil edilir."
"Show Amasty blog","Amasty blogunu göster"
"When enabled, the Amasty blog will be included in the frontend sitemap.","Etkinleştirildiğinde, Amasty blogu frontend site haritasına dahil edilir."
"Show Magezon blog","Magezon blogunu göster"
"When enabled, the Magezon blog will be included in the frontend sitemap.","Etkinleştirildiğinde, Magezon blogu frontend site haritasına dahil edilir."
"XML sitemap settings","XML site haritası ayarları"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","Arama motoru tarayıcıları için XML site haritalarını yapılandırın. Bu ayarlar, arama motorlarının site içeriğinizi nasıl keşfettiğini ve indekslediğini etkiler."
"Common settings","Genel ayarlar"
"Settings that apply to all XML sitemap entries regardless of content type.","İçerik türünden bağımsız olarak tüm XML site haritası girişlerine uygulanan ayarlar."
"Strip optional sitemap tags","İsteğe bağlı site haritası etiketlerini kaldır"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","Etkinleştirildiğinde, changefreq ve priority etiketleri tüm XML site haritalarından kaldırılır. Bazı SEO uzmanları bunu önerir, zira bu değerler genellikle arama motorları tarafından görmezden gelinir."
"Strip optional image tags","İsteğe bağlı resim etiketlerini kaldır"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","Etkinleştirildiğinde, image:title ve image:caption etiketleri tüm XML site haritalarından kaldırılır. Site haritası dosya boyutunu azaltır ve oluşturma performansını iyileştirir."
"Strip PageMap tags","PageMap etiketlerini kaldır"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","Etkinleştirildiğinde, PageMap etiketleri tüm XML site haritalarından kaldırılır. PageMap modern indekslemede nadiren kullanılan, kullanımdan kaldırılmış bir Google özelliğidir. Site haritası karmaşıklığını azaltmak için etkinleştirin."
"Categories options","Kategori seçenekleri"
"Configure how category pages appear in XML sitemaps.","Kategori sayfalarının XML site haritalarında nasıl görüneceğini yapılandırın."
"Frequency","Sıklık"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","Arama motorlarına kategori sayfalarının ne sıklıkla değiştiğini önerin. Bu yalnızca bir ipucudur ve tarama sıklığını etkilemeyebilir."
"Priority","Öncelik"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","Kategori sayfalarının göreli önemini önerin. Bu yalnızca bir ipucudur ve sıralamayı etkilemeyebilir."
"Valid values range from 0.0 (lowest) to 1.0 (highest)","Geçerli değerler 0.0 (en düşük) ile 1.0 (en yüksek) arasındadır"
"Products options","Ürün seçenekleri"
"Configure how product pages appear in XML sitemaps.","Ürün sayfalarının XML site haritalarında nasıl görüneceğini yapılandırın."
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","Arama motorlarına ürün sayfalarının ne sıklıkla değiştiğini önerin. Dinamik envanter veya fiyatlandırma için 'Günlük', daha statik ürünler için 'Haftalık' kullanın."
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","Ürün sayfalarının göreli önemini önerin. E-ticaret siteleri için 0.6 ile 0.8 arasındaki değerler yaygın olarak kullanılır."
"Valid values range from 0.0 to 1.0","Geçerli değerler 0.0 ile 1.0 arasındadır"
"Add images into sitemap","Site haritasına resim ekle"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","XML site haritalarına ürün resmi eklenmesini kontrol edin. Resim eklemek, resim arama sonuçlarında görünürlüğü artırabilir."
"Include disabled products","Devre dışı ürünleri dahil et"
"When enabled, products that are disabled will still appear in XML sitemaps.","Etkinleştirildiğinde, devre dışı bırakılan ürünler XML site haritalarında görünmeye devam eder."
"Include out of stock products","Stokta olmayan ürünleri dahil et"
"When enabled, products that are out of stock will still appear in XML sitemaps.","Etkinleştirildiğinde, stokta olmayan ürünler XML site haritalarında görünmeye devam eder."
"CMS pages options","CMS sayfaları seçenekleri"
"Configure how CMS pages appear in XML sitemaps.","CMS sayfalarının XML site haritalarında nasıl görüneceğini yapılandırın."
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","Arama motorlarına CMS sayfalarının ne sıklıkla değiştiğini önerin. Statik sayfalar genellikle 'Aylık' veya 'Yıllık' kullanır."
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","CMS sayfalarının göreli önemini önerin. Ana sayfa genellikle 1.0 kullanırken, yardımcı sayfalar daha düşük değerler kullanır."
"Store URL options","Mağaza URL seçenekleri"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","Çok mağazalı kurulumlar için mağaza görünümü URL'lerinin XML site haritalarında nasıl görüneceğini yapılandırın."
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","Arama motorlarına mağaza görünümü ana sayfalarının ne sıklıkla değiştiğini önerin. Paylaşılan içeriğe sahip çok dilli siteler için bu, ana sayfanızın sıklığıyla eşleşmelidir."
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","Mağaza görünümü ana sayfalarının göreli önemini önerin. Çok dilli siteler için değerler genellikle ana sayfa önceliğinizle eşleşmelidir."
"Generation settings","Oluşturma ayarları"
"Configure automated XML sitemap generation and error notifications.","Otomatik XML site haritası oluşturmayı ve hata bildirimlerini yapılandırın."
"Enable sitemap generation","Site haritası oluşturmayı etkinleştir"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","Etkinleştirildiğinde, XML site haritaları aşağıdaki programa göre otomatik olarak yeniden oluşturulur. Sık içerik güncellemesi olan siteler için önerilir."
"Start time","Başlangıç saati"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","Site haritası oluşturmanın başlaması gereken saati ayarlayın. Performans etkisini en aza indirmek için düşük site trafiği saatini seçin."
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","Site haritalarının ne sıklıkla yeniden oluşturulacağını ayarlayın. Daha sık güncellemeler dinamik içerik için önerilir ancak sunucu yükünü artırabilir."
"Error email recipient","Hata e-postası alıcısı"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","Site haritası oluşturma başarısız olursa bildirim alacak e-posta adresi. Bildirimleri devre dışı bırakmak için boş bırakın."
"Error email sender","Hata e-postası göndericisi"
"Email sender identity for sitemap generation error notifications.","Site haritası oluşturma hata bildirimleri için e-posta göndericisi kimliği."
"Error email template","Hata e-posta şablonu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","\"Varsayılan\" seçeneği seçildiğinde tema geri dönüşüne göre seçilen e-posta şablonu."
"Sitemap file limits","Site haritası dosya sınırları"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","Arama motorlarıyla uyumluluğu sağlamak için XML site haritası dosya boyutu sınırlarını yapılandırın."
"Maximum number of URLs per file","Dosya başına maksimum URL sayısı"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","Site haritası dosyası başına maksimum URL. Aşılırsa birden fazla site haritası dosyası otomatik olarak oluşturulur."
"Search engines recommend no more than 50,000 URLs per file","Arama motorları dosya başına 50.000'den fazla URL önermez"
"Maximum file size","Maksimum dosya boyutu"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","Bayt cinsinden maksimum site haritası dosyası boyutu. Aşılırsa birden fazla site haritası dosyası otomatik olarak oluşturulur."
"Search engines recommend files under 50MB (52,428,800 bytes)","Arama motorları 50 MB'ın (52.428.800 bayt) altında dosyaları önerir"
"Search engine submission settings","Arama motoru gönderme ayarları"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","robots.txt aracılığıyla XML site haritalarının arama motorlarına otomatik olarak gönderilmesini yapılandırın."
"Enable submission to robots.txt","robots.txt'e gönderimi etkinleştir"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","Etkinleştirildiğinde, site haritası konumları robots.txt dosyasına otomatik olarak eklenir ve arama motorlarının bunları keşfetmesine yardımcı olur. Bu, arama motoru web yöneticisi araçlarında doğrudan gönderimin yerini almak yerine onu tamamlar."
"Split sitemap by entity type","Sitemapı varlık türüne göre böl"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","Etkinleştirildiğinde, her varlık türü (ürünler, kategoriler, sayfalar, bloglar vb.) için ayrı sitemap dosyaları oluşturulur. Ana sitemap dosyası, tüm varlığa özgü dosyalara başvuran bir dizin haline gelir."
"Custom name for additional sitemap file","Ek site haritası dosyası için özel ad"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","""Split sitemap by entity type"" seçeneği etkinleştirildiğinde, ayrılmış bir varlık dosyasıyla kapsanmayan URL'ler varsayılan olarak <em>other-sitemap.xml</em> dosyasına yazılır. Dosyayı <em>brands-sitemap.xml</em> olarak adlandırmak için özel bir ön ek girin (ör. <code>brands</code>). Varsayılan <em>other</em> önekini korumak için boş bırakın. Yalnızca küçük harf, rakam ve kısa çizgi kullanın."
"Sort URLs by priority","URL'leri önceliğe göre sırala"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","Etkinleştirildiğinde, XML site haritasındaki URL'ler en yüksek öncelik değerinden en düşüğe doğru sıralanır (eşit öncelikli URL'ler alfabetik olarak sıralanır). Tarama bütçesi sınırlamalarında tarayıcıların önce en önemli sayfalarınıza ulaşmasına yardımcı olur. Varlık türüne göre bölme etkinleştirildiğinde, URL'ler her varlık dosyası içinde sıralanır. Devre dışı bırakıldığında varsayılan sıralama değişmez."
"XML parse error","XML ayrıştırma hatası"
"empty or non-absolute <loc>","boş veya mutlak olmayan <loc>"
"placeholder <loc>","yer tutucu <loc>"
"duplicate <loc>","yinelenen <loc>"
"Valid sitemap XML","Geçerli site haritası XML'i"
"Valid sitemap URLs","Geçerli site haritası URL'leri"
