"Home","ホーム"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","有効にすると、エンティティタイプ（商品、カテゴリ、ページ、ブログなど）ごとに個別のサイトマップファイルが作成されます。メインのサイトマップファイルは、すべてのエンティティ固有のファイルを参照するインデックスになります。"
"Custom name for additional sitemap file","追加サイトマップファイルのカスタム名"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","""Split sitemap by entity type""が有効な場合、専用エンティティファイルに含まれないURLはデフォルトで<em>other-sitemap.xml</em>に書き込まれます。カスタムプレフィックス（例：<code>brands</code>）を入力すると、ファイルを<em>brands-sitemap.xml</em>に変更できます。デフォルトのプレフィックス<em>other</em>を維持するには空白のままにしてください。小文字・数字・ハイフンのみ使用できます。"
"Sort URLs by priority","優先度順にURLを並べ替え"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","有効にすると、XMLサイトマップのURLが優先度の高い順から低い順に並べ替えられます（優先度が同じURLはアルファベット順に並べられます）。クロールバジェットの制限がある場合に、クローラーが最も重要なページに最初に到達するのに役立ちます。エンティティタイプ別の分割が有効な場合、URLは各エンティティファイル内で並べ替えられます。無効の場合、デフォルトの順序は変更されません。"
"XML parse error","XML解析エラー"
"empty or non-absolute <loc>","空または非絶対の <loc>"
"placeholder <loc>","プレースホルダーの <loc>"
"duplicate <loc>","重複した <loc>"
"Valid sitemap XML","有効なサイトマップXML"
"Valid sitemap URLs","有効なサイトマップURL"
