"Home","الرئيسية"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","تكوين مكان ظهور التنقل في ترقيم الصفحات في خريطة الموقع الأمامية: في أعلى الصفحة أو أسفلها أو في كلا الموضعين. لخرائط الموقع الكبيرة التي تمتد عبر صفحات متعددة، يؤدي وضع عناصر التحكم في الأعلى والأسفل إلى تحسين سهولة التنقل."
"Cap product links per page","تحديد روابط المنتجات في الصفحة"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","حدد الحد الأقصى لعدد روابط المنتجات في الصفحة لمنع الحجم المفرط. سيتم تطبيق ترقيم الصفحات تلقائيًا في حالة التجاوز."
"SEO settings","إعدادات SEO"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","حدد عناصر تحسين محركات البحث لصفحة خريطة الموقع HTML. تؤثر هذه الإعدادات مباشرةً على كيفية ظهور خريطة الموقع في نتائج البحث وعلى قابلية اكتشافها."
"Base URL path to frontend sitemap","مسار URL الأساسي لخريطة الموقع الأمامية"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","حدد مسار URL الذي ستكون فيه خريطة الموقع الأمامية متاحة (مثلاً: 'map' ستجعلها متاحة على example.com/map)."
"Meta title","عنوان ميتا"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","حدد عنوان علامة تبويب المتصفح لصفحة خريطة الموقع. مهم لفهرسة محركات البحث."
"Meta keywords","كلمات ميتا المفتاحية"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","حدد الكلمات المفتاحية لصفحة خريطة الموقع. رغم أهميتها الأقل في SEO الحديث، إلا أنها قد تكون مفيدة للبحث الداخلي."
"Meta description","وصف ميتا"
"Define the meta description for your sitemap page. This text may appear in search engine results.","حدد وصف ميتا لصفحة خريطة الموقع. قد يظهر هذا النص في نتائج محركات البحث."
"H1 header","رأس H1"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","حدد العنوان الرئيسي (H1) الذي يظهر في صفحة خريطة الموقع. مهم لسهولة الاستخدام و SEO معًا."
"Content settings","إعدادات المحتوى"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","تحكم في أنواع المحتوى المدرجة في خريطة الموقع HTML. تحدد هذه الإعدادات نطاق خريطة الموقع وشموليتها، مما يتيح لك تخصيصها لاحتياجات التنقل في موقعك مع مراعاة تأثيرات الأداء للكتالوجات الكبيرة."
"Show products","إظهار المنتجات"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","عند التمكين، ستُدرج جميع المنتجات في خريطة الموقع الأمامية. ضع في الاعتبار تأثير الأداء للكتالوجات الكبيرة."
"Show categories","إظهار التصنيفات"
"When enabled, all categories will be included in the frontend sitemap.","عند التمكين، ستُدرج جميع التصنيفات في خريطة الموقع الأمامية."
"Show CMS pages","إظهار صفحات CMS"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","عند التمكين، ستظهر صفحات CMS (باستثناء المستبعدة في إعدادات خريطة الموقع العامة) في خريطة الموقع الأمامية."
"Show additional links","إظهار الروابط الإضافية"
"When enabled, additional links will be included in the frontend sitemap.","عند التمكين، ستُدرج الروابط الإضافية في خريطة الموقع الأمامية."
"Show stores","إظهار المتاجر"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","عند التمكين، ستُدرج روابط لجميع عروض المتجر في خريطة الموقع الأمامية. مفيد للمتاجر متعددة اللغات لتحسين التنقل."
"Show landing pages","إظهار الصفحات المقصودة"
"When enabled, landing pages will be included in the frontend sitemap.","عند التمكين، ستُدرج الصفحات المقصودة في خريطة الموقع الأمامية."
"Show brands","إظهار العلامات التجارية"
"When enabled, brands will be included in the frontend sitemap.","عند التمكين، ستُدرج العلامات التجارية في خريطة الموقع الأمامية."
"Show knowledge base","إظهار قاعدة المعرفة"
"When enabled, the knowledge base will be included in the frontend sitemap.","عند التمكين، ستُدرج قاعدة المعرفة في خريطة الموقع الأمامية."
"Show blog","إظهار المدونة"
"When enabled, the blog will be included in the frontend sitemap.","عند التمكين، ستُدرج المدونة في خريطة الموقع الأمامية."
"Show Aheadworks blog","إظهار مدونة Aheadworks"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","عند التمكين، ستُدرج مدونة Aheadworks في خريطة الموقع الأمامية."
"Show FishPig blog","إظهار مدونة FishPig"
"When enabled, the FishPig blog will be included in the frontend sitemap.","عند التمكين، ستُدرج مدونة FishPig في خريطة الموقع الأمامية."
"Show Mageplaza blog","إظهار مدونة Mageplaza"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","عند التمكين، ستُدرج مدونة Mageplaza في خريطة الموقع الأمامية."
"Show Magefan blog","إظهار مدونة Magefan"
"When enabled, the Magefan blog will be included in the frontend sitemap.","عند التمكين، ستُدرج مدونة Magefan في خريطة الموقع الأمامية."
"Show Amasty blog","إظهار مدونة Amasty"
"When enabled, the Amasty blog will be included in the frontend sitemap.","عند التمكين، ستُدرج مدونة Amasty في خريطة الموقع الأمامية."
"Show Magezon blog","إظهار مدونة Magezon"
"When enabled, the Magezon blog will be included in the frontend sitemap.","عند التمكين، ستُدرج مدونة Magezon في خريطة الموقع الأمامية."
"XML sitemap settings","إعدادات خريطة الموقع XML"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","تكوين خرائط الموقع XML لزواحف محركات البحث. تؤثر هذه الإعدادات على كيفية اكتشاف محركات البحث لمحتوى موقعك وفهرسته."
"Common settings","الإعدادات الشائعة"
"Settings that apply to all XML sitemap entries regardless of content type.","الإعدادات التي تنطبق على جميع إدخالات خريطة الموقع XML بغض النظر عن نوع المحتوى."
"Strip optional sitemap tags","إزالة وسوم خريطة الموقع الاختيارية"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","عند التمكين، ستُزال وسوم changefreq و priority من جميع خرائط الموقع XML. يوصي بعض خبراء SEO بذلك لأن هذه القيم كثيرًا ما تتجاهلها محركات البحث."
"Strip optional image tags","إزالة وسوم الصور الاختيارية"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","عند التمكين، ستُزال وسوم image:title و image:caption من جميع خرائط الموقع XML. يقلل من حجم ملف خريطة الموقع ويحسن أداء الإنشاء."
"Strip PageMap tags","إزالة وسوم PageMap"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","عند التمكين، ستُزال وسوم PageMap من جميع خرائط الموقع XML. PageMap ميزة Google قديمة نادرًا ما تُستخدم في الفهرسة الحديثة. مكّنه لتقليل تعقيد خريطة الموقع."
"Categories options","خيارات التصنيفات"
"Configure how category pages appear in XML sitemaps.","تكوين كيفية ظهور صفحات التصنيفات في خرائط الموقع XML."
"Frequency","التكرار"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","اقترح لمحركات البحث مدى تكرار تغيير صفحات التصنيفات. هذا مجرد تلميح وقد لا يؤثر على تكرار الزحف."
"Priority","الأولوية"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","اقترح الأهمية النسبية لصفحات التصنيفات. هذا مجرد تلميح وقد لا يؤثر على الترتيب."
"Valid values range from 0.0 (lowest) to 1.0 (highest)","تتراوح القيم الصحيحة من 0.0 (الأدنى) إلى 1.0 (الأعلى)"
"Products options","خيارات المنتجات"
"Configure how product pages appear in XML sitemaps.","تكوين كيفية ظهور صفحات المنتجات في خرائط الموقع XML."
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","اقترح لمحركات البحث مدى تكرار تغيير صفحات المنتجات. استخدم 'يومي' للمخزون أو الأسعار الديناميكية، و'أسبوعي' للمنتجات الأكثر ثباتًا."
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","اقترح الأهمية النسبية لصفحات المنتجات. في مواقع التجارة الإلكترونية، تُستخدم عادةً قيم بين 0.6 و0.8."
"Valid values range from 0.0 to 1.0","تتراوح القيم الصحيحة من 0.0 إلى 1.0"
"Add images into sitemap","إضافة الصور إلى خريطة الموقع"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","تحكم في تضمين صور المنتجات في خرائط الموقع XML. قد تؤدي إضافة الصور إلى تحسين الظهور في نتائج البحث عن الصور."
"Include disabled products","تضمين المنتجات المعطلة"
"When enabled, products that are disabled will still appear in XML sitemaps.","عند التمكين، ستظهر المنتجات المعطلة في خرائط الموقع XML."
"Include out of stock products","تضمين المنتجات غير المتوفرة"
"When enabled, products that are out of stock will still appear in XML sitemaps.","عند التمكين، ستظهر المنتجات غير المتوفرة في خرائط الموقع XML."
"CMS pages options","خيارات صفحات CMS"
"Configure how CMS pages appear in XML sitemaps.","تكوين كيفية ظهور صفحات CMS في خرائط الموقع XML."
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","اقترح لمحركات البحث مدى تكرار تغيير صفحات CMS. تستخدم الصفحات الثابتة عادةً 'شهري' أو 'سنوي'."
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","اقترح الأهمية النسبية لصفحات CMS. تستخدم الصفحة الرئيسية عادةً 1.0، في حين تستخدم صفحات الخدمات قيمًا أقل."
"Store URL options","خيارات URL المتجر"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","تكوين كيفية ظهور عناوين URL لعروض المتجر في خرائط الموقع XML لإعدادات المتاجر المتعددة."
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","اقترح لمحركات البحث مدى تكرار تغيير الصفحات الرئيسية لعروض المتجر. للمواقع متعددة اللغات ذات المحتوى المشترك، يجب أن يتطابق هذا مع تكرار صفحتك الرئيسية."
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","اقترح الأهمية النسبية للصفحات الرئيسية لعروض المتجر. للمواقع متعددة اللغات، يجب أن تتطابق القيم عادةً مع أولوية صفحتك الرئيسية."
"Generation settings","إعدادات الإنشاء"
"Configure automated XML sitemap generation and error notifications.","تكوين إنشاء خريطة الموقع XML تلقائيًا وإشعارات الأخطاء."
"Enable sitemap generation","تمكين إنشاء خريطة الموقع"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","عند التمكين، ستُعاد إنشاء خرائط الموقع XML تلقائيًا وفق الجدول أدناه. موصى به للمواقع ذات التحديثات المتكررة للمحتوى."
"Start time","وقت البدء"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","حدد الوقت الذي يجب أن يبدأ فيه إنشاء خريطة الموقع. اختر وقت انخفاض حركة الزوار لتقليل تأثير الأداء."
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","حدد مدى تكرار إعادة إنشاء خرائط الموقع. التحديثات الأكثر تكرارًا موصى بها للمحتوى الديناميكي لكنها قد تزيد من حمل الخادم."
"Error email recipient","مستلم بريد إلكتروني للأخطاء"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","عنوان البريد الإلكتروني الذي سيتلقى إشعارات إذا فشل إنشاء خريطة الموقع. اتركه فارغًا لتعطيل الإشعارات."
"Error email sender","مرسل بريد إلكتروني للأخطاء"
"Email sender identity for sitemap generation error notifications.","هوية مرسل البريد الإلكتروني لإشعارات أخطاء إنشاء خريطة الموقع."
"Error email template","قالب بريد إلكتروني للأخطاء"
"Email template chosen based on theme fallback when ""Default"" option is selected.","قالب البريد الإلكتروني المختار استنادًا إلى احتياطي النسق عند تحديد خيار ""افتراضي""."
"Sitemap file limits","حدود ملف خريطة الموقع"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","تكوين حدود حجم ملف خريطة الموقع XML لضمان التوافق مع محركات البحث."
"Maximum number of URLs per file","الحد الأقصى لعدد عناوين URL في الملف"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","الحد الأقصى لعناوين URL في ملف خريطة الموقع. عند التجاوز، سيتم إنشاء ملفات خريطة موقع متعددة تلقائيًا."
"Search engines recommend no more than 50,000 URLs per file","توصي محركات البحث بما لا يزيد عن 50,000 عنوان URL لكل ملف"
"Maximum file size","الحجم الأقصى للملف"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","الحجم الأقصى لملف خريطة الموقع بالبايت. عند التجاوز، سيتم إنشاء ملفات خريطة موقع متعددة تلقائيًا."
"Search engines recommend files under 50MB (52,428,800 bytes)","توصي محركات البحث بملفات أقل من 50 ميجابايت (52,428,800 بايت)"
"Search engine submission settings","إعدادات إرسال خريطة الموقع لمحركات البحث"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","تكوين الإرسال التلقائي لخرائط الموقع XML إلى محركات البحث عبر robots.txt."
"Enable submission to robots.txt","تمكين الإرسال إلى robots.txt"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","عند التمكين، ستُضاف مواقع خريطة الموقع تلقائيًا إلى ملف robots.txt، مما يساعد محركات البحث على اكتشافها. هذا مكمل لـ، وليس بديلاً عن، الإرسال المباشر في أدوات مشرفي المواقع لمحركات البحث."
"Split sitemap by entity type","تقسيم خريطة الموقع حسب نوع الكيان"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","عند التفعيل، سيتم إنشاء ملفات خريطة موقع منفصلة لكل نوع كيان (المنتجات، الفئات، الصفحات، المدونات، إلخ). يصبح ملف خريطة الموقع الرئيسي فهرساً يحيل إلى جميع الملفات الخاصة بكل كيان."
"Custom name for additional sitemap file","اسم مخصص لملف خريطة الموقع الإضافي"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","عند تفعيل خيار ""Split sitemap by entity type""، تُكتب عناوين URL غير المشمولة بملف كيان مخصص في <em>other-sitemap.xml</em> بشكل افتراضي. أدخل بادئة مخصصة (مثلاً <code>brands</code>) لتسمية الملف <em>brands-sitemap.xml</em> بدلاً من ذلك. اتركه فارغاً للإبقاء على البادئة الافتراضية <em>other</em>. استخدم الأحرف الصغيرة والأرقام والشرطات فقط."
"Sort URLs by priority","ترتيب عناوين URL حسب الأولوية"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","عند التفعيل، يتم ترتيب عناوين URL في خريطة موقع XML من أعلى قيمة أولوية إلى أدناها (يتم ترتيب عناوين URL ذات الأولوية المتساوية أبجدياً). يساعد ذلك برامج الزحف على الوصول إلى أهم صفحاتك أولاً ضمن حدود ميزانية الزحف. عند تفعيل التقسيم حسب نوع الكيان، يتم ترتيب عناوين URL داخل كل ملف كيان. يبقى الترتيب الافتراضي دون تغيير عند التعطيل."
"XML parse error","خطأ في تحليل XML"
"empty or non-absolute <loc>","عنصر <loc> فارغ أو غير مطلق"
"placeholder <loc>","عنصر <loc> نائب"
"duplicate <loc>","عنصر <loc> مكرر"
"Valid sitemap XML","XML خريطة موقع صالحة"
"Valid sitemap URLs","عناوين URL صالحة لخريطة الموقع"
