"Home","Startpagina"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","Bepaalt hoe doorverwijzings-URL's worden verwerkt bij het genereren van sitemaps. Het uitsluiten van doorverwijzingen voorkomt dat zoekmachines doorverwijzings-URL's indexeren, terwijl het opnemen ervan crawlers in staat stelt de doorverwijzingsketen te ontdekken. Permanente doorverwijzingen (301) moeten doorgaans worden uitgesloten omdat ze verwijzen naar canonieke URL's die al in de sitemap staan."
"Additional links","Extra links"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","Voeg aangepaste URL's toe om in uw sitemaps op te nemen. Formaat: één URL per regel. Voor frontend sitemaps geeft u zowel de URL als de paginatitel op, gescheiden door een komma."
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","Voorbeeld:<br/>/promotions/, Onze Acties<br/>/customer/account/, Klantenaccount"
"Exclude by pattern","Uitsluiten op patroon"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","Geef URL-patronen op die uit alle sitemaps moeten worden uitgesloten. Elk patroon moet op een nieuwe regel staan. Jokertekens (*) worden ondersteund."
"Example:<br/>/catalog/category/*<br/>/checkout/*","Voorbeeld:<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","Frontend sitemap-instellingen"
"Configure how your HTML sitemap appears to visitors and search engines.","Configureer hoe uw HTML-sitemap verschijnt voor bezoekers en zoekmachines."
"Display settings","Weergave-instellingen"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","Configureer de visuele presentatie en gebruikersinterface-elementen van uw HTML-sitemap. Deze instellingen bepalen hoe de sitemap aan bezoekers wordt weergegeven."
"Columns count","Aantal kolommen"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","Definieer hoeveel kolommen worden weergegeven in de frontend sitemap. Meer kolommen kunnen de leesbaarheid op grote sites verbeteren."
"Valid values from 1 to 10","Geldige waarden van 1 tot 10"
"Alphabetical product grouping","Alfabetische productgroepering"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","Indien ingeschakeld worden producten alfabetisch gegroepeerd met hoofdletterkopjes, wat de navigatie voor bezoekers verbetert."
"Show sitemap search box","Sitemap-zoekvak weergeven"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","Toon een zoekinvoerveld op de frontend sitemap-pagina. Bezoekers kunnen dit gebruiken om specifieke inhoud in de sitemap te filteren en te vinden."
"Pagination controls position","Positie van pagineringsbesturingselementen"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","Configureer waar pagineringsnavigatie verschijnt op de frontend sitemap: bovenaan, onderaan of op beide locaties. Voor grote sitemaps over meerdere pagina's verbetert het plaatsen van besturingselementen boven en onder de navigatieervaring."
"Cap product links per page","Productlinks per pagina begrenzen"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","Stel het maximale aantal productlinks per pagina in om overmatige paginagrootte te voorkomen. Paginering wordt automatisch toegepast als het maximum wordt overschreden."
"SEO settings","SEO-instellingen"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","Definieer SEO-elementen voor uw HTML-sitemap-pagina. Deze instellingen bepalen direct hoe de sitemap verschijnt in zoekresultaten."
"Base URL path to frontend sitemap","Basis-URL-pad naar frontend sitemap"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","Geef het URL-pad op waar de frontend sitemap toegankelijk zal zijn (bijv. 'map' maakt het beschikbaar op example.com/map)."
"Meta title","Metatitel"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","Definieer de browsertabeltitel voor uw sitemap-pagina. Belangrijk voor zoekmachine-indexering."
"Meta keywords","Metatrefwoorden"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","Definieer trefwoorden voor de sitemap-pagina. Hoewel minder belangrijk voor modern SEO, kan dit nog nuttig zijn voor interne zoekfuncties."
"Meta description","Metabeschrijving"
"Define the meta description for your sitemap page. This text may appear in search engine results.","Definieer de metabeschrijving voor uw sitemap-pagina. Deze tekst kan verschijnen in zoekmachineresultaten."
"H1 header","H1-koptekst"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","Definieer de hoofdkop (H1) die verschijnt op de sitemap-pagina. Belangrijk voor zowel bruikbaarheid als SEO."
"Content settings","Inhoudinstellingen"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","Beheer welke soorten inhoud zijn opgenomen in uw HTML-sitemap. Deze instellingen bepalen de omvang van uw sitemap."
"Show products","Producten weergeven"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","Indien ingeschakeld worden alle producten weergegeven in de frontend sitemap. Houd rekening met de prestatie-impact voor grote catalogi."
"Show categories","Categorieën weergeven"
"When enabled, all categories will be included in the frontend sitemap.","Indien ingeschakeld worden alle categorieën opgenomen in de frontend sitemap."
"Show CMS pages","CMS-pagina's weergeven"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","Indien ingeschakeld verschijnen CMS-pagina's (behalve die uitgesloten in de algemene sitemap-instellingen) in de frontend sitemap."
"Show additional links","Extra links weergeven"
"When enabled, additional links will be included in the frontend sitemap.","Indien ingeschakeld worden extra links opgenomen in de frontend sitemap."
"Show stores","Winkels weergeven"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","Indien ingeschakeld worden links naar alle winkelweergaven opgenomen in de frontend sitemap. Handig voor meertalige winkels om de navigatie te verbeteren."
"Show landing pages","Landingspagina's weergeven"
"When enabled, landing pages will be included in the frontend sitemap.","Indien ingeschakeld worden landingspagina's opgenomen in de frontend sitemap."
"Show brands","Merken weergeven"
"When enabled, brands will be included in the frontend sitemap.","Indien ingeschakeld worden merken opgenomen in de frontend sitemap."
"Show knowledge base","Kennisbank weergeven"
"When enabled, the knowledge base will be included in the frontend sitemap.","Indien ingeschakeld wordt de kennisbank opgenomen in de frontend sitemap."
"Show blog","Blog weergeven"
"When enabled, the blog will be included in the frontend sitemap.","Indien ingeschakeld wordt de blog opgenomen in de frontend sitemap."
"Show Aheadworks blog","Aheadworks blog weergeven"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","Indien ingeschakeld wordt de Aheadworks blog opgenomen in de frontend sitemap."
"Show FishPig blog","FishPig blog weergeven"
"When enabled, the FishPig blog will be included in the frontend sitemap.","Indien ingeschakeld wordt de FishPig blog opgenomen in de frontend sitemap."
"Show Mageplaza blog","Mageplaza blog weergeven"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","Indien ingeschakeld wordt de Mageplaza blog opgenomen in de frontend sitemap."
"Show Magefan blog","Magefan blog weergeven"
"When enabled, the Magefan blog will be included in the frontend sitemap.","Indien ingeschakeld wordt de Magefan blog opgenomen in de frontend sitemap."
"Show Amasty blog","Amasty blog weergeven"
"When enabled, the Amasty blog will be included in the frontend sitemap.","Indien ingeschakeld wordt de Amasty blog opgenomen in de frontend sitemap."
"Show Magezon blog","Magezon blog weergeven"
"When enabled, the Magezon blog will be included in the frontend sitemap.","Indien ingeschakeld wordt de Magezon blog opgenomen in de frontend sitemap."
"XML sitemap settings","XML-sitemap-instellingen"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","Configureer XML-sitemaps voor zoekmachinecrawlers. Deze instellingen beïnvloeden hoe zoekmachines uw site-inhoud ontdekken en indexeren."
"Common settings","Algemene instellingen"
"Settings that apply to all XML sitemap entries regardless of content type.","Instellingen die van toepassing zijn op alle XML-sitemap-items ongeacht het inhoudstype."
"Strip optional sitemap tags","Optionele sitemap-tags verwijderen"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","Indien ingeschakeld worden changefreq- en prioriteitstags verwijderd uit alle XML-sitemaps. Sommige SEO-experts raden dit aan omdat deze waarden vaak worden genegeerd door zoekmachines."
"Strip optional image tags","Optionele afbeeldingstags verwijderen"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","Indien ingeschakeld worden image:title- en image:caption-tags verwijderd uit alle XML-sitemaps. Verkleint de sitemap-bestandsgrootte en verbetert de generatieprestaties."
"Strip PageMap tags","PageMap-tags verwijderen"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","Indien ingeschakeld worden PageMap-tags verwijderd uit alle XML-sitemaps. PageMap is een verouderde Google-functie die zelden wordt gebruikt bij moderne indexering."
"Categories options","Categorie-opties"
"Configure how category pages appear in XML sitemaps.","Configureer hoe categoriepagina's verschijnen in XML-sitemaps."
"Frequency","Frequentie"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","Suggereer aan zoekmachines hoe vaak categoriepagina's veranderen. Dit is slechts een hint en kan de crawlfrequentie mogelijk niet beïnvloeden."
"Priority","Prioriteit"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","Suggereer de relatieve importantie van categoriepagina's. Dit is slechts een hint en kan de ranking mogelijk niet beïnvloeden."
"Valid values range from 0.0 (lowest) to 1.0 (highest)","Geldige waarden variëren van 0,0 (laagste) tot 1,0 (hoogste)"
"Products options","Productopties"
"Configure how product pages appear in XML sitemaps.","Configureer hoe productpagina's verschijnen in XML-sitemaps."
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","Suggereer aan zoekmachines hoe vaak productpagina's veranderen. Gebruik 'Dagelijks' voor dynamisch voorraad of prijzen, 'Wekelijks' voor meer statische producten."
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","Suggereer de relatieve importantie van productpagina's. Voor e-commercesites worden waarden tussen 0,6 en 0,8 veel gebruikt."
"Valid values range from 0.0 to 1.0","Geldige waarden variëren van 0,0 tot 1,0"
"Add images into sitemap","Afbeeldingen toevoegen aan sitemap"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","Beheer de opname van productafbeeldingen in XML-sitemaps. Het toevoegen van afbeeldingen kan de zichtbaarheid in afbeeldingszoekopdrachten verbeteren."
"Include disabled products","Uitgeschakelde producten opnemen"
"When enabled, products that are disabled will still appear in XML sitemaps.","Indien ingeschakeld verschijnen uitgeschakelde producten nog steeds in XML-sitemaps."
"Include out of stock products","Producten zonder voorraad opnemen"
"When enabled, products that are out of stock will still appear in XML sitemaps.","Indien ingeschakeld verschijnen producten zonder voorraad nog steeds in XML-sitemaps."
"CMS pages options","CMS-pagina-opties"
"Configure how CMS pages appear in XML sitemaps.","Configureer hoe CMS-pagina's verschijnen in XML-sitemaps."
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","Suggereer aan zoekmachines hoe vaak CMS-pagina's veranderen. Statische pagina's gebruiken doorgaans 'Maandelijks' of 'Jaarlijks'."
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","Suggereer de relatieve importantie van CMS-pagina's. De startpagina gebruikt doorgaans 1,0, terwijl hulppagina's lagere waarden gebruiken."
"Store URL options","Winkel-URL-opties"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","Configureer hoe winkelweergave-URL's verschijnen in XML-sitemaps voor multi-winkelopstellingen."
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","Suggereer aan zoekmachines hoe vaak startpagina's van winkelweergaven veranderen. Voor meertalige sites met gedeelde inhoud moet dit overeenkomen met de frequentie van uw hoofdstartpagina."
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","Suggereer de relatieve importantie van startpagina's van winkelweergaven. Voor meertalige sites moeten waarden doorgaans overeenkomen met de prioriteit van uw hoofdstartpagina."
"Generation settings","Generatie-instellingen"
"Configure automated XML sitemap generation and error notifications.","Configureer geautomatiseerde XML-sitemapgeneratie en foutmeldingen."
"Enable sitemap generation","Sitemapgeneratie inschakelen"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","Indien ingeschakeld worden XML-sitemaps automatisch gegenereerd volgens het onderstaande schema. Aanbevolen voor sites met frequente inhoudsupdates."
"Start time","Starttijd"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","Stel de tijd in waarop de sitemapgeneratie moet beginnen. Kies een tijd met weinig websiteverkeer om de prestatie-impact te minimaliseren."
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","Stel in hoe vaak sitemaps opnieuw moeten worden gegenereerd. Frequentere updates worden aanbevolen voor dynamische inhoud maar kunnen de serverbelasting verhogen."
"Error email recipient","Ontvanger van fout-e-mail"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","E-mailadres dat meldingen ontvangt als de sitemapgeneratie mislukt. Leeg laten om meldingen uit te schakelen."
"Error email sender","Afzender van fout-e-mail"
"Email sender identity for sitemap generation error notifications.","E-mailafzenderidentiteit voor foutmeldingen bij sitemapgeneratie."
"Error email template","Sjabloon voor fout-e-mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mailsjabloon gekozen op basis van de thema-terugval wanneer de optie ""Standaard"" is geselecteerd."
"Sitemap file limits","Sitemap-bestandslimieten"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","Configureer XML-sitemap-bestandsgrootte-limieten om compatibiliteit met zoekmachines te garanderen."
"Maximum number of URLs per file","Maximaal aantal URL's per bestand"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","Maximale URL's per sitemap-bestand. Als het maximum wordt overschreden, worden automatisch meerdere sitemap-bestanden aangemaakt."
"Search engines recommend no more than 50,000 URLs per file","Zoekmachines raden niet meer dan 50.000 URL's per bestand aan"
"Maximum file size","Maximale bestandsgrootte"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","Maximale sitemap-bestandsgrootte in bytes. Als het maximum wordt overschreden, worden automatisch meerdere sitemap-bestanden aangemaakt."
"Search engines recommend files under 50MB (52,428,800 bytes)","Zoekmachines raden bestanden onder 50 MB (52.428.800 bytes) aan"
"Search engine submission settings","Instellingen voor indiening bij zoekmachines"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","Configureer automatische indiening van XML-sitemaps bij zoekmachines via robots.txt."
"Enable submission to robots.txt","Indiening bij robots.txt inschakelen"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","Indien ingeschakeld worden sitemap-locaties automatisch toegevoegd aan het robots.txt-bestand, waardoor zoekmachines ze kunnen ontdekken. Dit is een aanvulling op, geen vervanging voor, directe indiening in zoekmachinemiddelentools."
"Split sitemap by entity type","Sitemap opsplitsen per entiteitstype"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","Wanneer ingeschakeld, worden er afzonderlijke sitemapbestanden aangemaakt per entiteitstype (producten, categorieën, pagina's, blogs, enz.). Het hoofd-sitemapbestand wordt een index die verwijst naar alle entiteitsspecifieke bestanden."
"Custom name for additional sitemap file","Aangepaste naam voor het aanvullende sitemapbestand"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","Als de optie ""Split sitemap by entity type"" is ingeschakeld, worden URL's die niet door een specifiek entiteitsbestand worden gedekt standaard naar <em>other-sitemap.xml</em> geschreven. Voer een aangepast voorvoegsel in (bijv. <code>brands</code>) om het bestand <em>brands-sitemap.xml</em> te noemen. Laat leeg om het standaard voorvoegsel <em>other</em> te behouden. Gebruik alleen kleine letters, cijfers en koppeltekens."
"Sort URLs by priority","URL's sorteren op prioriteit"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","Wanneer ingeschakeld, worden de URL's in de XML-sitemap gesorteerd van de hoogste naar de laagste prioriteitswaarde (URL's met gelijke prioriteit worden alfabetisch gesorteerd). Dit helpt crawlers om eerst je belangrijkste pagina's te bereiken bij beperkingen van het crawlbudget. Wanneer opsplitsen per entiteitstype is ingeschakeld, worden de URL's binnen elk entiteitsbestand gesorteerd. De standaardvolgorde blijft ongewijzigd wanneer uitgeschakeld."
"XML parse error","XML-parseerfout"
"empty or non-absolute <loc>","lege of niet-absolute <loc>"
"placeholder <loc>","tijdelijke-aanduiding <loc>"
"duplicate <loc>","dubbele <loc>"
"Valid sitemap XML","Geldige sitemap-XML"
"Valid sitemap URLs","Geldige sitemap-URL's"
