"Home","Startseite"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","Steuert, wie Weiterleitungs-URLs bei der Sitemap-Generierung behandelt werden. Das Ausschließen von Weiterleitungen verhindert, dass Suchmaschinen Weiterleitungs-URLs indexieren, während das Einbeziehen Crawlern ermöglicht, die Weiterleitungskette zu entdecken. Permanente Weiterleitungen (301) sollten typischerweise ausgeschlossen werden, da sie auf Canonical-URLs verweisen, die bereits in der Sitemap enthalten sind."
"Additional links","Zusätzliche Links"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","Benutzerdefinierte URLs hinzufügen, die in Sitemaps aufgenommen werden sollen. Format: eine URL pro Zeile. Für Frontend-Sitemaps URL und Seitentitel durch Komma getrennt angeben."
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","Beispiel:<br/>/promotions/, Unsere Aktionen<br/>/customer/account/, Kundenkonto"
"Exclude by pattern","Nach Muster ausschließen"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","URL-Muster angeben, die aus allen Sitemaps ausgeschlossen werden sollen. Jedes Muster sollte in einer neuen Zeile stehen. Platzhalter (*) werden unterstützt."
"Example:<br/>/catalog/category/*<br/>/checkout/*","Beispiel:<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","Frontend-Sitemap-Einstellungen"
"Configure how your HTML sitemap appears to visitors and search engines.","Konfigurieren, wie Ihre HTML-Sitemap Besuchern und Suchmaschinen erscheint."
"Display settings","Anzeigeeinstellungen"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","Die visuelle Darstellung und Benutzeroberflächenelemente Ihrer HTML-Sitemap konfigurieren. Diese Einstellungen steuern, wie die Sitemap Besuchern angezeigt wird, einschließlich Layoutstruktur, Navigationshilfen und interaktiver Funktionen."
"Columns count","Spaltenanzahl"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","Festlegen, wie viele Spalten in der Frontend-Sitemap angezeigt werden. Mehr Spalten können die Lesbarkeit bei großen Websites verbessern."
"Valid values from 1 to 10","Gültige Werte von 1 bis 10"
"Alphabetical product grouping","Alphabetische Produktgruppierung"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","Wenn aktiviert, werden Produkte alphabetisch mit Großbuchstaben-Überschriften gruppiert, was die Navigation für Besucher verbessert."
"Show sitemap search box","Sitemap-Suchfeld anzeigen"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","Ein Sucheingabefeld auf der Frontend-Sitemap-Seite anzeigen. Besucher können dies verwenden, um bestimmte Inhalte in der Sitemap zu filtern und zu finden, ohne alle Einträge durchzuscrollen."
"Pagination controls position","Position der Paginierungssteuerung"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","Konfigurieren, wo die Paginierungsnavigation auf der Frontend-Sitemap erscheint: oben auf der Seite, unten auf der Seite oder an beiden Stellen. Bei großen Sitemaps über mehrere Seiten verbessert das Platzieren von Steuerelementen oben und unten die Navigationserfahrung."
"Cap product links per page","Produktlinks pro Seite begrenzen"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","Maximale Anzahl von Produktlinks pro Seite festlegen, um übermäßige Seitengröße zu verhindern. Paginierung wird automatisch angewendet, wenn überschritten."
"SEO settings","SEO-Einstellungen"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","SEO-Elemente für Ihre HTML-Sitemap-Seite definieren. Diese Einstellungen wirken sich direkt darauf aus, wie die Sitemap in den Suchergebnissen erscheint."
"Base URL path to frontend sitemap","Basis-URL-Pfad zur Frontend-Sitemap"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","Den URL-Pfad angeben, unter dem die Frontend-Sitemap zugänglich ist (z. B. 'map' macht sie unter example.com/map verfügbar)."
"Meta title","Meta-Titel"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","Den Browser-Tab-Titel für Ihre Sitemap-Seite definieren. Wichtig für die Suchmaschinen-Indexierung."
"Meta keywords","Meta-Keywords"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","Keywords für die Sitemap-Seite definieren. Obwohl für modernes SEO weniger wichtig, kann dies für die interne Suche nützlich sein."
"Meta description","Meta-Beschreibung"
"Define the meta description for your sitemap page. This text may appear in search engine results.","Die Meta-Beschreibung für Ihre Sitemap-Seite definieren. Dieser Text kann in Suchmaschinenergebnissen erscheinen."
"H1 header","H1-Überschrift"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","Die Hauptüberschrift (H1) definieren, die auf der Sitemap-Seite erscheint. Wichtig für Benutzerfreundlichkeit und SEO."
"Content settings","Inhaltseinstellungen"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","Steuern, welche Inhaltstypen in Ihrer HTML-Sitemap enthalten sind. Diese Einstellungen bestimmen den Umfang Ihrer Sitemap."
"Show products","Produkte anzeigen"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","Wenn aktiviert, werden alle Produkte in der Frontend-Sitemap aufgelistet. Leistungsauswirkungen bei großen Katalogen berücksichtigen."
"Show categories","Kategorien anzeigen"
"When enabled, all categories will be included in the frontend sitemap.","Wenn aktiviert, werden alle Kategorien in der Frontend-Sitemap aufgenommen."
"Show CMS pages","CMS-Seiten anzeigen"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","Wenn aktiviert, werden CMS-Seiten (außer denen, die in den allgemeinen Sitemap-Einstellungen ausgeschlossen sind) in der Frontend-Sitemap angezeigt."
"Show additional links","Zusätzliche Links anzeigen"
"When enabled, additional links will be included in the frontend sitemap.","Wenn aktiviert, werden zusätzliche Links in der Frontend-Sitemap aufgenommen."
"Show stores","Shops anzeigen"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","Wenn aktiviert, werden Links zu allen Shop-Ansichten in der Frontend-Sitemap aufgenommen. Nützlich für mehrsprachige Shops zur Verbesserung der Navigation."
"Show landing pages","Landing Pages anzeigen"
"When enabled, landing pages will be included in the frontend sitemap.","Wenn aktiviert, werden Landing Pages in der Frontend-Sitemap aufgenommen."
"Show brands","Marken anzeigen"
"When enabled, brands will be included in the frontend sitemap.","Wenn aktiviert, werden Marken in der Frontend-Sitemap aufgenommen."
"Show knowledge base","Wissensdatenbank anzeigen"
"When enabled, the knowledge base will be included in the frontend sitemap.","Wenn aktiviert, wird die Wissensdatenbank in der Frontend-Sitemap aufgenommen."
"Show blog","Blog anzeigen"
"When enabled, the blog will be included in the frontend sitemap.","Wenn aktiviert, wird der Blog in der Frontend-Sitemap aufgenommen."
"Show Aheadworks blog","Aheadworks-Blog anzeigen"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","Wenn aktiviert, wird der Aheadworks-Blog in der Frontend-Sitemap aufgenommen."
"Show FishPig blog","FishPig-Blog anzeigen"
"When enabled, the FishPig blog will be included in the frontend sitemap.","Wenn aktiviert, wird der FishPig-Blog in der Frontend-Sitemap aufgenommen."
"Show Mageplaza blog","Mageplaza-Blog anzeigen"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","Wenn aktiviert, wird der Mageplaza-Blog in der Frontend-Sitemap aufgenommen."
"Show Magefan blog","Magefan-Blog anzeigen"
"When enabled, the Magefan blog will be included in the frontend sitemap.","Wenn aktiviert, wird der Magefan-Blog in der Frontend-Sitemap aufgenommen."
"Show Amasty blog","Amasty-Blog anzeigen"
"When enabled, the Amasty blog will be included in the frontend sitemap.","Wenn aktiviert, wird der Amasty-Blog in der Frontend-Sitemap aufgenommen."
"Show Magezon blog","Magezon-Blog anzeigen"
"When enabled, the Magezon blog will be included in the frontend sitemap.","Wenn aktiviert, wird der Magezon-Blog in der Frontend-Sitemap aufgenommen."
"XML sitemap settings","XML-Sitemap-Einstellungen"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","XML-Sitemaps für Suchmaschinen-Crawler konfigurieren. Diese Einstellungen beeinflussen, wie Suchmaschinen Ihren Website-Inhalt entdecken und indexieren."
"Common settings","Allgemeine Einstellungen"
"Settings that apply to all XML sitemap entries regardless of content type.","Einstellungen, die für alle XML-Sitemap-Einträge unabhängig vom Inhaltstyp gelten."
"Strip optional sitemap tags","Optionale Sitemap-Tags entfernen"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","Wenn aktiviert, werden changefreq- und priority-Tags aus allen XML-Sitemaps entfernt. Einige SEO-Experten empfehlen dies, da diese Werte von Suchmaschinen oft ignoriert werden."
"Strip optional image tags","Optionale Bild-Tags entfernen"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","Wenn aktiviert, werden image:title- und image:caption-Tags aus allen XML-Sitemaps entfernt. Reduziert die Sitemap-Dateigröße und verbessert die Generierungsleistung."
"Strip PageMap tags","PageMap-Tags entfernen"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","Wenn aktiviert, werden PageMap-Tags aus allen XML-Sitemaps entfernt. PageMap ist eine veraltete Google-Funktion, die bei der modernen Indexierung selten verwendet wird."
"Categories options","Kategorieoptionen"
"Configure how category pages appear in XML sitemaps.","Konfigurieren, wie Kategorieseiten in XML-Sitemaps erscheinen."
"Frequency","Häufigkeit"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","Suchmaschinen einen Hinweis geben, wie häufig sich Kategorieseiten ändern. Dies ist nur ein Hinweis und kann die Crawl-Häufigkeit nicht beeinflussen."
"Priority","Priorität"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","Die relative Wichtigkeit von Kategorieseiten vorschlagen. Dies ist nur ein Hinweis und kann das Ranking nicht beeinflussen."
"Valid values range from 0.0 (lowest) to 1.0 (highest)","Gültige Werte reichen von 0,0 (niedrigste) bis 1,0 (höchste)"
"Products options","Produktoptionen"
"Configure how product pages appear in XML sitemaps.","Konfigurieren, wie Produktseiten in XML-Sitemaps erscheinen."
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","Suchmaschinen einen Hinweis geben, wie häufig sich Produktseiten ändern. 'Täglich' für dynamischen Bestand oder Preise, 'Wöchentlich' für statischere Produkte."
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","Die relative Wichtigkeit von Produktseiten vorschlagen. Für E-Commerce-Websites werden häufig Werte zwischen 0,6 und 0,8 verwendet."
"Valid values range from 0.0 to 1.0","Gültige Werte reichen von 0,0 bis 1,0"
"Add images into sitemap","Bilder in Sitemap aufnehmen"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","Einbeziehung von Produktbildern in XML-Sitemaps steuern. Das Hinzufügen von Bildern kann die Sichtbarkeit in Bildsuchergebnissen verbessern."
"Include disabled products","Deaktivierte Produkte einbeziehen"
"When enabled, products that are disabled will still appear in XML sitemaps.","Wenn aktiviert, erscheinen deaktivierte Produkte weiterhin in XML-Sitemaps."
"Include out of stock products","Nicht vorrätige Produkte einbeziehen"
"When enabled, products that are out of stock will still appear in XML sitemaps.","Wenn aktiviert, erscheinen nicht vorrätige Produkte weiterhin in XML-Sitemaps."
"CMS pages options","CMS-Seitenoptionen"
"Configure how CMS pages appear in XML sitemaps.","Konfigurieren, wie CMS-Seiten in XML-Sitemaps erscheinen."
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","Suchmaschinen einen Hinweis geben, wie häufig sich CMS-Seiten ändern. Statische Seiten verwenden typischerweise 'Monatlich' oder 'Jährlich'."
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","Die relative Wichtigkeit von CMS-Seiten vorschlagen. Die Startseite verwendet typischerweise 1,0, während Hilfsseiten niedrigere Werte verwenden."
"Store URL options","Shop-URL-Optionen"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","Konfigurieren, wie Shop-Ansicht-URLs in XML-Sitemaps für Multi-Store-Setups erscheinen."
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","Suchmaschinen einen Hinweis geben, wie häufig sich Shop-Ansicht-Startseiten ändern. Für mehrsprachige Websites mit gemeinsamen Inhalten sollte dies der Häufigkeit der Hauptstartseite entsprechen."
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","Die relative Wichtigkeit von Shop-Ansicht-Startseiten vorschlagen. Für mehrsprachige Websites sollten die Werte typischerweise der Priorität der Hauptstartseite entsprechen."
"Generation settings","Generierungseinstellungen"
"Configure automated XML sitemap generation and error notifications.","Automatisierte XML-Sitemap-Generierung und Fehlerbenachrichtigungen konfigurieren."
"Enable sitemap generation","Sitemap-Generierung aktivieren"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","Wenn aktiviert, werden XML-Sitemaps automatisch gemäß dem folgenden Zeitplan neu generiert. Empfohlen für Websites mit häufigen Inhaltsaktualisierungen."
"Start time","Startzeit"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","Die Uhrzeit festlegen, zu der die Sitemap-Generierung beginnen soll. Eine Zeit mit geringem Website-Traffic wählen, um die Leistungsauswirkungen zu minimieren."
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","Festlegen, wie oft Sitemaps neu generiert werden sollen. Häufigere Aktualisierungen werden für dynamische Inhalte empfohlen, können aber die Serverlast erhöhen."
"Error email recipient","Fehler-E-Mail-Empfänger"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","E-Mail-Adresse, die Benachrichtigungen erhält, wenn die Sitemap-Generierung fehlschlägt. Leer lassen, um Benachrichtigungen zu deaktivieren."
"Error email sender","Fehler-E-Mail-Absender"
"Email sender identity for sitemap generation error notifications.","E-Mail-Absender-Identität für Sitemap-Generierungsfehler-Benachrichtigungen."
"Error email template","Fehler-E-Mail-Vorlage"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-Mail-Vorlage, die basierend auf dem Theme-Fallback ausgewählt wird, wenn die Option ""Standard"" ausgewählt ist."
"Sitemap file limits","Sitemap-Dateilimits"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","XML-Sitemap-Dateigrößenlimits konfigurieren, um die Kompatibilität mit Suchmaschinen zu gewährleisten."
"Maximum number of URLs per file","Maximale Anzahl von URLs pro Datei"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","Maximale URLs pro Sitemap-Datei. Bei Überschreitung werden automatisch mehrere Sitemap-Dateien erstellt."
"Search engines recommend no more than 50,000 URLs per file","Suchmaschinen empfehlen nicht mehr als 50.000 URLs pro Datei"
"Maximum file size","Maximale Dateigröße"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","Maximale Sitemap-Dateigröße in Bytes. Bei Überschreitung werden automatisch mehrere Sitemap-Dateien erstellt."
"Search engines recommend files under 50MB (52,428,800 bytes)","Suchmaschinen empfehlen Dateien unter 50 MB (52.428.800 Bytes)"
"Search engine submission settings","Suchmaschinen-Einreichungseinstellungen"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","Automatische Einreichung von XML-Sitemaps an Suchmaschinen über robots.txt konfigurieren."
"Enable submission to robots.txt","Einreichung an robots.txt aktivieren"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","Wenn aktiviert, werden Sitemap-Speicherorte automatisch zur robots.txt-Datei hinzugefügt, um Suchmaschinen bei der Entdeckung zu helfen. Dies ergänzt die direkte Einreichung in Suchmaschinen-Webmaster-Tools, ersetzt sie aber nicht."
"Split sitemap by entity type","Sitemap nach Entitätstyp aufteilen"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","Wenn aktiviert, werden für jeden Entitätstyp (Produkte, Kategorien, Seiten, Blogs usw.) separate Sitemap-Dateien erstellt. Die Haupt-Sitemap-Datei wird zu einem Index, der auf alle entitätsspezifischen Dateien verweist."
"Custom name for additional sitemap file","Benutzerdefinierter Name für die zusätzliche Sitemap-Datei"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","Wenn ""Split sitemap by entity type"" aktiviert ist, werden URLs, die keiner dedizierten Entitätsdatei zugeordnet sind, standardmäßig in <em>other-sitemap.xml</em> geschrieben. Geben Sie ein benutzerdefiniertes Präfix ein (z. B. <code>brands</code>), um die Datei stattdessen <em>brands-sitemap.xml</em> zu nennen. Leer lassen, um das Standardpräfix <em>other</em> zu behalten. Verwenden Sie nur Kleinbuchstaben, Ziffern und Bindestriche."
"Sort URLs by priority","URLs nach Priorität sortieren"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","Wenn aktiviert, werden die URLs in der XML-Sitemap vom höchsten zum niedrigsten Prioritätswert sortiert (URLs mit gleicher Priorität werden alphabetisch sortiert). Dies hilft Crawlern, Ihre wichtigsten Seiten zuerst zu erreichen, wenn das Crawl-Budget begrenzt ist. Wenn die Aufteilung nach Entitätstyp aktiviert ist, werden die URLs innerhalb jeder Entitätsdatei sortiert. Bei Deaktivierung bleibt die Standardreihenfolge unverändert."
"XML parse error","XML-Analysefehler"
"empty or non-absolute <loc>","leerer oder nicht absoluter <loc>"
"placeholder <loc>","Platzhalter-<loc>"
"duplicate <loc>","doppelter <loc>"
"Valid sitemap XML","Gültiges Sitemap-XML"
"Valid sitemap URLs","Gültige Sitemap-URLs"
