"Home","Головна"
"Valid values range from 0.0 (lowest) to 1.0 (highest)","Допустимі значення від 0.0 (найнижче) до 1.0 (найвище)"
"Products options","Параметри товарів"
"Configure how product pages appear in XML sitemaps.","Налаштуйте, як сторінки товарів відображаються в XML-картах сайту."
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","Запропонуйте пошуковим системам, як часто змінюються сторінки товарів. Використовуйте 'Щодня' для динамічних запасів або цін, 'Щотижня' для більш статичних товарів."
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","Запропонуйте відносну важливість сторінок товарів. Для e-commerce сайтів зазвичай використовуються значення від 0.6 до 0.8."
"Valid values range from 0.0 to 1.0","Допустимі значення від 0.0 до 1.0"
"Add images into sitemap","Додати зображення в карту сайту"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","Керуйте включенням зображень товарів в XML-карти сайту. Додавання зображень може покращити видимість в результатах пошуку зображень."
"Include disabled products","Включати вимкнені товари"
"When enabled, products that are disabled will still appear in XML sitemaps.","Якщо увімкнено, вимкнені товари все одно відображатимуться в XML-картах сайту."
"Include out of stock products","Включати товари, що відсутні в наявності"
"When enabled, products that are out of stock will still appear in XML sitemaps.","Якщо увімкнено, товари, що відсутні в наявності, все одно відображатимуться в XML-картах сайту."
"CMS pages options","Параметри CMS-сторінок"
"Configure how CMS pages appear in XML sitemaps.","Налаштуйте, як CMS-сторінки відображаються в XML-картах сайту."
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","Запропонуйте пошуковим системам, як часто змінюються CMS-сторінки. Статичні сторінки зазвичай використовують 'Щомісяця' або 'Щороку'."
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","Запропонуйте відносну важливість CMS-сторінок. Головна сторінка зазвичай використовує 1.0, тоді як утилітарні сторінки використовують менші значення."
"Store URL options","Параметри URL магазину"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","Налаштуйте, як URL представлень магазину відображаються в XML-картах сайту для мультимагазинних конфігурацій."
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","Запропонуйте пошуковим системам, як часто змінюються головні сторінки представлень магазину. Для багатомовних сайтів зі спільним контентом це повинно відповідати частоті вашої основної головної сторінки."
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","Запропонуйте відносну важливість головних сторінок представлень магазину. Для багатомовних сайтів значення зазвичай повинні відповідати пріоритету вашої основної головної сторінки."
"Generation settings","Налаштування генерації"
"Configure automated XML sitemap generation and error notifications.","Налаштуйте автоматичну генерацію XML-карти сайту та сповіщення про помилки."
"Enable sitemap generation","Увімкнути генерацію карти сайту"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","Якщо увімкнено, XML-карти сайту будуть автоматично перегенеровані відповідно до розкладу нижче. Рекомендується для сайтів з частими оновленнями контенту."
"Start time","Час початку"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","Встановіть час початку генерації карти сайту. Виберіть час низького трафіку сайту, щоб мінімізувати вплив на продуктивність."
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","Встановіть, як часто карти сайту мають перегенеровуватися. Більш часті оновлення рекомендуються для динамічного контенту, але можуть збільшити навантаження на сервер."
"Error email recipient","Одержувач листів з помилками"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","Адреса електронної пошти, яка отримуватиме сповіщення, якщо генерація карти сайту не вдасться. Залиште порожнім для вимкнення сповіщень."
"Error email sender","Відправник листів з помилками"
"Email sender identity for sitemap generation error notifications.","Ідентифікатор відправника електронної пошти для сповіщень про помилки генерації карти сайту."
"Error email template","Шаблон листа з помилкою"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Шаблон електронної пошти, вибраний на основі резервного варіанту теми, коли вибрано опцію ""За замовчуванням""."
"Sitemap file limits","Обмеження файлів карти сайту"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","Налаштуйте обмеження розміру файлів XML-карти сайту для забезпечення сумісності з пошуковими системами."
"Maximum number of URLs per file","Максимальна кількість URL на файл"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","Максимальна кількість URL на файл карти сайту. Якщо перевищено, кілька файлів карти сайту будуть створені автоматично."
"Search engines recommend no more than 50,000 URLs per file","Пошукові системи рекомендують не більше 50 000 URL на файл"
"Maximum file size","Максимальний розмір файлу"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","Максимальний розмір файлу карти сайту в байтах. Якщо перевищено, кілька файлів карти сайту будуть створені автоматично."
"Search engines recommend files under 50MB (52,428,800 bytes)","Пошукові системи рекомендують файли менше 50 МБ (52 428 800 байт)"
"Search engine submission settings","Налаштування надсилання до пошукових систем"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","Налаштуйте автоматичне надсилання XML-карт сайту до пошукових систем через robots.txt."
"Enable submission to robots.txt","Увімкнути надсилання в robots.txt"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","Якщо увімкнено, розташування карт сайту будуть автоматично додаватися до файлу robots.txt, допомагаючи пошуковим системам їх виявити. Це доповнює, а не замінює пряме надсилання через інструменти веб-майстра пошукових систем."
"Split sitemap by entity type","Розбити sitemap за типом сутності"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","Якщо увімкнено, для кожного типу сутності (товари, категорії, сторінки, блоги тощо) буде створено окремі файли sitemap. Головний файл sitemap стає індексом, що посилається на всі файли, специфічні для кожної сутності."
"Custom name for additional sitemap file","Власна назва для додаткового файлу Sitemap"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","Якщо увімкнено опцію ""Split sitemap by entity type"", URL-адреси, не включені до спеціального файлу сутності, за замовчуванням записуються до <em>other-sitemap.xml</em>. Введіть власний префікс (напр. <code>brands</code>), щоб назвати файл <em>brands-sitemap.xml</em>. Залиште порожнім, щоб зберегти типовий префікс <em>other</em>. Використовуйте лише малі літери, цифри та дефіси."
"Sort URLs by priority","Сортувати URL за пріоритетом"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","Якщо увімкнено, URL-адреси в XML sitemap сортуються від найвищого до найнижчого значення пріоритету (URL-адреси з однаковим пріоритетом сортуються за абеткою). Це допомагає пошуковим роботам спершу дістатися до ваших найважливіших сторінок за обмежень бюджету сканування. Якщо ввімкнено розбиття за типом сутності, URL-адреси сортуються в межах кожного файлу сутності. У вимкненому стані типовий порядок залишається незмінним."
"XML parse error","Помилка розбору XML"
"empty or non-absolute <loc>","порожній або неабсолютний <loc>"
"placeholder <loc>","<loc>-заповнювач"
"duplicate <loc>","дубльований <loc>"
"Valid sitemap XML","Дійсний XML карти сайту"
"Valid sitemap URLs","Дійсні URL-адреси карти сайту"
