"%1 service is not properly configured or available","Layanan %1 tidak dikonfigurasi dengan benar atau tidak tersedia"
"Maximum time in seconds to wait for AI provider responses.<br> Leave empty to disable timeout.<br> This setting will affect all AI features in other modules.","Waktu maksimum dalam detik untuk menunggu respons penyedia AI.<br> Biarkan kosong untuk menonaktifkan batas waktu.<br> Pengaturan ini akan mempengaruhi semua fitur AI di modul lain."
"Maximum tokens per request","Token maksimum per permintaan"
"Maximum number of tokens to generate in a single AI request. Higher values allow longer responses but increase costs.<br> Leave empty to disable limitation.<br> Different providers and models has their own limits.<br> This setting will affect all AI features in other modules.","Jumlah maksimum token yang dihasilkan dalam satu permintaan AI. Nilai yang lebih tinggi memungkinkan respons yang lebih panjang tetapi meningkatkan biaya.<br> Biarkan kosong untuk menonaktifkan batasan.<br> Penyedia dan model yang berbeda memiliki batasannya sendiri.<br> Pengaturan ini akan mempengaruhi semua fitur AI di modul lain."
"Default temperature","Temperatur default"
"Controls randomness in AI responses. Lower values produce more consistent results, higher values more creative.<br>Example:<br><code>0.1</code> - very consistent, factual responses<br><code>0.7</code> - balanced creativity and consistency<br><code>1.0</code> - highly creative and varied responses.<br>If empty the default temperature 0.7 will be used.<br>This setting will affect all AI features in other modules.<br>Some extensions might override this setting.","Mengontrol keacakan dalam respons AI. Nilai yang lebih rendah menghasilkan hasil yang lebih konsisten, nilai yang lebih tinggi lebih kreatif.<br>Contoh:<br><code>0.1</code> - respons yang sangat konsisten dan faktual<br><code>0.7</code> - kreativitas dan konsistensi yang seimbang<br><code>1.0</code> - respons yang sangat kreatif dan beragam.<br>Jika kosong, temperatur default 0.7 akan digunakan.<br>Pengaturan ini akan mempengaruhi semua fitur AI di modul lain.<br>Beberapa ekstensi mungkin menimpa pengaturan ini."
"Debug mode","Mode debug"
"Enable detailed logging of AI requests and responses for debugging purposes.<br>Warning: This may log sensitive data and impact performance. Use only for development.","Aktifkan pencatatan detail permintaan dan respons AI untuk tujuan debugging.<br>Peringatan: Ini dapat mencatat data sensitif dan mempengaruhi kinerja. Gunakan hanya untuk pengembangan."
"OpenAI Configuration","Konfigurasi OpenAI"
"Enable OpenAI provider","Aktifkan penyedia OpenAI"
"Enable OpenAI as an available AI provider. Requires valid API key configuration.","Aktifkan OpenAI sebagai penyedia AI yang tersedia. Memerlukan konfigurasi kunci API yang valid."
"OpenAI API key","Kunci API OpenAI"
"Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>","Kunci API OpenAI Anda yang dimulai dengan 'sk-'. Kunci ini dienkripsi dan disimpan dengan aman.<br>Dapatkan kunci API Anda dari: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>"
"Default OpenAI model","Model OpenAI default"
"Select the default OpenAI model for AI operations. Different models have varying capabilities and costs.","Pilih model OpenAI default untuk operasi AI. Model yang berbeda memiliki kemampuan dan biaya yang berbeda."
"Claude Configuration","Konfigurasi Claude"
"Enable Claude provider","Aktifkan penyedia Claude"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","Aktifkan Anthropic Claude sebagai penyedia AI yang tersedia. Memerlukan konfigurasi kunci API yang valid."
"Claude API key","Kunci API Claude"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","Kunci API Anthropic Claude Anda yang dimulai dengan 'sk-ant-'. Kunci ini dienkripsi dan disimpan dengan aman.<br>Dapatkan kunci API Anda dari: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","Model Claude default"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","Pilih model Claude default untuk operasi AI. Model yang berbeda memiliki kemampuan dan biaya yang berbeda."
"Google Gemini Configuration","Konfigurasi Google Gemini"
"Enable Gemini provider","Aktifkan penyedia Gemini"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Aktifkan Google Gemini sebagai penyedia AI yang tersedia. Memerlukan konfigurasi kunci API yang valid."
"Gemini API key","Kunci API Gemini"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","Kunci API Google AI Studio Anda yang dimulai dengan 'AIza'. Kunci ini dienkripsi dan disimpan dengan aman.<br>Dapatkan kunci API Anda dari: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Model Gemini default"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Pilih model Gemini default untuk operasi AI. Model yang berbeda memiliki kemampuan dan biaya yang berbeda."
"Determine visitor's country, city, and timezone based on their IP address.","Tentukan negara, kota, dan zona waktu pengunjung berdasarkan alamat IP mereka."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Diperlukan akun <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind gratis</a> untuk pembaruan otomatis (diperiksa setiap minggu)."
"Used by:","Digunakan oleh:"
message,pesan
"Error downloading database: %1","Kesalahan mengunduh database: %1"
"MaxMind credentials not configured","Kredensial MaxMind belum dikonfigurasi"
"Failed to download remote hash","Gagal mengunduh hash jarak jauh"
"Database is up to date","Database sudah yang terbaru"
"Failed to download and extract database","Gagal mengunduh dan mengekstrak database"
"Database updated successfully","Database berhasil diperbarui"
"Download failed: %1","Unduhan gagal: %1"
"This extension uses GeoLite2 Data created by MaxMind.","Ekstensi ini menggunakan Data GeoLite2 yang dibuat oleh MaxMind."
"Database available (auto-update enabled)","Database tersedia (pembaruan otomatis diaktifkan)"
"Database available (auto-update disabled)","Database tersedia (pembaruan otomatis dinonaktifkan)"
Configure,Konfigurasi
"Database not available","Database tidak tersedia"
"Database status:","Status database:"
"Not available","Tidak tersedia"
"Credentials configured. Click the button below to download the database.","Kredensial dikonfigurasi. Klik tombol di bawah untuk mengunduh database."
"Download database","Unduh database"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Masukkan kredensial MaxMind di atas untuk mengaktifkan unduhan otomatis, atau jalankan setup:upgrade untuk menginstal database yang disertakan."
"Available (auto-update disabled)","Tersedia (pembaruan otomatis dinonaktifkan)"
Version:,Versi:
Size:,Ukuran:
"Enter MaxMind credentials above to enable automatic weekly updates.","Masukkan kredensial MaxMind di atas untuk mengaktifkan pembaruan mingguan otomatis."
"Available (auto-update enabled)","Tersedia (pembaruan otomatis diaktifkan)"
"Update database","Perbarui database"
"Database updated successfully.","Database berhasil diperbarui."
Notice,Pemberitahuan
"Database is up to date.","Database sudah yang terbaru."
"An error occurred while downloading the database.","Terjadi kesalahan saat mengunduh database."
"IP Geolocation","Geolokasi IP"
"Account ID","ID Akun"
"License Key","Kunci Lisensi"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Buat kunci lisensi</a>"
Cron,Cron
Delete,Hapus
"Delete items","Hapus item"
"Are you sure you want to delete selected items?","Apakah Anda yakin ingin menghapus item yang dipilih?"
ID,ID
Code,Kode
Messages,Pesan
Created,Dibuat
Scheduled,Dijadwalkan
Finished,Selesai
