"%1 service is not properly configured or available","A(z) %1 szolgáltatás nincs megfelelően konfigurálva vagy nem elérhető"
"Invalid AI request data","Érvénytelen AI kérési adatok"
"OpenAI Configuration","OpenAI konfiguráció"
"Enable OpenAI provider","OpenAI szolgáltató engedélyezése"
"Enable OpenAI as an available AI provider. Requires valid API key configuration.","Engedélyezze az OpenAI-t elérhető AI szolgáltatóként. Érvényes API kulcs konfiguráció szükséges."
"OpenAI API key","OpenAI API kulcs"
"Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>","Az OpenAI API kulcsa, amely 'sk-' előtaggal kezdődik. Ez a kulcs titkosítva és biztonságosan tárolva van.<br>Szerezze be API kulcsát innen: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>"
"Default OpenAI model","Alapértelmezett OpenAI modell"
"Select the default OpenAI model for AI operations. Different models have varying capabilities and costs.","Válassza ki az alapértelmezett OpenAI modellt az AI műveletekhez. A különböző modellek eltérő képességekkel és költségekkel rendelkeznek."
"Claude Configuration","Claude konfiguráció"
"Enable Claude provider","Claude szolgáltató engedélyezése"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","Engedélyezze az Anthropic Claude-ot elérhető AI szolgáltatóként. Érvényes API kulcs konfiguráció szükséges."
"Claude API key","Claude API kulcs"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","Az Anthropic Claude API kulcsa, amely 'sk-ant-' előtaggal kezdődik. Ez a kulcs titkosítva és biztonságosan tárolva van.<br>Szerezze be API kulcsát innen: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","Alapértelmezett Claude modell"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","Válassza ki az alapértelmezett Claude modellt az AI műveletekhez. A különböző modellek eltérő képességekkel és költségekkel rendelkeznek."
"Google Gemini Configuration","Google Gemini konfiguráció"
"Enable Gemini provider","Gemini szolgáltató engedélyezése"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Engedélyezze a Google Geminit elérhető AI szolgáltatóként. Érvényes API kulcs konfiguráció szükséges."
"Gemini API key","Gemini API kulcs"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","A Google AI Studio API kulcsa, amely 'AIza' előtaggal kezdődik. Ez a kulcs titkosítva és biztonságosan tárolva van.<br>Szerezze be API kulcsát innen: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Alapértelmezett Gemini modell"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Válassza ki az alapértelmezett Gemini modellt az AI műveletekhez. A különböző modellek eltérő képességekkel és költségekkel rendelkeznek."
"Determine visitor's country, city, and timezone based on their IP address.","Határozza meg a látogató országát, városát és időzónáját az IP-címe alapján."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Az automatikus frissítésekhez ingyenes <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind fiók</a> szükséges (heti ellenőrzés)."
"Used by:","Használja:"
message,üzenet
"Error downloading database: %1","Hiba az adatbázis letöltésekor: %1"
"MaxMind credentials not configured","MaxMind hitelesítő adatok nincsenek beállítva"
"Failed to download remote hash","A távoli hash letöltése sikertelen"
"Database is up to date","Az adatbázis naprakész"
"Failed to download and extract database","Az adatbázis letöltése és kicsomagolása sikertelen"
"Database updated successfully","Az adatbázis sikeresen frissítve"
"Download failed: %1","Letöltés sikertelen: %1"
"This extension uses GeoLite2 Data created by MaxMind.","Ez a bővítmény a MaxMind által létrehozott GeoLite2 adatokat használja."
"Database available (auto-update enabled)","Adatbázis elérhető (automatikus frissítés engedélyezve)"
"Database available (auto-update disabled)","Adatbázis elérhető (automatikus frissítés letiltva)"
Configure,Beállítás
"Database not available","Adatbázis nem érhető el"
"Database status:","Adatbázis állapota:"
"Not available","Nem érhető el"
"Credentials configured. Click the button below to download the database.","Hitelesítő adatok beállítva. Kattintson az alábbi gombra az adatbázis letöltéséhez."
"Download database","Adatbázis letöltése"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Adja meg a MaxMind hitelesítő adatokat fent az automatikus letöltések engedélyezéséhez, vagy futtassa a setup:upgrade parancsot a csomagolt adatbázis telepítéséhez."
"Available (auto-update disabled)","Elérhető (automatikus frissítés letiltva)"
Version:,Verzió:
Size:,Méret:
"Enter MaxMind credentials above to enable automatic weekly updates.","Adja meg a MaxMind hitelesítő adatokat fent az automatikus heti frissítések engedélyezéséhez."
"Available (auto-update enabled)","Elérhető (automatikus frissítés engedélyezve)"
"Update database","Adatbázis frissítése"
"Database updated successfully.","Az adatbázis sikeresen frissítve."
Notice,Értesítés
"Database is up to date.","Az adatbázis naprakész."
"An error occurred while downloading the database.","Hiba történt az adatbázis letöltésekor."
"IP Geolocation","IP geolokáció"
"Account ID","Fiók azonosító"
"License Key","Licenckulcs"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Licenckulcs generálása</a>"
Cron,Cron
Delete,Törlés
"Delete items","Elemek törlése"
"Are you sure you want to delete selected items?","Biztosan törölni szeretné a kiválasztott elemeket?"
ID,ID
Code,Kód
Messages,Üzenetek
Created,Létrehozva
Scheduled,Ütemezve
Finished,Befejezve
