"%1 service is not properly configured or available","خدمة %1 غير مهيأة أو غير متاحة بشكل صحيح"
"Developer settings","إعدادات المطور"
"AI Provider Status","حالة مزود الذكاء الاصطناعي"
"No AI providers are currently enabled. Please configure AI providers in %1.","لا يوجد مزودو ذكاء اصطناعي مفعلون حالياً. يُرجى تكوين مزودي الذكاء الاصطناعي في %1."
"%1 of %2 providers enabled. You can manage providers in %3.","%1 من %2 مزود مفعل. يمكنك إدارة المزودين في %3."
"Enabled","مفعل"
"Disabled","معطل"
"All tests have been passed","تم اجتياز جميع الاختبارات"
"Module","الوحدة"
"Test","اختبار"
"How to fix","كيفية الإصلاح"
"Warning","تحذير"
"Info","معلومات"
"Failed","فشل"
"Today","اليوم"
"Last 7 days","آخر 7 أيام"
"Last 30 days","آخر 30 يوم"
"Last 365 days","آخر 365 يوم"
"Mirasvit Extensions Validator","مدقق إضافات Mirasvit"
"Mirasvit Menu","قائمة Mirasvit"
"Core","Core"
"Mirasvit","Mirasvit"
"Extensions","الإضافات"
"Mirasvit Marketplace","سوق Mirasvit"
"Mirasvit Extensions","إضافات Mirasvit"
"Developer","المطور"
"Menu Settings","إعدادات القائمة"
"Enable Mirasvit Menu","تفعيل قائمة Mirasvit"
"The menu is visible, if you have at least two active Mirasvit extensions.","تظهر القائمة إذا كان لديك إضافتان نشطتان على الأقل من Mirasvit."
"Additional CSS Styles","أنماط CSS إضافية"
"AI Configuration","تكوين الذكاء الاصطناعي"
"Modules using AI","الوحدات التي تستخدم الذكاء الاصطناعي"
"Enable AI features","تفعيل ميزات الذكاء الاصطناعي"
"Globally enable or disable all AI-powered features across Mirasvit extensions.<br>When disabled, all AI functionality will be unavailable regardless of individual provider settings or AI settings in other modules.","تفعيل أو تعطيل جميع ميزات الذكاء الاصطناعي عالمياً عبر إضافات Mirasvit.<br>عند التعطيل، ستكون جميع وظائف الذكاء الاصطناعي غير متاحة بغض النظر عن إعدادات المزود الفردية أو إعدادات الذكاء الاصطناعي في الوحدات الأخرى."
"Default AI provider","مزود الذكاء الاصطناعي الافتراضي"
"Select the primary AI provider to use when multiple providers are configured.<br>This will be used as the fallback provider for all AI operations when no specific provider is requested.","حدد مزود الذكاء الاصطناعي الأساسي للاستخدام عند تكوين عدة مزودين.<br>سيتم استخدامه كمزود احتياطي لجميع عمليات الذكاء الاصطناعي عند عدم طلب مزود محدد."
"Request timeout","مهلة الطلب"
"Maximum time in seconds to wait for AI provider responses.<br> Leave empty to disable timeout.<br> This setting will affect all AI features in other modules.","الحد الأقصى للوقت بالثواني لانتظار استجابات مزود الذكاء الاصطناعي.<br> اتركه فارغاً لتعطيل المهلة.<br> سيؤثر هذا الإعداد على جميع ميزات الذكاء الاصطناعي في الوحدات الأخرى."
"Maximum tokens per request","الحد الأقصى للرموز لكل طلب"
"Maximum number of tokens to generate in a single AI request. Higher values allow longer responses but increase costs.<br> Leave empty to disable limitation.<br> Different providers and models has their own limits.<br> This setting will affect all AI features in other modules.","الحد الأقصى لعدد الرموز المراد إنشاؤها في طلب ذكاء اصطناعي واحد. تسمح القيم الأعلى باستجابات أطول ولكنها تزيد التكاليف.<br> اتركه فارغاً لتعطيل الحد.<br> لدى المزودين والنماذج المختلفة حدودها الخاصة.<br> سيؤثر هذا الإعداد على جميع ميزات الذكاء الاصطناعي في الوحدات الأخرى."
"Default temperature","درجة الحرارة الافتراضية"
"Controls randomness in AI responses. Lower values produce more consistent results, higher values more creative.<br>Example:<br><code>0.1</code> - very consistent, factual responses<br><code>0.7</code> - balanced creativity and consistency<br><code>1.0</code> - highly creative and varied responses.<br>If empty the default temperature 0.7 will be used.<br>This setting will affect all AI features in other modules.<br>Some extensions might override this setting.","يتحكم في العشوائية في استجابات الذكاء الاصطناعي. تنتج القيم المنخفضة نتائج أكثر اتساقاً، والقيم الأعلى أكثر إبداعاً.<br>مثال:<br><code>0.1</code> - استجابات متسقة جداً وواقعية<br><code>0.7</code> - توازن بين الإبداع والاتساق<br><code>1.0</code> - استجابات إبداعية ومتنوعة للغاية.<br>إذا كان فارغاً، سيتم استخدام درجة الحرارة الافتراضية 0.7.<br>سيؤثر هذا الإعداد على جميع ميزات الذكاء الاصطناعي في الوحدات الأخرى.<br>قد تتجاوز بعض الإضافات هذا الإعداد."
"Debug mode","وضع التصحيح"
"Enable detailed logging of AI requests and responses for debugging purposes.<br>Warning: This may log sensitive data and impact performance. Use only for development.","تفعيل التسجيل التفصيلي لطلبات واستجابات الذكاء الاصطناعي لأغراض التصحيح.<br>تحذير: قد يسجل هذا بيانات حساسة ويؤثر على الأداء. استخدمه للتطوير فقط."
"OpenAI Configuration","تكوين OpenAI"
"Enable OpenAI provider","تفعيل مزود OpenAI"
"Enable OpenAI as an available AI provider. Requires valid API key configuration.","تفعيل OpenAI كمزود ذكاء اصطناعي متاح. يتطلب تكوين مفتاح API صالح."
"OpenAI API key","مفتاح OpenAI API"
"Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>","مفتاح OpenAI API الخاص بك الذي يبدأ بـ 'sk-'. يتم تشفير هذا المفتاح وتخزينه بشكل آمن.<br>احصل على مفتاح API من: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>"
"Default OpenAI model","نموذج OpenAI الافتراضي"
"Select the default OpenAI model for AI operations. Different models have varying capabilities and costs.","حدد نموذج OpenAI الافتراضي لعمليات الذكاء الاصطناعي. تتمتع النماذج المختلفة بقدرات وتكاليف متفاوتة."
"Claude Configuration","تكوين Claude"
"Enable Claude provider","تفعيل مزود Claude"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","تفعيل Anthropic Claude كمزود ذكاء اصطناعي متاح. يتطلب تكوين مفتاح API صالح."
"Claude API key","مفتاح Claude API"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","مفتاح Anthropic Claude API الخاص بك الذي يبدأ بـ 'sk-ant-'. يتم تشفير هذا المفتاح وتخزينه بشكل آمن.<br>احصل على مفتاح API من: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","نموذج Claude الافتراضي"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","حدد نموذج Claude الافتراضي لعمليات الذكاء الاصطناعي. تتمتع النماذج المختلفة بقدرات وتكاليف متفاوتة."
"Google Gemini Configuration","تكوين Google Gemini"
"Enable Gemini provider","تفعيل مزود Gemini"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","تفعيل Google Gemini كمزود ذكاء اصطناعي متاح. يتطلب تكوين مفتاح API صالح."
"Gemini API key","مفتاح Gemini API"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","مفتاح Google AI Studio API الخاص بك الذي يبدأ بـ 'AIza'. يتم تشفير هذا المفتاح وتخزينه بشكل آمن.<br>احصل على مفتاح API من: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","نموذج Gemini الافتراضي"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","حدد نموذج Gemini الافتراضي لعمليات الذكاء الاصطناعي. تتمتع النماذج المختلفة بقدرات وتكاليف متفاوتة."
"Determine visitor's country, city, and timezone based on their IP address.","تحديد بلد الزائر ومدينته ومنطقته الزمنية بناءً على عنوان IP الخاص به."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","يلزم حساب <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind مجاني</a> للتحديثات التلقائية (يتم التحقق أسبوعياً)."
"Used by:","مستخدم بواسطة:"
message,رسالة
"Error downloading database: %1","خطأ في تنزيل قاعدة البيانات: %1"
"MaxMind credentials not configured","لم يتم تكوين بيانات اعتماد MaxMind"
"Failed to download remote hash","فشل تنزيل التجزئة البعيدة"
"Database is up to date","قاعدة البيانات محدثة"
"Failed to download and extract database","فشل تنزيل واستخراج قاعدة البيانات"
"Database updated successfully","تم تحديث قاعدة البيانات بنجاح"
"Download failed: %1","فشل التنزيل: %1"
"This extension uses GeoLite2 Data created by MaxMind.","تستخدم هذه الإضافة بيانات GeoLite2 التي أنشأتها MaxMind."
"Database available (auto-update enabled)","قاعدة البيانات متاحة (التحديث التلقائي مفعل)"
"Database available (auto-update disabled)","قاعدة البيانات متاحة (التحديث التلقائي معطل)"
Configure,تكوين
"Database not available","قاعدة البيانات غير متاحة"
"Database status:","حالة قاعدة البيانات:"
"Not available","غير متاح"
"Credentials configured. Click the button below to download the database.","تم تكوين بيانات الاعتماد. انقر على الزر أدناه لتنزيل قاعدة البيانات."
"Download database","تنزيل قاعدة البيانات"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","أدخل بيانات اعتماد MaxMind أعلاه لتمكين التنزيلات التلقائية لقاعدة البيانات، أو قم بتشغيل setup:upgrade لتثبيت قاعدة البيانات المضمنة."
"Available (auto-update disabled)","متاح (التحديث التلقائي معطل)"
Version:,الإصدار:
Size:,الحجم:
"Enter MaxMind credentials above to enable automatic weekly updates.","أدخل بيانات اعتماد MaxMind أعلاه لتمكين التحديثات التلقائية الأسبوعية."
"Available (auto-update enabled)","متاح (التحديث التلقائي مفعل)"
"Update database","تحديث قاعدة البيانات"
"Database updated successfully.","تم تحديث قاعدة البيانات بنجاح."
Notice,إشعار
"Database is up to date.","قاعدة البيانات محدثة."
"An error occurred while downloading the database.","حدث خطأ أثناء تنزيل قاعدة البيانات."
"IP Geolocation","تحديد الموقع الجغرافي بواسطة IP"
"Account ID","معرف الحساب"
"License Key","مفتاح الترخيص"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">إنشاء مفتاح الترخيص</a>"
Cron,Cron
Delete,حذف
"Delete items","حذف العناصر"
"Are you sure you want to delete selected items?","هل أنت متأكد أنك تريد حذف العناصر المحددة؟"
ID,المعرف
Code,الرمز
Messages,الرسائل
Created,تم الإنشاء
Scheduled,مجدول
Finished,منتهي
