"%1 service is not properly configured or available","Услугата %1 не е правилно конфигурирана или не е достапна"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","Овозможете Anthropic Claude како достапен AI провајдер. Потребна е валидна конфигурација на API клуч."
"Claude API key","Claude API клуч"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","Вашиот Anthropic Claude API клуч што започнува со 'sk-ant-'. Овој клуч е шифриран и безбедно зачуван.<br>Земете го вашиот API клуч од: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","Стандарден Claude модел"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","Изберете го стандардниот Claude модел за AI операции. Различни модели имаат различни способности и трошоци."
"Google Gemini Configuration","Google Gemini конфигурација"
"Enable Gemini provider","Овозможи Gemini провајдер"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Овозможете Google Gemini како достапен AI провајдер. Потребна е валидна конфигурација на API клуч."
"Gemini API key","Gemini API клуч"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","Вашиот Google AI Studio API клуч што започнува со 'AIza'. Овој клуч е шифриран и безбедно зачуван.<br>Земете го вашиот API клуч од: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Стандарден Gemini модел"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Изберете го стандардниот Gemini модел за AI операции. Различни модели имаат различни способности и трошоци."
"Determine visitor's country, city, and timezone based on their IP address.","Одредете ја земјата, градот и временската зона на посетителот врз основа на неговата IP адреса."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Потребна е бесплатна сметка <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind</a> за автоматски ажурирања (неделна проверка)."
"Used by:","Користено од:"
message,порака
"Error downloading database: %1","Грешка при преземање на базата на податоци: %1"
"MaxMind credentials not configured","Ингеренциите на MaxMind не се конфигурирани"
"Failed to download remote hash","Преземањето на далечинскиот хеш не успеа"
"Database is up to date","Базата на податоци е ажурирана"
"Failed to download and extract database","Преземањето и екстрахирањето на базата не успеа"
"Database updated successfully","Базата на податоци е успешно ажурирана"
"Download failed: %1","Преземањето не успеа: %1"
"This extension uses GeoLite2 Data created by MaxMind.","Оваа екстензија користи GeoLite2 податоци создадени од MaxMind."
"Database available (auto-update enabled)","База на податоци достапна (автоматско ажурирање овозможено)"
"Database available (auto-update disabled)","База на податоци достапна (автоматско ажурирање оневозможено)"
Configure,Конфигурирај
"Database not available","Базата на податоци не е достапна"
"Database status:","Статус на базата:"
"Not available","Не е достапно"
"Credentials configured. Click the button below to download the database.","Ингеренциите се конфигурирани. Кликнете на копчето подолу за преземање на базата."
"Download database","Преземи база на податоци"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Внесете ги ингеренциите на MaxMind погоре за овозможување на автоматски преземања, или извршете setup:upgrade за инсталирање на вградената база."
"Available (auto-update disabled)","Достапно (автоматско ажурирање оневозможено)"
Version:,Верзија:
Size:,Големина:
"Enter MaxMind credentials above to enable automatic weekly updates.","Внесете ги ингеренциите на MaxMind погоре за овозможување на автоматски неделни ажурирања."
"Available (auto-update enabled)","Достапно (автоматско ажурирање овозможено)"
"Update database","Ажурирај база на податоци"
"Database updated successfully.","Базата на податоци е успешно ажурирана."
Notice,Известување
"Database is up to date.","Базата на податоци е ажурирана."
"An error occurred while downloading the database.","Настана грешка при преземање на базата на податоци."
"IP Geolocation","IP геолокација"
"Account ID","ID на сметка"
"License Key","Лиценцен клуч"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Генерирај лиценцен клуч</a>"
Cron,Cron
Delete,Избриши
"Delete items","Избриши ставки"
"Are you sure you want to delete selected items?","Дали сте сигурни дека сакате да ги избришете избраните ставки?"
ID,ID
Code,Код
Messages,Пораки
Created,Креирано
Scheduled,Закажано
Finished,Завршено
