"%1 service is not properly configured or available","Dịch vụ %1 không được cấu hình đúng hoặc không khả dụng"
"Enable detailed logging of AI requests and responses for debugging purposes.<br>Warning: This may log sensitive data and impact performance. Use only for development.","Bật ghi nhật ký chi tiết các yêu cầu và phản hồi AI cho mục đích gỡ lỗi.<br>Cảnh báo: Điều này có thể ghi lại dữ liệu nhạy cảm và ảnh hưởng đến hiệu suất. Chỉ sử dụng cho mục đích phát triển."
"OpenAI Configuration","Cấu hình OpenAI"
"Enable OpenAI provider","Bật nhà cung cấp OpenAI"
"Enable OpenAI as an available AI provider. Requires valid API key configuration.","Bật OpenAI làm nhà cung cấp AI khả dụng. Yêu cầu cấu hình khóa API hợp lệ."
"OpenAI API key","Khóa API OpenAI"
"Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>","Khóa API OpenAI của bạn bắt đầu bằng 'sk-'. Khóa này được mã hóa và lưu trữ an toàn.<br>Lấy khóa API của bạn từ: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>"
"Default OpenAI model","Mô hình OpenAI mặc định"
"Select the default OpenAI model for AI operations. Different models have varying capabilities and costs.","Chọn mô hình OpenAI mặc định cho các hoạt động AI. Các mô hình khác nhau có khả năng và chi phí khác nhau."
"Claude Configuration","Cấu hình Claude"
"Enable Claude provider","Bật nhà cung cấp Claude"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","Bật Anthropic Claude làm nhà cung cấp AI khả dụng. Yêu cầu cấu hình khóa API hợp lệ."
"Claude API key","Khóa API Claude"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","Khóa API Anthropic Claude của bạn bắt đầu bằng 'sk-ant-'. Khóa này được mã hóa và lưu trữ an toàn.<br>Lấy khóa API của bạn từ: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","Mô hình Claude mặc định"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","Chọn mô hình Claude mặc định cho các hoạt động AI. Các mô hình khác nhau có khả năng và chi phí khác nhau."
"Google Gemini Configuration","Cấu hình Google Gemini"
"Enable Gemini provider","Bật nhà cung cấp Gemini"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Bật Google Gemini làm nhà cung cấp AI khả dụng. Yêu cầu cấu hình khóa API hợp lệ."
"Gemini API key","Khóa API Gemini"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","Khóa API Google AI Studio của bạn bắt đầu bằng 'AIza'. Khóa này được mã hóa và lưu trữ an toàn.<br>Lấy khóa API của bạn từ: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Mô hình Gemini mặc định"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Chọn mô hình Gemini mặc định cho các hoạt động AI. Các mô hình khác nhau có khả năng và chi phí khác nhau."
"Determine visitor's country, city, and timezone based on their IP address.","Xác định quốc gia, thành phố và múi giờ của khách truy cập dựa trên địa chỉ IP của họ."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Cần có tài khoản <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind miễn phí</a> để cập nhật tự động (kiểm tra hàng tuần)."
"Used by:","Được sử dụng bởi:"
message,tin nhắn
"Error downloading database: %1","Lỗi tải xuống cơ sở dữ liệu: %1"
"MaxMind credentials not configured","Thông tin xác thực MaxMind chưa được cấu hình"
"Failed to download remote hash","Tải xuống hash từ xa thất bại"
"Database is up to date","Cơ sở dữ liệu đã được cập nhật"
"Failed to download and extract database","Tải xuống và giải nén cơ sở dữ liệu thất bại"
"Database updated successfully","Cơ sở dữ liệu đã được cập nhật thành công"
"Download failed: %1","Tải xuống thất bại: %1"
"This extension uses GeoLite2 Data created by MaxMind.","Tiện ích mở rộng này sử dụng dữ liệu GeoLite2 được tạo bởi MaxMind."
"Database available (auto-update enabled)","Cơ sở dữ liệu khả dụng (cập nhật tự động đã bật)"
"Database available (auto-update disabled)","Cơ sở dữ liệu khả dụng (cập nhật tự động đã tắt)"
Configure,Cấu hình
"Database not available","Cơ sở dữ liệu không khả dụng"
"Database status:","Trạng thái cơ sở dữ liệu:"
"Not available","Không khả dụng"
"Credentials configured. Click the button below to download the database.","Thông tin xác thực đã được cấu hình. Nhấp vào nút bên dưới để tải xuống cơ sở dữ liệu."
"Download database","Tải xuống cơ sở dữ liệu"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Nhập thông tin xác thực MaxMind ở trên để bật tải xuống tự động, hoặc chạy setup:upgrade để cài đặt cơ sở dữ liệu đi kèm."
"Available (auto-update disabled)","Khả dụng (cập nhật tự động đã tắt)"
Version:,Phiên bản:
Size:,Kích thước:
"Enter MaxMind credentials above to enable automatic weekly updates.","Nhập thông tin xác thực MaxMind ở trên để bật cập nhật tự động hàng tuần."
"Available (auto-update enabled)","Khả dụng (cập nhật tự động đã bật)"
"Update database","Cập nhật cơ sở dữ liệu"
"Database updated successfully.","Cơ sở dữ liệu đã được cập nhật thành công."
Notice,Thông báo
"Database is up to date.","Cơ sở dữ liệu đã được cập nhật."
"An error occurred while downloading the database.","Đã xảy ra lỗi khi tải xuống cơ sở dữ liệu."
"IP Geolocation","Định vị địa lý IP"
"Account ID","ID tài khoản"
"License Key","Khóa giấy phép"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Tạo khóa giấy phép</a>"
Cron,Cron
Delete,Xóa
"Delete items","Xóa mục"
"Are you sure you want to delete selected items?","Bạn có chắc chắn muốn xóa các mục đã chọn không?"
ID,ID
Code,Mã
Messages,Tin nhắn
Created,Đã tạo
Scheduled,Đã lên lịch
Finished,Đã hoàn thành
